"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"TSPAN6",1143.4439708007,0.789115142620581,0.0891309095116256,8.85343981054804,8.48624568545992e-19,1.63419798124321e-17
"TNMD",7.08826172540278,-0.199131249899577,0.548363319107395,-0.363137436369222,NA,NA
"DPM1",2070.17577311097,0.092760604908755,0.0428081753886976,2.16688994722363,0.0302432466630452,0.0564059799702355
"SCYL3",210.885127377431,-0.0166497958290081,0.0507572760536631,-0.32802776515046,0.742890669524835,0.805155680968021
"C1orf112",111.645464990318,0.13098196004639,0.0462784047399447,2.83030412959187,0.00465037757259903,0.0106124306212677
"FGR",3373.87810534075,-0.685528515721657,0.0991695913350479,-6.91268872335649,4.75552699626831e-12,4.21473943327318e-11
"CFH",5853.99844218645,1.25595470407275,0.0779328933641063,16.1158485186078,1.97435195529301e-58,1.5307236550776e-55
"FUCA2",1772.26064557501,0.0656744759026662,0.0483615966751412,1.35798816453105,0.174467439709672,0.254050578548333
"GCLC",877.194452906735,0.834511435068079,0.0891376366412524,9.36205475613733,7.82008467317439e-21,1.82762450710414e-19
"NFYA",605.733353231735,-0.186849469024229,0.0482598778697412,-3.87173522337865,0.000108063303448898,0.000337239206702968
"STPG1",184.576567832206,0.287730404814545,0.101509311558224,2.83452227581612,0.00458942582029563,0.0104867556672875
"NIPAL3",671.620919353888,-0.242061584331796,0.0444962844227214,-5.44004038701692,5.32684940399015e-08,2.72563496619663e-07
"LAS1L",1055.11178446571,-0.0134295039898106,0.0288400472634541,-0.465654715026365,0.64146267174234,0.721402772610331
"SEMA3F",1091.44792410564,-0.544362068551577,0.088903214733691,-6.12308643936229,9.17798704920962e-10,5.95567194546965e-09
"CFTR",474.595903082225,-0.298916403341288,0.0908497862344776,-3.29022682089535,0.00100106652258798,0.00262322090092415
"ANKIB1",167.318078024393,-0.192877946427823,0.106689074293652,-1.80785096979044,0.070629698449659,0.118038311410902
"CYP51A1",102.806229179012,-0.651070117527236,0.137970960913184,-4.71889239023935,2.37132208937294e-06,9.69404298434165e-06
"KRIT1",1045.38834414515,-0.0963706937305631,0.0367575547489222,-2.62179283657025,0.0087468581701692,0.0187311126324555
"RAD52",546.332882991461,0.10451590494828,0.0878539854802633,1.18965467960198,0.234182145007949,0.323992242205117
"BAD",3733.00828994919,-0.0682743120383151,0.052129320712126,-1.30971037231324,0.190293833348873,0.272555794078482
"LAP3",5041.45661761749,-0.134783395275508,0.0696985321784276,-1.9338053623635,0.0531370632456288,0.0921552335923024
"CD99",1894.59511087496,0.0314626719506067,0.0660089478120035,0.476642530952225,0.633616692227607,0.714833155498083
"HS3ST1",83.3885784410079,1.20786400359725,0.176945587205186,6.82618890177016,8.72000934921716e-12,7.46138228000194e-11
"AOC1",47.380386075366,1.46437669579481,0.121079531475715,12.0943373165308,1.13151603175094e-33,8.84964643779947e-32
"WNT16",2.9153033780772,0.459310695286001,0.284619608024924,1.61377038803939,0.106577239820065,0.167872567836003
"HECW1",15.3110366962462,1.02355341455373,0.150189115420502,6.81509716391872,9.42000764482918e-12,8.02185178235883e-11
"MAD1L1",975.02610551676,-0.20269145119131,0.067520741799727,-3.00191386807498,0.00268288073425549,0.00647639491718477
"LASP1",637.48331903256,0.0150595429713886,0.0721907744737069,0.208607582910383,0.834754590506457,0.878761665854604
"SNX11",973.806737258403,-0.133628137916278,0.0317729656668543,-4.20571813526615,2.60254428740969e-05,9.0324191773238e-05
"TMEM176A",1333.71860776492,0.651787021500126,0.0958744402691639,6.79833978347366,1.05831617965047e-11,8.91445163699912e-11
"M6PR",4042.11410810885,-0.0619684549999707,0.0417292237276953,-1.48501336627652,0.137540283418643,0.208404478336334
"KLHL13",152.372334293976,1.50921870031397,0.126778568192533,11.9043677636585,1.12311291049011e-32,7.88661804854488e-31
"CYP26B1",183.520711529041,-0.145169872002788,0.152136049111876,-0.954210871455155,0.339976912753478,0.439787327400799
"ICA1",908.181160563018,0.0380807275335905,0.0479715676068922,0.793818702062163,0.4273009834162,0.525999664246699
"DBNDD1",221.051396493978,0.182190839260058,0.0790669572748362,2.30426015543717,0.0212080441899088,0.0413223168700234
"ALS2",198.462653589517,-0.100760039208775,0.0571534590457343,-1.76297359584389,0.0779049430687885,0.128368226280044
"CASP10",705.074557630338,0.0276174698151213,0.0401553920823716,0.687764914820629,0.491600833643321,0.588170563498728
"CFLAR",6159.22012240683,-0.462303871411434,0.0733000019215811,-6.30701035869034,2.84476798274452e-10,1.98078495385788e-09
"TFPI",3055.95411465879,-0.720136732325274,0.0731349719202683,-9.84668091635239,7.08449291594514e-23,1.9801046657858e-21
