"","logFC","logCPM","LR","PValue","FDR"
"FHL2",2.05562344691479,5.29653750281288,319.268020291367,2.09094606351343e-71,3.9389241944466e-67
"FCRL5",2.55554307936643,3.61709265357958,290.252573410564,4.38049245440832e-65,4.1259858428072e-61
"KLRG2",-2.50331624342881,1.45112299681202,288.862402255024,8.79893719874554e-65,5.52514596499895e-61
"S100A2",3.78943954282759,7.4588853206846,287.465192122064,1.77368394998416e-64,8.3531645624504e-61
"MAP3K15",-2.44547901366562,-0.492345300080854,286.214430801186,3.32212512240229e-64,1.25164386111629e-60
"AGTPBP1",-0.826865399829244,4.32366509682769,282.567656934415,2.0704662701723e-63,6.50057393291763e-60
"EPB41L5",-1.62831943258688,4.57051320539104,276.273041397963,4.87286208465419e-62,1.31135679929594e-58
"SYT12",2.63514745640352,0.0180460404943978,275.30339876649,7.9267903308566e-62,1.86656095315846e-58
"COL7A1",2.22233968320034,5.11156711147883,274.048968053678,1.48757252101086e-61,3.1136545723114e-58
"PLPP5",0.8674611484804,5.92044984526482,271.36066352015,5.73272725119144e-61,1.07993115957944e-57
"FAM83A",3.26688037121478,1.72129174059011,269.882718756209,1.20356682578742e-60,2.06116289674395e-57
"CDH3",2.50922506863835,4.91594627058555,264.096636356474,2.19570265903749e-59,3.44688722424569e-56
"SUGCT",1.9315311811596,2.62127107117077,260.455487648952,1.36530927144658e-58,1.9784381581162e-55
"CYP27C1",2.24147847572754,-0.0719277348020295,258.066050134669,4.52977856641758e-58,6.09514061672674e-55
"CPNE5",2.00723554496502,3.61621329087735,255.926605474697,1.32570042232091e-57,1.66490297037875e-54
"CTHRC1",2.42084227833291,3.73957039976752,252.959729568235,5.87769184564928e-57,6.92024743677131e-54
"GOLM1",1.3174119693443,5.51830581663265,249.266418164032,3.75290919365817e-56,4.15866490530191e-53
"CFH",1.24551136352242,7.59022387710982,247.889310849498,7.49197995443792e-56,7.84077324342786e-53
"SLCO1A2",-3.77187301494344,1.00972533954229,242.7004888813,1.01365890611147e-54,1.00501613017515e-51
"TPBG",1.24199954589496,4.04977776770646,242.04539257802,1.40840112957779e-54,1.32657302394932e-51
"ARRB1",-0.984154302600311,5.38494592386313,241.883662243415,1.52752957443318e-54,1.3702667677701e-51
"TMPRSS4",3.59870724209977,4.51977820948945,240.9227165811,2.47464953034603e-54,2.11897490239357e-51
"IGFL2",3.75562412066294,2.968230148572,231.574546557116,2.70374183113183e-52,2.21448211368963e-49
"BAAT",3.23577286815986,0.930770065215745,229.505288786396,7.64242780360094e-52,5.9986689568431e-49
"ADRA1A",-2.47568166244607,2.21154733234712,229.058131977744,9.56643417776613e-52,7.20849948163034e-49
"MYO3B",1.43209540188544,-0.885380175060353,227.317498700427,2.29279916222169e-51,1.66122117761278e-48
"SULF1",1.89268165097785,5.18757155411321,226.063151031102,4.30462497927855e-51,3.00335279109812e-48
