"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"S100A2",3.78943954282759,3.78966848439953,7.4588853206846,1.7603115103981e-40,3.28421318494973e-36
"SLCO1A2",-3.77187301494344,-3.793887490976,1.00972533954229,3.39189491487631e-34,3.16412917134237e-30
"FAM83A",3.26688037121478,3.27573211273638,1.72129174059011,5.69150910323388e-34,3.53954951130115e-30
"TMPRSS4",3.59870724209977,3.60044353483078,4.51977820948945,3.69124533035857e-33,1.72168910321249e-29
"IGFL2",3.75562412066294,3.76204966779472,2.968230148572,5.15471621488817e-33,1.92343080842337e-29
"GPR87",4.23336432596713,4.24341837585389,2.74336150469038,9.81787146446025e-32,3.05286713187392e-28
"COL10A1",3.407266726724,3.41010141024208,3.71897583711597,2.48659704895923e-29,6.62749159177604e-26
"BAAT",3.23577286815986,3.25200531599004,0.930770065215745,6.3381820527409e-29,1.47814328197484e-25
"FCRL5",2.55554307936643,2.55692240898382,3.61709265357958,2.83095796610497e-28,5.86857586373559e-25
"CXCL13",4.18610442353417,4.18821275444206,4.79163876559178,3.54008443553539e-28,6.60473553137837e-25
"KLRG2",-2.50331624342881,-2.50941586005271,1.45112299681202,5.45977921841942e-28,8.44206833154629e-25
"FAT2",3.42238375030668,3.43377013583904,1.55682165444074,5.46052981953318e-28,8.44206833154629e-25
"PRSS2",4.95043330805308,4.97138870488441,2.45394312919011,5.88234380179567e-28,8.44206833154629e-25
"SYT12",2.63514745640352,2.65421323365927,0.0180460404943978,9.72282652312846e-28,1.29570553172863e-24
"ITLN2",-3.83746941222204,-3.83885097682023,5.00331962406322,4.0501110832068e-27,5.03752816529261e-24
"MAP3K15",-2.44547901366562,-2.46977726799549,-0.492345300080854,4.5391344494208e-26,5.29291446392775e-23
"FAM167A",-2.90761921788863,-2.92094151116336,0.750364995240503,6.14894393081529e-26,6.7482851127777e-23
"CST1",6.23824359670785,6.37708556742595,1.08046886232595,2.04420592238608e-25,2.11881943855317e-22
"CDH3",2.50922506863835,2.50978530192101,4.91594627058555,2.16799292761899e-25,2.12885495003092e-22
"STRA6",2.99875339658035,3.00503536911468,1.9381516396788,2.42888470226582e-25,2.26578509450867e-22
"LGALS7B",4.03787181203779,4.04113090908153,4.12968849067979,3.3878850002765e-24,3.00989383095994e-21
"B3GNT3",2.9600112891199,2.96461091014095,2.35497320661328,5.2064852953334e-24,4.41533618886524e-21
