"","logFC","logCPM","F","PValue","FDR"
"FHL2",2.0557001677976,5.29653750281288,306.317457362896,2.50465501668736e-42,4.71826912043565e-38
"AGTPBP1",-0.827030577460382,4.32366509682769,289.582313374187,7.42575586044203e-41,6.99431944495035e-37
"MAP3K15",-2.4490745107974,-0.492345300080854,281.582831735822,3.91082487514165e-40,2.45573729993061e-36
"PLPP5",0.867563779291031,5.92044984526482,275.737839197931,1.34000040560111e-39,6.31073191017842e-36
"KLRG2",-2.50326919922446,1.45112299681202,273.013303347127,2.39146579924431e-39,8.52621248095652e-36
"FCRL5",2.55603960191327,3.61709265357958,272.417459663748,2.715642578073e-39,8.52621248095652e-36
"EPB41L5",-1.62826632116379,4.57051320539104,269.291181349555,5.30505270418075e-39,1.42766546916224e-35
"SYT12",2.63643160688264,0.0180460404943978,263.671857559816,1.78787101189981e-38,4.20998926527108e-35
"COL7A1",2.22224950392957,5.11156711147883,258.531705537909,5.50345449635466e-38,1.15193417558143e-34
"S100A2",3.78942229772855,7.4588853206846,250.339978879056,3.39068714886614e-37,6.30576662823523e-34
"SUGCT",1.93153840297408,2.62127107117077,249.972011089072,3.68210175764877e-37,6.30576662823523e-34
"FAM83A",3.26501568356378,1.72129174059011,248.853281021751,4.73307643854127e-37,7.43014116243671e-34
"CDH3",2.5089536368667,4.91594627058555,246.935943172404,7.28904924816097e-37,1.05623930566813e-33
"GOLM1",1.31741029422618,5.51830581663265,244.854716124157,1.16719496488166e-36,1.46076707318291e-33
"CYP27C1",2.2420933445145,-0.0719277348020295,244.812406000767,1.17844728249496e-36,1.46076707318291e-33
"CFH",1.24550589689994,7.59022387710982,244.5854672429,1.24069822544467e-36,1.46076707318291e-33
"CPNE5",2.00708515611847,3.61621329087735,243.628525103522,1.54191970819153e-36,1.70862843899483e-33
"ARRB1",-0.984255387854222,5.38494592386313,241.771335301817,2.35420848976948e-36,2.4638099739043e-33
"TPBG",1.24184822627396,4.04977776770646,239.469622296788,3.98745643365169e-36,3.95345812090161e-33
"CTHRC1",2.42052318299788,3.73957039976752,236.993987223872,7.04994910000798e-36,6.64034705729752e-33
"SLCO1A2",-3.76158159072569,1.00972533954229,226.770181324807,7.68056178200578e-35,6.88982965949642e-32
"HPCAL1",-1.21133598919845,6.83744296424266,220.088082901637,3.77453057273016e-34,3.23202758768594e-31
"MYO3B",1.42763898138112,-0.885380175060353,217.95581233282,6.30723377057512e-34,5.16589868565627e-31
"WWC2",-1.41949980649984,5.01076660855262,214.712517200994,1.3841955021718e-33,1.08647811957968e-30
"SULF1",1.89259753433715,5.18757155411321,214.396344231982,1.49492068969944e-33,1.12645263810232e-30
"AFF3",-1.73073171784785,3.29397061059267,213.85944813785,1.70384034227992e-33,1.17903390453085e-30
"BAAT",3.22709480411588,0.930770065215745,213.846952421912,1.70903907063912e-33,1.17903390453085e-30
"ADRA1A",-2.47499341012313,2.21154733234712,213.744047059204,1.75246572496357e-33,1.17903390453085e-30
"TMPRSS4",3.59443012418511,4.51977820948945,211.636109486556,2.93412462895812e-33,1.90596688828666e-30
"AL162171.1",-1.13946872393415,4.46021806574932,209.375554383857,5.11442118860116e-33,3.21151554502895e-30
"AL096711.2",-2.25636399666219,1.90233027936084,208.012720692249,7.16026396260455e-33,4.35113072669498e-30
"C1orf198",-1.06917996631254,6.3217828910095,205.921070643043,1.20272759550716e-32,7.08030701380119e-30
"RNF144B",-0.988826705969419,5.37737236902105,205.229435146314,1.42857282251407e-32,8.15498631227878e-30
"FAM167A",-2.9059593499119,0.750364995240503,204.620625928702,1.66262313760743e-32,9.21191019595554e-30
"IGFL2",3.73771397910041,2.968230148572,204.086034319122,1.89991821295029e-32,1.02259026558736e-29
"OTULINL",-1.71974288005505,4.39920923164089,203.180932611112,2.38236983014675e-32,1.24664119056402e-29
"RNF182",-1.77008210214991,1.63900462639024,202.078965877874,3.14020864159165e-32,1.59879055108928e-29
"GPR87",4.2054834405635,2.74336150469038,201.916104640631,3.27125207469259e-32,1.6216801732384e-29
"TJP1",-0.814024985263573,5.9772575612322,201.504453115199,3.62765078691903e-32,1.75224834676873e-29
"FCRLA",2.75047903277111,2.08424035365962,200.673251685115,4.47148104153405e-32,2.10584399651046e-29
"BACE2",1.19427420214121,5.69221069166628,200.268362595658,4.951793457101e-32,2.27516793036265e-29
"SPTBN2",1.55222651038714,3.38326676673754,200.0081947832,5.28760637687536e-32,2.37161735541852e-29
"SLC4A11",2.36443953392718,3.14893284567126,199.581571253618,5.88881934587408e-32,2.5798506706413e-29
"TINCR",-1.76570668154538,1.56106211058649,199.486128528615,6.03251105325099e-32,2.58273734593505e-29
"COL10A1",3.39529070668841,3.71897583711597,197.794910680492,9.25635463280954e-32,3.87491574606369e-29
"GAP43",2.73330425299581,-0.127266956467329,197.074033719461,1.11157543070917e-31,4.55214303558681e-29
"GRIA1",-1.81324941476211,2.92863765325521,196.692567685733,1.22480258499133e-31,4.90911299916312e-29
"TMEM45A",1.69921045389249,5.87110467498456,194.764693631166,2.00260723870793e-31,7.85939899224583e-29
"L3MBTL4",-0.678467617421826,2.60035829889223,193.697926344356,2.63148675942193e-31,1.01167239946919e-28
"DAPK2",-1.56395141866169,5.52647811744516,192.389458561986,3.68232017453678e-31,1.36389353203143e-28
