"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"S100A2",3.78942229772855,3.78965122609053,7.4588853206846,2.08360400777313e-27,3.88737999730233e-23
"CST1",6.07652141068196,6.18403984567254,1.08046886232595,2.68939487189562e-26,2.50880200624783e-22
"SLCO1A2",-3.76158159072569,-3.78321118008652,1.00972533954229,3.75556909353367e-25,2.33558841926859e-21
"FAM83A",3.26501568356378,3.27382445801341,1.72129174059011,6.74863549030481e-25,3.14773230856542e-21
"GPR87",4.2054834405635,4.21489596775057,2.74336150469038,1.25233844272388e-24,4.67297566517987e-21
"TMPRSS4",3.59443012418511,3.59615030279722,4.51977820948945,1.2190579741156e-23,3.79066077051247e-20
"IGFL2",3.73771397910041,3.74391964699207,2.968230148572,2.43560188450247e-23,6.49157490845179e-20
"PRSS2",4.87157638022828,4.88992668610032,2.45394312919011,6.91073312773655e-23,1.61166934955226e-19
"SPRR1A",5.55251959705602,5.60740286887374,2.11224351581429,4.17572734209547e-22,8.02181030128659e-19
"BAAT",3.22709480411588,3.24299062416054,0.930770065215745,4.29962496719011e-22,8.02181030128659e-19
"SYT12",2.63643160688264,2.65557589280637,0.0180460404943978,5.60232348179257e-22,9.50204992725491e-19
"FCRL5",2.55603960191327,2.55742028848392,3.61709265357958,6.51819129291759e-22,1.01341579126636e-18
"COL10A1",3.39529070668841,3.39804704093258,3.71897583711597,1.25093589934458e-21,1.79528546723629e-18
"ITLN2",-3.8309479357945,-3.83231175729216,5.00331962406322,1.68863408572866e-21,2.09006962684408e-18
"MAP3K15",-2.4490745107974,-2.47354351689904,-0.492345300080854,1.76296140656613e-21,2.09006962684408e-18
"KLRG2",-2.50326919922446,-2.50936818980098,1.45112299681202,1.79241646725118e-21,2.09006962684408e-18
"FAT2",3.41417680608083,3.42537924044134,1.55682165444074,3.96119840643741e-21,4.34729874522958e-18
"CXCL13",4.18975265546159,4.19186623138379,4.79163876559178,1.39739314962954e-20,1.44839799959101e-17
"CDH3",2.5089536368667,2.50951337449528,4.91594627058555,4.70208619126675e-20,4.61720116160335e-17
"KLK6",3.94383904190719,4.15648125034203,-1.81071000776997,5.11800970339668e-20,4.77433535181359e-17
"FAM167A",-2.9059593499119,-2.91924766959245,0.750364995240503,6.69347932944586e-20,5.94667827854626e-17
"COL17A1",3.35599591960196,3.36381047894369,2.02867699277355,1.35732136218935e-19,1.15107021156212e-16
"STRA6",2.9948778111151,3.00111138540039,1.9381516396788,1.45868940900226e-19,1.18325079581544e-16
"LGALS7B",4.02580753589986,4.02898565134994,4.12968849067979,2.57549860954521e-19,2.00212823159521e-16
"FDCSP",4.63426026753751,4.64034216350756,3.87938738134261,2.72365451792685e-19,2.03260889363845e-16
"B3GNT3",2.95798709107285,2.96255668447058,2.35497320661328,8.3794266098654e-19,5.9235323429789e-16
"FCRLA",2.75047903277111,2.75514045402291,2.08424035365962,8.57240570619234e-19,5.9235323429789e-16
"CTHRC1",2.42052318299788,2.42167684692993,3.73957039976752,9.10401376989049e-19,6.06619946088739e-16
"FHL2",2.0557001677976,2.05599120943426,5.29653750281288,1.50833656401874e-18,9.7038052672061e-16
"KRT14",3.67067915863887,3.71277249982794,0.273791934235597,1.56133777137681e-18,9.70995960019237e-16
"GAP43",2.73330425299581,2.75578433292465,-0.127266956467329,2.1027090057515e-18,1.26549167484857e-15
"COMP",3.01560884751303,3.01752002744975,3.77114213808749,2.68197372264129e-18,1.56367449197871e-15
"DRD5",2.76062238065513,2.80581458818078,-0.978134542726738,3.13815271419845e-18,1.77419742996365e-15
"COL7A1",2.22224950392957,2.22262981995684,5.11156711147883,3.62833576671858e-18,1.9909958941079e-15
"MZB1",2.79213632803546,2.79226072778619,7.3908316205598,7.50933623343608e-18,4.00290531734906e-15
"LY6D",4.22602211832964,4.30054565547219,-0.203350725617308,7.78583672900149e-18,4.03500988480502e-15
"ADRA1A",-2.47499341012313,-2.47849179137702,2.21154733234712,8.06345998292456e-18,4.06594521355199e-15
"CYP27C1",2.2420933445145,2.25731605501211,-0.0719277348020295,1.18014753061741e-17,5.79421381019185e-15
"IFNE",3.08821408597292,3.16509725594336,-1.34252858097862,3.73985722938845e-17,1.78909016227437e-14
"PADI3",3.72965628616493,4.10715788896405,-2.5019757423182,6.97156184723797e-17,3.25171073459797e-14
"DERL3",2.56038886013592,2.56060406828953,6.35608500162096,7.18684724186254e-17,3.27036607296169e-14
"KRT15",3.03936735286402,3.03959805380747,6.75493905724109,1.03513802546633e-16,4.59823098598222e-14
"HS6ST2",2.48578262071571,2.4918873865606,1.54019974708481,2.27058853086995e-16,9.85171400475364e-14
"AL096711.2",-2.25636399666219,-2.2600107593649,1.90233027936084,3.28228574037887e-16,1.39176375132383e-13
"SLC4A11",2.36443953392718,2.36609944204866,3.14893284567126,3.39352009758117e-16,1.39225401592397e-13
"CILP2",2.78822045427668,2.7998829857361,0.975858270257394,3.4326893247844e-16,1.39225401592397e-13
"IGLL5",2.90917022721862,2.90920519101125,9.41030703931801,3.79846051755109e-16,1.50782718885002e-13
"CALML3",3.54794429448562,3.73531235718248,-1.88780913725902,7.34093479792473e-16,2.85332959426837e-13
"PNOC",2.57449865188903,2.57838748069042,2.18216814236343,8.08067822172421e-16,3.0767594608716e-13
"CD79A",2.73106179369549,2.73145880090038,5.65774950708567,1.36616930939155e-15,5.09772416106364e-13
"MS4A15",-2.57825802224827,-2.57851729877415,6.12265963561968,1.89943634697638e-15,6.94858508343887e-13
"UGT1A6",3.53483376927692,3.54334185590747,2.25013971686302,1.99290341738847e-15,7.15030751119552e-13
"RTKN2",-2.84390679837599,-2.84508269008255,4.1627702473918,3.15950260091245e-15,1.1122045287778e-12
"CPNE5",2.00708515611847,2.00799993060397,3.61621329087735,3.59903917582057e-15,1.24346803524601e-12
"DEFA4",-4.20513176069582,-4.21800520114438,2.26433265608974,4.72628029205785e-15,1.60324020743497e-12
"MUC4",2.68302101502853,2.68346977501671,5.37565245596569,5.55257221931608e-15,1.84989892671036e-12
"DIO2",2.61264571957302,2.61621939972444,2.45968925806794,6.82191689121936e-15,2.19682957243199e-12
"ERN2",2.90971269812549,2.9113583811202,3.78814380422195,6.82939996789706e-15,2.19682957243199e-12
"TNFRSF13C",2.61560438914859,2.62038096062334,1.91061328625192,7.05457482762109e-15,2.23080004337164e-12
"RGS9BP",-2.27402391110891,-2.30709715956021,-1.05709529816803,7.46583973458762e-15,2.32150286547002e-12
"GRM8",-2.70724672023527,-2.72987330748537,-0.130548995281803,8.4977462810455e-15,2.59905659615518e-12
"TNS4",2.84401610548768,2.84837925076794,2.37973879233545,8.88749160075754e-15,2.67441823863441e-12
"SUGCT",1.93153840297408,1.93327626865096,2.62127107117077,1.37824292551694e-14,4.08156797799517e-12
"TRIM49B",3.45254282952934,6.02978949772982,-3.18599436992155,1.56621990976364e-14,4.5657757588219e-12
"ADAMTS18",3.48840896280904,3.77374045515249,-2.42977792555678,1.78228159604126e-14,5.11569657497566e-12
"DSC3",3.63125579237039,3.65834774659635,0.526349301398563,1.86519319552217e-14,5.27256203770562e-12
