"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000154451",2.69642450201958,9.12518268356033,303.800897094735,4.89441705885478e-68,9.76974589118003e-64
"ENSG00000168062",3.8914764055042,6.78413855163633,289.386274011744,6.76522324599572e-65,6.75203106066603e-61
"ENSG00000150337",3.22650410608253,7.53690785271674,264.009773323414,2.29354094416208e-59,1.52604569288064e-55
"ENSG00000156587",1.86782904919719,8.7938205794248,247.447843861783,9.3506961264806e-56,4.66623113451698e-52
"ENSG00000152229",1.84933534298719,6.22258017465915,239.687793207025,4.60024245689382e-54,1.83650879364115e-50
"ENSG00000108387",3.81651029618025,4.91439935204905,237.038333844911,1.7397920325693e-53,5.78799812701929e-50
"ENSG00000149131",3.77551246579642,8.19212138014574,234.33320728127,6.76674431350924e-53,1.92958547488511e-49
"ENSG00000100342",2.07951662399342,7.34323252617929,233.498846211959,1.02879071133876e-52,2.56696142362912e-49
"ENSG00000145685",2.06729889185601,4.43490931851699,224.222922733257,1.08466412224411e-50,2.40566450490162e-47
"ENSG00000128203",1.65258229291503,4.34379151445474,222.333764716066,2.80118581979092e-50,5.59144701488465e-47
"ENSG00000152766",4.51032357686862,5.23538323557441,220.935154650674,5.65463320253863e-50,9.77969502962302e-47
"ENSG00000010030",3.49842378365654,5.25205221022504,220.714450760497,6.31749323537224e-50,9.77969502962302e-47
"ENSG00000100336",4.0227974104679,2.87339436250216,220.68724437667,6.40440971743717e-50,9.77969502962302e-47
"ENSG00000140105",2.17102436050843,9.11335716357422,220.550661001571,6.85916188641462e-50,9.77969502962302e-47
"ENSG00000120217",2.98840329878821,5.45648224579491,218.90860766532,1.5647563459197e-49,2.08227342806021e-46
"ENSG00000173369",4.57324969664716,5.6311885340295,217.892771337987,2.60635603401108e-49,3.25159204968095e-46
"ENSG00000162654",2.05483341175002,6.86043848589483,216.369347952534,5.6020985981429e-49,6.57785235985474e-46
"ENSG00000162645",1.51273582151135,9.60971578039235,214.599101366886,1.36308407148138e-48,1.51158450837999e-45
"ENSG00000166278",3.3070445445332,3.30498214517057,213.824712081955,2.0112079507525e-48,2.11293273184056e-45
"ENSG00000130489",2.29549076498418,8.01865220950175,210.881552025131,8.82141015289441e-48,8.80420840309627e-45
"ENSG00000116663",1.85112899573346,5.60197502967071,209.350510951212,1.90356156483333e-47,1.80938059026848e-44
"ENSG00000117228",2.32425826128742,7.48618659324937,206.77723623226,6.93436767581532e-47,6.29167787167953e-44
"ENSG00000168394",1.39179080864906,9.69335241692753,206.075420272221,9.86587355541565e-47,8.56229139302834e-44
"ENSG00000108950",4.22914179764393,3.25140053247575,202.931611167389,4.78752864790108e-46,3.98182747253139e-43
"ENSG00000108861",1.33433521437466,5.81219673526676,200.696306575874,1.47191762633933e-45,1.17523790957437e-42
"ENSG00000119655",1.27693733549391,7.92444555966368,200.398191566813,1.709771238426e-45,1.31264398808544e-42
"ENSG00000221963",1.53160485327454,6.93223752728932,199.704776463986,2.42245943341144e-45,1.7909152870491e-42
"ENSG00000100911",1.36588590849923,8.2264844156665,196.631928867491,1.13462131831203e-44,8.08863433386655e-42
"ENSG00000162772",2.90070253647864,3.10109405367452,191.926369517008,1.20741636281e-43,8.3107717303622e-41
