"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000168062",3.8914764055042,3.89207258500433,6.78413855163633,1.73191578108064e-41,3.45707709061507e-37
"ENSG00000152766",4.51032357686862,4.51300915252825,5.23538323557441,2.26106925877563e-35,2.25666017372102e-31
"ENSG00000173369",4.57324969664716,4.57538186639881,5.6311885340295,3.4292409628144e-35,2.28170262862461e-31
"ENSG00000108387",3.81651029618025,3.8185786502855,4.91439935204905,4.5463465569665e-34,2.26874059059021e-30
"ENSG00000149131",3.77551246579642,3.77571952458776,8.19212138014574,1.70199176692358e-33,6.7946915319123e-30
"ENSG00000150337",3.22650410608253,3.22672565697937,7.53690785271674,4.6371006131381e-33,1.54268608898083e-29
"ENSG00000100336",4.0227974104679,4.03268504707218,2.87339436250216,5.86323175661753e-33,1.67194241562632e-29
"ENSG00000108950",4.22914179764393,4.23792295271568,3.25140053247575,1.6030761825105e-31,3.95680931233722e-28
"ENSG00000154451",2.69642450201958,2.69647487723678,9.12518268356033,1.78404307454712e-31,3.95680931233722e-28
"ENSG00000010030",3.49842378365654,3.49973314713457,5.25205221022504,5.29908809762609e-30,1.05775097516714e-26
"ENSG00000159189",4.86626567771302,4.8744885893267,3.97892256222353,2.7830213469061e-29,5.05017173687205e-26
"ENSG00000197646",4.03930683660919,4.05217516055713,2.51336702702017,5.28459150076906e-29,8.79047757890427e-26
"ENSG00000166278",3.3070445445332,3.31146884785445,3.30498214517057,7.77967121989355e-28,1.19453859400227e-24
"ENSG00000173372",3.75533009488508,3.75625599490394,6.0111267667691,1.33762447853151e-26,1.90716587256911e-23
"ENSG00000120217",2.98840329878821,2.98919466094104,5.45648224579491,4.65939019443592e-26,6.20040584474236e-23
"ENSG00000162772",2.90070253647864,2.90452776985949,3.10109405367452,1.65683408828716e-22,2.06700407726875e-19
"ENSG00000255221",3.30803934715197,3.31629574323315,2.40770588109789,4.65131740310097e-21,5.46146745195873e-18
"ENSG00000183347",3.20575782816524,3.22316980055776,1.25260341250144,1.67521292165142e-20,1.85771806272689e-17
"ENSG00000168899",2.68116853102074,2.68137310399422,7.08751866150818,4.28660549690286e-20,4.50341749071989e-17
"ENSG00000163568",2.6056209294267,2.60629506521988,5.28869361839238,1.55159674217853e-19,1.54857112853128e-16
"ENSG00000197272",2.55635244441084,2.56388554979671,1.77828402884813,3.54659782328245e-19,3.37112567383528e-16
"ENSG00000203666",2.53115908800047,2.53286107888638,3.87580106125479,9.19053035493835e-19,8.33873529158748e-16
"ENSG00000117228",2.32425826128742,2.32437750727053,7.48618659324937,1.08960977048832e-18,9.08818210570399e-16
"ENSG00000130489",2.29549076498418,2.29557143910186,8.01865220950175,1.09271264233704e-18,9.08818210570399e-16
"ENSG00000162512",2.49653601898589,2.49836639770213,3.7373332142899,1.60356887026331e-18,1.28035352877304e-15
"ENSG00000170439",4.51420264806904,4.53593111515572,2.23052431030598,4.56383190850002e-18,3.50379418175265e-15
"ENSG00000140105",2.17102436050843,2.17105872570391,9.11335716357422,6.32791005388186e-18,4.67820046613096e-15
"ENSG00000100342",2.07951662399342,2.07962589095696,7.34323252617929,1.37029896468837e-17,9.76876344076588e-15
"ENSG00000198019",2.30632913026817,2.30669441066964,5.8528406883257,2.84092673357107e-17,1.95543925961421e-14
"ENSG00000145685",2.06729889185601,2.06811334292615,4.43490931851699,8.10095430471024e-17,5.39010496254403e-14
"ENSG00000162654",2.05483341175002,2.05498321655221,6.86043848589483,3.50744611386541e-16,2.25845586706024e-13
"ENSG00000156587",1.86782904919719,1.86786286602051,8.7938205794248,2.93426540882204e-15,1.83033974454677e-12
"ENSG00000174944",2.38299865545006,2.38452350287163,3.8782097759079,1.07087814243838e-14,6.47751472764014e-12
"ENSG00000152229",1.84933534298719,1.84953347655973,6.22258017465915,1.42974773671261e-14,8.39388075662364e-12
"ENSG00000188820",2.17435174535645,2.17465570231288,5.97312516072223,7.95967502921689e-14,4.53951637880567e-11
"ENSG00000139572",2.67183594763467,2.67539332961025,2.96247353852423,2.26477530853946e-13,1.25575499815989e-10
"ENSG00000142089",2.59075761917616,2.59076885202514,11.1788183203123,3.19312572447599e-13,1.72264817800717e-10
"ENSG00000116663",1.85112899573346,1.85143422034875,5.60197502967071,4.43826510073396e-13,2.33137393883554e-10
"ENSG00000124785",2.6828450738914,2.68955266354265,2.07464007612324,1.2649436325905e-12,6.47424098721513e-10
"ENSG00000135424",2.91252447052061,2.91542746976227,3.49654558746601,1.67251617259195e-12,8.34627383027697e-10
"ENSG00000134809",2.26850126497679,2.26891652509533,5.62564640121448,2.46868163339858e-12,1.20188668498217e-09
"ENSG00000175643",2.16159088766949,2.16514568831179,2.41946433363929,2.66958345026646e-12,1.2687513154945e-09
"ENSG00000111181",1.98357553413978,1.98472375300279,3.84705538470715,6.28245248900096e-12,2.91637288681275e-09
"ENSG00000163958",3.17959330321313,3.18092881638341,4.89591868487989,7.23148011295888e-12,3.28062669397209e-09
"ENSG00000198785",2.48902861717224,2.50523795613283,0.625701946996339,1.66394128751254e-11,7.38087378667509e-09
"ENSG00000141574",1.81204213027218,1.8120554339059,10.0743699034991,1.70457881181249e-11,7.39676036143241e-09
"ENSG00000082014",1.81502720780761,1.81515593911045,6.80424377123916,1.93132458878255e-11,8.20237662057203e-09
"ENSG00000204936",3.85625655405267,3.85678812705246,6.91343037809685,1.98984268759321e-11,8.27484372646834e-09
"ENSG00000173239",3.7772883778317,5.44540962871617,-2.75129541465371,2.54713753324517e-11,1.03762065920626e-08
"ENSG00000185338",2.07937379017801,2.08021664494323,4.39780132966947,4.15067720417508e-11,1.65703335345078e-08
"ENSG00000177989",1.83063793712239,1.8306931129783,8.04430483704132,4.9555418012778e-11,1.93956019402561e-08
"ENSG00000256618",5.27385251309006,5.60436918645224,-0.655992769096306,6.59331547098576e-11,2.53094557916052e-08
"ENSG00000188931",4.15901798347521,4.35146454624765,-1.0665368849235,7.70164321689795e-11,2.85466624222271e-08
"ENSG00000205436",3.51341904039942,3.68267923689191,-1.3846542621429,7.7226580371738e-11,2.85466624222271e-08
"ENSG00000128203",1.65258229291503,1.65320303724867,4.34379151445474,9.86737181905606e-11,3.58113834327596e-08
"ENSG00000079385",1.83355510500094,1.83383464467908,5.70817647629269,1.0683370988476e-10,3.80804943394587e-08
"ENSG00000139832",1.79300534833006,1.79353272514595,4.74631811312405,1.35664048684682e-10,4.7508597820964e-08
"ENSG00000185339",2.03863439528087,2.03916451069277,5.02048087864244,2.02381141748817e-10,6.96505167318644e-08
"ENSG00000087116",4.23532582432771,4.2725100555942,1.16377363025181,3.05418407364699e-10,1.03329776769606e-07
"ENSG00000206549",3.25466388673883,3.29829534665429,0.0480218734668563,4.68646958190113e-10,1.55911032207214e-07
"ENSG00000133106",2.1206733377082,2.12084419967638,6.7443647280289,5.82793598109485e-10,1.86859752625089e-07
"ENSG00000103723",3.65182279516816,3.67022598744421,1.62410257673423,5.8921085004387e-10,1.86859752625089e-07
"ENSG00000074660",1.73208355270605,1.73218973316326,6.98365721028018,5.89758249355274e-10,1.86859752625089e-07
"ENSG00000002549",1.93752717882862,1.93766645455871,6.83273695192809,8.59146452213346e-10,2.67959723947353e-07
"ENSG00000159871",2.49634758385019,2.54900821369104,-0.870423341176812,8.73069441413261e-10,2.68112909539233e-07
"ENSG00000179044",2.13202895057407,2.1334147286962,3.74119263241979,1.16685035039047e-09,3.52901512790062e-07
"ENSG00000196415",3.29064158614439,3.29464967011274,3.42652421385688,1.6446045682929e-09,4.89969429667082e-07
"ENSG00000156113",2.92183409462032,2.9309795000256,1.87168362318134,1.97825963672253e-09,5.80706479538506e-07
"ENSG00000163814",2.18153345524711,2.19222402308037,0.895775649523222,2.07193786294436e-09,5.99390604090325e-07
"ENSG00000198216",1.97383398854882,1.97478431101148,4.10766490631914,2.29175303754947e-09,6.53509748321785e-07
"ENSG00000073737",1.80571038823236,1.80592913669797,6.0288514469194,3.47579034878491e-09,9.77186635945008e-07
"ENSG00000158714",1.9298531276955,1.93088835540527,3.93263691655206,4.51483542807494e-09,1.25167541638617e-06
"ENSG00000068079",1.79167799838747,1.79174379094121,7.74454496611963,6.35571830365443e-09,1.73789716519515e-06
"ENSG00000198959",1.83840875912462,1.8395213065703,3.72518059933183,1.01533147711832e-08,2.73878805604848e-06
