"","logFC","logCPM","F","PValue","FDR"
"ENSG00000154451",2.69638566973073,9.12518268356033,295.52542145924,4.3801738801435e-32,8.74326508215445e-28
"ENSG00000168062",3.89205001869803,6.78413855163633,280.497227000652,3.21084201711696e-31,3.20458087518358e-27
"ENSG00000150337",3.22660192742369,7.53690785271674,255.404372011083,1.07139756592921e-29,7.12872227117096e-26
"ENSG00000156587",1.86781450327064,8.7938205794248,242.343310204233,7.34180360518421e-29,3.66374354407705e-25
"ENSG00000152229",1.84914288228069,6.22258017465915,236.490115516952,1.78130805268302e-28,7.11133800792114e-25
"ENSG00000100342",2.07941566872594,7.34323252617929,229.100717675213,5.57621443769131e-28,1.8551136065126e-24
"ENSG00000108387",3.81491905703245,4.91439935204905,225.572745222632,9.7023977168441e-28,2.76670801179893e-24
"ENSG00000149131",3.77562322912985,8.19212138014574,222.171686289553,1.66431518089374e-27,4.03928448775633e-24
"ENSG00000128203",1.65218796484637,4.34379151445474,221.556428000513,1.8360907960877e-27,4.03928448775633e-24
"ENSG00000145685",2.06648583930364,4.43490931851699,220.948532401247,2.02358824094801e-27,4.03928448775633e-24
"ENSG00000010030",3.49832224971815,5.25205221022504,215.026389076297,5.26898647460233e-27,8.9511215296453e-24
"ENSG00000140105",2.17099982489576,9.11335716357422,214.897247897563,5.38116619186131e-27,8.9511215296453e-24
"ENSG00000100336",4.02034942615152,2.87339436250216,214.228734260458,6.0020374251514e-27,9.2158976187267e-24
"ENSG00000120217",2.98734501595429,5.45648224579491,213.134108391928,7.18067795311919e-27,1.01371458996751e-23
"ENSG00000162654",2.05456612877041,6.86043848589483,212.774231896954,7.61771396699193e-27,1.01371458996751e-23
"ENSG00000162645",1.51273221535017,9.60971578039235,212.248051993885,8.30604509725917e-27,1.03623103866494e-23
"ENSG00000152766",4.50657888669009,5.23538323557441,209.051559593722,1.40925618148826e-26,1.65471544933454e-23
"ENSG00000166278",3.30777852525798,3.30498214517057,207.362507260372,1.8675273126495e-26,2.07098403821093e-23
"ENSG00000116663",1.85079893628904,5.60197502967071,206.105222485073,2.30527057369986e-26,2.421868732717e-23
"ENSG00000130489",2.29549350242066,8.01865220950175,205.679214392801,2.4762507854924e-26,2.47142209646069e-23
"ENSG00000173369",4.57333247955265,5.6311885340295,204.717697470218,2.91129212928498e-26,2.72969875067036e-23
"ENSG00000168394",1.39178682981203,9.69335241692753,204.52287469928,3.00853526951295e-26,2.72969875067036e-23
"ENSG00000117228",2.32405944163061,7.48618659324937,201.839897199614,4.7401641649233e-26,4.11384421287104e-23
