"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000168062",3.89205001869803,3.89264696338202,6.78413855163633,5.8835747695569e-25,1.17442035975125e-20
"ENSG00000152766",4.50657888669009,4.5092579238086,5.23538323557441,3.58713604766845e-22,3.27937680084801e-18
"ENSG00000173369",4.57333247955265,4.57547051834372,5.6311885340295,4.92867611970544e-22,3.27937680084801e-18
"ENSG00000108387",3.81491905703245,3.81698808765335,4.91439935204905,9.98361255219554e-22,4.98207225385938e-18
"ENSG00000150337",3.22660192742369,3.22682355864494,7.53690785271674,1.30917539757009e-21,5.14317164792938e-18
"ENSG00000149131",3.77562322912985,3.77583037381354,8.19212138014574,1.54596612832906e-21,5.14317164792938e-18
"ENSG00000100336",4.02034942615152,4.03024529986514,2.87339436250216,2.27825993471412e-21,6.49662093668978e-18
"ENSG00000154451",2.69638566973073,2.69643604224757,9.12518268356033,5.30667276111114e-21,1.32408118730674e-17
"ENSG00000108950",4.23282602961561,4.24168386687729,3.25140053247575,8.0035291613307e-21,1.77509383988136e-17
"ENSG00000010030",3.49832224971815,3.49963366040142,5.25205221022504,2.72255750885824e-20,5.43449704343193e-17
"ENSG00000159189",4.86474516252227,4.87300542970262,3.97892256222353,3.72093221509475e-20,6.75213890413694e-17
"ENSG00000197646",4.03545342366224,4.04831335154736,2.51336702702017,1.34357934646168e-19,2.23493227789347e-16
"ENSG00000166278",3.30777852525798,3.31223049544129,3.30498214517057,3.70892379187554e-19,5.69490983150982e-16
"ENSG00000120217",2.98734501595429,2.98813601416348,5.45648224579491,1.91881928706339e-18,2.73582512779088e-15
"ENSG00000173372",3.75633479550138,3.75726391964585,6.0111267667691,2.65277811511798e-18,3.53014026372466e-15
"ENSG00000162772",2.900551357519,2.90438444600409,3.10109405367452,1.71207954886812e-16,2.13592624218479e-13
"ENSG00000255221",3.30173613337561,3.30998178775363,2.40770588109789,1.18107453884191e-15,1.38678993351902e-12
"ENSG00000183347",3.19852634577995,3.21584388549345,1.25260341250144,2.03238956339644e-15,2.25380711527536e-12
"ENSG00000168899",2.68093169631305,2.6811363353336,7.08751866150818,2.91610013424736e-15,3.0635934094585e-12
"ENSG00000163568",2.60441396884396,2.60508785656881,5.28869361839238,5.54892375487497e-15,5.53810335355296e-12
"ENSG00000197272",2.55575063963867,2.56330293414276,1.77828402884813,9.89792074290378e-15,9.40820933090964e-12
"ENSG00000117228",2.32405944163061,2.32417865629537,7.48618659324937,1.46153626288733e-14,1.28432664045237e-11
"ENSG00000130489",2.29549350242066,2.29557419599748,8.01865220950175,1.47986136618428e-14,1.28432664045237e-11
"ENSG00000170439",4.5295013752113,4.55188219864148,2.23052431030598,1.76458492563183e-14,1.46761998752237e-11
"ENSG00000203666",2.52871714767879,2.53041937345099,3.87580106125479,1.87968090764525e-14,1.50081242390028e-11
"ENSG00000162512",2.49670099599588,2.49853495483271,3.7373332142899,2.26787145929243e-14,1.74111469995908e-11
"ENSG00000140105",2.17099982489576,2.17103419123307,9.11335716357422,4.24304121546105e-14,3.13686465562289e-11
"ENSG00000100342",2.07941566872594,2.07952494485792,7.34323252617929,5.88438418428697e-14,4.19493545366258e-11
"ENSG00000198019",2.30635778062117,2.30672330214271,5.8528406883257,9.54129604290029e-14,6.56737276939078e-11
"ENSG00000145685",2.06648583930364,2.06729992950132,4.43490931851699,1.69767660134887e-13,1.12957742131749e-10
"ENSG00000173239",3.77610544255106,5.4439901117852,-2.75129541465371,2.60275027525136e-13,1.67591929820298e-10
"ENSG00000162654",2.05456612877041,2.05471590680966,6.86043848589483,4.16441009468832e-13,2.5976809343773e-10
"ENSG00000156587",1.86781450327064,1.86784832096905,8.7938205794248,1.70706550058779e-12,1.03256771082524e-09
"ENSG00000152229",1.84914288228069,1.84934099500728,6.22258017465915,4.23009600819187e-12,2.48343960057405e-09
"ENSG00000174944",2.38177872484379,2.38330239070719,3.8782097759079,5.49599792008881e-12,3.13444612808265e-09
