"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",3673.60794329679,-0.929569985837404,0.102328736387903,0,1,1
"ENSG00000000005",454.277133719546,-5.00280782778295,0.219330988905878,-18.2500787861796,2.06611095978165e-74,5.78449393784839e-72
"ENSG00000000419",2050.05188608282,0.404827234192269,0.0550123743871243,0,1,1
"ENSG00000000457",1797.62798672038,0.509952917707391,0.0632177760328024,0,1,1
"ENSG00000000460",593.953982409982,1.3001951724645,0.0752076449497184,3.99155129329213,6.56424863881825e-05,0.00063307031345477
"ENSG00000000938",626.242354952097,-0.537132659690698,0.112783954732123,0,1,1
"ENSG00000000971",5785.20934883159,-1.00396366418787,0.129247697956673,-0.0306671936949849,0.975534954488875,1
"ENSG00000001036",3369.9892775122,0.295272295885825,0.0769689185441892,0,1,1
"ENSG00000001084",3194.66346486074,-0.141256441805931,0.0772286996818266,0,1,1
"ENSG00000001167",2909.76302585751,0.586546391189685,0.0526460848058384,0,1,1
"ENSG00000001460",687.421345260931,-0.0338596563005927,0.0515855393218235,0,1,1
"ENSG00000001461",3210.25484248516,-0.302663200871733,0.083461369472611,0,1,1
"ENSG00000001497",2742.39154973506,0.334586313651819,0.0471391685886552,0,1,1
"ENSG00000001561",2063.73090214086,-0.181372185091574,0.10174559321057,0,1,1
"ENSG00000001617",4145.88162475124,0.823098795802899,0.0881768561433124,0,1,1
"ENSG00000001626",87.4611086034103,-2.26103852363025,0.192703832285973,-6.54392031892164,5.99267349541094e-11,9.03621940730855e-10
"ENSG00000001629",4716.75859025427,0.406709845934653,0.0578907919215251,0,1,1
"ENSG00000001630",246.924914853103,0.553298806357771,0.0981520763442849,0,1,1
"ENSG00000001631",2323.04468071559,-0.0221112104786189,0.0528384722721751,0,1,1
"ENSG00000002016",544.640966496066,-0.271115552865476,0.066631263269079,0,1,1
"ENSG00000002330",1444.32332651101,0.227356538228539,0.0849826903895725,0,1,1
"ENSG00000002549",6965.40268617832,0.251935151309691,0.0680830962575764,0,1,1
"ENSG00000002586",10654.3687106247,0.0429318809363806,0.116607370850305,0,1,1
"ENSG00000002587",350.481785348079,-0.478493427725115,0.0916700540844786,0,1,1
"ENSG00000002726",123.108764057366,0.989709686418812,0.166995493744829,0,1,1
"ENSG00000002746",56.2875098077165,-0.696188271848492,0.139188944175201,0,1,1
"ENSG00000002822",1174.54646870887,0.202273189863772,0.0696532126679428,0,1,1
"ENSG00000002834",20977.8424478802,0.455773202216947,0.0865990003792688,0,1,1
"ENSG00000002919",1736.33042471665,0.0908212688041045,0.0662442068847713,0,1,1
"ENSG00000002933",2151.94268786452,-0.482137818193662,0.119973497422872,0,1,1
"ENSG00000003056",4565.33759350216,0.238123814326127,0.0517230355543909,0,1,1
"ENSG00000003096",1693.40286421506,-2.98540360039315,0.126692905047689,-15.6709927808966,2.38819687018053e-55,2.33321858806491e-53
"ENSG00000003137",894.76762358965,-2.05544928489648,0.160931454845723,-6.55837782556732,5.43962461265076e-11,8.21549746248816e-10
"ENSG00000003147",2647.56800310306,0.668171847926054,0.0709594268293142,0,1,1
"ENSG00000003249",1546.02748118184,1.70848272635445,0.118414755680955,5.98306116733723,2.18982483970123e-09,3.01812890103715e-08
"ENSG00000003393",1986.85548213765,0.0119111235788935,0.0446627412972843,0,1,1
"ENSG00000003400",959.351079686461,-0.751006314384644,0.102487509940934,0,1,1
"ENSG00000003402",8535.21904541901,-0.843533800883895,0.0718696478346229,0,1,1
"ENSG00000003436",2947.18099885151,-1.87089972297285,0.116927712587413,-7.44818917347575,9.4630068332532e-14,1.65739572528631e-12
"ENSG00000003509",713.289588946298,0.0312173764056339,0.0426056246948142,0,1,1
"ENSG00000003756",5558.6251265648,-0.511376557295971,0.0558478256423932,0,1,1
"ENSG00000003987",134.547957646203,-0.0429437078079041,0.115587680637307,0,1,1
"ENSG00000003989",11878.2529557716,0.16077772293636,0.193255563023936,0,1,1
"ENSG00000004059",6152.94835143355,0.504445275797389,0.0688720270209901,0,1,1
"ENSG00000004139",436.9477211397,-0.661667679027199,0.097485517607163,0,1,1
"ENSG00000004142",6661.20654985393,0.362478830611757,0.0697651887088685,0,1,1
"ENSG00000004399",10126.1268631836,-0.130843846028077,0.099184612166593,0,1,1
"ENSG00000004455",6531.98034613666,0.161107732716406,0.0431447862959598,0,1,1
"ENSG00000004468",344.678493820042,-0.642165491135584,0.171463075397558,0,1,1
"ENSG00000004478",16412.1290367549,1.39773829155294,0.0945289683062656,4.20758100590183,2.58118888234782e-05,0.000257816512540364
"ENSG00000004487",5508.68876686941,0.398379829624478,0.0449982233439643,0,1,1
"ENSG00000004534",4343.80201166858,-0.456104143818074,0.0563362693761389,0,1,1
"ENSG00000004660",672.019813926676,-0.156306749589315,0.0774636055042148,0,1,1
"ENSG00000004700",1926.65643546595,0.179397774947693,0.0663141621033767,0,1,1
"ENSG00000004766",2067.6007519375,0.0634160664308798,0.0645731482286149,0,1,1
"ENSG00000004776",7553.73206063464,-4.58293872617754,0.210251889620784,-17.0411725318608,4.06499444798832e-65,6.80813980851472e-63
"ENSG00000004777",554.344559080103,0.389705268387106,0.0972944978580252,0,1,1
"ENSG00000004779",2621.15778864759,0.629808998922635,0.0661216226908104,0,1,1
"ENSG00000004799",19126.6913148566,-3.54512496633083,0.160121569457956,-15.8949539087495,6.86789560491781e-57,7.11756827387007e-55
"ENSG00000004838",442.868999177291,1.85524491945282,0.160099576573708,5.3419561610088,9.19488947777164e-08,1.11998530405221e-06
"ENSG00000004846",181.215717333575,-4.02486343098865,0.183975653205376,-16.4416507200109,9.62608612333583e-61,1.22004137501036e-58
"ENSG00000004864",1560.01404743964,0.393373236042277,0.0624128187706164,0,1,1
"ENSG00000004866",1850.7536414499,0.10375445871962,0.0509009282213993,0,1,1
"ENSG00000004897",4871.23979407066,0.198648087549552,0.0594636678998642,0,1,1
"ENSG00000004948",56.7151398156829,-1.70696961401661,0.150244717735209,-4.70545403973915,2.53301568294826e-06,2.74332033376117e-05
"ENSG00000004961",1270.48643802457,0.345250435103603,0.0537806259535031,0,1,1
"ENSG00000004975",1731.50905885194,-0.210019968384755,0.0484933004453307,0,1,1
"ENSG00000005001",518.513306719662,1.35813206243494,0.179994399881028,1.98968447169278,0.0466257043200565,0.323807834741066
"ENSG00000005007",7324.33046214139,0.27592784052016,0.0524297485236778,0,1,1
"ENSG00000005020",3028.55199046033,-1.06073515783035,0.0825590646150519,-0.735657048847912,0.46193943474163,1
"ENSG00000005022",12522.1465454077,0.567405876599409,0.0702631512722274,0,1,1
"ENSG00000005059",1131.40752520284,0.601735111761969,0.086334654035545,0,1,1
"ENSG00000005073",46.7959918940198,0.657700250615435,0.173702854230871,0,1,1
"ENSG00000005075",1343.12257440532,0.507293791720974,0.0744312506083688,0,1,1
"ENSG00000005100",1690.30824379253,0.0261882112133708,0.0557527254394375,0,1,1
"ENSG00000005102",1138.32598666122,-3.61136368256548,0.202730554393825,-12.8809576354861,5.76161891784276e-38,2.80718045872453e-36
"ENSG00000005108",615.402946273551,-1.02225947557234,0.112339332352217,-0.198144987212053,0.842931627839971,1
"ENSG00000005156",2372.69688601411,0.884714928974356,0.0746841421619527,0,1,1
"ENSG00000005175",2065.95531788126,0.458542628409951,0.0528276429711923,0,1,1
"ENSG00000005187",520.877690331727,-1.60148789477686,0.146375141227852,-4.10922161872123,3.96994957112632e-05,0.000389478629995751
"ENSG00000005189",451.514104205053,0.436809324018344,0.0755710261813842,0,1,1
"ENSG00000005194",2127.45783353136,0.286245887530866,0.0559090210494905,0,1,1
"ENSG00000005206",1752.13369734759,0.0933845935998305,0.0643543439089392,0,1,1
"ENSG00000005238",1244.86046987234,0.0680318820231113,0.0749701140302781,0,1,1
"ENSG00000005243",1432.1307279502,-0.822935705343552,0.137307182884605,0,1,1
"ENSG00000005249",10737.0232293462,-1.79422219132367,0.157054186943455,-5.05699470215092,4.25915065796806e-07,4.94082548189022e-06
"ENSG00000005302",1755.58152862846,0.0175582922364261,0.0511692778801818,0,1,1
"ENSG00000005339",8766.34580878711,0.00870195601684535,0.0585060729750341,0,1,1
"ENSG00000005379",1246.61005897721,-0.901654978850097,0.12691118526284,0,1,1
"ENSG00000005436",1585.06404711398,-0.110500993850531,0.0535294127938277,0,1,1
"ENSG00000005448",578.311470105287,0.681044528179714,0.0849207168479519,0,1,1
"ENSG00000005469",1928.68495010844,0.247924366991463,0.11429820400723,0,1,1
"ENSG00000005471",113.460751563936,0.483546694805538,0.103269712249997,0,1,1
"ENSG00000005483",6968.42731711446,-0.141802480202991,0.0593463797492034,0,1,1
"ENSG00000005486",4787.41408036297,0.615158077821611,0.0672857930522475,0,1,1
"ENSG00000005513",282.780190719093,-2.45346311511677,0.158807362112273,-9.15236608545396,5.5699967610222e-20,1.32928752217881e-18
"ENSG00000005700",4903.32255736437,0.237549791228535,0.0567358133152488,0,1,1
"ENSG00000005801",1372.78999959645,0.0883487846304167,0.0573006013568181,0,1,1
"ENSG00000005810",8465.84442263722,-0.844422508452887,0.088790832259489,0,1,1
"ENSG00000005812",5303.61460627883,-0.344152144336282,0.0613343025314096,0,1,1
"ENSG00000005844",1334.81681552955,0.737880503634184,0.105874538940992,0,1,1
"ENSG00000005882",2326.36892626065,-0.710802061798561,0.108806454329602,0,1,1
"ENSG00000005884",6155.81906384504,-0.598297656172895,0.107285386222945,0,1,1
"ENSG00000005889",4070.38471754162,0.0312363549509233,0.0618942161208215,0,1,1
"ENSG00000005893",15402.2148852807,0.384696694863836,0.0527034677765028,0,1,1
"ENSG00000005961",45.3197570513225,-0.238807211618027,0.120668518062564,0,1,1
"ENSG00000006007",6020.11693419376,0.481174613571104,0.0589333807409877,0,1,1
"ENSG00000006015",715.055663054941,0.0478326235290288,0.0867510589819079,0,1,1
"ENSG00000006016",439.315147078027,-0.580944199619228,0.145278919972943,0,1,1
"ENSG00000006025",635.278187432664,-0.136541039906405,0.0840896505700834,0,1,1
"ENSG00000006042",3053.74140835336,-0.531714506700786,0.0981459799683814,0,1,1
"ENSG00000006047",436.740298896396,0.118735718355412,0.135642719937618,0,1,1
"ENSG00000006062",1235.00890655228,-0.542983057303925,0.0821078755289281,0,1,1
"ENSG00000006071",506.647812417775,0.062508649057625,0.227020869987367,0,1,1
"ENSG00000006118",2999.77591326245,1.79459738122134,0.118238512926589,6.72029241195445,1.81360238613526e-11,2.79996325589508e-10
"ENSG00000006125",21879.5716325316,0.416858665313941,0.0728424595381524,0,1,1
"ENSG00000006194",2346.68007856873,0.344682542560867,0.0577286694602026,0,1,1
"ENSG00000006210",11856.432313885,-3.08073400966799,0.120373822324166,-17.285602213948,6.03873623474228e-67,1.12153083456728e-64
"ENSG00000006282",3306.0673007828,0.1726531651437,0.0962695090550029,0,1,1
"ENSG00000006283",135.289096774703,-1.37553415109943,0.164188709514385,-2.28721056527052,0.0221835356367548,0.160601606126687
"ENSG00000006327",1945.58933256931,0.917172351642323,0.143088537912266,0,1,1
"ENSG00000006432",938.513405518472,0.567082247407657,0.148813578491175,0,1,1
"ENSG00000006451",4627.35796951047,0.347244529225288,0.0488459292923752,0,1,1
"ENSG00000006453",1757.74854996141,0.903973815615091,0.094808909593136,0,1,1
"ENSG00000006459",2947.43767096358,-0.1135254179095,0.0728522895445316,0,1,1
"ENSG00000006468",1300.10339890012,-0.858234609751403,0.102782053406464,0,1,1
"ENSG00000006530",1795.83087440694,0.263542522842342,0.043033432011191,0,1,1
"ENSG00000006534",859.591734988199,0.27112569054195,0.0953516357895745,0,1,1
"ENSG00000006555",606.789148740922,-0.0736877732928273,0.1888231330125,0,1,1
"ENSG00000006576",2065.02202656772,0.806773000495674,0.0733385574430604,0,1,1
"ENSG00000006607",2250.17682356881,0.375128321356867,0.0554062588153014,0,1,1
"ENSG00000006625",3419.47470722085,1.29580217682579,0.0751982336831182,3.93363197960586,8.36718619938375e-05,0.00079955006993398
"ENSG00000006634",672.785272025595,1.14121491587876,0.0746636052538076,1.89134874211766,0.0585778061374733,0.400292345182777
"ENSG00000006638",142.500969339409,0.389459125144457,0.107264004911383,0,1,1
"ENSG00000006652",2419.1795935488,-0.694099280827099,0.0853619981085745,0,1,1
"ENSG00000006695",936.94704196481,0.0057681344956068,0.057549223440762,0,1,1
"ENSG00000006704",1634.19728035266,1.01172928523463,0.0670732097945472,0.174872878017264,0.861179522067013,1
