"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000123500",7.65109349700607,6.80760620370591,1180.6381214114,9.84473345450463e-259,1.84667510139598e-254
"ENSG00000099953",6.14167894547495,7.5744939173331,919.870452581757,4.70191816941937e-202,4.40992905109842e-198
"ENSG00000119771",-2.87628662361754,3.90819435530577,771.644951574242,7.89038271453505e-170,4.93359329864162e-166
"ENSG00000137225",-2.9933601575544,2.0264203266149,671.433267860204,4.87430396349425e-148,2.28580484368063e-144
"ENSG00000154736",-3.04226342015768,6.02693684513549,667.552360541544,3.40326644981512e-147,1.27676944131264e-143
"ENSG00000179094",-2.15581647292105,6.60717083321078,649.471887893046,2.91048400609191e-143,9.09914316437869e-140
"ENSG00000136158",-2.59831813574174,5.25958638894791,646.460370321529,1.31496466524341e-142,3.52372959866226e-139
"ENSG00000122641",3.78851657395091,5.91606524088295,644.496307890823,3.51611868187807e-142,8.24441927933361e-139
"ENSG00000104415",4.02504790220407,3.93686883615297,614.459248191066,1.1991103691461e-135,2.49921247827139e-132
"ENSG00000117650",4.56870599463869,3.9318182225711,595.506547361005,1.58915703123552e-131,2.98094075919159e-128
"ENSG00000165197",-5.66958635131002,4.05967153632366,588.192930223884,6.19402529296626e-130,1.05625024041328e-126
"ENSG00000197576",-2.64585615535187,1.28467520803457,576.331713034854,2.3551150938086e-127,3.68143741080515e-124
"ENSG00000090889",4.06683142104022,4.06909966628566,574.593206238917,5.62571652882893e-127,8.11747620367485e-124
"ENSG00000165795",-2.70644029608541,7.845445870489,570.805985744301,3.74967250849851e-126,5.02402549388678e-123
"ENSG00000137070",-1.86295603126873,3.92859448360984,568.547714305916,1.1620600080758e-125,1.45319477543239e-122
"ENSG00000060718",6.17642472306449,7.27035590696141,562.99766600762,1.87296183393446e-124,2.11027126831513e-121
"ENSG00000163431",-2.7698009257089,6.40387904734367,562.955962878688,1.91249661804868e-124,2.11027126831513e-121
"ENSG00000166803",3.42685595057632,3.47903033690452,558.001724030232,2.28724467483142e-123,2.38356308947154e-120
"ENSG00000130226",-4.18676259485417,0.956604217521413,555.600168829666,7.61617584146518e-123,7.51916981232652e-120
"ENSG00000267532",-2.24271585651055,1.49960087019905,545.423338628585,1.24625649285916e-120,1.16886396465261e-117
"ENSG00000158402",3.55385390525145,1.79278908649242,541.690081477674,8.08648719354767e-120,7.22315841793177e-117
"ENSG00000088325",3.47660833552232,5.49433126702359,538.66808861656,3.67441052155343e-119,3.13293602560451e-116
"ENSG00000077152",3.0226928940482,3.67428333170221,538.365499194412,4.27578342021723e-119,3.4871802346276e-116
"ENSG00000241684",-3.38816906125749,1.5527302829865,535.952921371984,1.43176587699756e-118,1.11904434669668e-115
"ENSG00000152253",2.86929608271465,2.14807276662766,533.580580855878,4.69871333028724e-118,3.52553858598113e-115
"ENSG00000167641",-3.39702738379148,3.32808752613386,532.786218777217,6.99511400918242e-118,5.04670571477861e-115
"ENSG00000149090",-3.79355902707382,5.2386515903683,525.215486927003,3.10351908009528e-116,2.15614114460842e-113
"ENSG00000143228",3.64491060103577,3.31279431701099,523.876148135458,6.07072413006495e-116,4.06695154399137e-113
"ENSG00000230018",-2.95757104827852,0.797041068675531,523.458667602756,7.48286144621097e-116,4.84012120717329e-113
"ENSG00000165072",-3.12673982449164,4.71612775742847,522.337857302533,1.31193479578323e-115,8.20309096643395e-113
"ENSG00000249669",-4.23320413902255,4.07812107597868,520.290194628718,3.6593693016415e-115,2.21427256000617e-112
"ENSG00000134690",2.7970824855941,3.76787869645823,519.825439845041,4.6187002313178e-115,2.7074243418456e-112
"ENSG00000025423",3.2843271297881,1.94020442549085,518.088134872762,1.10279534495983e-114,6.26855608507771e-112
"ENSG00000108924",-3.50615558860573,5.03547880857646,516.868518372004,2.03161357461288e-114,1.12085315978201e-111
"ENSG00000143476",3.18718262719012,4.26361834385412,516.197796156082,2.84293853764141e-114,1.52365260254507e-111
"ENSG00000105011",3.03700367754942,3.97609268352309,515.219398200532,4.64124265403145e-114,2.4183452695645e-111
"ENSG00000119147",-4.94662764680624,4.05618488698161,515.057337454807,5.03377001846093e-114,2.55198535152136e-111
"ENSG00000117724",3.36198970053407,6.17298212542052,513.749064820478,9.69463143833329e-114,4.78557622421726e-111
"ENSG00000269936",-3.7153153435032,4.92736798061078,506.698923721728,3.31465913366923e-112,1.5573760652349e-109
"ENSG00000123975",2.45516735398346,4.21556472335927,506.69511774622,3.32098531876512e-112,1.5573760652349e-109
"ENSG00000198947",-3.25064407331232,6.21854096189178,504.548230361107,9.73589839016715e-112,4.45429224396964e-109
"ENSG00000169241",1.84755657383042,6.0265067184742,503.063455200913,2.0484638559248e-111,9.14882976415174e-109
"ENSG00000170312",3.06964578350644,4.81176774176926,502.612183003682,2.56811773166498e-111,1.12029656768771e-108
"ENSG00000186871",3.07013285138082,2.27717199289898,500.388573811534,7.82392253959438e-111,3.33548043176617e-108
"ENSG00000122952",2.5091064854826,4.68144794090964,497.97142059618,2.62633429799844e-110,1.09477286137455e-107
"ENSG00000127564",3.87036241212725,3.16150946403177,497.427663276,3.44874993692146e-110,1.4063402460168e-107
"ENSG00000169679",3.42590724658782,4.08878372163568,494.936927280414,1.20116824652657e-109,4.79393914220116e-107
"ENSG00000168497",-4.2057554210643,6.27192469426144,489.427012810693,1.89883727855967e-108,7.4204978481713e-106
"ENSG00000109674",3.59842857007723,1.07380506676457,488.515104812393,2.99853681229391e-108,1.14788884744917e-105
