"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000123500",7.65109349700607,7.65693915228175,6.80760620370591,1.14629955996631e-211,2.15022871458481e-207
"ENSG00000099953",6.14167894547495,6.14278715953124,7.5744939173331,8.34445848978655e-154,7.8262676175708e-150
"ENSG00000165197",-5.66958635131002,-5.67901094825626,4.05967153632366,9.34509585114252e-96,5.84317693252438e-92
"ENSG00000060718",6.17642472306449,6.17841214509403,7.27035590696141,3.47787653809397e-95,1.63095020253917e-91
"ENSG00000117650",4.56870599463869,4.57360557457594,3.9318182225711,8.60957438514919e-88,3.22996792633257e-84
"ENSG00000122641",3.78851657395091,3.78902395720373,5.91606524088295,1.14212755648506e-84,3.5706714507578e-81
"ENSG00000104415",4.02504790220407,4.02771787467288,3.93686883615297,3.75201182015975e-84,1.0054319674651e-80
"ENSG00000119771",-2.87628662361754,-2.87727465867814,3.90819435530577,1.5722077535503e-79,3.68643413013705e-76
"ENSG00000090889",4.06683142104022,4.06971922989067,4.06909966628566,3.20230658348247e-79,6.67431854366269e-76
"ENSG00000119147",-4.94662764680624,-4.95438403949719,4.05618488698161,4.20056146103731e-79,7.87941318861378e-76
"ENSG00000130226",-4.18676259485417,-4.21290826899938,0.956604217521413,8.82112374076305e-78,1.50424217390212e-74
"ENSG00000249669",-4.23320413902255,-4.23649671736983,4.07812107597868,1.4268961727034e-74,2.2304765339642e-71
"ENSG00000154736",-3.04226342015768,-3.0425353406378,6.02693684513549,3.91543017887342e-73,5.6496645611775e-70
"ENSG00000137225",-2.9933601575544,-2.9974245955552,2.0264203266149,2.17676981090314e-72,2.91656057949436e-69
"ENSG00000081041",-4.57220201717535,-4.57831636468883,3.85592609950015,5.05846385980125e-70,6.32577767214346e-67
"ENSG00000149090",-3.79355902707382,-3.79446648659791,5.2386515903683,3.68475867961784e-69,4.31991895701697e-66
"ENSG00000168497",-4.2057554210643,-4.20649043500488,6.27192469426144,5.28208393255525e-69,5.82831355334538e-66
"ENSG00000166803",3.42685595057632,3.4292686050995,3.47903033690452,4.22825650241423e-68,4.40631308179367e-65
