"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000123500",7.63166684106012,7.6373126365526,6.80760620370591,3.95705444755576e-55,7.4226427327251e-51
"ENSG00000099953",6.13948295813416,6.14058618972185,7.5744939173331,2.92422083308102e-48,2.74262671934669e-44
"ENSG00000165197",-5.61383856166258,-5.62239882469446,4.05967153632366,2.17226915938513e-38,1.35824749639155e-34
"ENSG00000119771",-2.8778854665102,-2.8788774869702,3.90819435530577,3.48330008051591e-37,1.11814042551718e-33
"ENSG00000117650",4.55685973305679,4.56154633352801,3.9318182225711,3.76494412058322e-37,1.11814042551718e-33
"ENSG00000060718",6.16682025497418,6.16875888243568,7.27035590696141,3.92254468705888e-37,1.11814042551718e-33
"ENSG00000122641",3.78755366374341,3.78805989833166,5.91606524088295,4.17261060807138e-37,1.11814042551718e-33
"ENSG00000104415",4.02056020761938,4.02320207880556,3.93686883615297,7.68270672494241e-37,1.80140265933087e-33
"ENSG00000090889",4.06230190347855,4.06513640036953,4.06909966628566,1.65047848217295e-35,3.43996392984446e-32
"ENSG00000154736",-3.04174182165023,-3.04201334587723,6.02693684513549,5.01671168416661e-35,8.83935644096965e-32
"ENSG00000119147",-4.89014754094908,-4.89692132862751,4.05618488698161,5.18354413320536e-35,8.83935644096965e-32
"ENSG00000130226",-4.16622167455821,-4.19124413945796,0.956604217521413,6.85838823448324e-35,1.0720803875203e-31
"ENSG00000137225",-3.00430155261839,-3.0084756566135,2.0264203266149,1.07761088047198e-34,1.55490960737642e-31
"ENSG00000249669",-4.22272141372519,-4.22593782705609,4.07812107597868,6.35445050445769e-34,8.51405589732982e-31
"ENSG00000166803",3.4254181098731,3.42781909213563,3.47903033690452,4.26626291979889e-33,5.33510398997251e-30
"ENSG00000158402",3.55402712214717,3.56311840111273,1.79278908649242,4.59764258985103e-33,5.3901612312766e-30
"ENSG00000149090",-3.78816242236467,-3.78905948773908,5.2386515903683,6.23195787827335e-33,6.87641564003833e-30
"ENSG00000143228",3.64367839645408,3.64698250082653,3.31279431701099,1.19555897556758e-32,1.24590529242759e-29
"ENSG00000088325",3.47624297881735,3.47683796724507,5.49433126702359,1.37835833813647e-32,1.36080240561916e-29
"ENSG00000241684",-3.39119339425101,-3.40045060894649,1.5527302829865,1.61699109028477e-32,1.51657594357808e-29
"ENSG00000081041",-4.54545354794542,-4.55117626275495,3.85592609950015,2.17538758146759e-32,1.94313905967472e-29
"ENSG00000168497",-4.19970662354634,-4.20043177055954,6.27192469426144,2.87271060276755e-32,2.44937752212335e-29
"ENSG00000127564",3.86455171041539,3.86963467723922,3.16150946403177,3.2858542469145e-32,2.67982843320096e-29
"ENSG00000269936",-3.71052698354422,-3.71162166427821,4.92736798061078,3.65126706713117e-32,2.8537694852186e-29
"ENSG00000108924",-3.50024191550693,-3.50120038253669,5.03547880857646,7.80059094779668e-32,5.8529393999508e-29
"ENSG00000167641",-3.39413454651552,-3.39660132146591,3.32808752613386,8.53640287171844e-32,6.15868634875748e-29
"ENSG00000136158",-2.59828666934388,-2.5985938848539,5.25958638894791,1.02368603267108e-31,7.11196392623854e-29
"ENSG00000025423",3.28530111686359,3.29056426510699,1.94020442549085,2.35898818086687e-31,1.58035358202503e-28
"ENSG00000117724",3.36135288645439,3.36170599032458,6.17298212542052,3.05159756268652e-31,1.97385748554737e-28
"ENSG00000145777",-4.04830262032301,-4.06513574257893,1.28155923144459,3.41313104765047e-31,2.13411707306092e-28
"ENSG00000182253",-3.99190199835294,-3.99206583518803,8.09762586045679,4.84500012651328e-31,2.93169394752052e-28
"ENSG00000165474",4.33880895323621,4.34112426354207,4.75703797274143,5.10968302924944e-31,2.99523232070815e-28
"ENSG00000109674",3.59371204869974,3.61007165271387,1.07380506676457,5.96000090518238e-31,3.38780899937609e-28
"ENSG00000077152",3.02265327728917,3.02397868981431,3.67428333170221,7.13365880971776e-31,3.93568152802017e-28
"ENSG00000169679",3.4246946830758,3.42626813220801,4.08878372163568,7.68235993925504e-31,4.11730593544417e-28
"ENSG00000112984",3.62060013321363,3.62256092427444,4.10871968127836,1.04621074200489e-30,5.27088141762271e-28
"ENSG00000143476",3.18607937600045,3.18724241617653,4.26361834385412,1.05613531538076e-30,5.27088141762271e-28
"ENSG00000169607",3.59143344980502,3.59545399819949,2.98993883773481,1.06777638271491e-30,5.27088141762271e-28
"ENSG00000165072",-3.12389281437397,-3.1246831687674,4.71612775742847,1.31318982266622e-30,6.31610633168539e-28
"ENSG00000171848",3.75676822015366,3.75798155961692,5.26345839921776,1.58731933599192e-30,7.40229987333365e-28
"ENSG00000198947",-3.24936335192841,-3.24967530997863,6.21854096189178,1.65017263591879e-30,7.40229987333365e-28
"ENSG00000148053",-3.87603724554464,-3.87621097682719,7.90093299588445,1.65740801087543e-30,7.40229987333365e-28
"ENSG00000172318",-3.70871881234651,-3.73065292441304,0.908585184906803,1.95837368581363e-30,8.54306362755628e-28
"ENSG00000174371",3.53839678911597,3.54228927882584,3.13210271712972,2.16235348537819e-30,9.2185060633464e-28
"ENSG00000261039",3.73427602575701,3.75464849609114,0.922924343079241,2.56248692008407e-30,1.0681584365986e-27
"ENSG00000175063",4.02057358656195,4.02348994667065,4.2682867530904,2.94568368599199e-30,1.17679691943564e-27
"ENSG00000183856",3.71149184514317,3.71311851504957,4.52987852111277,2.99872624788322e-30,1.17679691943564e-27
"ENSG00000163431",-2.76940145667169,-2.76957392228551,6.40387904734367,3.01131528589992e-30,1.17679691943564e-27
"ENSG00000123485",3.53332461922673,3.53693957299004,3.1146818116377,3.25964898406876e-30,1.24784684986045e-27
"ENSG00000165795",-2.70640550104101,-2.70646620523665,7.845445870489,3.46321315432648e-30,1.29925904697712e-27
"ENSG00000126787",3.56157354876093,3.56473859418089,3.41111074471462,3.89055782475744e-30,1.43096242503529e-27
"ENSG00000105011",3.03669326159612,3.03792946027148,3.97609268352309,4.61556518042637e-30,1.66497637796996e-27
"ENSG00000172987",-4.37187978075973,-4.38758100392717,2.4004137024871,5.40105665908981e-30,1.88536725503174e-27
"ENSG00000197576",-2.66057033986411,-2.66587435545722,1.28467520803457,5.42754194326229e-30,1.88536725503174e-27
"ENSG00000138180",3.47926518329742,3.48130645599648,3.85636346381264,5.78874755608489e-30,1.97427866649164e-27
"ENSG00000131747",3.75355667740333,3.754008328103,6.7894180856837,6.7464513940202e-30,2.25982027230412e-27
