"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000054598",-4.47113420667884,6.24775653881265,353.446168719312,7.5283168501214e-79,1.36925026870008e-74
"ENSG00000110171",2.16675070803389,4.77206996683222,222.249945474599,2.92162313562433e-50,2.65692407953677e-46
"ENSG00000114547",-5.5727706604935,3.39718078504912,217.937705412752,2.54819146518685e-49,1.54488354562728e-45
"ENSG00000213064",-1.74639806743757,7.38023271704197,216.352206854927,5.65053979950901e-49,2.56930044683674e-45
"ENSG00000154548",-3.57532477101948,1.83608159327682,209.246288562589,2.00588325451672e-47,7.29660092663002e-44
"ENSG00000100219",2.66548639687255,10.0412044581711,205.949795007331,1.05086247568341e-46,3.18551445128831e-43
"ENSG00000148396",1.57028187201714,8.12596060112245,202.973030936755,4.68892522120628e-46,1.21831674176143e-42
"ENSG00000228649",-3.37823446556951,1.77954170124304,202.370185335851,6.34774171426571e-46,1.44315907873831e-42
"ENSG00000115648",3.52355372935115,7.09485067449513,201.260211376519,1.10874016334681e-45,2.24064067677242e-42
"ENSG00000182175",-3.40956336629177,5.12844574997782,200.438401081805,1.67557348928641e-45,3.04753306231413e-42
"ENSG00000121270",6.65314555146311,6.85691300758759,200.193288223729,1.8951874881633e-45,3.1336063667922e-42
"ENSG00000113719",1.6906996252635,8.3301575322539,193.763121835422,4.796937231539e-44,7.27055786393594e-41
"ENSG00000109586",2.58608125931864,6.83981163401341,188.273104634208,7.57327684760828e-43,1.05955968695615e-39
"ENSG00000115112",-4.33653396186266,5.98677571130127,184.1224487097,6.10066854087871e-42,7.92563995867871e-39
"ENSG00000245750",3.97742824130247,2.2150739764829,182.114019990664,1.67439737775943e-41,2.03026263377924e-38
"ENSG00000161395",3.64829252266642,7.77430634173319,181.02856644221,2.88965498366166e-41,3.28481530267739e-38
"ENSG00000172057",3.45494793104658,8.53515502065719,177.970572337212,1.3444365612326e-40,1.43838895151167e-37
"ENSG00000163683",1.9322577639869,7.47342190952798,174.124704169253,9.29718453296461e-40,9.39428846030891e-37
"ENSG00000183569",5.06263028493559,5.16551076842425,173.304579221219,1.40427776821868e-39,1.34426337096639e-36
"ENSG00000182902",3.24560811363536,1.76089162378605,171.079204443675,4.29993343272931e-39,3.91035946372403e-36
"ENSG00000141744",7.08334664886249,4.81320865636105,169.489570277562,9.56423830670517e-39,8.28354125344541e-36
"ENSG00000183323",1.73728573090666,4.89242771033435,168.26819060769,1.76775477825393e-38,1.46145108667648e-35
"ENSG00000214530",2.19530732163755,7.03056896035542,166.664517575598,3.96013971039322e-38,3.13160961098399e-35
"ENSG00000172159",-3.54980910498444,4.05463126334353,165.934198380972,5.717942599866e-38,4.33324750026511e-35
"ENSG00000185634",-4.32853796298237,3.85623456422294,165.761231087287,6.23767838556575e-38,4.5380357790668e-35
"ENSG00000064787",5.07413252909101,5.12971589450292,164.929385140658,9.47841371946827e-38,6.63051495114188e-35
"ENSG00000151715",4.12445607308647,4.80202815320491,164.399452303959,1.23737036379625e-37,8.3352933987875e-35
"ENSG00000141736",4.12186093412357,11.2787520187073,164.046670249007,1.4776321025872e-37,9.59827595780569e-35
"ENSG00000153551",-2.36249499043136,4.97873511883898,163.165913277002,2.30131137309637e-37,1.44331900875437e-34
"ENSG00000223813",3.30422174826058,-0.069819165239739,162.716350365806,2.88528496319316e-37,1.74925209701857e-34
"ENSG00000131748",2.97594822043975,7.6137644403319,162.549869270533,3.13732315520162e-37,1.84069785634862e-34
"ENSG00000169083",4.06846018373252,7.20043642612506,160.661420278712,8.11218375450559e-37,4.61076244146711e-34
"ENSG00000176532",3.65930029442026,4.42451744960379,160.570632267173,8.49128475430171e-37,4.67998445791635e-34
"ENSG00000110169",4.32179355400426,3.94775336697285,160.454832466163,9.00064798206075e-37,4.81481722052121e-34
"ENSG00000150667",3.97943346421776,1.81330884252725,159.762382386573,1.27516139643334e-36,6.62646727952274e-34
"ENSG00000047346",1.70404129426244,5.50874342044992,155.782256816022,9.44603091817282e-36,4.77234473165909e-33
"ENSG00000095321",3.07370348665108,7.1584786264153,153.784647094651,2.58102500379645e-35,1.26874818294729e-32
"ENSG00000157613",2.71906005128062,6.40863172523115,152.575224825537,4.74359621230894e-35,2.27043494498618e-32
"ENSG00000168306",4.09620425103514,4.44509978983245,150.914841236435,1.09395921364619e-34,5.10177696866588e-32
"ENSG00000177359",-6.39208672516123,4.19085450442133,148.613861998585,3.48293685899105e-34,1.58369138978323e-31
"ENSG00000235584",6.1088506595807,1.23629144762889,148.228934877993,4.22753570854843e-34,1.8753760845629e-31
"ENSG00000092068",2.53943840409419,6.36144548967982,148.11324126896,4.4810229540262e-34,1.93884747315754e-31
"ENSG00000129514",3.98486975776948,7.4346019991656,148.068180704731,4.58381577665353e-34,1.93884747315754e-31
"ENSG00000151117",2.8843812683981,5.60075299244626,147.991294759527,4.76468326964926e-34,1.9695468024632e-31
"ENSG00000164626",-3.19787215477014,5.18396550014202,147.711230792234,5.48599106430789e-34,2.21731567728071e-31
"ENSG00000140511",-2.47154437627568,5.56429839072822,146.8361274279,8.52225880202067e-34,3.36962702372069e-31
"ENSG00000072858",3.13574396736983,5.09179880205746,146.145051622091,1.20678747880281e-33,4.67001077967353e-31
"ENSG00000287906",2.98928589399633,2.95074098950844,146.009160935878,1.29222581376271e-33,4.89645897931588e-31
"ENSG00000117472",4.24505392425558,6.36388241327735,145.772120722176,1.45599263612909e-33,5.40440695222775e-31
"ENSG00000154655",-3.07852293717129,3.20118372761097,145.208105929096,1.93403374350125e-33,7.03524114536013e-31
"ENSG00000041353",2.34552556466762,5.67396340668525,143.509194810939,4.54882507276249e-33,1.62223589065498e-30
"ENSG00000259793",3.98355789898146,-0.76153416067133,141.129057117447,1.50772411585653e-32,5.27355504215356e-30
"ENSG00000141738",3.31788274025749,7.46518126628253,140.470344572408,2.10068747493991e-32,7.18089062681723e-30
"ENSG00000196739",-2.53343546122058,5.30319656393043,140.440959555175,2.13199963628838e-32,7.18089062681723e-30
"ENSG00000287262",4.12197962024602,2.91935395044909,140.350670185673,2.23116115620535e-32,7.37824711073869e-30
"ENSG00000231367",-4.17469558438501,2.75017742147989,139.393029281784,3.61365095602883e-32,1.17366220693308e-29
"ENSG00000228613",4.03499170845997,0.474122327357883,139.094734608048,4.19931831802041e-32,1.33995090470448e-29
"ENSG00000141741",3.15898419635668,7.3367599273267,138.495422424895,5.67861428014642e-32,1.78073511253971e-29
"ENSG00000120162",-2.11073746134208,4.11370029814289,138.443931359289,5.82777981266174e-32,1.79653659716427e-29
"ENSG00000164237",2.86490715719674,5.94657617497114,138.205928981659,6.56981442156909e-32,1.99152974499164e-29
"ENSG00000100596",1.58093061035826,7.3934123389337,137.719128135507,8.39490996307047e-32,2.50305938374305e-29
"ENSG00000183888",7.33805410058681,1.81660586780265,137.4897115005,9.42302153333548e-32,2.76428896206945e-29
"ENSG00000139629",2.43616533062366,7.40652574302453,137.329904108131,1.0212707912508e-31,2.94839256369357e-29
"ENSG00000057593",4.1865363646546,1.59458494187502,137.048863900364,1.17653972324722e-31,3.3435788260032e-29
"ENSG00000133328",4.29171151977561,2.63354065972121,136.745720497203,1.37058954592354e-31,3.78710956348952e-29
"ENSG00000185133",2.92956150190936,4.17453652712271,136.740419277061,1.37425352534808e-31,3.78710956348952e-29
"ENSG00000214376",-3.30862225193662,1.16846790717521,136.652036961449,1.43680308430338e-31,3.90038425332983e-29
"ENSG00000185904",-3.45097853625642,2.59799391784349,136.308477459031,1.70820165938516e-31,4.56893702660254e-29
"ENSG00000197496",2.6181285578264,6.69653372762459,135.863114728582,2.13771102776755e-31,5.63488234391828e-29
"ENSG00000222014",3.71323573214684,-0.79282226857709,134.747620497176,3.74921364382885e-31,9.7415282505656e-29
"ENSG00000143578",2.04636319552691,6.84881249462579,133.407944920247,7.36182566514387e-31,1.88587162250193e-28
"ENSG00000170935",4.11561040627855,-0.886170026419362,133.320169124229,7.69461071029535e-31,1.94374416109516e-28
"ENSG00000133069",-2.98895340224346,3.13253873197047,132.877627726633,9.61600827720033e-31,2.3958350485715e-28
"ENSG00000137842",1.68403532019931,4.94239508552972,131.942637006306,1.54005597142903e-30,3.78520783896638e-28
"ENSG00000046653",-2.07164155965872,4.61788985026867,131.566197241651,1.86161856328323e-30,4.51454912386605e-28
"ENSG00000141384",-2.01944882292828,3.88207923545045,131.19477192424,2.24465485517013e-30,5.37181348760979e-28
"ENSG00000101311",-3.95757322691561,3.70814577201537,131.102075041116,2.35195858476611e-30,5.55550944671767e-28
"ENSG00000164303",-2.93943222395042,0.448767328831823,131.050234094006,2.41418978451397e-30,5.62939535906925e-28
"ENSG00000230882",3.65433807790243,2.76441178391196,130.870023130999,2.64361455254511e-30,6.08633689641651e-28
"ENSG00000134240",7.8558885679396,6.03676570510055,130.686424736362,2.89978885666609e-30,6.59266996563035e-28
"ENSG00000179593",5.9996259737788,7.35266142898906,130.111799168811,3.87335664360891e-30,8.69735933752579e-28
"ENSG00000148468",-2.55106274237053,5.63844489730651,129.797622523404,4.53761104236616e-30,1.00646426388483e-27
"ENSG00000160307",-4.21404684040382,3.9034299565441,128.528352595527,8.60097718278628e-30,1.88475389157249e-27
"ENSG00000158186",-1.72429016005148,5.83838075032307,128.189495208365,1.02022131148393e-29,2.20902204919877e-27
"ENSG00000078018",-2.5379533733848,4.54311861520219,127.97753690866,1.13520551525265e-29,2.42907269546061e-27
"ENSG00000124713",3.85525018697827,2.19603947930885,127.764240221126,1.26400280939503e-29,2.67321896479964e-27
"ENSG00000114654",3.30136077822806,2.18964891042097,126.7754697484,2.08026344232899e-29,4.34894614817008e-27
"ENSG00000146281",-2.44541660718693,4.48786519910383,126.149336111984,2.85193938403199e-29,5.89444017236067e-27
"ENSG00000225362",5.1995347943672,1.25749402991563,125.436430806023,4.08467512367198e-29,8.34742372464562e-27
"ENSG00000077274",-5.93032520694175,5.49267605126639,125.074223016197,4.9026199886625e-29,9.90765026153262e-27
"ENSG00000166743",6.91013705922905,5.49171041401623,123.846898949627,9.10010703343057e-29,1.81882139257181e-26
"ENSG00000172425",4.03144964589029,0.111576971709213,123.590739096347,1.03541277407904e-28,2.04696603640757e-26
"ENSG00000268355",2.55701742617536,-0.767216192763729,123.088574035696,1.33360613075517e-28,2.60813207593279e-26
"ENSG00000182253",-3.17749144542763,6.60190251484685,122.517123797854,1.7787342815535e-28,3.4416616077548e-26
"ENSG00000117266",-2.07154947451212,4.52105621943102,121.198389413816,3.45766969848978e-28,6.61979962906653e-26
"ENSG00000109436",2.27326692246698,6.88185961343304,121.080813329338,3.66878483069046e-28,6.95081859381231e-26
