"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000054598",-4.47113420667884,-4.47164645212627,6.24775653881265,1.41713044788898e-52,2.57747685862048e-48
"ENSG00000121270",6.65314555146311,6.65447856091661,6.85691300758759,6.55309849877578e-38,4.85396246038056e-34
"ENSG00000114547",-5.5727706604935,-5.58019870456779,3.39718078504912,8.00631591221777e-38,4.85396246038056e-34
"ENSG00000141744",7.08334664886249,7.09124357390604,4.81320865636105,6.97777775241276e-33,3.17279554402208e-29
"ENSG00000183569",5.06263028493559,5.06392022931133,5.16551076842425,5.71474170435002e-30,2.07879444237436e-26
"ENSG00000064787",5.07413252909101,5.07549087212673,5.12971589450292,1.19463155544767e-28,3.62132645508038e-25
"ENSG00000115112",-4.33653396186266,-4.33706168236758,5.98677571130127,1.88748072059784e-28,4.90421419231908e-25
"ENSG00000154548",-3.57532477101948,-3.58105614650802,1.83608159327682,6.31716696661631e-28,1.39263163385032e-24
"ENSG00000177359",-6.39208672516123,-6.40147237598954,4.19085450442133,6.89118358514016e-28,1.39263163385032e-24
"ENSG00000235584",6.1088506595807,6.15383767205487,1.23629144762889,9.69274183927593e-28,1.69564517526615e-24
"ENSG00000115648",3.52355372935115,3.5236740350804,7.09485067449513,1.02551665537319e-27,1.69564517526615e-24
"ENSG00000183888",7.33805410058681,7.41279296015084,1.81660586780265,1.63930102676374e-27,2.48463392289824e-24
"ENSG00000245750",3.97742824130247,3.98297937611445,2.2150739764829,1.80109190942434e-27,2.51986612681615e-24
"ENSG00000134240",7.8558885679396,7.86213571281206,6.03676570510055,7.97415176225569e-27,1.03595623037076e-23
"ENSG00000228649",-3.37823446556951,-3.38276291492326,1.77954170124304,2.19270999409232e-26,2.65873395817007e-23
"ENSG00000182175",-3.40956336629177,-3.41001654163779,5.12844574997782,2.92576874465515e-26,3.32586762048674e-23
"ENSG00000185634",-4.32853796298237,-4.33069730085975,3.85623456422294,3.13514478426304e-26,3.3542360785986e-23
"ENSG00000110169",4.32179355400426,4.32378323063188,3.94775336697285,6.73357896391306e-26,6.80390745531393e-23
"ENSG00000161395",3.64829252266642,3.64838147702113,7.77430634173319,7.33739222789839e-26,7.02381525479031e-23
"ENSG00000151715",4.12445607308647,4.12538907352179,4.80202815320491,1.01806460693294e-25,9.25827953544812e-23
"ENSG00000141736",4.12186093412357,4.12187365883061,11.2787520187073,1.36009086348631e-25,1.17796822024233e-22
"ENSG00000169083",4.06846018373252,4.06863382093114,7.20043642612506,7.17094975865252e-25,5.92841973683509e-22
"ENSG00000179593",5.9996259737788,6.00017928257227,7.35266142898906,7.67343085257591e-25,6.06801566724568e-22
"ENSG00000150667",3.97943346421776,3.9860292221664,1.81330884252725,1.5118660171072e-24,1.14574246329774e-21
"ENSG00000166743",6.91013705922905,6.91460069448446,5.49171041401623,1.81335633508274e-24,1.30965988936716e-21
"ENSG00000172057",3.45494793104658,3.45498862719401,8.53515502065719,1.8721771015805e-24,1.30965988936716e-21
