"","logFC","logCPM","F","PValue","FDR"
"ENSG00000054598",-4.47070446997474,6.24775653881265,330.282492138907,4.23331920227692e-36,7.69956096510126e-32
"ENSG00000110171",2.16663472884885,4.77206996683222,219.399485492263,9.2902313882213e-29,6.00947029766721e-25
"ENSG00000213064",-1.74642782696324,7.38023271704197,219.032299451957,9.91225582417068e-29,6.00947029766721e-25
"ENSG00000148396",1.57028172164572,8.12596060112245,206.129857549012,1.01217563275354e-27,4.60236260213037e-24
"ENSG00000100219",2.66548656473281,10.0412044581711,194.618972961508,8.71322652204366e-27,2.87959399829821e-23
"ENSG00000113719",1.69068222366653,8.3301575322539,194.165714866498,9.49943038805216e-27,2.87959399829821e-23
"ENSG00000154548",-3.57846916402878,1.83608159327682,192.240577323875,1.37297962089448e-26,3.44474622941448e-23
"ENSG00000114547",-5.56688917946055,3.39718078504912,191.727544338534,1.51517318206047e-26,3.44474622941448e-23
"ENSG00000228649",-3.3794584763323,1.77954170124304,189.881472198692,2.16300276665646e-26,4.37118825777196e-23
"ENSG00000182175",-3.40928495399958,5.12844574997782,184.786706796794,5.84240454578181e-26,1.0626165387868e-22
"ENSG00000115648",3.523729331508,7.09485067449513,181.638605147259,1.08869687678148e-25,1.8001107995365e-22
"ENSG00000109586",2.58610295443053,6.83981163401341,178.131543868716,2.19497756105574e-25,3.32685432337348e-22
"ENSG00000163683",1.93225136138494,7.47342190952798,170.758424422449,9.8551166440268e-25,1.37880662708892e-21
"ENSG00000183323",1.73720795086395,4.89242771033435,167.342272927309,2.00245059185136e-24,2.60146938318518e-21
"ENSG00000121270",6.65587370542708,6.85691300758759,164.376346842804,3.73171284740792e-24,4.52482621791035e-21
"ENSG00000245750",3.9764808233245,2.2150739764829,162.762206261493,5.25100762376743e-24,5.96908291631762e-21
"ENSG00000115112",-4.33562412629662,5.98677571130127,162.293908593423,5.8001405577736e-24,6.20546802734037e-21
"ENSG00000161395",3.64816323540419,7.77430634173319,160.913569004424,7.78369067529235e-24,7.86498700012318e-21
"ENSG00000214530",2.1953097382685,7.03056896035542,159.585563893631,1.03440782760215e-23,9.90200503601473e-21
"ENSG00000172057",3.45497529016362,8.53515502065719,159.091925448646,1.15014517904703e-23,1.04594202582537e-20
"ENSG00000182902",3.24546259275025,1.76089162378605,157.631028331974,1.57598977297763e-23,1.36495723766272e-20
"ENSG00000153551",-2.3624895341919,4.97873511883898,155.89390202443,2.29707329726854e-23,1.89905314230546e-20
"ENSG00000047346",1.70398620387343,5.50874342044992,154.27960879226,3.26713356709099e-23,2.58359240514134e-20
"ENSG00000183888",7.32897678303742,1.81660586780265,152.716319358773,4.60467621907354e-23,3.48957712802123e-20
"ENSG00000172159",-3.54923750836656,4.05463126334353,149.015289200202,1.04595933971512e-22,7.60956338829541e-20
"ENSG00000131748",2.97581087831359,7.6137644403319,147.639613624444,1.42307827737214e-22,9.9549798880171e-20
"ENSG00000223813",3.3042228313373,-0.069819165239739,146.523332901976,1.8291286269085e-22,1.23215523948933e-19
"ENSG00000141744",7.08759799296015,4.81320865636105,145.965141668669,2.0745844351725e-22,1.31633691226695e-19
"ENSG00000235584",6.08983774634177,1.23629144762889,145.91366629395,2.0988437681846e-22,1.31633691226695e-19
"ENSG00000183569",5.0652360365657,5.16551076842425,143.76379086192,3.41778100794766e-22,2.07208669908507e-19
"ENSG00000185634",-4.32694466735988,3.85623456422294,143.601078778179,3.54685018397479e-22,2.08097132729463e-19
"ENSG00000151715",4.12543502830453,4.80202815320491,142.340641816833,4.73034609420276e-22,2.68861046129249e-19
"ENSG00000176532",3.65919456119965,4.42451744960379,142.184235749265,4.90289758277708e-22,2.70223943138029e-19
"ENSG00000141736",4.1218731748485,11.2787520187073,140.424438572155,7.34815131782007e-22,3.84820910641944e-19
"ENSG00000150667",3.98421772923353,1.81330884252725,140.284246582305,7.58977539569868e-22,3.84820910641944e-19
"ENSG00000157613",2.71917807780174,6.40863172523115,140.268813169274,7.61686429684956e-22,3.84820910641944e-19
"ENSG00000064787",5.07373763788266,5.12971589450292,139.097631696939,9.98774537816977e-22,4.90965170103113e-19
"ENSG00000169083",4.06873046163513,7.20043642612506,138.967558782194,1.02937065320811e-21,4.92689301067081e-19
"ENSG00000095321",3.07374980831578,7.1584786264153,138.223097693041,1.22377709997554e-21,5.6774119069019e-19
"ENSG00000140511",-2.47149805963324,5.56429839072822,138.136802295805,1.24860609344665e-21,5.6774119069019e-19
"ENSG00000092068",2.53949395431185,6.36144548967982,137.631005834939,1.40479638668376e-21,6.13607437172099e-19
"ENSG00000110169",4.32322230009075,3.94775336697285,137.594074256461,1.41695141638598e-21,6.13607437172099e-19
"ENSG00000100596",1.58091473216422,7.3934123389337,136.541459413005,1.81228569473323e-21,7.66554702693207e-19
