"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000054598",-4.47070446997474,-4.47121642457489,6.24775653881265,1.3897402388003e-29,2.52765954632999e-25
"ENSG00000114547",-5.56688917946055,-5.57426421881941,3.39718078504912,3.78022455988516e-23,3.43773621475956e-19
"ENSG00000121270",6.65587370542708,6.65739859842695,6.85691300758759,6.1625869406721e-22,3.73617104256481e-18
"ENSG00000183888",7.32897678303742,7.39760964852705,1.81660586780265,4.0822571168262e-21,1.85620231102087e-17
"ENSG00000141744",7.08759799296015,7.09552397729012,4.81320865636105,1.90167368487644e-20,6.91752819610655e-17
"ENSG00000235584",6.08983774634177,6.13322676216371,1.23629144762889,5.7909012821107e-20,1.75541520865049e-16
"ENSG00000154548",-3.57846916402878,-3.58422738856509,1.83608159327682,2.40956232205781e-19,6.26073135908392e-16
"ENSG00000115112",-4.33562412629662,-4.33615117023943,5.98677571130127,4.48959127151143e-19,9.4608200481382e-16
"ENSG00000183569",5.0652360365657,5.06652961024288,5.16551076842425,4.92451656321411e-19,9.4608200481382e-16
"ENSG00000115648",3.523729331508,3.5238496238571,7.09485067449513,5.2016824544415e-19,9.4608200481382e-16
"ENSG00000228649",-3.3794584763323,-3.38399740500828,1.77954170124304,7.94544824059514e-19,1.31374375090859e-15
"ENSG00000245750",3.9764808233245,3.98201526024981,2.2150739764829,9.18805552103839e-19,1.39260294847205e-15
"ENSG00000064787",5.07373763788266,5.07509304787225,5.12971589450292,1.25546841699651e-18,1.75649688987173e-15
"ENSG00000182175",-3.40928495399958,-3.40973785243753,5.12844574997782,1.54689335365085e-18,2.00963545115726e-15
"ENSG00000177359",-6.36258055398296,-6.37160280632553,4.19085450442133,4.53074193147028e-18,5.49367561663876e-15
"ENSG00000161395",3.64816323540419,3.6482521421584,7.77430634173319,6.56297915466351e-18,7.46046655406375e-15
"ENSG00000134240",7.85386973602593,7.85992336647966,6.03676570510055,7.34722964557758e-18,7.8606713408097e-15
"ENSG00000185634",-4.32694466735988,-4.32910012786393,3.85623456422294,8.71434063150524e-18,8.80535707810096e-15
"ENSG00000151715",4.12543502830453,4.1263678279823,4.80202815320491,1.56460010203585e-17,1.49773403451727e-14
"ENSG00000110169",4.32322230009075,4.32521129886295,3.94775336697285,1.65224574252856e-17,1.50255227825548e-14
"ENSG00000141736",4.1218731748485,4.12188591188351,11.2787520187073,2.39674060923362e-17,2.07580562860672e-14
"ENSG00000172057",3.45497529016362,3.45501598688455,8.53515502065719,2.95546347914491e-17,2.44336226175853e-14
"ENSG00000169083",4.06873046163513,4.06890416045568,7.20043642612506,4.22120131004699e-17,3.21615405103627e-14
"ENSG00000150667",3.98421772923353,3.99084414104022,1.81330884252725,4.24388042802235e-17,3.21615405103627e-14
"ENSG00000105388",7.28465838189539,7.28723915107073,6.65628004857223,1.4225543507403e-16,1.03493674125058e-13
"ENSG00000176532",3.65919456119965,3.66016525520378,4.42451744960379,1.53332722840121e-16,1.04732387732129e-13
"ENSG00000172159",-3.54923750836656,-3.55026455060204,4.05463126334353,1.55474734372525e-16,1.04732387732129e-13
"ENSG00000182902",3.24546259275025,3.24946875483732,1.76089162378605,1.92958845613366e-16,1.25259752268785e-13
"ENSG00000225362",5.19441776135644,5.22058215250713,1.25749402991563,2.02536222734145e-16,1.25259752268785e-13
"ENSG00000170935",4.14187993676716,4.19348091201599,-0.886170026419362,2.10552786462526e-16,1.25259752268785e-13
"ENSG00000100219",2.66548656473281,2.66549520751537,10.0412044581711,2.20038351207506e-16,1.25259752268785e-13
"ENSG00000259793",3.9997689670691,4.04222138734697,-0.76153416067133,2.2038223403349e-16,1.25259752268785e-13
"ENSG00000168306",4.09727583337448,4.09840472302244,4.44509978983245,2.31197187838092e-16,1.27424680375734e-13
"ENSG00000117472",4.24502030552681,4.24539370579817,6.36388241327735,3.79739727695309e-16,2.0313841668595e-13
"ENSG00000228613",4.04163136417716,4.05869346876879,0.474122327357883,4.02065241043855e-16,2.08936074403018e-13
"ENSG00000129514",3.98494755680641,3.98508460939718,7.4346019991656,4.51880241341005e-16,2.28299939708617e-13
"ENSG00000223813",3.3042228313373,3.32246918898867,-0.069819165239739,7.40115654459244e-16,3.63816851981209e-13
"ENSG00000077274",-5.93948781119012,-5.94147452563661,5.49267605126639,1.06339203312917e-15,5.08973007856666e-13
"ENSG00000287262",4.12760530134972,4.13123347801056,2.91935395044909,1.38041210129904e-15,6.43767571754535e-13
"ENSG00000179593",5.99959540906627,6.00014840339281,7.35266142898906,1.44385747246774e-15,6.54305310319342e-13
"ENSG00000133328",4.28594981661065,4.29137519859888,2.63354065972121,1.49952122173959e-15,6.54305310319342e-13
"ENSG00000231367",-4.17374894915322,-4.17794546651496,2.75017742147989,1.51093155011064e-15,6.54305310319342e-13
"ENSG00000057593",4.18638023998167,4.19560909159685,1.59458494187502,1.57890285930289e-15,6.67839190813976e-13
"ENSG00000100146",-5.94981003062802,-5.95160145129284,6.10081337456578,3.2235895807343e-15,1.32777064730978e-12
"ENSG00000222014",3.72178351634918,3.75780415145618,-0.79282226857709,3.28511541285133e-15,1.32777064730978e-12
"ENSG00000109586",2.58610295443053,2.58617604165041,6.83981163401341,3.82609149138605e-15,1.48134089315845e-12
"ENSG00000166743",6.92038419661221,6.92465862939071,5.49171041401623,3.8279647008163e-15,1.48134089315845e-12
"ENSG00000244468",6.71756600241969,6.71930338483341,7.09347753750867,4.48420929106793e-15,1.69914163720716e-12
"ENSG00000131748",2.97581087831359,2.97587133088239,7.6137644403319,5.4911676337831e-15,2.03823177394382e-12
"ENSG00000204434",4.68962183283139,4.71668322074565,0.537472279709213,1.12883391701331e-14,4.10624625652760e-12
"ENSG00000095321",3.07374980831578,3.0738318019122,7.1584786264153,1.1934121324131e-14,4.25603526751558e-12
"ENSG00000172425",4.04267323274226,4.06519408554574,0.111576971709213,1.3059859245946e-14,4.49103387610183e-12
