"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",3527.60918929758,-0.665759640968215,0.112212293595626,0,1,1
"ENSG00000000419",2448.34056123827,-0.394743502631231,0.0654526838077509,0,1,1
"ENSG00000000457",1646.51242950551,0.458422732947617,0.0697542422429278,0,1,1
"ENSG00000000460",931.801493010166,-1.00075828522009,0.090392510511326,-0.00838880584017113,0.993306779839266,1
"ENSG00000000938",632.225136311828,-0.325838307473226,0.113817829872661,0,1,1
"ENSG00000000971",3020.4280340925,0.478331400035319,0.11662632174285,0,1,1
"ENSG00000001036",2711.35989653101,-0.473038025796492,0.0793755766953391,0,1,1
"ENSG00000001084",2267.26917535483,0.0123730111264574,0.0786359866556655,0,1,1
"ENSG00000001167",4112.02586815352,-0.812447622351798,0.0885928504891574,0,1,1
"ENSG00000001460",755.537542719481,-0.236432073725191,0.0685872276252585,0,1,1
"ENSG00000001461",3478.44344360214,-0.249530656982213,0.0919163422224953,0,1,1
"ENSG00000001497",3580.79911590702,-0.354075598398126,0.0581069939633789,0,1,1
"ENSG00000001561",1849.71289965689,0.734794472255971,0.123046790214193,0,1,1
"ENSG00000001617",5258.01303003454,1.24910321092331,0.0983735207320811,2.53221811184069,0.0113343462984977,0.0957496936725851
"ENSG00000001629",5120.69990556124,-0.109705711925262,0.0678854053158311,0,1,1
"ENSG00000001630",113.391075663394,0.383040075766387,0.128552271651842,0,1,1
"ENSG00000001631",391.771471538653,-0.158361740960766,0.0523228068668099,0,1,1
"ENSG00000002016",581.095028662643,-0.282267254002269,0.0830321665247137,0,1,1
"ENSG00000002330",472.711728459677,0.157385075420994,0.112747200371477,0,1,1
"ENSG00000002549",8790.18728040854,-0.442471016049254,0.084840252795294,0,1,1
"ENSG00000002586",10984.5780922298,0.0168869444135522,0.109003984596993,0,1,1
"ENSG00000002587",370.014920725188,-0.99377062592459,0.114968924878309,0,1,1
"ENSG00000002726",187.509229598157,-0.579716607956563,0.708882618358096,0,1,1
"ENSG00000002746",52.1612180688745,-0.463521315316157,0.191500959702223,0,1,1
"ENSG00000002822",28.0070724460618,-0.860759884408109,0.140327470263666,0,1,1
"ENSG00000002834",16593.7434306068,0.692997035572198,0.084198427315043,0,1,1
