"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000171428",6.0983721388188,6.09915235805613,7.08939003168831,7.07310111434933e-151,1.28645563067786e-146
"ENSG00000173467",7.78701416532719,7.79161515357097,6.3391922774144,1.52637229460685e-140,1.38808296471547e-136
"ENSG00000150667",5.46296378437738,5.46935628493482,3.48658958444817,4.69363434548309e-113,2.84559404918822e-109
"ENSG00000175356",6.11955453932494,6.11991591638475,8.35971247419489,8.41068280536687e-105,3.82433747160031e-101
"ENSG00000054598",-4.11562510384664,-4.11599563371103,6.18967599675152,1.84261994912342e-102,6.70271432693135e-99
"ENSG00000120262",4.24317884575273,4.24474070510586,4.47473011331263,1.58068026675469e-100,4.79156878195573e-97
"ENSG00000082175",6.57977075906019,6.58089890548197,7.07081565615255,1.36898159343376e-99,3.55700531733903e-96
"ENSG00000074410",4.48629074338852,4.48639195960118,8.4333218894593,5.00627062843633e-95,1.138175627375e-91
"ENSG00000105173",-3.58755811431643,-3.58861648024439,4.07426106046326,1.48298482353435e-87,2.99694755227141e-84
"ENSG00000135069",-4.54054579472111,-4.54150364192122,5.26122565812346,2.09088008364191e-86,3.8028926961279e-83
"ENSG00000225362",5.73690191230762,5.75540064207843,2.28064780179182,4.90971817546501e-86,8.11799583412341e-83
"ENSG00000286379",5.20435120038405,5.2100469921053,3.32741623643241,4.96810844956399e-85,7.52999637338915e-82
"ENSG00000259793",5.30454340467976,5.34369102895292,0.817937667216665,8.71177980295874e-85,1.21884500812472e-81
"ENSG00000163491",5.13039101943337,5.13350714143725,4.10632619437916,1.91244528144572e-84,2.48453962706677e-81
"ENSG00000222014",4.6211895492487,4.64576494628036,0.692743357010735,1.09116328204826e-83,1.32307185159292e-80
"ENSG00000187720",3.87289298424903,3.87309375404752,6.90402734535769,6.4206485788241e-83,7.29867227197829e-80
"ENSG00000154548",-3.51996468555567,-3.52517494141412,1.72414653957473,5.06403946209389e-82,5.41792645509198e-79
"ENSG00000251141",6.11772669388962,6.11944713037123,6.215770586106,7.18922931904434e-82,7.26431682526547e-79
"ENSG00000109436",3.67907479670189,3.67913341886595,8.48493406471346,2.54177033245261e-81,2.43314309508674e-78
"ENSG00000206113",3.847976709015,3.86594670530073,0.391475767410855,6.37595011174222e-78,5.79828903161837e-75
"ENSG00000163879",4.1331283346962,4.13408695514294,4.88824877885437,1.27951276388687e-76,1.10817991188449e-73
"ENSG00000136457",5.62436293122761,5.62826453668116,4.33758895879312,2.01577958595945e-76,1.66649995951956e-73
"ENSG00000115648",4.18566155793855,4.1857974081902,7.76981063609783,7.75450030653883e-76,6.13212398153601e-73
"ENSG00000134830",3.60811137942775,3.60921738795053,4.14168404432562,2.81229761116839e-75,2.13125287299711e-72
"ENSG00000183044",3.74267953942741,3.74303338537236,5.91821689531582,3.32246068389741e-75,2.41715659674905e-72
"ENSG00000100219",3.07234616520102,3.07235516265172,10.5730778239255,1.26794554525969e-74,8.86976676045506e-72
"ENSG00000172425",4.16439485750984,4.18586690196624,0.496505653597751,1.02013350046125e-73,6.87192152088493e-71
"ENSG00000183888",7.29325023501824,7.33358110940851,2.6829604652034,6.94872410278467e-73,4.51369264219456e-70
"ENSG00000245750",4.4721285547751,4.47789326032785,2.7233302311514,2.02261883340051e-72,1.26853073592719e-69
"ENSG00000154645",-4.56785375601323,-4.57384082762317,2.57510754086711,1.42718774279287e-71,8.65256355530557e-69
"ENSG00000174607",-4.72778028236334,-4.72997518823869,4.24755419653617,3.8583335665824e-71,2.26372164222583e-68
"ENSG00000198729",-4.77143772309832,-4.77325291160413,4.68351302743664,1.98335311460761e-69,1.1272883265151e-66
"ENSG00000144354",-3.61562545801857,-3.61651305276691,4.38507749825457,5.1071499058643e-68,2.78598877507571e-65
"ENSG00000114547",-5.4984382869641,-5.50357469481185,3.79178575484675,5.20802827977644e-68,2.78598877507571e-65
"ENSG00000166535",-6.41817508558047,-6.42136430699916,5.4737726222719,3.23416504459468e-66,1.68065696660252e-63
"ENSG00000272620",-5.89119525183483,-5.89676321040834,4.0409989848682,4.3250528268675e-66,2.1851128004185e-63
"ENSG00000141424",3.42108522915872,3.42110210593278,9.93212676647138,5.19082168784562e-66,2.55163959077125e-63
"ENSG00000152049",4.11764824612115,4.11805630668969,6.0793163997846,1.37297617572693e-65,6.57149754845301e-63
"ENSG00000224577",3.76211742370794,3.77527576686472,0.707766128452439,3.39810971937823e-65,1.5847389634885e-62
"ENSG00000091831",5.11516966861713,5.11534347876066,8.72969724087498,4.68701234275456e-65,2.1311845122505e-62
"ENSG00000178568",5.13891627891043,5.14017784168849,5.52847352300079,8.44827224880352e-65,3.74773599173752e-62
"ENSG00000186868",4.19521565019954,4.19549541122502,6.65634820764006,1.72972635105323e-64,7.49053877927528e-62
"ENSG00000099769",4.58142951941054,4.5915533071485,1.8535509444739,3.00822817540947e-64,1.27241055940343e-61
"ENSG00000204531",-3.2880559252814,-3.29844179597366,0.542247567017949,5.92122544388192e-63,2.44761928121192e-60
"ENSG00000254231",2.96681539046652,2.97067575231843,1.63962369995794,4.83038382614806e-62,1.95233380066624e-59
"ENSG00000117013",-3.76427642582917,-3.76731537063057,2.76789013979111,8.66643004376821e-62,3.4266310790447e-59
