"","logFC","logCPM","F","PValue","FDR"
"ENSG00000171428",6.09794690837785,7.08939003168831,790.11135252125,1.07377939097595e-79,1.95298995630706e-75
"ENSG00000173467",7.77131803546491,6.3391922774144,742.278538797881,4.05508303065856e-77,3.68769250808089e-73
"ENSG00000054598",-4.1153932886089,6.18967599675152,670.983865348428,4.88986858221068e-73,2.96456432577493e-69
"ENSG00000120262",4.24160587819764,4.47473011331263,665.267854787734,1.07169669263336e-72,4.87300486140388e-69
"ENSG00000105173",-3.58754887360649,4.07426106046326,641.684673793897,2.87677765205678e-71,1.04645663871217e-67
"ENSG00000100219",3.07234734043519,10.5730778239255,639.114285848337,4.13919201395858e-71,1.25472707249798e-67
"ENSG00000171793",-1.82234948348454,5.79362902613639,627.486268077115,2.17508411799318e-70,5.62637533309523e-67
"ENSG00000150667",5.46095646343903,3.48658958444817,626.5880377722,2.47476372689476e-70,5.62637533309523e-67
"ENSG00000154548",-3.52060365383637,1.72414653957473,616.506363001395,1.06338321727585e-69,2.14897932842369e-66
"ENSG00000109436",3.67905907979814,8.48493406471346,584.154229879961,1.28644677919939e-67,2.33978940200786e-64
"ENSG00000178935",2.72851675876084,5.60387163852983,578.502356357125,3.03044723279426e-67,5.01070675182381e-64
"ENSG00000074410",4.48641243158394,8.4333218894593,574.124881417149,5.90832247468767e-67,8.65158533082363e-64
"ENSG00000117399",-2.77512058206546,6.00955176432102,573.826958231898,6.18378102599006e-67,8.65158533082363e-64
"ENSG00000187720",3.87279963763595,6.90402734535769,565.558640301733,2.20475705314659e-66,2.86429437733073e-63
"ENSG00000047346",2.32755609958461,6.15112083445924,563.653941654686,2.96031186206477e-66,3.39841054732725e-63
"ENSG00000134690",-2.37274373539329,5.19455391930442,563.590416501949,2.98958482280823e-66,3.39841054732725e-63
"ENSG00000127663",1.93217229444979,6.91662086996997,558.275449429099,6.82875907230227e-66,7.30596882394316e-63
"ENSG00000176597",-2.80901824154587,4.04556453853157,554.705361956443,1.19296960495102e-65,1.20542950971384e-62
"ENSG00000198863",1.41468111403819,5.53252360608034,550.169714639793,2.43220489835458e-65,2.32826014164596e-62
"ENSG00000134830",3.60804323915427,4.14168404432562,546.649575342537,4.23950435460834e-65,3.85540526008082e-62
"ENSG00000183323",1.68936850436084,5.0129174228454,540.432910438451,1.13788740950506e-64,9.85518866860858e-62
"ENSG00000254231",2.96695898387155,1.63962369995794,537.918166547097,1.70023167488862e-64,1.40562789558519e-61
"ENSG00000213064",-1.80048939939591,7.42927864078753,535.04234052383,2.69552255761692e-64,2.13157235991028e-61
"ENSG00000175356",6.1186001715721,8.35971247419489,525.994754249529,1.16171122558838e-63,8.80383490458391e-61
"ENSG00000183044",3.74247437825495,5.91821689531582,522.756213226087,1.96787421510675e-63,1.43166784897446e-60
"ENSG00000092068",2.99440771145904,6.81751277294111,517.259244737273,4.83866890493338e-63,3.38483500165109e-60
"ENSG00000206113",3.846573119015,0.391475767410855,514.112884197144,8.12143749346602e-63,5.4708409307837e-60
"ENSG00000222014",4.62214917068255,0.692743357010735,512.232320395991,1.10790160685759e-62,7.19661229483067e-60
"ENSG00000135069",-4.54023415610111,5.26122565812346,511.179817409948,1.31864763643063e-62,8.27019421082769e-60
"ENSG00000142945",-2.50385483738591,5.31701882084692,509.916330160126,1.62575391012206e-62,9.85640403910003e-60
"ENSG00000204531",-3.28698883811178,0.542247567017949,506.138772461605,3.04655183032453e-62,1.78744144161105e-59
"ENSG00000135912",-2.06664815876332,5.84402851428704,502.289566432992,5.79616326651433e-62,3.29439429660508e-59
"ENSG00000115163",-2.77669554987049,3.63839506536978,502.080596146405,6.00269378402652e-62,3.3083937740568e-59
"ENSG00000134352",2.80157269128405,8.96608208693273,497.743023702389,1.2442972839524e-61,6.65625852956656e-59
"ENSG00000149554",-1.98466838134924,4.64250927138259,492.029428925399,3.27148626861621e-61,1.70005120724548e-58
"ENSG00000148468",-2.72415640072002,5.68760658663436,491.328222638659,3.6854502534091e-61,1.8619713669168e-58
"ENSG00000259793",5.29893802002032,0.817937667216665,491.138101846393,3.80652715858022e-61,1.87116529622316e-58
"ENSG00000141424",3.42108143354224,9.93212676647138,490.012517260418,4.61015051368364e-61,2.20656361954942e-58
"ENSG00000163879",4.13329894271381,4.88824877885437,482.758137569077,1.59552457330239e-60,7.44087203569843e-58
"ENSG00000144354",-3.61524487355995,4.38507749825457,477.919255990866,3.67733800707962e-60,1.6720855918191e-57
"ENSG00000156050",1.75019795133164,3.3524443550333,477.352476888932,4.05663641410929e-60,1.79956349023951e-57
"ENSG00000163072",3.05734681438969,4.63913395635995,477.027313708313,4.29180042932554e-60,1.85855395734698e-57
"ENSG00000082175",6.57981816320127,7.07081565615255,475.161835208292,5.93275998552241e-60,2.50941950271353e-57
"ENSG00000115648",4.18575590066608,7.76981063609783,473.081065373375,8.52176959244644e-60,3.52258966698672e-57
"ENSG00000119636",2.01856518480844,3.46536886656708,472.115854377029,1.00841212434669e-59,4.07577771502613e-57
"ENSG00000225362",5.73181959953543,2.28064780179182,471.540855096003,1.11490243348681e-59,4.40822727396915e-57
"ENSG00000172425",4.164156889911,0.496505653597751,468.663241069051,1.84481448186512e-59,7.00318888129717e-57
"ENSG00000085840",-2.34802173364898,3.4298389636433,468.652744124955,1.84821347208194e-59,7.00318888129717e-57
"ENSG00000183943",-2.1927198383628,5.81648337740659,467.313096795223,2.33815733315014e-59,8.67885828068056e-57
"ENSG00000163683",2.04387273162108,7.67899143487066,465.946908125153,2.97313886046074e-59,1.0815089918812e-56
"ENSG00000178999",-2.62035925796404,4.33316158118481,464.692222687796,3.70865329392363e-59,1.32260757078202e-56
"ENSG00000286379",5.20835092137087,3.32741623643241,462.052879642248,5.9117268850458e-59,2.06774016510025e-56
"ENSG00000163491",5.13153221842091,4.10632619437916,459.245422027833,9.72604387500054e-59,3.33768464148132e-56
"ENSG00000120254",-2.06428719884005,5.15934757024826,457.253105172787,1.38643101245598e-58,4.66970504713877e-56
"ENSG00000197375",1.64842140581364,4.80055475527539,453.898385780996,2.52421624441128e-58,8.34735364606408e-56
"ENSG00000152455",-1.63235998405864,4.07006416212939,453.736496210372,2.59845866219189e-58,8.43942252641894e-56
"ENSG00000271936",-2.00530423440404,0.353643175090839,453.324208364105,2.79762975388087e-58,8.92689297606758e-56
"ENSG00000189157",2.51478350309599,1.25971361508285,452.695404569144,3.13144657581884e-58,9.81978453810226e-56
"ENSG00000143412",2.70929978604192,4.95146706908623,451.693440092616,3.74836909246082e-58,1.15551418735047e-55
"ENSG00000165533",1.43290230874636,4.72807212476728,451.17628381031,4.11334691686273e-58,1.23617407405601e-55
"ENSG00000112742",-2.36220822151992,4.65629298020143,451.132353648571,4.14595439396396e-58,1.23617407405601e-55
"ENSG00000203760",-2.78712758274722,4.26738904013204,448.938810992414,6.15355241870969e-58,1.80517437728213e-55
"ENSG00000196405",2.26239677799899,7.5989302598039,448.75504513681,6.36089172021889e-58,1.83637934297367e-55
"ENSG00000164045",-2.34392252085695,3.72241082000174,447.53190465289,7.9324613798515e-58,2.25430636838655e-55
"ENSG00000164331",1.21001173396755,3.84622993130849,445.566093131845,1.13207090837267e-57,3.16770856638186e-55
"ENSG00000196177",2.64046539715314,6.45921014987641,444.532790202214,1.36534253382029e-57,3.76255303107931e-55
"ENSG00000129195",-2.52187412367724,3.55074262672834,443.018449554728,1.79766256249518e-57,4.87998308756155e-55
"ENSG00000080986",-2.28992624958791,4.63955212208985,441.543933380366,2.35117039089874e-57,6.28868927495091e-55
"ENSG00000224577",3.76191847768919,0.707766128452439,440.716321040818,2.73416353899452e-57,7.20709658655541e-55
"ENSG00000136982",-1.97699608110141,3.8995621631708,440.562854868597,2.81181298537503e-57,7.30589351114302e-55
"ENSG00000245750",4.4696758785762,2.7233302311514,440.059210232482,3.08260906746684e-57,7.89668925620941e-55
"ENSG00000183888",7.29446085686358,2.6829604652034,437.273560635098,5.13227077038434e-57,1.29646862182987e-54
"ENSG00000119661",1.45469585908574,4.35598695499187,437.074925895083,5.32268094137397e-57,1.3261496022152e-54
"ENSG00000172465",2.28684838911431,4.80172736397172,436.081421613639,6.38748437748581e-57,1.56994007915827e-54
"ENSG00000188610",-2.56687729421409,1.04293163506695,434.166129729329,9.08522874416862e-57,2.19063074629533e-54
"ENSG00000085999",-2.28697999214553,2.99708101957602,434.125355591703,9.15372425326839e-57,2.19063074629533e-54
"ENSG00000166451",-1.90057518858689,3.27605626580896,433.084061676216,1.1090931402703e-56,2.61976442016054e-54
"ENSG00000140534",-2.42649664810434,3.76009009001359,431.450115427021,1.49983992392129e-56,3.49731904311287e-54
"ENSG00000088325",-2.17862056828283,6.81401836104064,426.768577441486,3.57561482104231e-56,8.23206105887563e-54
"ENSG00000243710",3.24770405624192,1.16708505984387,426.534642688741,3.73484844036613e-56,8.49117792917239e-54
"ENSG00000089101",3.20742477702249,0.618721176511669,425.531821853999,4.50258858339096e-56,1.00444771405077e-53
"ENSG00000166851",-2.29718837019749,5.07580759755274,425.501040710497,4.52851949374111e-56,1.00444771405077e-53
"ENSG00000141337",2.18325120949456,3.95713828546167,422.759108903993,7.56088493808595e-56,1.65683584643262e-53
"ENSG00000123485",-2.22045939071189,4.47229007850013,421.490295949217,9.59167331960562e-56,2.07682564686889e-53
"ENSG00000138613",1.76816216667895,4.68303230058281,419.689669092192,1.34542162340917e-55,2.87888570430187e-53
