"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000173467",7.77131803546491,7.77579436471748,6.3391922774144,5.79742384801607e-71,1.05443544947716e-66
"ENSG00000171428",6.09794690837785,6.09872670656361,7.08939003168831,1.45350956452142e-70,1.32182159797578e-66
"ENSG00000150667",5.46095646343903,5.46737575097612,3.48658958444817,5.00273641249606e-60,3.03299232901595e-56
"ENSG00000054598",-4.1153932886089,-4.11576359378929,6.18967599675152,2.79051787213292e-57,1.26884847645884e-53
"ENSG00000120262",4.24160587819764,4.2431638791718,4.47473011331263,7.76102626437885e-57,2.82315091393045e-53
"ENSG00000175356",6.1186001715721,6.11896104826662,8.35971247419489,1.47657800625551e-55,4.47600012962921e-52
"ENSG00000074410",4.48641243158394,4.48651366707768,8.4333218894593,1.02336315813455e-53,2.65898987430732e-50
"ENSG00000082175",6.57981816320127,6.5809469797421,7.07081565615255,3.30464667035038e-53,7.51311420504158e-50
"ENSG00000105173",-3.58754887360649,-3.58860721819794,4.07426106046326,2.09940856624215e-52,4.24267144475691e-49
"ENSG00000183888",7.29446085686358,7.33490911981319,2.6829604652034,2.16286186118387e-51,3.93381315312123e-48
"ENSG00000225362",5.73181959953543,5.75013324891106,2.28064780179182,5.37311271182392e-51,8.88419763660485e-48
"ENSG00000259793",5.29893802002032,5.33777091153798,0.817937667216665,6.25006099714187e-51,9.47300911800136e-48
"ENSG00000154548",-3.52060365383637,-3.52582279612148,1.72414653957473,1.44363692065357e-50,2.01975910098824e-47
"ENSG00000135069",-4.54023415610111,-4.54119102558402,5.26122565812346,2.6046057412923e-50,3.27967790921474e-47
"ENSG00000222014",4.62214917068255,4.64675998918813,0.692743357010735,2.7048146381252e-50,3.27967790921474e-47
"ENSG00000187720",3.87279963763595,3.87300038286381,6.90402734535769,6.31397496584071e-50,7.17741104241943e-47
"ENSG00000109436",3.67905907979814,3.67911770282433,8.48493406471346,1.40683640536985e-49,1.50514944358041e-46
"ENSG00000286379",5.20835092137087,5.2140711909973,3.32741623643241,2.73155955933615e-49,2.76008918140033e-46
"ENSG00000163491",5.13153221842091,5.13465391784332,4.10632619437916,6.17081107379096e-49,5.90709009526895e-46
"ENSG00000100219",3.07234734043519,3.07235633790259,10.5730778239255,2.5565714001689e-47,2.3249460313136e-44
"ENSG00000134830",3.60804323915427,3.60914913719139,4.14168404432562,4.35645187467749e-47,3.77310222364925e-44
"ENSG00000183044",3.74247437825495,3.74282810228837,5.91821689531582,1.01878305082465e-46,8.21480563612864e-44
"ENSG00000206113",3.846573119015,3.86450741753169,0.391475767410855,1.06196644012085e-46,8.21480563612864e-44
"ENSG00000163879",4.13329894271381,4.1342578634057,4.88824877885437,1.08398578880079e-46,8.21480563612864e-44
"ENSG00000251141",6.11717198949661,6.11889294086329,6.215770586106,3.00015812327746e-46,2.18267503784682e-43
"ENSG00000115648",4.18575590066608,4.18589177235455,7.76981063609783,3.45020801459472e-46,2.41355320651726e-43
"ENSG00000172425",4.164156889911,4.18562369966378,0.496505653597751,1.7296243443005e-45,1.16512620644954e-42
"ENSG00000136457",5.62101400858708,5.62488441072882,4.33758895879312,2.14142451370429e-45,1.39100818054477e-42
"ENSG00000245750",4.4696758785762,4.47541900105392,2.7233302311514,7.87722771823347e-45,4.94037992204242e-42
"ENSG00000154645",-4.56854326063308,-4.57453137551836,2.57510754086711,3.72940935486353e-44,2.2610165782086e-41
"ENSG00000174607",-4.72707017505512,-4.72926116289738,4.24755419653617,7.7569717283013e-44,4.55109038046271e-41
"ENSG00000144354",-3.61524487355995,-3.61613182914505,4.38507749825457,1.64321154097926e-43,9.33960359604089e-41
"ENSG00000198729",-4.76822569926134,-4.77002438740377,4.68351302743664,5.83146417435337e-43,3.21402031524664e-40
"ENSG00000141424",3.42108143354224,3.42109831023457,9.93212676647138,8.2902999745402e-43,4.43482282167462e-40
"ENSG00000204531",-3.28698883811178,-3.29736550720516,0.542247567017949,1.15082291605509e-42,5.98033348491711e-40
"ENSG00000224577",3.76191847768919,3.77507600188543,0.707766128452439,6.53285955458385e-42,3.30054582163253e-39
"ENSG00000114547",-5.49377324305644,-5.4988602602149,3.79178575484675,1.50295979627643e-41,7.38806291207451e-39
"ENSG00000152049",4.11773563218868,4.11814376341611,6.0793163997846,1.59708800682927e-41,7.64416754426601e-39
"ENSG00000254231",2.96695898387155,2.97082115185313,1.63962369995794,1.66150671274611e-41,7.74858566446829e-39
"ENSG00000117399",-2.77512058206546,-2.77527705966054,6.00955176432102,2.23690539867845e-41,1.01712088477909e-38
"ENSG00000178568",5.13841777901324,5.1396790286153,5.52847352300079,2.94208429255356e-41,1.30513729543815e-38
"ENSG00000160182",8.58455452128705,8.58897324590244,7.284767063711,3.63140344536451e-41,1.57257061581642e-38
"ENSG00000178935",2.72851675876084,2.72872271371939,5.60387163852983,5.25615815399555e-41,2.22323266290398e-38
"ENSG00000186868",4.19529113843835,4.19557094065514,6.65634820764006,5.92818981322227e-41,2.45049809824743e-38
"ENSG00000176597",-2.80901824154587,-2.80964969725918,4.04556453853157,6.32831186818359e-41,2.55776302796718e-38
"ENSG00000099769",4.58331746291868,4.59346574153899,1.8535509444739,7.62254560791002e-41,3.01388825036233e-38
"ENSG00000092068",2.99440771145904,2.99451493849865,6.81751277294111,9.59013325190112e-41,3.7111775230974e-38
"ENSG00000117013",-3.76435601533385,-3.76739515910012,2.76789013979111,2.89421256665807e-40,1.09666537838285e-37
"ENSG00000119866",-3.86801951743041,-3.86909807821555,4.53173825296012,4.39618657723592e-40,1.63179268299524e-37
"ENSG00000091831",5.1148751385888,5.11504884554725,8.72969724087498,5.15862703528475e-40,1.87650217035518e-37
"ENSG00000108176",4.05564027614862,4.05649535058065,5.23109855293499,6.94372526509334e-40,2.47632304159838e-37
"ENSG00000186603",-3.75901026253318,-3.76357363426816,2.15255571662117,7.38041524062081e-40,2.58144216146945e-37
