"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",3309.95290210226,-1.16571305370161,0.111256022683461,-1.4894749039617,0.136362357055942,1
"ENSG00000000419",3032.51472229734,0.104129887816831,0.0744659231499768,0,1,1
"ENSG00000000457",1626.94901964926,0.296494616774484,0.0732614210810594,0,1,1
"ENSG00000000460",1134.25522947039,-0.431953919141098,0.0980280172853671,0,1,1
"ENSG00000000938",645.579676630549,-0.268719670954589,0.116411972462708,0,1,1
"ENSG00000000971",2894.42003369058,0.34724118161749,0.115268251712461,0,1,1
"ENSG00000001036",3324.74901972797,0.0661703724658715,0.0964504030863613,0,1,1
"ENSG00000001084",2411.19595337988,0.0480824890317921,0.0805568167350334,0,1,1
"ENSG00000001167",4430.35592720088,-0.722037855249445,0.0915808600098628,0,1,1
"ENSG00000001460",776.983857482256,-0.300536284180069,0.0720087005990494,0,1,1
"ENSG00000001461",3375.21544314051,-0.490014630686647,0.103152488455382,0,1,1
"ENSG00000001497",4095.01749906594,-0.0556479402238597,0.078210548663825,0,1,1
"ENSG00000001561",1724.72543132203,0.38512764723713,0.127716264904792,0,1,1
"ENSG00000001617",5513.07833353966,1.25640794381886,0.104091327036109,2.46329786659279,0.0137665494456473,0.147720354759548
"ENSG00000001629",5789.73548391303,0.101907178685925,0.069603582303238,0,1,1
"ENSG00000001630",128.367788476189,0.516500670127596,0.154612199840875,0,1,1
"ENSG00000001631",419.717822936404,-0.117766132877192,0.0592664415894185,0,1,1
"ENSG00000002016",640.146482236724,-0.119920761782687,0.0943290160373176,0,1,1
"ENSG00000002330",460.244032151445,-0.0454258528083093,0.108432880442375,0,1,1
"ENSG00000002549",9996.16012775271,-0.0644970840089541,0.0902257316660189,0,1,1
"ENSG00000002586",10383.8519217305,-0.23713651434838,0.115336815728227,0,1,1
"ENSG00000002587",394.003823689543,-0.898957294273951,0.121176245140484,0,1,1
"ENSG00000002726",398.230485470073,-0.03148225543753,1.06964556361286,0,1,1
"ENSG00000002746",55.9811098897165,-0.281777534655864,0.211411908223577,0,1,1
"ENSG00000002822",28.6553612681585,-0.870192799345556,0.132716081049112,0,1,1
"ENSG00000002834",18683.9048282443,0.900291430143893,0.1122918499902,0,1,1
"ENSG00000002919",1891.97257583303,0.530319555301105,0.0711377941753654,0,1,1
"ENSG00000002933",3233.95113566669,-0.141429323036436,0.177848161765276,0,1,1
"ENSG00000003056",4954.30040128976,-0.0561599376008807,0.0827292895688382,0,1,1
"ENSG00000003096",572.400410688808,-1.69036941463743,0.208630360050149,-3.3090553765592,0.000936113198602329,0.0121527672064091
"ENSG00000003137",468.624502233024,-1.66082423998361,0.161251783860789,-4.09808948565872,4.16574242879407e-05,0.000638840837225182
"ENSG00000003147",2628.85955221018,0.588840675433174,0.090851854124086,0,1,1
"ENSG00000003249",3591.51918624185,-0.479126881184716,0.128521993914628,0,1,1
"ENSG00000003393",2100.00270647297,0.0827031331837713,0.0679532498934914,0,1,1
"ENSG00000003400",769.093292011815,-0.286401545279246,0.124640560807143,0,1,1
"ENSG00000003402",5590.44222672894,-0.546543758729623,0.073622042066819,0,1,1
"ENSG00000003436",1198.25995769563,0.0743901413649145,0.177374165833555,0,1,1
"ENSG00000003509",844.904251152659,-0.465514700117459,0.0510013292696948,0,1,1
"ENSG00000003756",3362.81860321388,0.336840850646552,0.0575385691467145,0,1,1
"ENSG00000003987",142.92603665588,0.0249281899238357,0.159851124491716,0,1,1
"ENSG00000003989",10587.8238601457,4.21005739993502,0.229822800747,13.9675323314365,2.4600355491542e-44,3.60831665871101e-42
"ENSG00000004059",6431.69910007281,-0.510366868070354,0.0801304175188595,0,1,1
"ENSG00000004139",257.926626193582,0.683873678755002,0.13278520171152,0,1,1
"ENSG00000004142",8625.64093125114,0.282952515050369,0.0783900594667765,0,1,1
"ENSG00000004399",10930.8920877171,0.439915061223787,0.101108639300152,0,1,1
"ENSG00000004455",9866.75638233623,-0.613331175388771,0.0657934717812442,0,1,1
"ENSG00000004468",685.090187671895,-0.828324888592088,0.198586993106449,0,1,1
