"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000054598",-5.00975203044829,6.14088287166342,1044.56688266388,3.69182069956169e-229,6.71468348836281e-225
"ENSG00000120262",4.35436559026828,4.33444747001145,649.595652924991,2.73557566741524e-143,2.48773251194742e-139
"ENSG00000100219",3.10312273480753,10.4683925085974,645.434043486158,2.19847778988534e-142,1.33286380141448e-138
"ENSG00000148468",-3.20515621253133,5.61435655069053,597.647251057527,5.43929120275497e-132,2.47324570989269e-128
"ENSG00000154548",-4.04405984156181,1.67680555607144,595.384228276963,1.68955574020548e-131,6.14592796057145e-128
"ENSG00000173467",7.65198442028951,6.27044966590083,589.45904547638,3.28529365654048e-130,9.95882017085971e-127
"ENSG00000150667",5.76935272097374,3.83629567521559,572.785083357588,1.39151780668068e-126,3.6155608382726e-123
"ENSG00000171428",5.40876855100946,6.35018683496658,571.352824297617,2.85129168487621e-126,6.48241164556606e-123
"ENSG00000182175",-3.64295310616039,5.13009791442014,550.659310350027,9.04822703959825e-122,1.82854614884681e-118
"ENSG00000198729",-5.90676176369843,4.64540147496028,506.870468489457,3.04169164343328e-112,5.53222876107644e-109
"ENSG00000074410",4.40128346577675,8.31209947892317,502.837444326237,2.29405136927847e-111,3.79310966403972e-108
"ENSG00000114547",-6.54886043376015,3.76557902658097,498.987143579068,1.57887537363592e-110,2.39304877464084e-107
"ENSG00000167614",-5.6796365246429,4.62637187498264,492.102740142181,4.96914642603963e-109,6.95221809206222e-106
"ENSG00000134830",3.37190579695225,3.83675431343576,481.643281471336,9.37930273179067e-107,1.21850541489863e-103
"ENSG00000163064",-5.27202187697007,5.26516638071185,481.227697274052,1.15504841987313e-106,1.40053471071016e-103
"ENSG00000144681",-4.24599185283003,2.92118369475606,471.643475933294,1.40649325453417e-104,1.59883120709172e-101
"ENSG00000213064",-1.76418045187531,7.43197899038431,471.475558873938,1.52995049679199e-104,1.63686703739134e-101
"ENSG00000231367",-4.87092245726945,2.81224679685909,469.143796261149,4.92136152486939e-104,4.97276241190692e-101
"ENSG00000225362",5.64684347767805,2.0443885614923,469.032441211212,5.20375740346249e-104,4.98136524495662e-101
"ENSG00000109846",-4.47825730438317,7.14685880074638,468.402714502608,7.1342934161188e-104,6.48792643261844e-101
"ENSG00000178935",2.5288952775417,5.45425196236295,466.308247542705,2.03764123636029e-103,1.76479137175814e-100
"ENSG00000131844",1.93092394918072,7.4509672109916,463.86252135732,6.93980810772881e-103,5.73732863015325e-100
"ENSG00000245750",4.65778404883562,2.75467322352115,451.459102281997,3.47196774356791e-100,2.65919650720196e-97
"ENSG00000094755",-6.71708658436364,8.59178615617546,451.437960307646,3.50894634774836e-100,2.65919650720196e-97
"ENSG00000163661",-5.19619495739162,3.16299001073301,446.79760769598,3.58963449976214e-99,2.61153089126695e-96
"ENSG00000163879",4.09554954677043,4.93047934012263,445.084298425066,8.47073692153784e-99,5.92560627418962e-96
"ENSG00000135912",-1.9118746013,5.85977446401371,444.992000797782,8.87172770161515e-99,5.97625864581394e-96
"ENSG00000157368",-3.61719631170873,4.00857368103381,444.168490764435,1.34039122063768e-98,8.70679840034217e-96
"ENSG00000162482",4.98615753723223,4.43836368829893,443.146995852827,2.23637235953953e-98,1.40259105087258e-95
"ENSG00000254231",3.39400423732947,2.06268835382522,430.921832270672,1.02388651611614e-95,6.20748265170678e-93
"ENSG00000143412",2.96777927046776,5.0979076937255,429.887350641518,1.71951581083726e-95,1.00885656669381e-92
"ENSG00000115648",4.03191687610031,7.60624867519138,425.795849008652,1.33638468465543e-94,7.5956764514103e-92
"ENSG00000146476",3.17841885848864,7.15765723313423,425.476296243512,1.5684972462514e-94,8.6447963378244e-92
"ENSG00000091831",5.38298508615677,8.69813403672409,424.015276813797,3.26199698520945e-94,1.74497650491145e-91
"ENSG00000186832",-7.07636860633595,7.25140762156876,423.259034047437,4.76524693307663e-94,2.47629460625136e-91
"ENSG00000187720",3.60181804522177,6.64797670465232,423.153336853753,5.02448141832688e-94,2.53847966768137e-91
"ENSG00000109436",3.6510898513131,8.48613454403166,419.637639733279,2.92629660243139e-93,1.43847250283843e-90
"ENSG00000172425",3.71953851012404,-0.0801108675989538,417.193490863265,9.96141401577259e-93,4.76784731891768e-90
"ENSG00000108932",4.13973380171942,5.02395614525839,414.286570238181,4.2762383138714e-92,1.99426211417162e-89
"ENSG00000119866",-4.26227481679031,4.49376309762507,413.112172654833,7.70357973867221e-92,3.50281770717426e-89
"ENSG00000100139",-1.89727583262686,5.97432087940567,412.46074955127,1.06779615811095e-91,4.73684793261513e-89
"ENSG00000100146",-7.29967587344348,6.17420189108118,409.641155148916,4.38770944164279e-91,1.90008712677617e-88
"ENSG00000154655",-3.30469724617909,3.20934409318452,403.926746530478,7.69381241553544e-90,3.25430372590136e-87
"ENSG00000140511",-3.04255171455313,5.73119349858936,403.105584496549,1.16116623389829e-89,4.79983896866867e-87
"ENSG00000233622",5.63863300325681,6.11499779227002,398.360454783954,1.25269356052623e-88,5.06310899530023e-86
"ENSG00000134755",-2.85780089295955,7.59402691818798,397.935542996858,1.55004341143608e-88,6.12873686243464e-86
"ENSG00000214530",2.55606117470407,7.55104101397841,389.649567726718,9.86658535744252e-87,3.81815860598222e-84
"ENSG00000141424",3.46442960667115,10.0851647754799,387.116094782452,3.51328046190803e-86,1.33124052169132e-83
"ENSG00000175356",5.45420139311161,7.56337190563618,384.677504687987,1.19291947505716e-85,4.42792232904891e-83
"ENSG00000176597",-2.88965610770222,4.02724380501414,381.78724483679,5.07986687716476e-85,1.84785237523745e-82
"ENSG00000184384",-2.05043031216052,5.15030905913372,380.773220839624,8.44538325663726e-85,3.01185550336703e-82
"ENSG00000064787",5.34350856007315,5.31344138565581,375.543788810138,1.16188549669898e-83,4.06391796422328e-81
"ENSG00000224577",3.69971083832612,0.635218659209315,375.147665324106,1.4171258341781e-83,4.86314805132664e-81
"ENSG00000107485",3.42120818541516,8.80272884848092,374.432178346529,2.02855504572385e-83,6.83247392067138e-81
"ENSG00000005513",-5.85186198134909,4.04990679647362,373.247913329867,3.67308462340254e-83,1.21465569328082e-80
"ENSG00000143178",-1.99263270347458,2.70572405452206,372.809269860829,4.57651768648655e-83,1.48638756574674e-80
"ENSG00000183044",3.31932700287462,5.38363375788931,371.073639687026,1.09252245254057e-82,3.48610497663296e-80
"ENSG00000183323",1.627706241671,4.98319445284777,364.595211308951,2.81194791370889e-81,8.81788080250643e-79
"ENSG00000075618",-2.62380659850005,7.14481636214259,363.23018688374,5.574791851143e-81,1.71854769811168e-78
"ENSG00000073464",-2.96652096173314,3.63446532312056,362.286412885251,8.9480509339793e-81,2.71245250645359e-78
"ENSG00000206113",3.36812334707151,-0.0275307567455083,360.106132385517,2.66977060954062e-80,7.96029308956144e-78
"ENSG00000137699",-4.48974647625544,6.7080817210583,356.212472563035,1.8806982945801e-79,5.51711944868111e-77
"ENSG00000129151",-5.18554354287684,3.66935673451744,355.858512826365,2.24592472480558e-79,6.4839490309149e-77
"ENSG00000196177",2.59660037281298,6.51024166464575,350.830766941124,2.79401632585378e-78,7.94024514603572e-76
"ENSG00000154645",-4.45423033136751,2.56423527158629,350.119430811247,3.99146078744722e-78,1.11687213541677e-75
"ENSG00000197375",1.70962755633566,4.8802483244507,349.113300230999,6.61046075824278e-78,1.82168273137757e-75
"ENSG00000110171",1.84127320535768,4.68130387213304,348.281834573522,1.00299106075679e-77,2.72274647955888e-75
"ENSG00000196208",3.57165323759139,6.39971786702898,347.053086122124,1.85728906621392e-77,4.96770199063218e-75
"ENSG00000197410",-4.64483410750489,2.48316740223041,346.422552760486,2.54794889440895e-77,6.71624557847972e-75
"ENSG00000197329",-1.76949480115116,5.49707704232645,346.295210659997,2.71595193843839e-77,7.05681912233107e-75
"ENSG00000047346",2.02833286721623,5.91266532123721,345.32334566008,4.4214699402715e-77,1.12815496607823e-74
"ENSG00000146648",-4.48391010291376,7.54106874803063,345.303372367899,4.4659752340902e-77,1.12815496607823e-74
"ENSG00000285043",2.10871462453636,1.25732535420238,344.494236459255,6.70076609334101e-77,1.66950046172173e-74
"ENSG00000123124",2.11437654518899,7.66555142955837,342.355418645352,1.95842731957222e-76,4.81349676869995e-74
"ENSG00000143867",-4.38992553975413,3.53749350311213,339.899902117104,6.70919088843437e-76,1.62702351838459e-73
"ENSG00000158458",-3.55900769220542,0.865491690981617,337.186887539404,2.61531393485784e-75,6.25885919042032e-73
"ENSG00000122863",-2.2605156252248,5.32286062934866,336.812504895815,3.15543915431758e-75,7.45339316087378e-73
"ENSG00000168306",3.95046524560197,4.38584220119683,336.451654812493,3.781366885341e-75,8.81737191161309e-73
"ENSG00000163975",-3.34563676771823,6.02141414857621,335.614178035578,5.75496383286744e-75,1.32495293914168e-72
"ENSG00000073792",-3.81800498152128,4.14327268088317,332.98579342473,2.1502368352819e-74,4.88856344501339e-72
"ENSG00000113719",1.52180630690602,8.28675782237603,332.044830503788,3.44686797337961e-74,7.73970798763312e-72
"ENSG00000129514",4.45842794740477,7.78651556438514,331.691419172408,4.11525560066216e-74,9.12783766644432e-72
"ENSG00000149231",-1.57060724625148,4.14247274393221,331.62560274326,4.25335377307229e-74,9.28101864986882e-72
"ENSG00000158186",-1.98688186026959,5.82393833061568,331.610182598398,4.28637324933462e-74,9.28101864986882e-72
"ENSG00000124126",2.80630853046631,7.55702260535672,331.500628156455,4.52846228720876e-74,9.68984377408859e-72
"ENSG00000050438",3.22091971391159,4.49857216363942,331.280180099588,5.05782774862713e-74,1.06967175688407e-71
"ENSG00000176532",4.05890737816553,4.73811209937252,329.644722915642,1.14859601478239e-73,2.40122578354736e-71
"ENSG00000004838",3.2314732370758,2.94225836942377,328.920582368967,1.65153243778016e-73,3.41341727026655e-71
"ENSG00000254290",4.69555983356791,0.39344574187712,328.368906195523,2.17793239080858e-73,4.45081284539623e-71
"ENSG00000183943",-2.01435951539414,5.84018729335303,326.683685193888,5.07102853279389e-73,1.02479852171617e-70
"ENSG00000118849",-4.24405282021248,7.18831691614687,326.418769049099,5.79157871056589e-73,1.15755201744805e-70
"ENSG00000071051",-1.43847551060996,5.78871931987997,324.668046750661,1.39354885996328e-72,2.75498550706653e-70
"ENSG00000204531",-2.6837493852407,0.597769692279258,323.967046881529,1.98065526447454e-72,3.87356537099601e-70
"ENSG00000229124",-2.98480075393502,2.47650168024266,323.870112472624,2.07932569048716e-72,4.02327400623197e-70
"ENSG00000171604",2.08614551254822,6.4936824861852,323.110028239406,3.04424656148369e-72,5.82829015371215e-70
"ENSG00000228649",-2.94723941403451,1.72026058234716,322.039585716321,5.20762440498936e-72,9.86627840395275e-70
"ENSG00000239445",-2.76283196822011,0.487907236992984,321.997448225875,5.31885234579423e-72,9.97312231601087e-70
"ENSG00000092068",2.74847427095821,6.63377073123086,321.87342004529,5.66022189973547e-72,1.05049097869784e-69
"ENSG00000231826",-5.86856365242202,3.55722624890631,321.312717765336,7.49833244280614e-72,1.37757242898746e-69
"ENSG00000029725",1.68167563212893,6.58559162961017,320.392392286153,1.18967919448518e-71,2.16378851892964e-69
"ENSG00000154928",-3.1111416986557,2.79682632189495,320.244640071032,1.28118958432943e-71,2.30715605542413e-69
"ENSG00000158887",-5.9150015953148,3.96480000515764,319.769954200292,1.62558712752135e-71,2.89864496817239e-69
"ENSG00000168301",1.95896748367489,4.17568547640958,318.606168722629,2.91413662655078e-71,5.14585601589375e-69
"ENSG00000175985",4.00206824937882,2.26401264303381,318.513953319443,3.05208553106425e-71,5.33762804221121e-69
"ENSG00000182253",-3.52478354154409,6.46620896035125,317.861332566527,4.23403185162764e-71,7.33414964927652e-69
"ENSG00000141294",2.66115696332716,2.14577990587045,317.430580673076,5.2551286034257e-71,9.0170074565195e-69
"ENSG00000175040",-2.54028389227369,4.0204198307973,315.714535407901,1.24276099661434e-70,2.11246140246931e-68
"ENSG00000166682",-4.00814688626439,0.893408431807576,315.580333372597,1.32929375282978e-70,2.23862914596926e-68
"ENSG00000222014",4.01445444643411,0.127796124624168,315.333699004949,1.50433877285656e-70,2.51017555969864e-68
"ENSG00000082175",5.75939623479618,6.30540225890424,314.700674014921,2.0665166460231e-70,3.41689134162437e-68
"ENSG00000160191",-2.98670597501025,3.98510670674386,314.630701337024,2.14033260336346e-70,3.50706030540313e-68
"ENSG00000141750",-6.5190908506745,6.28108180459212,314.582330129807,2.19289642237575e-70,3.56110715447948e-68
"ENSG00000109654",-2.57132556260394,5.71971651801535,313.216673194754,4.3501632502288e-70,7.0018379818727e-68
"ENSG00000160307",-4.37541905468028,3.97478592580424,311.943467874491,8.2386773517197e-70,1.31443038309717e-67
"ENSG00000104332",-4.85080224510023,8.30988021615481,311.770256742989,8.98648100487159e-70,1.42127057840526e-67
"ENSG00000046653",-2.33778865702129,4.55601928605789,311.705771776854,9.28190304719325e-70,1.45533838467544e-67
"ENSG00000196196",-4.6010165586,3.23823239800964,310.607263603443,1.61041132060175e-69,2.50343257257305e-67
"ENSG00000165186",-4.94182323709628,3.20536238651126,310.480548489463,1.71609251014546e-69,2.64510937072251e-67
"ENSG00000254615",-3.23898335920703,1.26322968044393,310.287631550806,1.89045431712447e-69,2.88937673276133e-67
"ENSG00000147862",-2.33314374897176,7.45241421548384,309.876093602588,2.32389704388361e-69,3.52225328617958e-67
"ENSG00000160182",8.13227330152477,6.65311119362676,309.586498931874,2.68722051717656e-69,4.03926998069482e-67
"ENSG00000196557",4.23273762202241,5.21952395671084,308.528002874281,4.56974304879998e-69,6.81266283373558e-67
"ENSG00000124249",3.77206787575226,3.33062904705838,308.449196106315,4.7540043174352e-69,7.02974231914727e-67
"ENSG00000072858",3.12995731555997,4.84526588332545,308.405949824393,4.85825868445851e-69,7.12596846394608e-67
"ENSG00000218416",4.47359337844088,2.66469762939596,307.78878883818,6.62106174330537e-69,9.63390967897905e-67
"ENSG00000163704",2.12673731393221,3.73576916237287,306.569520637993,1.22051958256308e-68,1.76181033076645e-66
"ENSG00000109062",2.14810281785764,8.43577099982615,306.448063497942,1.29719220090337e-68,1.85774265748272e-66
"ENSG00000134762",-5.27233614516265,6.06666497161112,306.20789809449,1.46327090136095e-68,2.07921649640258e-66
"ENSG00000128422",-5.0380387667243,8.00735175778368,306.143844835429,1.51105008929484e-68,2.13046349023988e-66
"ENSG00000119787",-1.43969457205497,6.73918664466712,306.014243242423,1.61254871537374e-68,2.25607969501673e-66
"ENSG00000166535",-5.6551179655098,5.47107565485281,305.957264571668,1.659303313438e-68,2.30377165380231e-66
"ENSG00000153551",-2.23398239500107,5.12542494001455,305.090237870996,2.56336526921292e-68,3.53200663003368e-66
"ENSG00000141337",2.16333789495605,3.97394689946004,305.03023574478,2.6416922798549e-68,3.6125638485715e-66
"ENSG00000278948",-2.09206160223556,-0.472619249314039,303.483188720007,5.74005699298909e-68,7.79105646182727e-66
"ENSG00000152284",-2.58652176424512,5.81172596166058,303.135089020095,6.83522304856688e-68,9.20881754128403e-66
"ENSG00000185479",-6.4112956717682,7.01240432477494,302.694869355935,8.52429953488021e-68,1.13999970544413e-65
"ENSG00000230393",4.60753818458374,-0.0655400397599653,302.587504487638,8.99599532522003e-68,1.19430045967228e-65
"ENSG00000165533",1.34318363339101,4.6812348130635,302.540685517535,9.209779113551e-68,1.2138221921541e-65
"ENSG00000196754",-5.76736188519289,5.82254592604147,301.674781988462,1.42198859215479e-67,1.8606567276339e-65
"ENSG00000248429",3.3259002771203,2.61855602404485,300.55123537235,2.49848134256165e-67,3.24588418989366e-65
"ENSG00000062038",-3.16440858021323,7.11376488078324,299.476480774989,4.28379720384636e-67,5.52579457755727e-65
"ENSG00000109452",2.63445679437339,5.63298654240788,299.366115240327,4.52766189312337e-67,5.79923341634704e-65
"ENSG00000223813",3.6605541541143,0.180037193031575,299.210028106823,4.89643938335755e-67,6.22772304227323e-65
"ENSG00000089101",3.12120536209049,0.62639758422718,299.165719787597,5.00649467658427e-67,6.32348091511907e-65
"ENSG00000104783",-2.96716312103986,5.71737940094318,298.46586963803,7.11229096863454e-67,8.92126538879482e-65
"ENSG00000131759",1.83323503940664,6.21929359374962,297.436871186048,1.19178708463151e-66,1.48467284214232e-64
"ENSG00000165071",-3.0020511720646,2.20158289053869,296.895781697157,1.56346273864235e-66,1.93443947553926e-64
"ENSG00000106541",5.34559273292998,8.64381397707367,295.614837288891,2.9728551213414e-66,3.65339790182144e-64
"ENSG00000173320",-2.60328702409725,3.04948042422206,295.349539362154,3.39606602436406e-66,4.14547978866668e-64
"ENSG00000134324",-1.81364762159506,5.93298735727824,293.911651513762,6.98654043257951e-66,8.47141315918374e-64
"ENSG00000175183",-2.45598500401763,4.58251743603852,293.596184657308,8.1845832532821e-66,9.85835762984734e-64
"ENSG00000198863",1.25622618455846,5.40456570852533,293.427622226842,8.90683297583835e-66,1.0657728826615e-63
"ENSG00000185133",2.9780695034053,4.60360675085415,292.345687772069,1.53270704929397e-65,1.82201802696462e-63
"ENSG00000163683",1.90927968683701,7.62193374784134,292.322027507411,1.55100919598942e-65,1.83180228939322e-63
"ENSG00000227036",-3.14418930073461,3.76957501735774,290.814804823412,3.30383663208437e-65,3.87678584931294e-63
"ENSG00000127663",1.6455542383564,6.68490437120413,290.396911484012,4.07448849914647e-65,4.75043569374846e-63
"ENSG00000064225",-2.1055945337659,3.66645440282994,288.341613167671,1.14263443808852e-64,1.32370924585695e-62
"ENSG00000187045",4.03136534779409,2.25394783100295,287.330387024063,1.8977978410367e-64,2.18462956536554e-62
"ENSG00000267287",-3.42348319089131,0.592121171386874,287.194527322973,2.03167157091768e-64,2.32402783219187e-62
"ENSG00000273472",3.53432227416281,2.14619063966905,287.171721692959,2.05505196981927e-64,2.33608032669205e-62
"ENSG00000183888",6.8942517803437,2.29203746963764,286.631060537815,2.69545629107483e-64,3.04502851068752e-62
"ENSG00000234899",-2.82967745481892,1.60071087431834,286.491895897609,2.89038864586384e-64,3.24508572166491e-62
"ENSG00000198947",-2.51446837739915,4.41643489580809,286.402425624335,3.02309520784657e-64,3.37325494725849e-62
"ENSG00000134352",2.54189553064152,8.75312074228644,286.368637998426,3.07478077968055e-64,3.4100068793189e-62
"ENSG00000163739",-4.69856133753207,2.44099488989345,284.793077988532,6.77848176694327e-64,7.47194099255541e-62
"ENSG00000260810",2.94219008568496,-0.858820252080054,284.586410488933,7.51910685731435e-64,8.23840454944779e-62
"ENSG00000204434",5.67371345269892,3.03426148856483,283.767502486419,1.13399539711276e-63,1.23503642411298e-61
"ENSG00000110169",3.94481016024089,3.71601124362114,282.625486237351,2.01125232556421e-63,2.17742007722392e-61
"ENSG00000102316",1.82325059619544,9.17255840538164,282.222831985591,2.4615533514969e-63,2.64915576077075e-61
"ENSG00000174827",4.38622340222784,3.26070282341993,280.272670976845,6.5490229188772e-63,7.00668404991403e-61
"ENSG00000186081",-5.63081093731714,8.72677526147407,280.004600902201,7.49192674208477e-63,7.96860605760455e-61
"ENSG00000120162",-2.23117148186402,4.35347987463168,279.58194013829,9.2618738932365e-63,9.79389316105729e-61
"ENSG00000117115",-3.14038665613456,7.44861906430972,278.885041134966,1.31391325044902e-62,1.38135573405589e-60
"ENSG00000109501",1.63496736955367,6.08192449902814,278.842010049707,1.34259197026082e-62,1.40339441121286e-60
"ENSG00000081923",1.76576544279451,6.31042280112788,278.441293341751,1.64160494585907e-62,1.70614347173056e-60
"ENSG00000149043",-5.04987417129422,3.23962670144011,277.717132059262,2.3609118165844e-62,2.43978773409301e-60
"ENSG00000187699",-2.73053469587548,2.2388613102106,277.58719363853,2.51997619932433e-62,2.58945350922661e-60
"ENSG00000092621",-2.94929980869917,7.54804963420198,276.847175640854,3.65312776356203e-62,3.73275773953181e-60
"ENSG00000162891",5.57162268560425,2.32904162338657,276.639212381756,4.0549502448609e-62,4.12019190243184e-60
"ENSG00000259793",4.06614007515037,-0.25826965094922,276.299972508911,4.80745344680805e-62,4.85766462725249e-60
