"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000054598",-5.00975203044829,-5.01039401960504,6.14088287166342,6.47263556660791e-164,1.17724295685465e-159
"ENSG00000173467",7.65198442028951,7.65675035080718,6.27044966590083,8.55555245827895e-107,7.78041940555888e-103
"ENSG00000150667",5.76935272097374,5.77570843103245,3.83629567521559,5.13522058105375e-95,3.11331306427352e-91
"ENSG00000120262",4.35436559026828,4.35598917399787,4.33444747001145,6.10157472707576e-93,2.50944982228254e-89
"ENSG00000171428",5.40876855100946,5.40954137994615,6.35018683496658,6.89864147317612e-93,2.50944982228254e-89
"ENSG00000114547",-6.54886043376015,-6.5586019953621,3.76557902658097,8.77153708548192e-89,2.65894527517909e-85
"ENSG00000198729",-5.90676176369843,-5.91032512113122,4.64540147496028,1.00546422226557e-86,2.61248332493803e-83
"ENSG00000167614",-5.6796365246429,-5.68259555449896,4.62637187498264,1.24829098977875e-83,2.57581519493521e-80
"ENSG00000154548",-4.04405984156181,-4.05128883165226,1.67680555607144,1.27459515913882e-83,2.57581519493521e-80
"ENSG00000094755",-6.71708658436364,-6.71748435406871,8.59178615617546,1.65225925746265e-81,3.00512913747306e-78
"ENSG00000163064",-5.27202187697007,-5.27352283372222,5.26516638071185,3.14594547779258e-79,5.20167785000832e-76
"ENSG00000186832",-7.07636860633595,-7.07781691267607,7.25140762156876,4.43925179427852e-78,6.72842596952815e-75
"ENSG00000225362",5.64684347767805,5.66609653961307,2.0443885614923,9.0063286140624e-78,1.26005465255821e-74
"ENSG00000100146",-7.29967587344348,-7.30289257185498,6.17420189108118,2.7943988340111e-76,3.63032328521384e-73
"ENSG00000074410",4.40128346577675,4.40138093261,8.31209947892317,3.04040329650114e-74,3.50502133729454e-71
"ENSG00000231367",-4.87092245726945,-4.87666193470785,2.81224679685909,3.0833704308727e-74,3.50502133729454e-71
"ENSG00000163661",-5.19619495739162,-5.20253378916768,3.16299001073301,2.51507500235961e-73,2.69083436134804e-70
"ENSG00000182175",-3.64295310616039,-3.6434693300803,5.13009791442014,2.63082525281672e-72,2.65830276101281e-69
"ENSG00000100219",3.10312273480753,3.1031318365206,10.4683925085974,6.61908883230112e-72,6.33620987799436e-69
"ENSG00000109846",-4.47825730438317,-4.47849461757097,7.14685880074638,5.53768375498133e-71,5.03596960678002e-68
"ENSG00000162482",4.98615753723223,4.98851493960117,4.43836368829893,1.97131816248465e-70,1.70734927329861e-67
"ENSG00000148468",-3.20515621253133,-3.20542392168717,5.61435655069053,2.82157127145866e-70,2.33266992205864e-67
"ENSG00000144681",-4.24599185283003,-4.24973150238449,2.92118369475606,2.82841071638093e-69,2.23665800476245e-66
"ENSG00000091831",5.38298508615677,5.38318083670792,8.69813403672409,3.04790067495176e-68,2.30980072816761e-65
"ENSG00000245750",4.65778404883562,4.663828036805,2.75467322352115,4.8196164685247e-68,3.50636737318109e-65
"ENSG00000233622",5.63863300325681,5.63966394296024,6.11499779227002,1.33472975538837e-67,9.33694799653985e-65
"ENSG00000005513",-5.85186198134909,-5.85693972590326,4.04990679647362,1.3034588988525e-64,8.78048535271457e-62
"ENSG00000163879",4.09554954677043,4.09644237613841,4.93047934012263,1.67516767622176e-63,1.08814106054005e-60
"ENSG00000175356",5.45420139311161,5.45456773196928,7.56337190563618,2.73024078933352e-63,1.71233170608269e-60
"ENSG00000064787",5.34350856007315,5.34512896051343,5.31344138565581,1.61461677503162e-61,9.78888330142506e-59
"ENSG00000119866",-4.26227481679031,-4.26357821021841,4.49376309762507,2.39264511052508e-61,1.40378804097516e-58
"ENSG00000115648",4.03191687610031,4.03204878320951,7.60624867519138,1.36772090462397e-59,7.77378369165647e-57
