"","logFC","logCPM","F","PValue","FDR"
"ENSG00000054598",-5.00976921971902,6.14088287166342,972.257443745089,1.48820470706016e-88,2.70674672120101e-84
"ENSG00000100219",3.10312398481419,10.4683925085974,612.86411900152,1.74187398980777e-69,1.58406020633119e-65
"ENSG00000120262",4.35317208453108,4.33444747001145,599.777723789285,1.19625400423837e-68,7.25248927636252e-65
"ENSG00000148468",-3.205172994111,5.61435655069053,562.164541914534,3.60325355657333e-66,1.63839939217389e-62
"ENSG00000173467",7.62634188205913,6.27044966590083,556.725680124595,8.40630359404465e-66,3.05787699536968e-62
"ENSG00000154548",-4.0433291866804,1.67680555607144,544.822827978882,5.47641087154051e-65,1.66008268219298e-61
"ENSG00000150667",5.76455468967597,3.83629567521559,508.268912421909,2.07180609717811e-62,5.38314418506793e-59
"ENSG00000182175",-3.64311547447974,5.13009791442014,506.237780276279,2.90542225376442e-62,6.60547749393342e-59
"ENSG00000171428",5.40809340635263,6.35018683496658,500.999702749384,6.97868305078388e-62,1.41031430364064e-58
"ENSG00000213064",-1.7641806911289,7.43197899038431,464.435394819593,3.77229826639474e-59,6.86105608691875e-56
"ENSG00000131844",1.9309089156719,7.4509672109916,454.495217537026,2.20666150776522e-58,3.64861450029398e-55
"ENSG00000134830",3.37190322459427,3.83675431343576,447.64785190067,7.55962311203635e-58,1.14578687634764e-54
"ENSG00000074410",4.40141397594116,8.31209947892317,446.427984531747,9.42583067496481e-58,1.31874621781738e-54
"ENSG00000178935",2.52889175403845,5.45425196236295,444.802601816751,1.26547360864509e-57,1.64403099957406e-54
"ENSG00000198729",-5.90545139819429,4.64540147496028,444.269916049842,1.39394541458578e-57,1.69020528003241e-54
"ENSG00000135912",-1.91186784673909,5.85977446401371,435.986824703939,6.32989226279222e-57,7.19550502972905e-54
"ENSG00000114547",-6.54803283402349,3.76557902658097,434.787683759368,7.89203037049666e-57,8.44354402227019e-54
"ENSG00000225362",5.64089295134777,2.0443885614923,424.252695081482,5.57250986061487e-56,5.63071163027018e-53
"ENSG00000144681",-4.24587555021042,2.92118369475606,420.766311808733,1.0712513010228e-55,1.02546940331593e-52
"ENSG00000167614",-5.68188985734305,4.62637187498264,416.444094182818,2.42011430999167e-55,2.20085195350643e-52
"ENSG00000163064",-5.27238790047843,5.26516638071185,412.757643967672,4.87008341499288e-55,4.21795605485193e-52
"ENSG00000231367",-4.87164768053698,2.81224679685909,411.390962076806,6.31767220682226e-55,5.22299191353106e-52
"ENSG00000109846",-4.47823389746686,7.14685880074638,409.963048355324,8.29642985291702e-55,6.56067244195021e-52
"ENSG00000245750",4.65526633289278,2.75467322352115,403.27727898832,2.99490442650502e-54,2.20270641459376e-51
"ENSG00000100139",-1.89726881018151,5.97432087940567,403.220860187236,3.02769190481879e-54,2.20270641459376e-51
"ENSG00000157368",-3.61746091850865,4.00857368103381,401.086138407825,4.57438840573562e-54,3.19996062782767e-51
"ENSG00000143412",2.96790635959115,5.0979076937255,400.48759321872,5.13676410898696e-54,3.43220971311963e-51
"ENSG00000254231",3.39448365297344,2.06268835382522,400.341984838595,5.28380646400647e-54,3.43220971311963e-51
"ENSG00000163879",4.09551333618438,4.93047934012263,397.365105466457,9.42200713818093e-54,5.90922295962878e-51
"ENSG00000146476",3.17831693794488,7.15765723313423,395.912019831371,1.2507725782971e-53,7.58301721802257e-51
"ENSG00000163661",-5.19603321099411,3.16299001073301,385.509649682775,9.6857322123718e-53,5.68271282189091e-50
"ENSG00000162482",4.98668573881742,4.43836368829893,384.526475015399,1.17734317076138e-52,6.69172424681501e-50
"ENSG00000187720",3.60164299951931,6.64797670465232,383.899062575439,1.33373054546524e-52,7.35087610937022e-50
"ENSG00000109436",3.65101061070793,8.48613454403166,380.95345395329,2.3992965027268e-52,1.28348249387044e-49
"ENSG00000115648",4.03196467814712,7.60624867519138,379.487129984498,3.21717828718871e-52,1.67182967678252e-49
"ENSG00000172425",3.71940769368487,-0.0801108675989538,376.938675447683,5.365220167722e-52,2.71062845584799e-49
"ENSG00000094755",-6.71741879056821,8.59178615617546,370.938153369347,1.80366148129322e-51,8.86621487074622e-49
"ENSG00000140511",-3.04274555534933,5.73119349858936,370.103049937431,2.13718260097195e-51,1.02292308280205e-48
"ENSG00000108932",4.13786805392979,5.02395614525839,369.683912052467,2.32735329401663e-51,1.08538209516858e-48
"ENSG00000134755",-2.85780302708177,7.59402691818798,369.357667796499,2.48711254707587e-51,1.1308900751554e-48
