"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000054598",-5.00976921971902,-5.01041106282232,6.14088287166342,1.37173859794958e-75,2.49491816195069e-71
"ENSG00000173467",7.62634188205913,7.63095032190536,6.27044966590083,1.94315272214417e-59,1.76710308551791e-55
"ENSG00000120262",4.35317208453108,4.35479259214553,4.33444747001145,8.83451288929726e-54,5.35607068101795e-50
"ENSG00000150667",5.76455468967597,5.77087602719957,3.83629567521559,3.41024321424081e-53,1.5506375895153e-49
"ENSG00000171428",5.40809340635263,5.40886562946769,6.35018683496658,4.56723505019867e-52,1.66137742186027e-48
"ENSG00000114547",-6.54803283402349,-6.55773191847017,3.76557902658097,2.6386080537616e-50,7.99850054696932e-47
"ENSG00000154548",-4.0433291866804,-4.05055503030801,1.67680555607144,5.64504979274463e-50,1.46674522329199e-46
"ENSG00000198729",-5.90545139819429,-5.90900590806434,4.64540147496028,9.63331761787192e-50,2.19013476042318e-46
"ENSG00000167614",-5.68188985734305,-5.68485131528189,4.62637187498264,1.71191373217523e-47,3.45958744008923e-44
"ENSG00000225362",5.64089295134777,5.65991080914888,2.0443885614923,3.47640088342692e-47,6.32287792677688e-44
"ENSG00000100219",3.10312398481419,3.10313308654353,10.4683925085974,3.12469836158445e-46,5.05999784209909e-43
"ENSG00000163064",-5.27238790047843,-5.27388804686747,5.26516638071185,3.33846349819601e-46,5.05999784209909e-43
"ENSG00000094755",-6.71741879056821,-6.71781671397809,8.59178615617546,7.96013511755588e-46,1.11368413475466e-42
"ENSG00000100146",-7.29681647539309,-7.29999942777078,6.17420189108118,1.17700575822711e-45,1.52909862361676e-42
"ENSG00000182175",-3.64311547447974,-3.64363173584166,5.13009791442014,1.94474059930651e-45,2.35806280134578e-42
"ENSG00000148468",-3.205172994111,-3.20544069996423,5.61435655069053,3.10256121660428e-45,3.35069055881902e-42
"ENSG00000074410",4.40141397594116,4.40151146304792,8.31209947892317,3.13183085000678e-45,3.35069055881902e-42
"ENSG00000231367",-4.87164768053698,-4.87738969593706,2.81224679685909,7.67144787675619e-45,7.75157188791342e-42
"ENSG00000186832",-7.07315802408696,-7.07459482572953,7.25140762156876,3.56985673504205e-44,3.41729233141814e-41
"ENSG00000163661",-5.19603321099411,-5.20234610085858,3.16299001073301,5.56016371379298e-44,5.05641288132334e-41
"ENSG00000109846",-4.47823389746686,-4.47847115615923,7.14685880074638,1.91455485031488e-43,1.65818683892986e-40
"ENSG00000144681",-4.24587555021042,-4.24961240421312,2.92118369475606,2.98166507715952e-43,2.46502383742625e-40
"ENSG00000162482",4.98668573881742,4.98904630870824,4.43836368829893,6.07652121650111e-43,4.80520729937923e-40
"ENSG00000245750",4.65526633289278,4.66128865821664,2.75467322352115,9.56087455571372e-43,7.24554943413838e-40
"ENSG00000091831",5.38238144254933,5.3825769543864,8.69813403672409,1.72943785085793e-41,1.25820062525616e-38
"ENSG00000183888",6.88705151046831,6.92692758857413,2.29203746963764,6.5571670305835e-41,4.5869905366251e-38
"ENSG00000163879",4.09551333618438,4.09640625889458,4.93047934012263,1.02758642234184e-40,6.92212661094567e-38
"ENSG00000160182",8.10872124388949,8.11330222231693,6.65311119362676,1.38810203913552e-40,9.01671424564173e-38
"ENSG00000233622",5.63994779416359,5.64098025564626,6.11499779227002,2.49525467590401e-40,1.56495489811525e-37
"ENSG00000134830",3.37190322459427,3.37298392839523,3.83675431343576,1.56409475199003e-39,9.48258511639822e-37
"ENSG00000119866",-4.26286119613312,-4.26416392404683,4.49376309762507,1.64115124630564e-39,9.62879318316355e-37
"ENSG00000005513",-5.85357431494364,-5.85865922052634,4.04990679647362,6.27073251920777e-39,3.56412759560472e-36
"ENSG00000115648",4.03196467814712,4.03209660127126,7.60624867519138,7.07749230380759e-39,3.90077060671674e-36
"ENSG00000175356",5.4530364299724,5.45340222412764,7.56337190563618,8.42634324598935e-39,4.50759796935454e-36
"ENSG00000157368",-3.61746091850865,-3.61861230281803,4.00857368103381,1.06881315890545e-38,5.55416392404923e-36
"ENSG00000064787",5.34061609090021,5.34223002582382,5.31344138565581,1.63471593848602e-38,8.25894819143995e-36
"ENSG00000108932",4.13786805392979,4.13881198732962,5.02395614525839,2.75869874793403e-38,1.35608683317362e-35
"ENSG00000129151",-5.18162390715519,-5.18611879908491,3.66935673451744,6.2382482333244e-38,2.98582260178169e-35
"ENSG00000172425",3.71940769368487,3.74028553890707,-0.0801108675989538,3.86572768094286e-37,1.80281679643561e-34
"ENSG00000231826",-5.86554678087412,-5.87309568375783,3.55722624890631,4.2752308613633e-37,1.94394747266189e-34
"ENSG00000187720",3.60164299951931,3.60183593011057,6.64797670465232,6.03151670429509e-37,2.67563965409071e-34
"ENSG00000254231",3.39448365297344,3.39840874380765,2.06268835382522,8.42710230501082e-37,3.64933658865564e-34
"ENSG00000109436",3.65101061070793,3.65106896106728,8.48613454403166,1.06061893872024e-36,4.48617145521946e-34
"ENSG00000254290",4.69209949843462,4.72372655210921,0.39344574187712,1.40903733374717e-36,5.82444796049854e-34
"ENSG00000137699",-4.48945223306266,-4.48976560600121,6.7080817210583,1.36176119149998e-35,5.50393612244479e-33
"ENSG00000197410",-4.64447247315992,-4.65127519633415,2.48316740223041,1.86931307478496e-35,7.3911013487367e-33
"ENSG00000154645",-4.45523398442648,-4.46042626869855,2.56423527158629,2.09821328311019e-35,8.11963897727832e-33
"ENSG00000141750",-6.51560601970119,-6.51741406341782,6.28108180459212,3.08354349112087e-35,1.16840602117722e-32
"ENSG00000185479",-6.40964410758785,-6.41066285395314,7.01240432477494,3.64483460029494e-35,1.3529030961258e-32
"ENSG00000230393",4.60123421862004,4.64810187711934,-0.0655400397599653,8.38666195401822e-35,3.05073215239367e-32
"ENSG00000146476",3.17831693794488,3.17842384592412,7.15765723313423,1.03117667707259e-34,3.67745909854829e-32
"ENSG00000224577",3.70018955115832,3.7130545084468,0.635218659209315,1.17797524808465e-34,4.12019496387763e-32
"ENSG00000154655",-3.30472672247704,-3.30618491245589,3.20934409318452,1.43008503657601e-34,4.90762012174425e-32
"ENSG00000146648",-4.48426048893333,-4.48444508907653,7.54106874803063,2.45511330267026e-34,8.26918532388273e-32
"ENSG00000158887",-5.92064590398418,-5.92615347003243,3.96480000515764,3.0902921859277e-34,1.02193153232096e-31
"ENSG00000143867",-4.39012712163111,-4.39268726450024,3.53749350311213,5.19007699096043e-34,1.68566286270693e-31
"ENSG00000143412",2.96790635959115,2.96823132652143,5.0979076937255,6.25950785278944e-34,1.99733208467604e-31
"ENSG00000141424",3.46442000017984,3.46443599769122,10.0851647754799,7.26112481648434e-34,2.27698858900374e-31
"ENSG00000082175",5.75753347823492,5.75866885141173,6.30540225890424,1.0382575153471e-33,3.15039466053864e-31
"ENSG00000166535",-5.65195840576274,-5.65370139187297,5.47107565485281,1.03927688383725e-33,3.15039466053864e-31
"ENSG00000162891",5.58129872951484,5.59636236994909,2.32904162338657,2.18084997508422e-33,6.50250808964456e-31
"ENSG00000165186",-4.940293345937,-4.94515694652616,3.20536238651126,2.94427743309437e-33,8.63718031501941e-31
"ENSG00000129514",4.45841899942561,4.45857790507421,7.78651556438514,3.0216177118245e-33,8.72336237185143e-31
"ENSG00000253125",5.57425245056686,5.58981370940309,2.24418767718415,3.25199194692539e-33,9.2417546141686e-31
"ENSG00000134762",-5.2723550567431,-5.27315638872401,6.06666497161112,3.65235772692069e-33,1.02198588211128e-30
"ENSG00000169035",-6.24815947809709,-6.25287791696136,4.47873964308236,5.7553609617577e-33,1.58603795715832e-30
"ENSG00000167754",-6.48221191917304,-6.48481964082652,5.58776250784599,6.0760281886993e-33,1.64941493576213e-30
"ENSG00000140511",-3.04274555534933,-3.04299239324006,5.73119349858936,7.45118148712942e-33,1.99297189541044e-30
"ENSG00000107485",3.42123982508731,3.42127719314984,8.80272884848092,8.65490693342785e-33,2.28138329427806e-30
"ENSG00000287914",5.43269701548457,5.45751571197064,1.7841057244967,9.0618603942588e-33,2.35453024072542e-30
"ENSG00000196754",-5.76584459879855,-5.76740043856612,5.82254592604147,1.35296201972543e-32,3.46586946686847e-30
"ENSG00000168306",3.9512304710491,3.95232919779908,4.38584220119683,2.15383838044714e-32,5.44083506438508e-30
"ENSG00000176532",4.05877442864746,4.05976353691236,4.73811209937252,2.30281177272266e-32,5.73747130442188e-30
"ENSG00000118849",-4.24400545087141,-4.24422352479381,7.18831691614687,2.51835477937721e-32,6.18970766585306e-30
"ENSG00000196196",-4.60116129615629,-4.60526413699139,3.23823239800964,2.67892939949951e-32,6.49658238907961e-30
"ENSG00000128422",-5.03796714183639,-5.03817171124978,8.00735175778368,2.86931620093004e-32,6.81942411856927e-30
"ENSG00000104332",-4.84978761269696,-4.84997164939488,8.30988021615481,2.8870445190776e-32,6.81942411856927e-30
"ENSG00000222014",4.01631207557425,4.03955235289913,0.127796124624168,3.01493639127541e-32,7.03021321596374e-30
"ENSG00000204434",5.66138252825022,5.67241857814041,3.03426148856483,3.13280117424596e-32,7.21258072875767e-30
"ENSG00000183044",3.3192366546294,3.3195803437451,5.38363375788931,3.19746292106785e-32,7.26943195104775e-30
"ENSG00000073792",-3.81762381599982,-3.8188857567538,4.14327268088317,7.00539947382514e-32,1.57301488432014e-29
"ENSG00000218416",4.47456450344067,4.47971043784101,2.66469762939596,7.55653782914977e-32,1.67607695166556e-29
"ENSG00000106541",5.34578486490229,5.34594712267924,8.64381397707367,7.7470328550417e-32,1.69762691045179e-29
"ENSG00000196208",3.57180687092184,3.57201434946571,6.39971786702898,8.35317762695312e-32,1.80866184141695e-29
"ENSG00000178935",2.52889175403845,2.52908415442505,5.45425196236295,8.87677285187008e-32,1.89942052505662e-29
"ENSG00000206113",3.36808175890517,3.38487918629782,-0.0275307567455083,1.23726724031981e-31,2.61667634499265e-29
"ENSG00000160307",-4.37407126330753,-4.37616392270368,3.97478592580424,1.26523630872307e-31,2.64507103253509e-29
"ENSG00000175985",4.00132089092042,4.00636744753323,2.26401264303381,1.43124465560601e-31,2.9581224768366e-29
"ENSG00000166682",-4.01099829418579,-4.02347121556025,0.893408431807576,1.63246434003552e-31,3.31933386505226e-29
"ENSG00000158458",-3.55936488718777,-3.56906554040103,0.865491690981617,1.64251180918575e-31,3.31933386505226e-29
"ENSG00000255774",6.75469873715323,6.77297599807203,3.75195850489594,2.82663901519251e-31,5.64955059432103e-29
"ENSG00000149043",-5.04376829442759,-5.04929575434748,3.23962670144011,2.98072307536318e-31,5.89275992333755e-29
"ENSG00000134755",-2.85780302708177,-2.85785437623779,7.59402691818798,3.93043754761845e-31,7.68675248560048e-29
"ENSG00000256612",6.73927779559531,6.74133100518042,6.64419546655017,4.97836699097842e-31,9.63261051403356e-29
"ENSG00000196557",4.23262318604552,4.23335666067879,5.21952395671084,8.0842856902688e-31,1.54775776983799e-28
"ENSG00000186081",-5.63062352481073,-5.63081885905301,8.72677526147407,1.05103913919144e-30,1.99128123579311e-28
"ENSG00000163739",-4.69628423230934,-4.70516855185988,2.44099488989345,1.22481679788269e-30,2.29659463091653e-28
"ENSG00000176597",-2.88965711628636,-2.89028578319616,4.02724380501414,1.94707340784358e-30,3.6136093001897e-28
"ENSG00000283526",4.66127753163224,4.69553353852598,0.350758771720119,2.36017150572299e-30,4.33604033798887e-28
"ENSG00000163975",-3.34583323682371,-3.34605201731628,6.02141414857621,4.39394012415125e-30,7.99169829780629e-28
"ENSG00000124249",3.77193578906047,3.77386738454908,3.33062904705838,6.32193834608854e-30,1.13844964988771e-27
"ENSG00000265190",-4.69672582528638,-4.70384080783468,2.42344616335078,8.81336351536272e-30,1.5715436825237e-27
"ENSG00000178568",4.64227305940444,4.64348750642078,5.13475942712246,8.99876142476434e-30,1.58902400770499e-27
"ENSG00000073464",-2.96652883578636,-2.96748022449597,3.63446532312056,9.31409469831498e-30,1.6288918689707e-27
"ENSG00000139865",4.53047235255086,4.53385538313697,3.48255070494165,9.98035614819399e-30,1.72878778688907e-27
"ENSG00000134757",-6.24451358416199,-6.24611875052436,6.10951018152646,1.03292567801422e-29,1.77234455016252e-27
"ENSG00000259725",4.29984197093782,4.32515683627065,0.289885356825086,1.29922929864556e-29,2.20844696109957e-27
"ENSG00000182253",-3.52486762184181,-3.52504923358381,6.46620896035125,1.58512685972723e-29,2.66947104858508e-27
"ENSG00000268104",-5.68539934479706,-5.68803628689766,4.96583398289861,1.86737501065335e-29,3.11594648566635e-27
"ENSG00000136457",4.77725823187267,4.78107538212414,3.59686213417076,2.13020540711657e-29,3.52219781314875e-27
"ENSG00000259793",4.05242445369264,4.08923941418381,-0.25826965094922,2.16715593410297e-29,3.55101190355538e-27
"ENSG00000223813",3.65977934019053,3.67866875827263,0.180037193031575,2.78236549769719e-29,4.51836282786754e-27
"ENSG00000050438",3.22098381278482,3.22161919220165,4.49857216363942,4.56560140553896e-29,7.34859808530465e-27
"ENSG00000004838",3.23146370341619,3.23328323807834,2.94225836942377,5.09654527665309e-29,8.13122504313741e-27
"ENSG00000187045",4.0300976860646,4.03651400519927,2.25394783100295,5.51545710817844e-29,8.72305512030865e-27
"ENSG00000174827",4.38867108539256,4.39222685324555,3.26070282341993,5.88962992837342e-29,9.23453354631515e-27
"ENSG00000230873",4.56306952257559,4.56614435506794,3.58344719172302,6.37442349441089e-29,9.90923200994404e-27
"ENSG00000137673",-4.47806771956838,-4.47821688278208,7.83198523607941,1.00408235188827e-28,1.54764828950371e-26
"ENSG00000224559",5.95417679049162,5.97013787645028,2.83855712074716,1.60686209172108e-28,2.45593342220361e-26
"ENSG00000197308",4.30763787755618,4.31358376150217,2.57378401816036,2.5455526841704e-28,3.85820935164094e-26
"ENSG00000110169",3.94414694796346,3.94615301392698,3.71601124362114,3.57085043912856e-28,5.36748989974134e-26
"ENSG00000171243",-4.76971355375743,-4.77343111626951,3.57167071572375,3.62363454211334e-28,5.37811899722159e-26
"ENSG00000204248",-4.65250864233244,-4.65586764875024,3.61053627929692,3.63706090091409e-28,5.37811899722159e-26
"ENSG00000254615",-3.23908084069956,-3.24496674222408,1.26322968044393,4.49312359548402e-28,6.5903977382793e-26
"ENSG00000214530",2.55607336713486,2.55611698051636,7.55104101397841,5.13239502502589e-28,7.46784005721367e-26
"ENSG00000154928",-3.11117794591592,-3.11286945866791,2.79682632189495,6.39522982490179e-28,9.23146349645348e-26
"ENSG00000126010",5.20256896843743,5.21020582721366,3.1956957572119,9.44843212961459e-28,1.35313451632622e-25
"ENSG00000186910",5.26059426829642,5.26856584335416,3.00360457332923,1.45429507206451e-27,2.06646240396166e-25
"ENSG00000077274",-5.63751215851086,-5.63956291790469,5.24468158055926,1.58095412985743e-27,2.22902276851527e-25
"ENSG00000174607",-4.27703937076205,-4.27850373955338,4.25745181357154,1.64763008815248e-27,2.30516123410133e-25
"ENSG00000267287",-3.42532659984946,-3.43582774415819,0.592121171386874,2.01201975638126e-27,2.79348208618796e-25
"ENSG00000229124",-2.98472192839542,-2.98675392045787,2.47650168024266,2.24028196159619e-27,3.08683699375087e-25
"ENSG00000248429",3.32577852244297,3.3283464943244,2.61855602404485,2.37396959839632e-27,3.24644804929566e-25
"ENSG00000272620",-5.15513511299935,-5.15964722625386,4.0544968651062,2.42920340784813e-27,3.29719041656282e-25
"ENSG00000075618",-2.62382652000068,-2.62388634708936,7.14481636214259,2.66165675260658e-27,3.58594170491915e-25
"ENSG00000273472",3.53370452206619,3.5380925302313,2.14619063966905,2.8826590771228e-27,3.85513259519922e-25
"ENSG00000228649",-2.94681131677953,-2.95066356496478,1.72026058234716,3.79604167211344e-27,5.03959167389776e-25
"ENSG00000170549",-4.55322097504772,-4.5560871714778,3.66187917084973,4.55702130956696e-27,6.00602199843506e-25
"ENSG00000092758",-4.33590858966665,-4.33719682910031,4.47965537242181,4.63307005800941e-27,6.06232217374642e-25
"ENSG00000117472",4.01558655937256,4.01597963965892,6.01882880099994,5.33458378891717e-27,6.93038642520181e-25
"ENSG00000072858",3.129633018059,3.13011849447487,4.84526588332545,6.666503289156e-27,8.59931644135952e-25
"ENSG00000182600",-4.14605237538111,-4.14856701266314,3.27936089449004,6.92974699180204e-27,8.87593227372504e-25
"ENSG00000186684",-3.87533732709737,-3.88208265560342,1.63861099663433,7.28430762989526e-27,9.26482427779965e-25
"ENSG00000003989",4.22489594985288,4.22506236009389,7.44152401430712,7.36574971110985e-27,9.30335109344902e-25
"ENSG00000108176",3.79890955418916,3.79969759768453,5.0904717955501,8.91329961087002e-27,1.1180351263621e-24
"ENSG00000169347",6.95188740993154,6.96639309843952,4.20990027607163,9.18293641512284e-27,1.14396744875517e-24
"ENSG00000144218",3.93969434455727,3.93992917168311,6.79371005243867,9.61449001909462e-27,1.18958057460743e-24
"ENSG00000160191",-2.98685518061826,-2.98753963368887,3.98510670674386,1.00892067623792e-26,1.23988170671724e-24
"ENSG00000147041",4.75894536363058,4.76301844204269,3.34617227130186,1.03814610026003e-26,1.26723498466641e-24
"ENSG00000248360",4.36078034837269,4.36443732024107,3.31451975467384,1.23916205837977e-26,1.50252530118742e-24
"ENSG00000089101",3.12125886987853,3.13056918343515,0.62639758422718,1.34484180357185e-26,1.61986640552085e-24
"ENSG00000186868",3.77041693694328,3.77068540960561,6.23665328990891,1.43086238347635e-26,1.71213980464921e-24
"ENSG00000124126",2.80623844462806,2.80629578161588,7.55702260535672,1.48018663256892e-26,1.75958395249435e-24
"ENSG00000181617",-8.03753368909335,-8.03857496720306,9.11520157193653,1.604291610504e-26,1.89473089687317e-24
"ENSG00000062038",-3.16443143010829,-3.16452757531961,7.11376488078324,1.74389164943979e-26,2.04631621419425e-24
"ENSG00000168309",-3.89874291482082,-3.89987068807654,4.21918430321833,1.892206906303e-26,2.20611918024608e-24
"ENSG00000169083",3.84783549430836,3.84801181964404,7.00836337514337,1.97274422854601e-26,2.28536764514617e-24
"ENSG00000110693",-3.54748402337777,-3.54939606314728,3.08840586825356,3.2822906674302e-26,3.77837358602661e-24
"ENSG00000196177",2.59655478905279,2.59665596367084,6.51024166464575,3.53454854242085e-26,4.0431678546887e-24
"ENSG00000188910",-4.48943363113312,-4.49303197876563,3.23381933935504,3.82670348703667e-26,4.32352115132882e-24
"ENSG00000239445",-2.76239663338151,-2.7691085718779,0.487907236992984,3.82717673941027e-26,4.32352115132882e-24
"ENSG00000186847",-5.51224475788942,-5.51255196681893,7.79410040612242,4.83216818396858e-26,5.42515277345806e-24
"ENSG00000251141",4.70602713356372,4.70756050520909,5.0608429026621,5.21108823535209e-26,5.81467931439165e-24
"ENSG00000227036",-3.14438350729437,-3.14527722315731,3.76957501735774,5.84061612038555e-26,6.47738573155929e-24
"ENSG00000184454",-3.94847243073508,-3.9507479322274,3.24157296311058,7.86241513468556e-26,8.6667640284643e-24
"ENSG00000165071",-3.00204695282536,-3.00464726725348,2.20158289053869,9.18144131056259e-26,1.00597623226815e-23
"ENSG00000185634",-4.44719211162689,-4.44921879158402,4.16697064418112,9.7644651041361e-26,1.06344964858699e-23
"ENSG00000204677",3.50865605944184,3.51714506722832,0.966218123661679,1.02104688480445e-25,1.10540480600139e-23
"ENSG00000090534",3.3915838351902,3.40027737213827,0.826395702735929,1.17963075433798e-25,1.26953397395853e-23
"ENSG00000204531",-2.68346072053006,-2.68956643975848,0.597769692279258,1.37699483678411e-25,1.47322247596643e-23
"ENSG00000092068",2.74852990852469,2.74863205899159,6.63377073123086,1.52053951928011e-25,1.61728495769981e-23
"ENSG00000104783",-2.9673227812244,-2.9675243448447,5.71737940094318,1.55933043740471e-25,1.64890127880912e-23
"ENSG00000163491",3.73650941485007,3.73938624701091,2.89295253562692,1.76818919353686e-25,1.8589494249739e-23
"ENSG00000163017",-4.90212501925105,-4.90247060026425,7.08317621705975,2.02461740267725e-25,2.11630697240769e-23
"ENSG00000206075",-4.587954683687,-4.58856566303784,6.02565793022399,2.92247543326576e-25,3.03737046744215e-23
"ENSG00000064886",-3.98419704887666,-3.9844729402594,6.42409992961312,3.18061663407324e-25,3.28687814434796e-23
"ENSG00000205426",-5.50766732353432,-5.50818842166315,7.39592275446693,3.47541877243566e-25,3.57123822785648e-23
"ENSG00000135069",-3.43962177777409,-3.44003124078703,5.3136424982546,3.53546491298729e-25,3.61253010322544e-23
"ENSG00000180537",-4.09693245599529,-4.10200534473786,2.25008486871595,3.79584240703592e-25,3.85691517872454e-23
"ENSG00000143473",3.56564565643622,3.57897075015145,0.491059853100581,4.54112979073574e-25,4.58855936855009e-23
"ENSG00000132554",4.33049727875055,4.33679081214948,2.42102207000002,4.57002930068397e-25,4.59224822767072e-23
"ENSG00000185133",2.97824967659157,2.97873545524743,4.60360675085415,4.68730062008646e-25,4.68421009220509e-23
"ENSG00000117115",-3.14034838529361,-3.1404201729427,7.44861906430972,4.86968888921619e-25,4.83988532880131e-23
"ENSG00000260810",2.94228195349948,2.96428198049427,-0.858820252080054,5.69793218924557e-25,5.63228210097818e-23
"ENSG00000263639",5.93723216782244,5.93993740858331,5.21776932057036,6.2399793332966e-25,6.134742925081e-23
"ENSG00000114654",3.20998469514461,3.21307865429569,2.25746581972629,6.46940302631123e-25,6.32610227110477e-23
"ENSG00000141294",2.66061602281725,2.66269623868032,2.14577990587045,6.7955370849502e-25,6.60947745995049e-23
"ENSG00000200087",-6.26948084180971,-6.27538315039584,4.88960362881943,7.54788722254624e-25,7.30217940445058e-23
"ENSG00000086570",-3.61812759050448,-3.61944605382151,3.74246049707348,8.55517300886849e-25,8.23288289340212e-23
"ENSG00000259459",4.25388173227211,4.25787733833943,2.86571167268177,1.01798395136007e-24,9.74478531965104e-23
"ENSG00000128510",-4.03273277691301,-4.03423473410224,3.93698027668161,1.23909742225226e-24,1.17993214219498e-22
"ENSG00000279930",3.6992276002947,3.72122022204463,-0.17703973109029,1.66516784536656e-24,1.57739962351703e-22
"ENSG00000117013",-3.199135490092,-3.20097758794676,2.80214130793203,1.89985016496293e-24,1.7903872953547e-22
"ENSG00000099769",3.22492128952382,3.2342016783883,0.585596280540132,1.9277825398878e-24,1.80734581626182e-22
"ENSG00000106714",-3.42754981043212,-3.43654317161421,0.885370827292698,1.99455499531847e-24,1.86035724383858e-22
"ENSG00000204385",4.02468698663821,4.02499550698557,6.28268212315148,2.0051378969427e-24,1.86068612599968e-22
"ENSG00000168350",3.23096702398725,3.23135056226227,5.36869399179335,2.62512534797693e-24,2.42364364614236e-22
"ENSG00000138131",-3.5444500622691,-3.54557258907313,3.92740610306076,3.01642191113484e-24,2.77084251109699e-22
"ENSG00000105388",6.11818794445947,6.12016178886525,5.77223742815946,3.31739523281064e-24,3.0319992208221e-22
"ENSG00000175592",-3.08013196857559,-3.08187191419231,2.8329776933206,3.64701070292799e-24,3.31659153324272e-22
"ENSG00000166106",3.55121761865093,3.55158876991604,5.59018776452883,5.80714437175555e-24,5.23665989181413e-22
"ENSG00000092621",-2.94945290827906,-2.94950960344814,7.54804963420198,5.81595171622198e-24,5.23665989181413e-22
"ENSG00000141744",6.63688903367455,6.64464076597174,4.19209880828648,5.98184911377897e-24,5.35950106804985e-22
"ENSG00000234899",-2.82945672742676,-2.83265915607879,1.60071087431834,6.1527959188213e-24,5.4856398123295e-22
"ENSG00000286208",5.90013991467922,5.91524848928003,2.91835842540579,6.60127006033861e-24,5.85677560280188e-22
"ENSG00000260807",-3.85982117915545,-3.86323400821801,2.65221896018197,6.68190129439318e-24,5.89953498749627e-22
"ENSG00000164825",-4.69315930820112,-4.69756075158751,3.17446101483891,6.99912721497733e-24,6.14976453072501e-22
"ENSG00000160180",4.98022113641788,4.980608716102,6.97236112790467,7.47895299993423e-24,6.53976909436556e-22
"ENSG00000105880",-3.73302582845932,-3.73685835593051,2.46346393221133,8.32413364256067e-24,7.2439876885595e-22
"ENSG00000109654",-2.5713240777746,-2.57147889899607,5.71971651801535,8.82756451798062e-24,7.62062384023826e-22
"ENSG00000175040",-2.54031852281126,-2.54086045667515,4.0204198307973,8.84072811903603e-24,7.62062384023826e-22
