"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",3007.02833526607,-0.00541775719657847,0.174531876231018,-0.0310416487439079,0.97523632476925,0.982148298721103
"ENSG00000000419",2500.7021594766,-0.581448244725822,0.0988274927321696,-5.88346651980328,4.01761396525142e-09,4.86500418109141e-08
"ENSG00000000457",1908.49495167035,-0.117174725646202,0.103737498098078,-1.12953105477268,0.258673876804854,0.355344446474825
"ENSG00000000460",691.041561313769,-0.383033095524347,0.115165502967196,-3.32593602819977,0.000881221509903176,0.00275815811772827
"ENSG00000000938",558.708549503549,0.0392940580395892,0.127599662187498,0.307947978591428,0.758121916932425,0.816570045181271
"ENSG00000000971",3599.43924143957,0.115069745321968,0.151575191210776,0.759159493072689,0.447757153970686,0.547806593675893
"ENSG00000001036",2958.00773268988,-0.76353990924126,0.12725776929788,-5.99994729951611,1.9738157952671e-09,2.57530571623516e-08
"ENSG00000001084",2092.36610077837,-0.0816502132076194,0.130927569062075,-0.623628879635788,0.532871339882061,0.626372644592188
"ENSG00000001167",3101.54959647512,-0.28212030993107,0.0924455064320443,-3.05174714077048,0.00227513669386829,0.00634470809384797
"ENSG00000001460",649.585751778483,-0.0121274323272938,0.0908033379103076,-0.133557120326048,0.893752793341041,0.924084805030234
"ENSG00000001461",2503.18397056281,0.350853501478865,0.114634934229016,3.0606158919927,0.00220882259490673,0.00618824173693215
"ENSG00000001497",3449.97616868023,-0.413447635341945,0.0869303409822964,-4.75607976076091,1.9738850757998e-06,1.24742952601274e-05
"ENSG00000001561",1677.32866248517,0.552821165110521,0.187377998332188,2.95029923486784,0.00317466293783758,0.00844904441226074
"ENSG00000001617",6210.41002186745,0.464316870428356,0.120499185959894,3.85327806764516,0.000116546902986308,0.000467318137459207
"ENSG00000001629",4958.59429689329,-0.155050602775946,0.10418606905144,-1.48820858861076,0.136695892960684,0.211054745430299
