"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000134352",2.06125315648388,8.83795468624824,199.863924411926,2.23628260644898e-45,4.06735080460941e-41
"ENSG00000131748",-2.81311516548014,7.67172336025165,173.87104198578,1.05620087586814e-39,9.60509076514485e-36
"ENSG00000141738",-3.33809872434356,7.50032530491742,165.466358477363,7.23495518939311e-38,4.38631216615606e-34
"ENSG00000164128",6.1510998492575,7.28246327212507,160.551777269928,8.57221208933656e-37,3.89778483702133e-33
"ENSG00000171848",-2.28624163017612,6.40383158575203,153.184332300096,3.4913027168319e-35,1.26999627627477e-31
"ENSG00000176887",-4.19020210633206,5.18288491779809,148.656518816455,3.40895511977531e-34,1.03336792864122e-30
"ENSG00000082175",4.83913399138288,6.72587994287248,141.554982972455,1.21671214741798e-32,3.08583012644172e-29
"ENSG00000160211",-2.18339763050485,7.21036525527819,141.337801521124,1.35730377235176e-32,3.08583012644172e-29
"ENSG00000165480",-1.82071973270275,3.4986731728349,140.689292480316,1.88141222559759e-32,3.80212506212989e-29
"ENSG00000141741",-2.97416404103449,7.38609162095615,140.461839678849,2.10970254649115e-32,3.83712699155811e-29
"ENSG00000161395",-2.86509356364819,7.87650335373344,136.25279270129,1.75678413696751e-31,2.90476271665137e-28
"ENSG00000140443",1.9994535269281,7.32835600802909,134.795812043314,3.65930822594121e-31,5.54629150111823e-28
"ENSG00000251141",4.66291028831616,5.38556329120972,132.44077668981,1.19828605123324e-30,1.6764943615254e-27
"ENSG00000141736",-3.16446547525479,11.3727072339499,130.825429213188,2.70367506275667e-30,3.40960651411012e-27
"ENSG00000134830",2.56501518649448,4.18331907600594,130.747470353192,2.81196930457729e-30,3.40960651411012e-27
"ENSG00000130045",3.78408696656845,1.45821688167317,124.663552415461,6.02986197737507e-29,6.85444560278111e-26
"ENSG00000141424",2.06337428961643,9.36803191068304,119.815365619902,6.94313687342226e-28,7.42833961492965e-25
"ENSG00000166451",-1.60932105839531,2.95358624873929,119.252703049839,9.22023661655391e-28,9.31653686566014e-25
"ENSG00000087586",-1.83575021643506,4.86254194087079,118.468686022055,1.36898404028664e-27,1.31047798551229e-24
"ENSG00000138180",-1.84745050802995,4.67142694641708,118.308484592415,1.48413961353618e-27,1.3496765645498e-24
"ENSG00000129810",-1.73862969252396,2.20461843362127,118.032387136827,1.70579824706522e-27,1.47738373893439e-24
"ENSG00000093009",-1.84342939229791,3.49043397542796,117.631013003129,2.08839465585834e-27,1.72653281821598e-24
"ENSG00000101493",1.73184711055457,4.55202669160892,116.24717750771,4.19600659006956e-27,3.31812903739935e-24
"ENSG00000186193",-2.10916078373765,4.15061942808437,115.665605809632,5.62592475017414e-27,4.26351330650697e-24
"ENSG00000171428",3.25973098493693,7.15139676514821,115.241940753876,6.96586754796446e-27,5.04633870280067e-24
"ENSG00000011426",-1.93822496860989,5.70108460551192,115.172582131927,7.21381164904428e-27,5.04633870280067e-24
"ENSG00000175356",3.61767762579431,8.04724474184039,113.710709853602,1.50776518436467e-26,1.01567530271203e-23
"ENSG00000113739",3.2221987971959,8.27087448428124,113.487961914037,1.68702458694538e-26,1.09584297097723e-23
"ENSG00000091831",3.30157028723172,8.50418013039281,112.138115899586,3.3326589675707e-26,2.09015176904055e-23
"ENSG00000174371",-1.71522378424918,3.90437751724342,111.351392133969,4.95596645787717e-26,2.92318445362451e-23
"ENSG00000100526",-1.65313849940656,3.6385224394529,111.340871868718,4.98233549936001e-26,2.92318445362451e-23
"ENSG00000127084",2.56704528573299,5.73338544959486,111.126994063112,5.54991432577596e-26,3.15443255491291e-23
"ENSG00000196932",2.89012794601642,3.66217892329481,110.651327082853,7.05490925943174e-26,3.79821964835274e-23
"ENSG00000163491",3.28369582099606,3.70396456947053,110.638625474544,7.10025665515687e-26,3.79821964835274e-23
"ENSG00000171241",-1.77740891767628,3.94632636545329,109.876033998651,1.04314455666428e-25,5.42077519903138e-23
"ENSG00000186868",2.68412213646822,6.69393492133063,109.505157470186,1.25776845125871e-25,6.35452571985929e-23
"ENSG00000226054",-1.64445194252479,1.02159327476139,109.327326638816,1.3758241222553e-25,6.7631051717782e-23
"ENSG00000164045",-1.68097394278248,3.03827425292148,108.876011620542,1.72761606638818e-25,8.26891605670218e-23
"ENSG00000197977",3.83418816445275,4.89675475043408,108.761657108919,1.83021951263252e-25,8.53539294763085e-23
"ENSG00000227471",-6.27093750367412,5.7354904006228,108.586161695566,1.99965934816886e-25,9.09245105612379e-23
"ENSG00000088305",-1.79117590590664,3.59080422847508,108.231774410399,2.39115407454239e-25,1.06073927579944e-22
"ENSG00000075218",-1.70823073617648,3.696220205296,107.763783725076,3.02799218898305e-25,1.3112648079339e-22
"ENSG00000091651",-1.81268252634311,2.9965160356793,107.601743843885,3.28595960003827e-25,1.38988449315107e-22
"ENSG00000157303",3.35459975032576,5.59318728300035,106.814231761909,4.88916767969479e-25,2.0210041308702e-22
"ENSG00000123485",-1.69220095437748,3.99107779351679,106.388331421004,6.06135912406746e-25,2.42341398035689e-22
"ENSG00000092853",-1.70830060127524,3.70878040121378,106.366289721012,6.12915345812717e-25,2.42341398035689e-22
"ENSG00000134690",-1.40098807048789,4.3843033760124,105.540118851175,9.29959179040036e-25,3.59874415922982e-22
"ENSG00000094804",-2.75386107427554,5.74592222784291,105.209699562967,1.09870745606189e-24,4.16318566892786e-22
"ENSG00000105173",-2.12828788061934,2.92685645367339,104.649399222371,1.45776711579082e-24,5.41099353102111e-22
"ENSG00000112183",4.39830389475207,2.62995708541965,104.03781499841,1.9849127974129e-24,7.22031879186917e-22
"ENSG00000261061",-1.63301701183018,2.19788228247918,103.994684829787,2.02859530111192e-24,7.23452771306345e-22
"ENSG00000134759",1.20219848077639,7.04060536247158,103.848146637697,2.18432043074588e-24,7.64008076815501e-22
"ENSG00000178750",-3.02091661776125,1.05776183141954,103.712595401337,2.33899519122027e-24,8.02352369469992e-22
"ENSG00000073605",-2.96645357135953,5.09673870827914,103.676352134072,2.3821765972828e-24,8.02352369469992e-22
"ENSG00000072571",-1.45708183102649,3.85321892772694,102.810789173233,3.68735880363591e-24,1.19786153634377e-21
"ENSG00000145386",-1.63544575973217,4.39563290823075,102.810359002881,3.68815955768921e-24,1.19786153634377e-21
"ENSG00000171791",2.12594733287873,6.2310222416025,102.321981310893,4.71926421733288e-24,1.50585925587457e-21
"ENSG00000154269",-3.91630415361842,4.08343474278079,102.126577282001,5.20850482088603e-24,1.63331527038405e-21
"ENSG00000178999",-1.6375791165575,3.40787972696684,102.036541327181,5.45069740388289e-24,1.6802929556241e-21
"ENSG00000135698",-1.93098816965533,5.45369435958018,101.358946334544,7.67378503273819e-24,2.32618003625737e-21
"ENSG00000182481",-1.61857972550671,7.52852951163986,100.771766136604,1.0321717859483e-23,3.07756400702095e-21
"ENSG00000112742",-1.65958293096005,4.03658550174036,100.709326416173,1.06522815752855e-23,3.12489834340794e-21
"ENSG00000051341",-1.59281659683421,3.12154095323743,100.473984369863,1.19962336077322e-23,3.46329360091163e-21
"ENSG00000142945",-1.57235873526568,4.53331820177518,100.303243744641,1.30762458521477e-23,3.69417648529462e-21
"ENSG00000085840",-1.56719034618702,2.7541691583575,100.284258243585,1.32021921895838e-23,3.69417648529462e-21
"ENSG00000134533",2.15703127908541,5.68318007926428,100.11961178483,1.43465867708853e-23,3.95357151801307e-21
"ENSG00000147689",-4.42994394454932,4.14489992650542,99.9637850799428,1.55209290656083e-23,4.21335310216841e-21
"ENSG00000173894",-2.49399901124501,5.02573241461449,99.5359601630189,1.92633694648534e-23,5.15238476215814e-21
"ENSG00000244274",2.14390198092055,-0.504796277586471,99.1682780815794,2.31932497326403e-23,6.11360617590234e-21
"ENSG00000121152",-1.54949942780124,4.2314640710991,99.0480085046678,2.46454218129489e-23,6.40358474191306e-21
"ENSG00000111206",-1.6134730943295,5.0073747180911,98.9720153699403,2.56095185453816e-23,6.5603651169493e-21
"ENSG00000148053",2.19010844487708,5.01359701554417,98.3606953500355,3.48712324301791e-23,8.80886077000136e-21
"ENSG00000174827",3.82553403119477,3.38826754610162,97.8969428576829,4.40733616754525e-23,1.09033405738275e-20
"ENSG00000115233",-0.872987410179332,6.40845464704384,97.8840386793214,4.43615132209826e-23,1.09033405738275e-20
"ENSG00000189057",-1.8540033710923,5.16902019600012,97.7734462630893,4.69096171707934e-23,1.13758948946985e-20
"ENSG00000278811",-4.48670604947515,2.20826123390986,97.7295963782387,4.79600117847757e-23,1.14775880834408e-20
"ENSG00000101057",-2.18365605652887,5.8612035163418,97.3369397481998,5.84791057052803e-23,1.38132204489304e-20
"ENSG00000157456",-1.55320374064881,4.57824202215714,97.2815478545128,6.0138156142093e-23,1.40229844091332e-20
