"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000164128",6.1510998492575,6.1530301376674,7.28246327212507,4.65182344378681e-30,8.46073647955944e-26
"ENSG00000082175",4.83913399138288,4.83963870692973,6.72587994287248,2.68823566836895e-24,2.44468151681473e-20
"ENSG00000176887",-4.19020210633206,-4.19102426949403,5.18288491779809,1.70956773394337e-23,1.03645393149874e-19
"ENSG00000251141",4.66291028831616,4.6641032866048,5.38556329120972,1.65792450922938e-22,7.538582743466e-19
"ENSG00000141738",-3.33809872434356,-3.33818158994969,7.50032530491742,2.44830994617895e-22,8.90597226022054e-19
"ENSG00000227471",-6.27093750367412,-6.273799591911,5.7354904006228,1.8828356749806e-21,5.70750254275787e-18
"ENSG00000131748",-2.81311516548014,-2.81316612664712,7.67172336025165,4.54619328876735e-20,1.18123090765858e-16
"ENSG00000130045",3.78408696656845,3.79386336301753,1.45821688167317,4.47109569658549e-19,1.01650360661871e-15
"ENSG00000141741",-2.97416404103449,-2.97423395343548,7.38609162095615,1.32475972214181e-17,2.67719220292391e-14
"ENSG00000141744",-5.43098756539232,-5.43378513517892,4.88437506399462,1.53823804752599e-17,2.72241349122704e-14
"ENSG00000141736",-3.16446547525479,-3.16447045945926,11.3727072339499,1.64650035207266e-17,2.72241349122704e-14
"ENSG00000112183",4.39830389475207,4.40472729343973,2.62995708541965,2.20070019986203e-17,3.33552793625755e-14
"ENSG00000147689",-4.42994394454932,-4.43194289123874,4.14489992650542,2.51293759854092e-17,3.51579300325094e-14
"ENSG00000175356",3.61767762579431,3.61774859238368,8.04724474184039,3.65592528601975e-17,4.65243054240235e-14
"ENSG00000278811",-4.48670604947515,-4.49406770329399,2.20826123390986,3.83695063426629e-17,4.65243054240235e-14
"ENSG00000197977",3.83418816445275,3.83508150348042,4.89675475043408,4.99277311953707e-17,5.67553484363376e-14
"ENSG00000161395",-2.86509356364819,-2.86513973870099,7.87650335373344,1.43907209815177e-16,1.53963784242261e-13
"ENSG00000154269",-3.91630415361842,-3.91775360595142,4.08343474278079,2.461220542589e-16,2.48692662381159e-13
"ENSG00000158104",-4.96299125449814,-4.97198476035987,2.94660658285556,4.5352047682902e-16,4.23800488592036e-13
"ENSG00000171428",3.25973098493693,3.25986666338155,7.15139676514821,4.8074685913981e-16,4.23800488592036e-13
"ENSG00000096006",-6.01125113225666,-6.0118489289783,7.85524044291301,4.89323194437693e-16,4.23800488592036e-13
"ENSG00000091831",3.30157028723172,3.30165792078873,8.50418013039281,7.10333070408791e-16,5.8725172202705e-13
"ENSG00000174827",3.82553403119477,3.82798904005962,3.38826754610162,9.51030459809804e-16,7.38560628063717e-13
"ENSG00000113739",3.2221987971959,3.2222509892455,8.27087448428124,9.7456867569437e-16,7.38560628063717e-13
"ENSG00000163491",3.28369582099606,3.28505319332836,3.70396456947053,1.34203399813466e-15,9.76356574322928e-13
"ENSG00000228793",-3.98466591039515,-3.99151589247742,1.82083157588881,2.01210440997163e-15,1.40754442340631e-12
"ENSG00000157303",3.35459975032576,3.35499072961658,5.59318728300035,2.10660457718857e-15,1.41907126110762e-12
"ENSG00000134352",2.06125315648388,2.0612663924994,8.83795468624824,3.39937559251724e-15,2.20813725988227e-12
"ENSG00000023839",-3.60884504249788,-3.61071847139728,3.75091531518595,2.00409643035027e-14,1.25691399569692e-11
"ENSG00000134830",2.56501518649448,2.56561667449157,4.18331907600594,2.50694150661911e-14,1.51987507074628e-11
"ENSG00000189377",-4.39743061885405,-4.39773064543618,6.72286656136019,2.95441515854192e-14,1.73338396463098e-11
"ENSG00000237686",-4.284128647578,-4.28607793657083,4.04148381081402,3.2330853570987e-14,1.83760488984097e-11
"ENSG00000171848",-2.28624163017612,-2.28632761020354,6.40383158575203,4.15633550297153e-14,2.2907706099408e-11
"ENSG00000178750",-3.02091661776125,-3.02669659050582,1.05776183141954,6.94554428026508e-14,3.71545762851357e-11
"ENSG00000196932",2.89012794601642,2.89115774004012,3.66217892329481,7.98846502126604e-14,4.15126290876533e-11
"ENSG00000114757",4.12279797471,4.12939976994795,2.06467328288211,8.49361352001402e-14,4.29116229727819e-11
"ENSG00000073605",-2.96645357135953,-2.96679124699742,5.09673870827914,1.16189558126391e-13,5.71150184649406e-11
"ENSG00000287914",3.70433012139364,3.71645302717127,1.85246727852219,1.43396553109288e-13,6.86341186303087e-11
"ENSG00000166743",-4.6343264443257,-4.63524866198881,5.57449344084734,2.01502076137989e-13,9.39723015589166e-11
"ENSG00000159212",3.88115128984254,3.88159676137825,6.12332086470444,4.26439111341239e-13,1.93901863926861e-10
"ENSG00000186868",2.68412213646822,2.68422255920025,6.69393492133063,6.27001289701347e-13,2.78143889197271e-10
"ENSG00000164742",3.13069410023822,3.13099134423284,5.61229296422893,6.88198375332037e-13,2.98022667869978e-10
"ENSG00000094804",-2.75386107427554,-2.75405746970682,5.74592222784291,8.57643209058592e-13,3.62763132240876e-10
"ENSG00000198535",-3.89225124962007,-3.89321109756599,4.63988869687092,1.2383411606951e-12,5.11885205243694e-10
"ENSG00000127084",2.56704528573299,2.56721985165425,5.73338544959486,1.77324834792388e-12,7.16707576711989e-10
"ENSG00000160211",-2.18339763050485,-2.18344254037088,7.21036525527819,1.96605739537336e-12,7.77361997979363e-10
"ENSG00000257335",3.51676916976582,3.52227382282638,1.8714654780908,2.03858336635018e-12,7.88888388663342e-10
"ENSG00000205426",-4.18163057095758,-4.18242254980307,6.02995700775025,2.92479690166503e-12,1.10825429265591e-09
"ENSG00000144891",3.18323331160026,3.18431396558566,3.90317105891794,3.21804588905143e-12,1.19448609449117e-09
"ENSG00000036448",-4.03904486283664,-4.04102580778301,3.72677704640973,4.68326030415249e-12,1.70358276823851e-09
"ENSG00000070193",3.55997563901292,3.56098022075054,4.38757378679573,7.87689425582542e-12,2.80911672009711e-09
"ENSG00000115919",-3.0179781724008,-3.01820850030473,5.71048125713812,1.07700608999691e-11,3.76703591631995e-09
"ENSG00000286379",3.08456626844876,3.08614643886189,3.41516877363574,1.15535506460697e-11,3.96482979529653e-09
"ENSG00000182379",-3.18989638747909,-3.19093233364421,3.93066925029585,1.19269108219114e-11,4.01716025979489e-09
"ENSG00000129988",-4.77666051273662,-4.77721576900612,6.51296890177425,1.22485380065601e-11,4.05048016842392e-09
"ENSG00000137558",3.70933392981511,3.71002640822364,5.72155853835677,1.69772411606668e-11,5.513965396968e-09
"ENSG00000187527",-3.45774122240712,-3.45926543209881,3.49485390299805,1.92886526861393e-11,6.15477219395616e-09
"ENSG00000139910",3.23720017750892,3.23814660701435,4.76370267603888,2.05521417242215e-11,6.44486816689898e-09
"ENSG00000231881",-3.1661976124522,-3.17304587575083,1.25021146258891,2.25757811896445e-11,6.95946285215685e-09
"ENSG00000107014",3.32294327025628,3.33348792896707,0.713112222881697,2.42391230100021e-11,7.34768615509863e-09
"ENSG00000173894",-2.49399901124501,-2.49425350177272,5.02573241461449,3.93470604375809e-11,1.17318743481758e-08
"ENSG00000188001",2.97153598280604,2.97195752703518,5.22279167497665,4.97144166578979e-11,1.45839646802233e-08
"ENSG00000167799",-2.8397252852807,-2.84034358890475,4.16854685017223,5.62224742369464e-11,1.62313390701838e-08
"ENSG00000188916",3.3961514572082,3.39916263859753,2.94682027681515,1.17848032904083e-10,3.3490937850929e-08
"ENSG00000196208",2.56176547152557,2.56192830052462,6.15952036089144,1.23085680286098e-10,3.44412669699007e-08
"ENSG00000140443",1.9994535269281,1.99949455665412,7.32835600802909,1.36901806076563e-10,3.77268189230384e-08
"ENSG00000108344",-2.42054466569468,-2.42056089856549,8.91021192461287,1.49281367614909e-10,4.05243211071636e-08
"ENSG00000161798",-4.35314991417128,-4.35425123942261,4.95385408941731,1.7362788851744e-10,4.64403534758117e-08
"ENSG00000179913",-3.00611183046597,-3.00715212307368,3.74815360318385,1.83790930388561e-10,4.84462237957559e-08
"ENSG00000172478",-3.38236668443319,-3.38264571722576,5.78965724849803,1.88990557962164e-10,4.91051466887977e-08
"ENSG00000126010",3.31001537135089,3.31262269283759,3.0536009081606,3.09938069054503e-10,7.9396529576948e-08
"ENSG00000186193",-2.10916078373765,-2.1095295693638,4.15061942808437,3.84257175788346e-10,9.70676321283117e-08
"ENSG00000141424",2.06337428961643,2.06338367510291,9.36803191068304,4.16588598648046e-10,1.03793334687817e-07
"ENSG00000183569",-3.26207490103416,-3.26245719787617,5.32138544066755,4.71350261101968e-10,1.15850250661116e-07
"ENSG00000132554",2.92996924385985,2.93488716922815,2.13811709960435,6.66031743590402e-10,1.61517138032297e-07
"ENSG00000244265",2.51492044330587,2.52449839753052,0.118955356733964,6.77792397284098e-10,1.62206422655305e-07
"ENSG00000131771",-3.80804400703277,-3.80809206926155,9.03113079267964,8.90512207252154e-10,2.10345922409119e-07
"ENSG00000068489",-2.30730048008294,-2.30753516319491,5.02048871101645,9.69211501094043e-10,2.2600024079357e-07
"ENSG00000179593",-3.8526489531579,-3.85279830952704,7.52059390372558,1.22534756373278e-09,2.82109132774326e-07
"ENSG00000117115",-2.46011005942449,-2.46017036774214,7.07276931547183,1.24947054838358e-09,2.84067129175007e-07
"ENSG00000131015",-2.38191891999058,-2.38536246904319,1.14803219024725,1.41692029177785e-09,3.18159830455007e-07
"ENSG00000135069",-2.65174912647121,-2.65237012094509,4.06942684976657,1.5789808105495e-09,3.46847079045569e-07
"ENSG00000152049",2.41565719726937,2.41580714316565,5.71816459716223,1.59086551242834e-09,3.46847079045569e-07
"ENSG00000105173",-2.12828788061934,-2.12918378895478,2.92685645367339,1.60188886297712e-09,3.46847079045569e-07
"ENSG00000143512",-3.1419907703524,-3.14390520499758,2.9007729500726,1.74693282905163e-09,3.73802521115189e-07
"ENSG00000148053",2.19010844487708,2.1903111046359,5.01359701554417,1.81827682601517e-09,3.84544405948419e-07
"ENSG00000172057",-2.41148297039842,-2.4115020384335,8.6808469846619,1.87277132970733e-09,3.91516838445023e-07
