"","logFC","logCPM","F","PValue","FDR"
"ENSG00000134352",2.06125124540127,8.83795468624824,194.516820362864,9.59958054541556e-27,1.74597170960018e-22
"ENSG00000131748",-2.81314792857488,7.67172336025165,160.655708789707,8.75413645512604e-24,7.96101169229162e-20
"ENSG00000141738",-3.33818566142028,7.50032530491742,147.825386140627,1.44440461006528e-22,8.75694368262242e-19
"ENSG00000171848",-2.28615613675472,6.40383158575203,144.855508860674,2.81810951802669e-22,1.28139439784674e-18
"ENSG00000165480",-1.82096749379865,3.4986731728349,137.356562918009,1.57724946262139e-21,5.73740264523158e-18
"ENSG00000160211",-2.18339378450948,7.21036525527819,133.5965339881,3.8135454598419e-21,1.15601274706007e-17
"ENSG00000164128",6.15687270592294,7.28246327212507,129.721424808599,9.60747095568745e-21,2.49629545345776e-17
"ENSG00000140443",1.99941910298798,7.32835600802909,127.787196715338,1.53210641104194e-20,3.28657373471176e-17
"ENSG00000176887",-4.19003454935861,5.18288491779809,127.54101661991,1.62630105632317e-20,3.28657373471176e-17
"ENSG00000141741",-2.97421654046372,7.38609162095615,125.834908587729,2.46323618306189e-20,4.48013396975297e-17
"ENSG00000161395",-2.86516208405521,7.87650335373344,122.403620202462,5.72842284001249e-20,9.47168678310429e-17
"ENSG00000134830",2.56465454179288,4.18331907600594,119.846678184487,1.08300808054715e-19,1.64147924741597e-16
"ENSG00000166451",-1.60982786380763,2.95358624873929,118.234514262036,1.62398335327681e-19,2.27207763303066e-16
"ENSG00000082175",4.83704876474534,6.72587994287248,116.288772674038,2.65807556107093e-19,3.45321987891129e-16
"ENSG00000141736",-3.16446781479617,11.3727072339499,114.75476993221,3.93139617124927e-19,4.76694890417878e-16
"ENSG00000129810",-1.73992031051081,2.20461843362127,114.060622440065,4.69718703521195e-19,5.33952736227719e-16
"ENSG00000087586",-1.83571997502453,4.86254194087079,113.6137367554,5.26891766739771e-19,5.6371220314488e-16
"ENSG00000093009",-1.84374133293077,3.49043397542796,113.020950835694,6.13821481500996e-19,5.96269321333981e-16
"ENSG00000138180",-1.84740006145242,4.67142694641708,112.964104395628,6.22889658310185e-19,5.96269321333981e-16
"ENSG00000141424",2.06337323732141,9.36803191068304,112.575467424404,6.88646654814991e-19,6.26255267888752e-16
"ENSG00000101493",1.73184092761165,4.55202669160892,111.649901186759,8.75183526823826e-19,7.57992285041512e-16
"ENSG00000130045",3.77748133587922,1.45821688167317,109.497421930393,1.53410846012164e-18,1.23648353547606e-15
"ENSG00000251141",4.66477625686099,5.38556329120972,109.176333149699,1.668854367876e-18,1.23648353547606e-15
"ENSG00000186193",-2.10903015199707,4.15061942808437,109.164075297693,1.67423062520289e-18,1.23648353547606e-15
"ENSG00000011426",-1.9381266893035,5.70108460551192,109.106797334177,1.69958700169901e-18,1.23648353547606e-15
"ENSG00000226054",-1.64512481255757,1.02159327476139,108.58505721889,1.94932679757446e-18,1.36362906901094e-15
"ENSG00000100526",-1.65339175324187,3.6385224394529,108.253243963149,2.12727629500917e-18,1.43299634272692e-15
"ENSG00000174371",-1.71535327063554,3.90437751724342,107.066233406106,2.91078664290708e-18,1.89076383789978e-15
"ENSG00000164045",-1.68159460690585,3.03827425292148,105.860924717583,4.0090885876497e-18,2.51438976662665e-15
"ENSG00000171241",-1.77741220914244,3.94632636545329,105.063849425602,4.95917166505536e-18,3.0065804748009e-15
"ENSG00000134690",-1.40114449347727,4.3843033760124,104.502722747402,5.76279282083799e-18,3.38108631694843e-15
"ENSG00000088305",-1.79121909968346,3.59080422847508,104.250523415473,6.1659858112364e-18,3.50459218546149e-15
"ENSG00000075218",-1.7084076623616,3.696220205296,103.811949325937,6.93676383290197e-18,3.82320789675215e-15
"ENSG00000134759",1.20218517293781,7.04060536247158,103.229333706313,8.11468093948216e-18,4.34087696845005e-15
"ENSG00000091651",-1.8127048440847,2.9965160356793,103.072847781753,8.46442734766998e-18,4.39860013141205e-15
"ENSG00000123485",-1.6923656747389,3.99107779351679,102.546674779675,9.7569689691305e-18,4.92943754473738e-15
"ENSG00000092853",-1.70841067264474,3.70878040121378,102.380895103994,1.02044845495129e-17,5.01619364828489e-15
"ENSG00000261061",-1.63353020775276,2.19788228247918,101.650134600562,1.24400050335803e-17,5.95417925133574e-15
"ENSG00000115233",-0.873046638411467,6.40845464704384,101.124470946986,1.43511019897835e-17,6.64282187226696e-15
"ENSG00000070010",-0.863775798321243,5.41578577860796,101.010741014554,1.4802436518688e-17,6.64282187226696e-15
"ENSG00000072571",-1.45734079217915,3.85321892772694,100.968316354165,1.49744720014815e-17,6.64282187226696e-15
"ENSG00000127084",2.56681255719918,5.73338544959486,100.330340338973,1.782115412024e-17,7.71740836045059e-15
"ENSG00000171428",3.25935039593883,7.15139676514821,99.910592321851,1.99888752072055e-17,8.45482935508496e-15
"ENSG00000145386",-1.63547622615857,4.39563290823075,99.0164926362102,2.55449796325086e-17,1.04304864592671e-14
"ENSG00000196932",2.88958728025144,3.66217892329481,98.9794172499826,2.58066797155827e-17,1.04304864592671e-14
"ENSG00000105173",-2.12830684644211,2.92685645367339,98.6539888123873,2.82240531144646e-17,1.11595451749105e-14
"ENSG00000178999",-1.63773255448082,3.40787972696684,98.348639295399,3.07016323183806e-17,1.18808784809937e-14
"ENSG00000113739",3.22224452124077,8.27087448428124,98.1861741789634,3.21089115447478e-17,1.21666017328307e-14
"ENSG00000186868",2.68395509716697,6.69393492133063,98.0763490756305,3.30972277436699e-17,1.22851505755483e-14
"ENSG00000085840",-1.56775335939577,2.7541691583575,97.8703409974301,3.5035365706865e-17,1.27444646295292e-14
"ENSG00000051341",-1.59332383501463,3.12154095323743,97.643686088346,3.73015187297943e-17,1.33027455423039e-14
"ENSG00000142945",-1.5723891936277,4.53331820177518,97.0300467968728,4.42147804023297e-17,1.54649697299533e-14
"ENSG00000138092",-1.07057349668428,3.38443632466294,96.940237763851,4.53307047190188e-17,1.55561293854625e-14
"ENSG00000112742",-1.65962165128442,4.03658550174036,96.4970777909788,5.12714652497319e-17,1.72689890733727e-14
"ENSG00000091831",3.3010755452243,8.50418013039281,96.4185332447488,5.24042756102787e-17,1.73296175418136e-14
"ENSG00000182481",-1.61857746041563,7.52852951163986,96.3210454804228,5.38457793824575e-17,1.74883399180024e-14
"ENSG00000163491",3.28193356375336,3.70396456947053,96.0358665541804,5.82984948196632e-17,1.85688524510572e-14
"ENSG00000121152",-1.5495825732848,4.2314640710991,95.9799536300693,5.9214506386701e-17,1.85688524510572e-14
"ENSG00000175356",3.61762055225693,8.04724474184039,95.7461036330779,6.32070810095536e-17,1.94849218542671e-14
"ENSG00000135698",-1.93099057601057,5.45369435958018,95.3757116685594,7.0099369528283e-17,2.12494555496735e-14
"ENSG00000111206",-1.613448726733,5.0073747180911,95.2418389178898,7.27745676666481e-17,2.16987514216557e-14
"ENSG00000244274",2.14385124294311,-0.504796277586471,94.9257810010974,7.9510046349427e-17,2.33246568226351e-14
"ENSG00000171791",2.12587882928315,6.2310222416025,94.7917708491166,8.25542334460021e-17,2.3833276157395e-14
"ENSG00000157456",-1.55323545192419,4.57824202215714,93.9945945620498,1.03281468728369e-16,2.93513023942435e-14
