"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000164128",6.15687270592294,6.15880501465552,7.28246327212507,1.29925213772386e-18,2.36307978809216e-14
"ENSG00000176887",-4.19003454935861,-4.19085673553457,5.18288491779809,2.72192824735251e-16,1.85009426268276e-12
"ENSG00000082175",4.83704876474534,4.83755150259943,6.72587994287248,3.09189971642252e-16,1.85009426268276e-12
"ENSG00000141738",-3.33818566142028,-3.33826853642841,7.50032530491742,4.06882397774964e-16,1.85009426268276e-12
"ENSG00000251141",4.66477625686099,4.66597323037636,5.38556329120972,2.28650266757095e-15,8.31738210355608e-12
"ENSG00000131748",-2.81314792857488,-2.81319889220859,7.67172336025165,3.39345330654096e-15,1.02866881232278e-11
"ENSG00000130045",3.77748133587922,3.7870695386753,1.45821688167317,4.25047772964634e-14,1.10439555638297e-10
"ENSG00000227471",-6.28470561441385,-6.28762261445213,5.7354904006228,6.64338573115103e-14,1.51037374597719e-10
"ENSG00000141741",-2.97421654046372,-2.97428645582606,7.38609162095615,1.87868891616943e-13,3.7966215563655e-10
"ENSG00000141736",-3.16446781479617,-3.16447279900849,11.3727072339499,3.28182550043931e-13,5.96898422019902e-10
"ENSG00000161395",-2.86516208405521,-2.8652082646585,7.87650335373344,7.55151324421653e-13,1.18644707890203e-09
"ENSG00000112183",4.38216522320011,4.3884517303338,2.62995708541965,7.82788923841234e-13,1.18644707890203e-09
"ENSG00000175356",3.61762055225693,3.61769151416402,8.04724474184039,1.17867075128718e-12,1.56391173266881e-09
"ENSG00000134352",2.06125124540127,2.06126448138782,8.83795468624824,1.20380274122297e-12,1.56391173266881e-09
"ENSG00000197977",3.83190881415921,3.83279935018318,4.89675475043408,1.65274415886479e-12,1.94062274419787e-09
"ENSG00000147689",-4.42694384076133,-4.42892840966801,4.14489992650542,1.70716757791763e-12,1.94062274419787e-09
"ENSG00000141744",-5.41794350758855,-5.42070049930282,4.88437506399462,1.84771650190748e-12,1.97683927862901e-09
"ENSG00000171428",3.25935039593883,3.25948597559523,7.15139676514821,3.13701098632813e-12,3.16977532329645e-09
"ENSG00000278811",-4.48554554492797,-4.49289055495719,2.20826123390986,3.79924053166875e-12,3.6368729889469e-09
"ENSG00000091831",3.3010755452243,3.30116305971523,8.50418013039281,4.63182411142678e-12,4.12883382555441e-09
"ENSG00000154269",-3.91562300626059,-3.91707155561319,4.08343474278079,4.93083389503828e-12,4.12883382555441e-09
"ENSG00000113739",3.22224452124077,3.2222967152194,8.27087448428124,4.99419090401348e-12,4.12883382555441e-09
"ENSG00000163491",3.28193356375336,3.28328570917762,3.70396456947053,5.86644071847015e-12,4.63907929511022e-09
"ENSG00000157303",3.35338933875864,3.35377890316058,5.59318728300035,9.91965355957974e-12,7.51744412256818e-09
"ENSG00000171848",-2.28615613675472,-2.28624210122312,6.40383158575203,1.10926408720237e-11,8.07011808721469e-09
"ENSG00000174827",3.82723930918417,3.82968539955269,3.38826754610162,1.19873826526279e-11,8.38563521869218e-09
"ENSG00000134830",2.56465454179288,2.5652550405192,4.18331907600594,1.39021688684292e-11,9.36491286588853e-09
"ENSG00000228793",-3.98453995952955,-3.99138853278717,1.82083157588881,2.22458756968612e-11,1.44502852562325e-08
"ENSG00000158104",-4.98157324803011,-4.99076385318335,2.94660658285556,2.34694932710256e-11,1.47194187452901e-08
"ENSG00000287914",3.67915002170892,3.69037487727652,1.85246727852219,4.33583243679159e-11,2.62867067867885e-08
"ENSG00000196932",2.88958728025144,2.89061613748517,3.66217892329481,4.53416702591973e-11,2.66023967314284e-08
"ENSG00000178750",-3.02341322145491,-3.02921377471247,1.05776183141954,4.99551693491572e-11,2.83932693788272e-08
"ENSG00000023839",-3.61285297776546,-3.6145521397046,3.75091531518595,6.65889102045569e-11,3.67005787515297e-08
"ENSG00000073605",-2.96632357786624,-2.96666116344205,5.09673870827914,8.6157661803911e-11,4.60892809673392e-08
"ENSG00000096006",-6.01392083531445,-6.01452107088903,7.85524044291301,1.1423665533335e-10,5.93638939200848e-08
"ENSG00000160211",-2.18339378450948,-2.18343869437422,7.21036525527819,1.59408113344921e-10,8.0536521264373e-08
"ENSG00000186868",2.68395509716697,2.6840554899214,6.69393492133063,1.72701787385365e-10,8.48945975395952e-08
"ENSG00000237686",-4.28381908662485,-4.28576538428006,4.04148381081402,1.97886124954182e-10,9.47145484385964e-08
"ENSG00000189377",-4.39711295727323,-4.39741274360665,6.72286656136019,2.1824714291616e-10,1.01781513727157e-07
"ENSG00000094804",-2.75339099967204,-2.75358724866773,5.74592222784291,2.27427500449706e-10,1.03411284454481e-07
"ENSG00000114757",4.11214235839721,4.11864097033596,2.06467328288211,3.00188264727556e-10,1.33166442899141e-07
"ENSG00000127084",2.56681255719918,2.566987028413,5.73338544959486,3.07708266761847e-10,1.33252332282488e-07
"ENSG00000164742",3.12972269466253,3.13001943865307,5.61229296422893,3.95298825467385e-10,1.67202210176763e-07
"ENSG00000159212",3.87892087385599,3.87936431545242,6.12332086470444,7.86537010340566e-10,3.25125798728959e-07
"ENSG00000198535",-3.89385731113498,-3.89481646733654,4.63988869687092,1.15838348057181e-09,4.68192860992001e-07
"ENSG00000257335",3.50665181220301,3.51206018305767,1.8714654780908,1.2697042692281e-09,5.02030027146101e-07
"ENSG00000166743",-4.63792914930423,-4.63885458330224,5.57449344084734,1.33232684746294e-09,5.07786318910144e-07
"ENSG00000144891",3.18233582045695,3.1834152511963,3.90317105891794,1.34010024783852e-09,5.07786318910144e-07
"ENSG00000286379",3.08208293388919,3.0836492314341,3.41516877363574,2.68599772026295e-09,9.93052693586176e-07
"ENSG00000115919",-3.01828487172781,-3.01851527129877,5.71048125713812,2.72996671867763e-09,9.93052693586176e-07
