"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",2576.84173661672,-0.657928114294478,0.197270667419192,0,1,1
"ENSG00000000419",3040.45559820258,-0.114877525997419,0.127290008237743,0,1,1
"ENSG00000000457",1889.54881758887,-0.320755039650054,0.112248756818375,0,1,1
"ENSG00000000460",854.123953486832,0.118785694351593,0.125345258168253,0,1,1
"ENSG00000000938",574.450455574625,0.211322052891674,0.163835023119235,0,1,1
"ENSG00000000971",3343.43586076626,-0.0419591802240924,0.158074502946066,0,1,1
"ENSG00000001036",3490.22831534553,-0.15553359142006,0.144515328670537,0,1,1
"ENSG00000001084",2253.26983723024,0.00899008320637939,0.139633497057451,0,1,1
"ENSG00000001167",3362.13562194711,-0.171526034508064,0.0996579041672425,0,1,1
"ENSG00000001460",675.655971095056,-0.0215647574387795,0.0986622252390052,0,1,1
"ENSG00000001461",2508.82308925614,0.184564422728168,0.138849487862417,0,1,1
"ENSG00000001497",3907.09962400301,-0.103075786546937,0.113280907225922,0,1,1
"ENSG00000001561",1571.72197797645,0.22216475088515,0.197920814338739,0,1,1
"ENSG00000001617",6443.39674846241,0.375272258605454,0.140006973505612,0,1,1
"ENSG00000001629",5481.0171608304,0.0670402951506508,0.109456193046848,0,1,1
"ENSG00000001630",150.86850605661,0.0849665518907922,0.233604624895996,0,1,1
"ENSG00000001631",358.899770891942,0.219117141692427,0.0920282263550961,0,1,1
"ENSG00000002016",500.997846026,0.217070555109026,0.106114440945733,0,1,1
"ENSG00000002330",465.8427855054,-0.303856242711942,0.160464244362836,0,1,1
"ENSG00000002549",8380.90789575899,0.347128319513374,0.10327819081336,0,1,1
"ENSG00000002586",13097.4331820415,-0.58566412564457,0.15825397050734,0,1,1
"ENSG00000002587",300.916144942427,-0.157685834063377,0.164972812706903,0,1,1
"ENSG00000002726",553.505053620409,0.61442111454345,1.65632416357274,0,1,1
"ENSG00000002746",52.4940022767321,0.597916985196247,0.323469946878716,0,1,1
"ENSG00000002822",21.9387219086712,0.567535647613784,0.176336454105547,0,1,1
"ENSG00000002834",34212.7078491656,-1.11187043208932,0.227576960770456,-0.491571869624176,0.623022033700233,1
"ENSG00000002919",2372.86204086918,-0.474350445062766,0.181798958490536,0,1,1
"ENSG00000002933",2358.42722317891,0.895834340960995,0.224763209461268,0,1,1
"ENSG00000003056",4669.48231235882,0.0826560488517586,0.106420762153766,0,1,1
"ENSG00000003096",374.924454914657,-0.887891603575261,0.290502433563251,0,1,1
"ENSG00000003137",261.498385678656,-0.073073203105294,0.224302289445869,0,1,1
"ENSG00000003147",3450.00358070214,-0.269451154921792,0.132113653575094,0,1,1
"ENSG00000003249",3371.48470608017,-0.448474603340069,0.163196210908233,0,1,1
"ENSG00000003393",2191.7074523095,-0.00272808758382509,0.0867378429856914,0,1,1
