"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000227471",-7.62532275177655,5.74690732893008,137.744302952847,8.28915511084188e-32,1.50763153155992e-27
"ENSG00000164128",6.38204104143963,7.37717641672304,121.088355677618,3.65486323439868e-28,3.32373262536216e-24
"ENSG00000091831",3.11266722183657,8.62207122091048,104.327524433238,1.71490102290102e-24,1.03968732681746e-20
"ENSG00000135698",-1.83105714009449,5.44322873068327,101.885195414641,5.88345871461659e-24,2.31662633587136e-20
"ENSG00000166743",-5.47523979488224,5.56517881366037,101.728251851263,6.36855711422741e-24,2.31662633587136e-20
"ENSG00000196208",2.62550155350258,6.46484538668314,96.9563378812,7.08731008176031e-23,2.14839992945094e-19
"ENSG00000154269",-3.99843481957262,4.05822596888379,90.9752587746032,1.45479830822404e-21,3.57768921377999e-18
"ENSG00000237686",-4.35590313305187,4.06520238109535,90.8198738188147,1.57364821367055e-21,3.57768921377999e-18
"ENSG00000231881",-3.00591189533021,1.24516523606325,90.547683526953,1.80572311797683e-21,3.64916578552917e-18
"ENSG00000178750",-3.20639775473856,1.02482722896256,90.2963924605356,2.05026089161714e-21,3.72901450967325e-18
"ENSG00000036448",-4.65817929625733,3.72700611093652,89.6170650312425,2.89020376773332e-21,4.77882055704851e-18
"ENSG00000283000",-3.27625896429759,0.765127598632023,87.7174270388915,7.55061889817451e-21,1.14442213766665e-17
"ENSG00000134830",2.05205168572617,3.92332497716799,85.2952900706674,2.56974619719063e-20,3.59527260265409e-17
"ENSG00000134352",1.66850690426502,8.66855229937651,83.2855921193698,7.10153176361072e-20,8.94228144935496e-17
"ENSG00000140443",2.71467665583291,8.5451770562848,83.2109317730136,7.37487473830682e-20,8.94228144935496e-17
"ENSG00000287914",3.37739620068512,1.7283715659509,82.7010489080142,9.5450585108529e-20,1.0850345262212e-16
"ENSG00000129988",-5.50003718349392,6.47856278047034,82.5182432609685,1.04699322834841e-19,1.12015957865888e-16
"ENSG00000183569",-3.73549640803829,5.27496380830084,81.3462774155133,1.89438216002925e-19,1.91416792925622e-16
"ENSG00000158104",-4.99279797382258,2.98146674492955,81.0114486924609,2.2441379656344e-19,2.14823059573466e-16
