"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000227471",-7.62532275177655,-7.63216101009822,5.74690732893008,6.43153768764001e-28,1.16976807462796e-23
"ENSG00000164128",6.38204104143963,6.3835449831339,7.37717641672304,3.24701597080633e-23,2.95283632385127e-19
"ENSG00000166743",-5.47523979488224,-5.47666931104603,5.56517881366037,2.11498332567837e-19,1.28224389091461e-15
"ENSG00000129988",-5.50003718349392,-5.50133539979797,6.47856278047034,3.09406966387655e-16,1.21291284989614e-12
"ENSG00000036448",-4.65817929625733,-4.6608478217911,3.72700611093652,3.33437664915368e-16,1.21291284989614e-12
"ENSG00000237686",-4.35590313305187,-4.35775156644363,4.06520238109535,7.23011833609835e-16,2.19168987161595e-12
"ENSG00000158104",-4.99279797382258,-5.00029624680654,2.98146674492955,4.14299113402377e-15,1.07646746779463e-11
"ENSG00000141750",-4.74449263601266,-4.74650806836685,4.69782579946649,7.22639917861479e-15,1.48658124907312e-11
"ENSG00000154269",-3.99843481957262,-3.99998898376381,4.05822596888379,7.35607611703216e-15,1.48658124907312e-11
"ENSG00000091831",3.11266722183657,3.11273436879429,8.62207122091048,2.50085506887721e-14,4.54855519927387e-11
"ENSG00000114757",4.30109368839529,4.30767163261913,2.06444312611275,2.68998424616292e-13,4.44776667901919e-10
"ENSG00000183569",-3.73549640803829,-3.73596863228602,5.27496380830084,3.21063983380794e-13,4.8662597747749e-10
"ENSG00000278811",-4.15167403230097,-4.15708338867464,2.22770795328382,5.66028927946802e-13,7.91918010884341e-10
"ENSG00000178750",-3.20639775473856,-3.21285213789914,1.02482722896256,6.1576340177502e-13,7.99964625106004e-10
"ENSG00000283000",-3.27625896429759,-3.28474739311179,0.765127598632023,1.12041547574422e-12,1.35854111152239e-09
"ENSG00000287914",3.37739620068512,3.38700403841722,1.7283715659509,1.19972716032129e-12,1.36378984949523e-09
"ENSG00000082175",3.75109479412159,3.75154431783444,6.29198105764584,1.71578785233145e-12,1.83569114460026e-09
"ENSG00000231881",-3.00591189533021,-3.01062326533448,1.24516523606325,2.36562854171051e-12,2.39033621759059e-09
"ENSG00000084628",3.16810355198662,3.16848413868467,5.22554263480414,1.52437634818696e-11,1.45922931688549e-08
"ENSG00000196208",2.62550155350258,2.62564881656225,6.46484538668314,1.61052516752169e-11,1.46461158734423e-08
"ENSG00000101098",3.79575106809129,3.79648595248627,5.25654096446462,1.98246249203777e-11,1.71700132405633e-08
"ENSG00000156284",-3.59214983981204,-3.59303200315554,4.28425811644045,6.52955744609427e-11,5.39816321952557e-08
"ENSG00000188916",3.79695410685975,3.80014061184046,3.40060873181594,1.76648204900401e-10,1.39690328292543e-07
"ENSG00000151632",-3.92737285781708,-3.92786184431474,5.40339032822232,2.07021159412196e-10,1.56887535307876e-07
"ENSG00000140443",2.71467665583291,2.71471505467251,8.5451770562848,2.30583277305792e-10,1.6775394590551e-07
"ENSG00000198729",-3.10468367737234,-3.10974759718665,1.87636640064167,2.66011397122843e-10,1.8608520349501e-07
