"","logFC","logCPM","F","PValue","FDR"
"ENSG00000227471",-7.63775822675883,5.74690732893008,106.766031380974,3.18684513534556e-18,5.79623393216651e-14
"ENSG00000135698",-1.83105493794306,5.44322873068327,96.7474282791613,4.82893106249734e-17,4.39142990823508e-13
"ENSG00000164128",6.38482363463326,7.37717641672304,93.552204701557,1.18082734906897e-16,7.15896260828878e-13
"ENSG00000091831",3.11236508130348,8.62207122091048,89.7895754615424,3.4453977748963e-16,1.56662236824535e-12
"ENSG00000196208",2.62526911608054,6.46484538668314,86.1044909616681,1.00261645754205e-15,3.64711762595495e-12
"ENSG00000134352",1.6685088251863,8.66855229937651,78.9230079927347,8.51867448784961e-15,2.03238093722549e-11
"ENSG00000231881",-3.00795721702872,1.24516523606325,78.904781348684,8.56592865315029e-15,2.03238093722549e-11
"ENSG00000178750",-3.20829274514812,1.02482722896256,78.4911398465649,9.71309303791095e-15,2.03238093722549e-11
"ENSG00000134830",2.05203593540987,3.92332497716799,78.3768281399069,1.00568663047226e-14,2.03238093722549e-11
"ENSG00000283000",-3.27625688743192,0.765127598632023,77.1525975326623,1.46151004989163e-14,2.6581944787429e-11
"ENSG00000166743",-5.48380621617147,5.56517881366037,76.4889389340316,1.79161592198659e-14,2.96235548991747e-11
"ENSG00000287914",3.36339647092081,1.7283715659509,75.7735096563439,2.23324321331202e-14,3.38485229697658e-11
"ENSG00000154269",-3.99731654381531,4.05822596888379,74.6891456061166,3.12370156127966e-14,4.37029876896573e-11
"ENSG00000101493",1.68056486033113,4.58922176720908,74.0522223734455,3.8077082565035e-14,4.94675698352041e-11
"ENSG00000140443",2.71464682145501,8.5451770562848,72.9129896808531,5.43517055276393e-14,6.59032546757802e-11
"ENSG00000237686",-4.35676837552871,4.06520238109535,71.9248409132505,7.41377206274158e-14,8.42760539232149e-11
"ENSG00000174945",2.62354478017992,2.20703759722164,71.3749625734622,8.81820861651516e-14,9.4344457833634e-11
"ENSG00000134533",1.98974696727918,5.7497601878861,71.1323830105217,9.52114286248583e-14,9.62058591016068e-11
"ENSG00000244265",2.52976181276694,0.0193583502890372,70.7569024881914,1.07234279123316e-13,1.02651424668151e-10
"ENSG00000141424",2.4714188546642,10.0334870768485,70.4493784949474,1.18225302303941e-13,1.07514089915204e-10
"ENSG00000036448",-4.66420166633054,3.72700611093652,69.0550686691379,1.84394400978026e-13,1.59703112618492e-10
"ENSG00000160211",-1.65208363224364,7.28602047931995,68.8077784091245,1.99590369974415e-13,1.65006802231575e-10
"ENSG00000084628",3.16692683380626,5.22554263480414,68.5112811190393,2.19501289863824e-13,1.73577802610575e-10
"ENSG00000124171",2.03327802997957,5.56819000597671,68.254787185429,2.38351337162283e-13,1.8063058834615e-10
"ENSG00000183569",-3.73495408363396,5.27496380830084,65.4665592287471,5.88164655840138e-13,4.27901550416817e-10
"ENSG00000104205",2.00256895070543,4.29112961513047,65.0183531746898,6.80980162208715e-13,4.76371815009697e-10
"ENSG00000179057",-2.04358973011436,1.88783280440019,64.0599583155346,9.3271847521231e-13,6.20668820701938e-10
"ENSG00000244274",2.25202836847546,-0.213565095758644,63.9866372757922,9.55505112142856e-13,6.20668820701938e-10
"ENSG00000141750",-4.74454376743935,4.69782579946649,63.5307070596959,1.11048924901442e-12,6.96468222795663e-10
"ENSG00000158104",-4.99685140475267,2.98146674492955,62.4359953807356,1.59572166389762e-12,9.67432854098999e-10
"ENSG00000130045",2.37853375524041,0.753994304549887,62.1843774331199,1.73494480100901e-12,1.01790890454038e-09
