"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000227471",-7.63775822675883,-7.64458621631586,5.74690732893008,6.91851840422116e-17,1.25834012735974e-12
"ENSG00000164128",6.38482363463326,6.38633279707977,7.37717641672304,6.6285473913424e-15,6.02800099768678e-11
"ENSG00000166743",-5.48380621617147,-5.48524479390351,5.56517881366037,8.28252532189842e-13,5.02141901848961e-09
"ENSG00000237686",-4.35676837552871,-4.35861092186719,4.06520238109535,2.10361244900817e-11,8.06020689481739e-08
"ENSG00000036448",-4.66420166633054,-4.66690419428418,3.72700611093652,2.215803522877e-11,8.06020689481739e-08
"ENSG00000091831",3.11236508130348,3.1124321391849,8.62207122091048,4.12237314832335e-11,1.13635242535267e-07
"ENSG00000154269",-3.99731654381531,-3.99886894390723,4.05822596888379,4.37346985785612e-11,1.13635242535267e-07
"ENSG00000129988",-5.49072909554703,-5.49198472356653,6.47856278047034,5.43069190373353e-11,1.23466780431382e-07
"ENSG00000141750",-4.74454376743935,-4.74653043196143,4.69782579946649,9.45161517513799e-11,1.72972783459486e-07
"ENSG00000158104",-4.99685140475267,-5.0043491396,2.98146674492955,9.51026959860821e-11,1.72972783459486e-07
"ENSG00000287914",3.36339647092081,3.37252043913436,1.7283715659509,2.07846149839624e-10,3.43664161207553e-07
"ENSG00000178750",-3.20829274514812,-3.21475189887059,1.02482722896256,2.80343667697931e-10,4.24907552340831e-07
"ENSG00000283000",-3.27625688743192,-3.28475248150486,0.765127598632023,3.48478188109414e-10,4.8754779117954e-07
"ENSG00000183569",-3.73495408363396,-3.73542575906801,5.27496380830084,5.97054620890969e-10,7.37883668925276e-07
"ENSG00000114757",4.29576082985413,4.30226648831352,2.06444312611275,6.40484820659499e-10,7.37883668925276e-07
"ENSG00000231881",-3.00795721702872,-3.01267876880498,1.24516523606325,6.49116928898418e-10,7.37883668925276e-07
"ENSG00000278811",-4.15271269344997,-4.15811939521182,2.22770795328382,1.14456149927188e-09,1.22454614992688e-06
"ENSG00000082175",3.75048370179077,3.75093305163217,6.29198105764584,1.75823916418741e-09,1.7142052858062e-06
"ENSG00000196208",2.62526911608054,2.62541626231412,6.46484538668314,1.79073567353847e-09,1.7142052858062e-06
"ENSG00000084628",3.16692683380626,3.16730678655744,5.22554263480414,3.17535053510358e-09,2.88766377662319e-06
"ENSG00000101098",3.79573174268112,3.79646477233571,5.25654096446462,6.15902789514292e-09,5.33430473127902e-06
"ENSG00000156284",-3.5920530295638,-3.59293489558509,4.28425811644045,1.16057068130698e-08,9.59475434164153e-06
"ENSG00000140443",2.71464682145501,2.71468521745027,8.5451770562848,1.36757424109764e-08,1.08145392596017e-05
"ENSG00000198729",-3.10439533036611,-3.10945921753608,1.87636640064167,1.76098656870025e-08,1.33453432131334e-05
"ENSG00000174945",2.62354478017992,2.62566007439899,2.20703759722164,2.95559577279362e-08,2.15025503662281e-05
"ENSG00000188916",3.78743826335959,3.79058582701069,3.40060873181594,3.27778225835568e-08,2.2929347582682e-05
"ENSG00000112183",4.04926636510178,4.05584727394936,2.89431727124924,5.00175549478074e-08,3.36933070144711e-05
"ENSG00000244265",2.52976181276694,2.53887075040433,0.0193583502890372,5.49490436540093e-08,3.56933287849686e-05
"ENSG00000251141",3.7612190101488,3.76223722474672,5.05710876688466,7.84391546907088e-08,4.91948739832625e-05
"ENSG00000151632",-3.92988728699442,-3.93037746314982,5.40339032822232,8.55429027075004e-08,5.18618104814672e-05
"ENSG00000170369",3.87646247531039,3.87906800510469,3.01671297007206,9.14258191754233e-08,5.36404128762129e-05
"ENSG00000141424",2.4714188546642,2.47142787140019,10.0334870768485,1.01856350804131e-07,5.78926033882979e-05
"ENSG00000233622",3.2469547934582,3.24721612787033,5.97760827265009,1.07626889783904e-07,5.93187233754439e-05
"ENSG00000197977",3.32379122586157,3.32455607854757,4.74910904795108,1.30286603382894e-07,6.96956688920023e-05
"ENSG00000188107",-2.74918497624343,-2.75443454099513,0.823367041362227,1.35075315127591e-07,7.01928523297321e-05
"ENSG00000124107",-3.38933501691047,-3.38950436665742,6.5052382664322,1.44191880324316e-07,7.28489422038517e-05
"ENSG00000179593",-3.85114852955473,-3.85127323895722,7.46668179944252,1.56815072971427e-07,7.70852039784948e-05
"ENSG00000135324",-3.40199793990285,-3.4082416621429,1.47327583292612,1.76966284619005e-07,8.47016522276438e-05
"ENSG00000263639",4.08079237029213,4.08131863575067,5.83213956431827,1.89009078398096e-07,8.81460799462709e-05
"ENSG00000205426",-4.10246772024722,-4.10289237189866,5.98655345784248,2.26693770539689e-07,0.000103077657464397
"ENSG00000129151",-3.2027083381271,-3.20835809210521,1.5883710044808,2.83599204105863e-07,0.00012420563201234
"ENSG00000141738",-2.5583333409582,-2.55837481923744,7.58101357169675,2.86817492001225e-07,0.00012420563201234
"ENSG00000163739",-2.96599282841941,-2.97548597084319,0.730729916113828,3.57293726274831e-07,0.000151126937057829
"ENSG00000198535",-3.65361451662891,-3.65431860954839,4.66333800708812,4.31784266680771e-07,0.00017848391459977
"ENSG00000130045",2.37853375524041,2.38608995014382,0.753994304549887,4.97418094440751e-07,0.00020104534003752
"ENSG00000023839",-3.05830667271235,-3.05917955166124,3.81212735918033,5.12921734396537e-07,0.000202804793591396
"ENSG00000260284",2.86164978675934,2.86646182994572,1.39681496034843,6.13872867324068e-07,0.000232708562771938
"ENSG00000134830",2.05203593540987,2.05251564772044,3.92332497716799,6.14141797506763e-07,0.000232708562771938
"ENSG00000126010",3.1559064163653,3.15795854961676,3.02527424889203,6.40516748539654e-07,0.000237749359641617
"ENSG00000176887",-2.9876499298355,-2.98804272059885,5.25346210895606,7.86683685317084e-07,0.000286164057370942
"ENSG00000131771",-3.93305249106562,-3.93309899709516,9.00570202484482,8.9616517112786e-07,0.000319117143913978
"ENSG00000135698",-1.83105493794306,-1.83115959463286,5.44322873068327,9.2417433345091e-07,0.000319117143913978
"ENSG00000159212",3.24055124765951,3.24093878645247,5.77449339268042,9.29910305005543e-07,0.000319117143913978
"ENSG00000162975",3.13952535737192,3.14148642604221,3.44419580989501,9.64297019887118e-07,0.000324789522179757
"ENSG00000117115",-2.33705096127838,-2.33710441033553,7.04997352330354,9.94387364487579e-07,0.000328834861550911
"ENSG00000244274",2.25202836847546,2.26184400478426,-0.213565095758644,1.26150731029761e-06,0.000409719552851659
"ENSG00000109819",-2.46118590684064,-2.46438106958243,1.23557426011332,1.48846086272772e-06,0.000474949581952486
"ENSG00000100095",4.2514396167375,4.25550476182802,3.33830866898157,1.55566164701889e-06,0.000487834035103097
"ENSG00000196668",2.61567091216409,2.62146661710511,1.33174834150101,2.26622799080691e-06,0.000698612791471119
"ENSG00000113739",2.64897698901476,2.64902085558065,8.22511784394632,2.84451621726703e-06,0.000862267682660878
"ENSG00000188001",2.6991796563826,2.69953878675628,5.4710583056912,3.00761599753009e-06,0.000896762619066839
"ENSG00000157303",2.42504359896838,2.42535773368466,4.90031494030093,3.31663463073334e-06,0.000961703597797427
"ENSG00000134533",1.98974696727918,1.98987644846742,5.7497601878861,3.33117036844281e-06,0.000961703597797427
"ENSG00000205502",-2.84273355159651,-2.84585832604829,1.93660675776005,3.42313749477572e-06,0.000972812886796576
"ENSG00000124171",2.03327802997957,2.03342763279529,5.56819000597671,3.47755980842769e-06,0.000973074735318199
"ENSG00000018625",3.39308228859995,3.39459890080978,3.24274720433294,3.62749541445038e-06,0.00099964979693975
"ENSG00000146648",-2.41163605267811,-2.41181923781473,5.79424039715569,3.72285884276391e-06,0.00100437586442716
"ENSG00000169174",-3.06769921173633,-3.07347781605348,1.18133766757195,3.75875722371964e-06,0.00100437586442716
"ENSG00000132329",2.1845226314293,2.18508275849093,3.61275043122089,3.83142756624184e-06,0.00100437586442716
"ENSG00000139910",2.84513593305586,2.84605911465149,4.03052648662129,3.86553279689364e-06,0.00100437586442716
"ENSG00000179057",-2.04358973011436,-2.04505941594994,1.88783280440019,4.25874535695932e-06,0.00109095859932924
"ENSG00000161055",-4.03558911323712,-4.03685277697464,4.57645999655802,4.67444337958156e-06,0.00118081633594207
"ENSG00000228793",-3.05047453688576,-3.05405733357465,1.88720565180862,4.84263656361575e-06,0.00120654621669922
"ENSG00000163873",2.51990603275402,2.5204743921313,4.56180212357825,5.25353749435622e-06,0.00129123432361285
"ENSG00000104205",2.00256895070543,2.00286368048168,4.29112961513047,6.36209497702869e-06,0.00154285044589597
"ENSG00000151715",-2.19774079743861,-2.19792109830122,5.03424739898614,6.55698891283248e-06,0.0015691909782447
"ENSG00000175161",2.76669234320444,2.77149938128015,1.27217597141496,8.41385523427113e-06,0.00198741816884316
"ENSG00000259370",-2.17732116454297,-2.18447898051544,-0.0658775565957373,8.87563702114351e-06,0.00205286695876246
"ENSG00000275763",1.99822684519693,2.01051913146991,-0.92000969811497,8.91667526623235e-06,0.00205286695876246
"ENSG00000125257",-2.30480335697826,-2.30501196257171,4.93261467075691,9.26890535997233e-06,0.00210728563358971
"ENSG00000141736",-2.378591715851,-2.37859420258135,11.4633359983408,9.69181759409646e-06,0.00217623183211638
"ENSG00000188488",2.74161938978727,2.74181165967131,6.17710914183951,1.03234358690984e-05,0.00228978843398978
"ENSG00000275880",-2.19987966281225,-2.20314547317957,0.957421598564566,1.04683431659549e-05,0.00229395452412515
"ENSG00000266256",2.3451976017377,2.35361855268442,-0.0201132023922408,1.076096248405e-05,0.0023300045911893
"ENSG00000198797",3.4348244799028,3.43839869868672,2.70169757877319,1.10945609143538e-05,0.00237397498717961
"ENSG00000104321",4.63455746768108,4.63575901502068,5.63463074921002,1.12600065758438e-05,0.00238136046048195
"ENSG00000211448",-2.28417767938018,-2.28427202985254,6.27662542900203,1.18898948997668e-05,0.00248567136134435
"ENSG00000162746",2.46794079028158,2.47048696178802,1.85847511586582,1.21006805739871e-05,0.00250099066226906
"ENSG00000171428",2.29798964136076,2.2980921176044,6.52387639913313,1.39164052318516e-05,0.00284395031861705
"ENSG00000107954",2.51884675832506,2.51968254845525,3.58788224291065,1.42939390438485e-05,0.00288864625921684
"ENSG00000265778",2.00931969975192,2.02053513732741,-0.673625148389694,1.44703553949283e-05,0.00289216290025227
"ENSG00000126562",2.65883268599336,2.6594124493616,4.20897123223094,1.93827094742318e-05,0.00383187739040574
"ENSG00000147697",-2.2768965328798,-2.27825345853689,2.30347430106844,2.1082362374291e-05,0.0041230753426194
"ENSG00000162882",-2.38254734903515,-2.38318104216608,3.62924517143434,2.26073166751959e-05,0.00437427527328151
