"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",2559.60831532749,-0.429792745158062,0.107395300053415,0,1,1
"ENSG00000000419",2699.30056165191,0.567611631989649,0.0657611182726451,0,1,1
"ENSG00000000457",1930.15140467922,-0.151269545024577,0.0587198851316387,0,1,1
"ENSG00000000460",820.951272922726,0.618270389800474,0.074895223361184,0,1,1
"ENSG00000000938",514.874434243745,-0.113283981219045,0.10586595366512,0,1,1
"ENSG00000000971",3245.44480029058,-0.157605448580448,0.0939217947652138,0,1,1
"ENSG00000001036",2890.86610262781,0.530557223789688,0.0764884554451991,0,1,1
"ENSG00000001084",2509.3482345302,0.0308775958208699,0.0752697677182039,0,1,1
"ENSG00000001167",3317.2414188437,0.137695453861244,0.053445826543434,0,1,1
"ENSG00000001460",733.898543505234,-0.102430240973401,0.0504571410620675,0,1,1
"ENSG00000001461",3269.91253712126,-0.338851766291975,0.0818401222453636,0,1,1
"ENSG00000001497",3690.45345884818,0.314418868219607,0.057814113556069,0,1,1
"ENSG00000001561",2298.00745806031,-0.341211775700711,0.110805449052763,0,1,1
"ENSG00000001617",7922.42898570157,-0.0288817155034601,0.072500274385966,0,1,1
"ENSG00000001629",5623.11953715471,0.221051413901168,0.0561634676317018,0,1,1
"ENSG00000001630",146.437707161696,0.198887798781109,0.120745556349601,0,1,1
"ENSG00000001631",402.416852007227,0.030625917004512,0.0454814740891814,0,1,1
"ENSG00000002016",585.162888981736,0.11992206487385,0.058691805566136,0,1,1
"ENSG00000002330",489.787973366045,-0.180700932109116,0.0871645927719797,0,1,1
"ENSG00000002549",8377.19351698208,0.284838270566564,0.062936318529166,0,1,1
"ENSG00000002586",10364.2201984671,-0.234489331092259,0.0844512735671442,0,1,1
"ENSG00000002587",265.631882617043,0.148950551168384,0.0882129178384877,0,1,1
"ENSG00000002726",266.842833002676,0.570719156863372,0.788806610760077,0,1,1
"ENSG00000002746",43.7907197391894,0.0710530633390456,0.166643523314091,0,1,1
"ENSG00000002822",19.2515413960251,0.0135001906193353,0.108144402568291,0,1,NA
"ENSG00000002834",24190.5423784704,0.264378869046065,0.0943571246484946,0,1,1
"ENSG00000002919",2030.27360185133,0.330202733924961,0.0598856554717001,0,1,1
"ENSG00000002933",2776.7338177817,0.171446063653755,0.156353274565095,0,1,1
"ENSG00000003056",4701.95577755649,0.0870377992840075,0.052339780413657,0,1,1
"ENSG00000003096",410.992083004205,-0.386815760248197,0.160267639559219,0,1,1
"ENSG00000003137",264.045446357915,-0.368633848957486,0.135428986897607,0,1,1
"ENSG00000003147",3543.12949564628,-0.210750402667059,0.0746380877369738,0,1,1
"ENSG00000003249",2613.26752451782,0.500506523411597,0.103304268811762,0,1,1
"ENSG00000003393",2132.17636904214,0.0795020581135554,0.0440907438079515,0,1,1
"ENSG00000003400",627.386837977865,0.163752390094814,0.0857098392243129,0,1,1
"ENSG00000003402",4691.64929966629,-0.13840006347761,0.0571460346850172,0,1,1
"ENSG00000003436",1240.13957942446,0.371842260596364,0.144711223843851,0,1,1
"ENSG00000003509",713.992707007808,0.0420164612181501,0.0339753517104602,0,1,1
"ENSG00000003756",4129.54020974661,-0.322982397998182,0.0483189349640508,0,1,1
"ENSG00000003987",152.786784125908,-0.0355436722543705,0.139632752462719,0,1,1
"ENSG00000003989",22118.3084224695,-0.125187385560462,0.196957872678213,0,1,1
"ENSG00000004059",5473.73131370848,0.00532060637481581,0.0616280670917045,0,1,1
"ENSG00000004139",331.254636794886,-0.0785053685109864,0.113672620955121,0,1,1
"ENSG00000004142",8532.31025833173,0.393709729851781,0.062023853262323,0,1,1
"ENSG00000004399",11239.3538986845,0.289158667913006,0.083597343395069,0,1,1
"ENSG00000004455",7679.25967125531,0.0421739129398869,0.0399564458637339,0,1,1
"ENSG00000004468",278.102874917466,1.08289408061581,0.172983219156173,0.479203017611627,0.631794207710875,1
"ENSG00000004478",22894.5932497613,0.414613899745669,0.084042441342259,0,1,1
"ENSG00000004487",6544.00109157651,0.0459867330776882,0.0389753154870844,0,1,1
"ENSG00000004534",4302.84458480703,-0.0574053557409742,0.0505708861270932,0,1,1
"ENSG00000004660",743.721562814642,-0.140550582622464,0.0852485321220919,0,1,1
"ENSG00000004700",1778.58598353515,0.0738942223777854,0.0710807373339568,0,1,1
"ENSG00000004766",2381.25484983072,-0.170469880180776,0.0659019970005171,0,1,1
"ENSG00000004776",105.894006385558,-1.39722707909525,0.160031982309098,-2.4821730841777,0.0130583828978054,1
"ENSG00000004777",709.551484491999,0.11830170993691,0.0917466241504293,0,1,1
"ENSG00000004779",3638.98531996057,0.297429047222991,0.0568504201005882,0,1,1
"ENSG00000004799",2973.27184730065,-0.853313346666363,0.161661152030604,0,1,1
"ENSG00000004838",984.53637482779,-0.589002273411793,0.127859737886428,0,1,1
"ENSG00000004864",1793.00871416869,0.474819773222193,0.0606162311787736,0,1,1
"ENSG00000004866",1604.77852951659,0.082028463141256,0.0593192167828399,0,1,1
"ENSG00000004897",5294.22482708712,0.274063925786392,0.0596783166846073,0,1,1
"ENSG00000004961",1631.2070012692,0.547751794647148,0.0717960966173062,0,1,1
"ENSG00000004975",1797.22760367941,0.0419868454609275,0.0518382483718115,0,1,1
"ENSG00000005001",750.772343649094,-0.114803179373103,0.0993278883284402,0,1,1
"ENSG00000005007",8698.80514226967,0.1064023728731,0.0474749155124389,0,1,1
"ENSG00000005020",1924.93946060418,-0.0420960232253543,0.0880188446617322,0,1,1
"ENSG00000005022",13569.0258141121,0.314000932419575,0.0575386614364172,0,1,1
"ENSG00000005059",1321.36544605987,0.0147645129217645,0.0724400341429537,0,1,1
"ENSG00000005073",49.1747083577829,-0.115237656554819,0.145750458281414,0,1,1
"ENSG00000005075",1822.14889861259,0.105699102976008,0.071790703732321,0,1,1
"ENSG00000005100",1717.93745709819,0.170874871120493,0.0509191557966218,0,1,1
"ENSG00000005102",268.618879670098,-1.20009929241727,0.183753577294045,-1.08895454098868,0.276173932773809,1
"ENSG00000005108",337.981445113423,-0.501746381235592,0.101700137395618,0,1,1
"ENSG00000005156",3563.57391559312,0.308745462573855,0.0650091066417911,0,1,1
"ENSG00000005175",2730.77209710802,0.31673211713896,0.0445321374317746,0,1,1
"ENSG00000005187",156.387756825226,-0.437797393413504,0.107508695025803,0,1,1
"ENSG00000005189",678.043433564866,0.61841591202844,0.0830127062644183,0,1,1
"ENSG00000005194",2588.48947397222,0.280866205630591,0.0632568313270594,0,1,1
"ENSG00000005206",2029.62753381548,-0.0424986874684195,0.0694472024670354,0,1,1
"ENSG00000005238",1369.96722964242,-0.00140900206626514,0.0645180779306322,0,1,1
"ENSG00000005243",1023.65405584989,-0.47859283379973,0.105770593766207,0,1,1
"ENSG00000005249",3986.00307173911,-0.169492464500456,0.12800314513875,0,1,1
"ENSG00000005302",1707.16567754161,0.092235212425173,0.0426925653719853,0,1,1
"ENSG00000005339",9604.47052882474,-0.105322577977309,0.0504602721815872,0,1,1
"ENSG00000005379",1306.25189446562,-0.0651177449739494,0.12172045264634,0,1,1
"ENSG00000005436",1160.1359625424,0.0415717065335235,0.0483015171522908,0,1,1
"ENSG00000005448",1041.23355295782,0.22781829113625,0.0855499058924998,0,1,1
"ENSG00000005469",2523.65674738297,-0.193536031123629,0.109727464213204,0,1,1
"ENSG00000005471",139.921375662606,0.0618327791833732,0.0828436128228278,0,1,1
"ENSG00000005483",6332.57286602661,-0.153514256032495,0.0544248731387483,0,1,1
"ENSG00000005486",6734.63773488574,-0.218948914494066,0.0697913614877651,0,1,1
"ENSG00000005513",47.800489807252,-0.854198390604117,0.153810738667593,0,1,1
"ENSG00000005700",6013.93299889898,0.137701648850708,0.0604052519687343,0,1,1
"ENSG00000005801",1605.58042997006,0.129940154293248,0.0478905060454586,0,1,1
"ENSG00000005810",4553.35491100163,-0.245057272888741,0.0725597950307397,0,1,1
"ENSG00000005812",3877.84924169423,-0.469076542502158,0.0661052796694639,0,1,1
"ENSG00000005844",1715.46211205329,0.238686127516213,0.111449614902217,0,1,1
"ENSG00000005882",1618.10164320416,0.22731821350275,0.0803108353321663,0,1,1
"ENSG00000005884",6136.70006717676,-0.334874198766128,0.0913297211609572,0,1,1
"ENSG00000005889",4688.67420778125,-0.00877060068518549,0.0745932272219746,0,1,1
"ENSG00000005893",17877.0586249642,0.0730553438254346,0.0571795192099287,0,1,1
"ENSG00000005961",71.0154293833731,1.51292187016454,0.14324928261021,3.58062435509872,0.00034277415713521,0.0505237776240204
"ENSG00000006007",6529.08151296279,-0.127684692782071,0.052279625651701,0,1,1
"ENSG00000006015",847.813044880979,0.136787594829307,0.0977891006386154,0,1,1
"ENSG00000006016",183.602171553161,0.0752917947831204,0.153212274315345,0,1,1
"ENSG00000006025",688.825843898479,-0.109057220733796,0.0861589954764512,0,1,1
"ENSG00000006042",2881.83077793854,-0.315106086048534,0.112038194766192,0,1,1
"ENSG00000006047",629.187831508459,1.1709938694773,0.14571374112851,1.17349172530337,0.240598673219882,1
"ENSG00000006062",826.10009449888,-0.297136914189398,0.0726024890318366,0,1,1
"ENSG00000006071",951.870886209177,-0.714072410499081,0.17162204091824,0,1,1
"ENSG00000006118",5099.46383612794,0.657614766509999,0.117985034173881,0,1,1
"ENSG00000006125",32797.229290653,0.172737595500964,0.0788405047676841,0,1,1
"ENSG00000006194",3102.70756668785,0.0685039527050192,0.0476935575427948,0,1,1
