"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000087586",1.69126098273305,4.84859656566207,312.640041211873,5.80921190156488e-70,1.05657946065662e-65
"ENSG00000088325",1.52960510962244,6.36688183307235,283.676193168876,1.18715727377036e-63,1.07960082476677e-59
"ENSG00000138180",1.4539409391954,4.56995279612901,277.614438199644,2.48576001062241e-62,1.50703343577335e-58
"ENSG00000136982",1.4782235552593,3.57175282122823,275.09273682659,8.81063211536725e-62,4.00619442285749e-58
"ENSG00000076382",1.56322858385554,5.16601820946275,266.637531246841,6.13424886589769e-60,2.23139436745894e-56
"ENSG00000109805",1.53038645102638,4.27455886372147,261.935221329739,6.49665798016877e-59,1.96935358905516e-55
"ENSG00000145386",1.49675052445606,4.4874356319873,261.339234579711,8.76189035012699e-59,2.27658945268728e-55
"ENSG00000121152",1.36055441710242,4.19820579864245,250.110480441758,2.45671042187726e-56,5.58533114413795e-53
"ENSG00000135476",1.55974445713932,4.50251077234468,248.26706729594,6.19783190327136e-56,1.25251296285222e-52
"ENSG00000161800",1.18368720375136,5.90247584100714,245.721640771165,2.22429419835518e-55,4.04554628796841e-52
"ENSG00000115163",1.53861967884174,2.71832781530191,245.204110709479,2.88420833460093e-55,4.76890738088379e-52
"ENSG00000138778",1.42873554827437,4.5883908181396,244.991965794872,3.20833537009903e-55,4.86276697594677e-52
"ENSG00000101447",1.83680433394609,4.3914490993037,243.588097576803,6.49177927824701e-55,9.08249857790435e-52
"ENSG00000164109",1.33013842319614,4.80704886492062,242.809798090613,9.59530222642967e-55,1.24656683495931e-51
"ENSG00000089685",1.77816100612534,5.65121269910485,242.545286151043,1.09580043703669e-54,1.32869455658822e-51
"ENSG00000101003",1.36296757724505,4.51579515388263,240.184086990178,3.58563771780192e-54,4.07597367571134e-51
"ENSG00000051341",1.44430229642123,3.25229997766795,239.537175071484,4.96160760889014e-54,5.30833642297022e-51
"ENSG00000129810",1.54830664112573,2.26325091915709,238.036969691782,1.05375812141117e-53,1.06476403956813e-50
"ENSG00000166851",1.49478401920915,4.53481948377531,237.491339138657,1.38585347788051e-53,1.3266264766153e-50
"ENSG00000111206",1.48593656474478,5.14824272108071,236.497365660747,2.28275404143525e-53,2.07593652528121e-50
"ENSG00000134690",1.30472011694896,4.42620653554286,235.985537874749,2.95166910990469e-53,2.55642656052126e-50
"ENSG00000109674",1.49856633823978,2.01495297715172,234.682665263951,5.67773403757861e-53,4.69393757615817e-50
"ENSG00000169679",1.32051067624739,4.79227280357802,234.574975842622,5.99319404702423e-53,4.73931362292507e-50
"ENSG00000077152",1.32956328744528,4.68057234690036,233.006762300707,1.31715219089726e-52,9.98181835334971e-50
"ENSG00000146670",1.45215928936636,4.80502756195473,230.763037330067,4.06385347736042e-52,2.95653468184925e-49
"ENSG00000065328",1.65893595664561,3.77068015906192,227.366734529171,2.23680418691706e-51,1.56473055967875e-48
"ENSG00000126787",1.3925861247352,4.28514495110359,226.777533271543,3.00697616934687e-51,2.02558824326225e-48
"ENSG00000100526",1.36994205325609,3.54937255357124,225.839949414764,4.8152138910229e-51,3.11177204274929e-48
"ENSG00000169607",1.37306911879405,3.65325761769664,225.701490138334,5.16194828647299e-51,3.11177204274929e-48
"ENSG00000093009",1.46501543552579,3.35076286388771,225.698604591471,5.16943394208019e-51,3.11177204274929e-48
"ENSG00000035499",1.43508450414736,2.7570487045422,225.647520337296,5.30376805174995e-51,3.11177204274929e-48
"ENSG00000157456",1.38098705705332,4.59907057646185,225.54678652329,5.5789788156888e-51,3.17095208436712e-48
"ENSG00000177602",1.38658867123688,1.51310171230372,223.610165229547,1.47551258111413e-50,8.13230994706173e-48
"ENSG00000090889",1.40466068175129,4.87910245526758,220.174511471385,8.28549112722464e-50,4.43225037123417e-47
"ENSG00000186185",1.56014683674022,3.60021868602587,219.100398645739,1.4210565902606e-49,7.38462207533136e-47
"ENSG00000174371",1.46810282304291,3.87749538228964,218.67291737005,1.76140022585765e-49,8.89898536330525e-47
"ENSG00000182481",1.2568047525203,7.45180053694426,217.905285046946,2.59002564966944e-49,1.27317260854561e-46
"ENSG00000140534",1.52936163027052,3.13525264743175,216.007920747787,6.71727943563242e-49,3.21510206250743e-46
"ENSG00000165304",1.4959581143683,4.34413113702008,215.664598534493,7.98154865039641e-49,3.72226684239513e-46
"ENSG00000142945",1.40261944535052,4.52229703702085,214.822428876952,1.21843926193515e-48,5.54024332401913e-46
"ENSG00000101057",2.09014050044725,5.9021665228888,214.396990846047,1.50873556077713e-48,6.69289814132061e-46
"ENSG00000080986",1.30847657055307,3.93856400803169,214.204363461579,1.66201537626808e-48,7.19731801513427e-46
"ENSG00000175305",1.52166714890669,3.07501281243841,214.157375637911,1.70170986860967e-48,7.19783699773783e-46
"ENSG00000166451",1.14201936521315,2.73819357534803,213.624734965378,2.22373369893718e-48,9.19210648097035e-46
"ENSG00000123485",1.35754039855226,3.88228981233927,212.739906336183,3.46827795788843e-48,1.40180087773499e-45
"ENSG00000112742",1.38313875763862,3.94393112721797,211.594728774731,6.16520194174652e-48,2.43766723731491e-45
"ENSG00000135451",1.55986136216529,3.75594603559856,211.254739302888,7.31342894697637e-48,2.83014139760864e-45
"ENSG00000134057",1.18190877194543,5.8717623808842,210.924669868113,8.63239116201625e-48,3.27095688447399e-45
"ENSG00000198826",1.29401887537173,4.19167456225882,210.697148509332,9.67762822509416e-48,3.59217759506148e-45
"ENSG00000068489",2.24134039753092,5.04136447571612,209.864619139753,1.47028699632646e-47,5.34831597783712e-45
"ENSG00000092853",1.29030189527009,3.60001135662753,208.956840210995,2.31983096333633e-47,8.27315403160022e-45
"ENSG00000156970",1.2999428397298,4.17250229164877,208.853978980543,2.44285839269909e-47,8.54436700892521e-45
"ENSG00000196550",1.58881031862717,0.589124598655859,208.691721961486,2.6503250586491e-47,9.0951155031528e-45
"ENSG00000154920",1.62475118556784,2.12947783722556,207.377962448298,5.12786789903171e-47,1.7271418768072e-44
"ENSG00000138160",1.13033204974185,5.52496185453632,203.94643364344,2.87523055771727e-46,9.50812606977487e-44
