"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000068489",2.24134039753092,2.24154213466092,5.04136447571612,5.48011746948106e-18,9.96723765349215e-14
"ENSG00000119147",-2.58417521946708,-2.58949515773861,1.13536573181352,1.3616809471277e-17,1.23831265331793e-13
"ENSG00000054938",-3.53564898456043,-3.53924401675178,2.46573375577644,2.48571222450731e-17,1.50700446464463e-13
"ENSG00000147689",2.96237889685704,2.96389493806904,2.9469525263944,1.56934320212022e-16,6.43342767656055e-13
"ENSG00000101057",2.09014050044725,2.09024185159129,5.9021665228888,1.76859129001555e-16,6.43342767656055e-13
"ENSG00000186847",-2.89820471770022,-2.89849197061315,5.604136680685,2.29101352460692e-16,6.94482566425844e-13
"ENSG00000100146",-2.81974265415327,-2.82252919813043,2.29977837027517,4.03656826502796e-16,1.04881576577612e-12
"ENSG00000141744",3.73077595920158,3.73220248923745,4.00015973127464,5.68146297993233e-16,1.18659230335772e-12
"ENSG00000141750",-3.07081668315646,-3.07253908369982,3.48336086232788,5.87163554553523e-16,1.18659230335772e-12
"ENSG00000087586",1.69126098273305,1.69140896405847,4.84859656566207,6.75185474223595e-15,1.22802734051787e-11
"ENSG00000101447",1.83680433394609,1.83702950169444,4.3914490993037,1.46443915620816e-14,2.42138357937399e-11
"ENSG00000186081",-2.63635311423993,-2.63654506759677,5.91175926032255,1.90484123826945e-14,2.88710437013706e-11
"ENSG00000128422",-2.52102518825261,-2.52121319197371,5.67422350718994,4.49912185655361e-14,6.29461756361515e-11
"ENSG00000089685",1.77816100612534,1.77825327288851,5.65121269910485,1.40553973467066e-13,1.82599690672786e-10
"ENSG00000065618",-2.37412465659523,-2.37444189371413,4.84326059620771,9.57842156007175e-13,1.16141554223057e-09
"ENSG00000162595",-2.67677077661742,-2.67911381199013,2.36834020668707,1.53971274069003e-12,1.75026845797939e-09
"ENSG00000200087",-3.09987217561252,-3.10410156836461,3.69933251069443,2.81704132509959e-12,3.01390280123008e-09
"ENSG00000143867",-2.00493380816137,-2.00693712095129,1.63962823264438,1.1741074498197e-11,1.18637034985115e-08
"ENSG00000094804",1.78078983468019,1.78091889939311,5.1216477806252,1.65270509823429e-11,1.58207370140449e-08
"ENSG00000065328",1.65893595664561,1.65923835496226,3.77068015906192,5.06640237400864e-11,4.60738631892346e-08
"ENSG00000076382",1.56322858385554,1.56333682538373,5.16601820946275,1.06560050033843e-10,9.22911519055017e-08
"ENSG00000088325",1.52960510962244,1.52965050328146,6.36688183307235,1.52352580217036e-10,1.24865291970089e-07
"ENSG00000086570",-2.09686002568576,-2.09800422005703,2.64781153325215,1.57900908033431e-10,1.24865291970089e-07
"ENSG00000175063",1.68450292111734,1.68461307180026,5.29929327750677,3.41973234327999e-10,2.59158716081569e-07
"ENSG00000135476",1.55974445713932,1.55991433000399,4.50251077234468,4.57286841884869e-10,3.3268532320808e-07
"ENSG00000109805",1.53038645102638,1.5305809844614,4.27455886372147,6.09412224813209e-10,4.26307290188563e-07
"ENSG00000134339",-2.43908700443087,-2.44144231824848,1.90017425408661,8.10886811178904e-10,5.46237382285997e-07
"ENSG00000154920",1.62475118556784,1.6256934677312,2.12947783722556,9.02615263204933e-10,5.86313085970404e-07
"ENSG00000115163",1.53861967884174,1.53920395544873,2.71832781530191,1.32084059336361e-09,8.28394783175771e-07
"ENSG00000129810",1.54830664112573,1.54910798922143,2.26325091915709,1.46855891886829e-09,8.90338320545883e-07
"ENSG00000185697",1.74876239869944,1.74896881466553,4.46566181637854,2.2824006018361e-09,1.339106520845e-06
"ENSG00000196550",1.58881031862717,1.5915013256374,0.589124598655859,2.68761919374441e-09,1.42035064195867e-06
"ENSG00000145386",1.49675052445606,1.49691066668742,4.4874356319873,2.69370265831672e-09,1.42035064195867e-06
"ENSG00000136982",1.4782235552593,1.47852212042238,3.57175282122823,2.73050437265649e-09,1.42035064195867e-06
"ENSG00000170549",-1.91203040466804,-1.91450328227245,1.3648979294643,2.73324568223848e-09,1.42035064195867e-06
"ENSG00000186185",1.56014683674022,1.56046570179293,3.60021868602587,3.5243541096281e-09,1.78058201516433e-06
"ENSG00000129173",1.66133399332132,1.66186337014357,2.97806059058032,4.35561907563232e-09,2.10251409555929e-06
"ENSG00000154027",-2.16156936431794,-2.16197136750702,4.19867254561323,4.39276092100578e-09,2.10251409555929e-06
"ENSG00000135451",1.55986136216529,1.56015383336235,3.75594603559856,6.23752850647953e-09,2.90892739681666e-06
"ENSG00000138180",1.4539409391954,1.4540877786163,4.56995279612901,7.18607406465821e-09,3.26750787720009e-06
"ENSG00000166851",1.49478401920915,1.49493915823653,4.53481948377531,1.24010844191932e-08,5.48550624419937e-06
"ENSG00000109674",1.49856633823978,1.49951385011081,2.01495297715172,1.26672125718261e-08,5.48550624419937e-06
"ENSG00000276168",-2.55625577923801,-2.55629094505329,9.11170390542654,1.36424393051027e-08,5.68640666135798e-06
"ENSG00000140534",1.52936163027052,1.52979961967524,3.13525264743175,1.37564269353283e-08,5.68640666135798e-06
"ENSG00000134757",-2.21222306671938,-2.21360305057078,2.50934674252014,1.59782048882202e-08,6.45803534459889e-06
"ENSG00000148053",-2.02089283102088,-2.0209672621503,6.46828050170804,1.79639888266727e-08,7.10280497346788e-06
"ENSG00000111206",1.48593656474478,1.48603950773779,5.14824272108071,1.8708511486798e-08,7.23979589195494e-06
"ENSG00000188610",1.56083427537994,1.56397886470059,0.340051919786732,1.92749718367173e-08,7.3036080784628e-06
"ENSG00000175305",1.52166714890669,1.52211287689669,3.07501281243841,1.97384735638901e-08,7.32659912612312e-06
"ENSG00000173432",-2.13954577753538,-2.13980487161334,4.85019998158883,3.78382501968899e-08,1.35703483395463e-05
"ENSG00000071909",-2.60866737034545,-2.60994074341375,3.45356763149256,3.80518894500144e-08,1.35703483395463e-05
"ENSG00000165304",1.4959581143683,1.49613664885897,4.34413113702008,4.53072315055952e-08,1.58470755119955e-05
"ENSG00000104332",-1.99976964431984,-1.99996702805463,5.73904793534271,4.7418711037797e-08,1.62726701199142e-05
"ENSG00000118193",1.54067556278812,1.54094745639078,3.78894501086531,4.91215643917268e-08,1.65448706140135e-05
"ENSG00000105173",1.73770672930837,1.7384545082608,2.66043266532358,5.87861920540954e-08,1.94400592923616e-05
"ENSG00000093009",1.46501543552579,1.46536110210954,3.35076286388771,7.79099220107039e-08,2.53040296701908e-05
"ENSG00000051341",1.44430229642123,1.44467219286169,3.25229997766795,8.15022823064995e-08,2.60063773787827e-05
"ENSG00000173894",1.79354429125237,1.79376043152506,4.41416240658224,8.62678970184721e-08,2.7052422602965e-05
"ENSG00000146670",1.45215928936636,1.45228276179417,4.80502756195473,9.72836532690435e-08,2.99897472145316e-05
"ENSG00000174371",1.46810282304291,1.46834087884423,3.87749538228964,1.04337644329677e-07,3.16282179178026e-05
"ENSG00000138778",1.42873554827437,1.42888100452326,4.5883908181396,1.16093728618018e-07,3.46149628869591e-05
"ENSG00000131747",1.55023001041718,1.55024821446122,7.71024761051309,1.60923065251438e-07,4.72075598515025e-05
"ENSG00000231826",-1.99921310825454,-2.00572743014556,0.0740915895735629,2.0099776089073e-07,5.80277345250889e-05
"ENSG00000178999",1.49403425377757,1.49435142738318,3.52373595647647,2.40518769636236e-07,6.82867124881226e-05
"ENSG00000035499",1.43508450414736,1.4355990231235,2.7570487045422,2.44042022857267e-07,6.82867124881226e-05
"ENSG00000149043",-1.97785169489239,-1.98253935825398,0.692309450647877,2.62904481419953e-07,7.24501016373653e-05
"ENSG00000102466",-2.02048345553557,-2.02165409957171,2.82491299173888,2.96108298214587e-07,7.98624106680722e-05
"ENSG00000185479",-2.13443254521423,-2.13529289079186,3.0985953188548,2.98583897373483e-07,7.98624106680722e-05
"ENSG00000119547",2.30207491808615,2.30362827534735,2.22346663146365,4.16872401835463e-07,0.000109885148472223
"ENSG00000168824",-1.63242610571648,-1.63592631003421,0.459302214115275,4.56664779549529e-07,0.000118654557292098
"ENSG00000137872",-1.74466570458583,-1.74501296192923,3.7864928892011,4.68437640722167e-07,0.00011999920858387
"ENSG00000134762",-1.91229780466186,-1.91294904364276,3.16374575819536,4.95490117608646e-07,0.000125166309153695
"ENSG00000169035",-2.17482463198194,-2.17877168107285,0.93353049646757,5.86710078020935e-07,0.000146179217795134
"ENSG00000263639",2.46832774929333,2.46869046915125,5.28939828827672,6.18124478139303e-07,0.000151924973086455
"ENSG00000154839",1.44304088337431,1.44346770423,3.09685539532197,6.34988325010841e-07,0.000153988902070629
"ENSG00000281383",-1.87659968934008,-1.88020803781428,0.467624991660302,7.14660245184243e-07,0.000171029480781724
"ENSG00000073282",-1.76079444958138,-1.76123691251309,3.60377721460445,8.36069665078795e-07,0.00019748616972017
"ENSG00000163661",-1.67881913648184,-1.68371187708025,0.0862281012960052,8.91677197933406e-07,0.000207920831743754
"ENSG00000090889",1.40466068175129,1.40477428184397,4.87910245526758,9.85560350273914e-07,0.000226903438617493
