"","logFC","logCPM","F","PValue","FDR"
"ENSG00000087586",1.69126168619761,4.84859656566207,297.585991324043,1.09156773408787e-47,1.98534339475902e-43
"ENSG00000088325",1.5296048781671,6.36688183307235,271.592586559337,1.11073849420721e-44,1.01010558663203e-40
"ENSG00000138180",1.45390918207602,4.56995279612901,267.340129127404,3.55009705672547e-44,2.1523055089241e-40
"ENSG00000136982",1.47797737019906,3.57175282122823,265.72545680075,5.53109591827966e-44,2.51498931404176e-40
"ENSG00000076382",1.56323538391382,5.16601820946275,253.529168463717,1.63999963207969e-42,5.96566266165307e-39
"ENSG00000109805",1.5303939411534,4.27455886372147,249.783043216762,4.71306404100707e-42,1.2511813088386e-38
"ENSG00000145386",1.49674972200476,4.4874356319873,249.707062618895,4.81541079935682e-42,1.2511813088386e-38
"ENSG00000121152",1.3605296508053,4.19820579864245,241.570829949941,4.88683081758251e-41,1.11102098637738e-37
"ENSG00000161800",1.183689119244,5.90247584100714,239.606855411305,8.5931732168984e-41,1.73658482743276e-37
"ENSG00000135476",1.55974475599938,4.50251077234468,235.220023130685,3.05365117113191e-40,5.46476687907839e-37
"ENSG00000164109",1.33013695105389,4.80704886492062,234.711900365223,3.53903763198124e-40,5.46476687907839e-37
"ENSG00000138778",1.42875387250487,4.5883908181396,234.64782706183,3.60552026330221e-40,5.46476687907839e-37
"ENSG00000115163",1.53848029448162,2.71832781530191,232.21964939013,7.3109470816192e-40,1.022857734773e-36
"ENSG00000101003",1.36295645448864,4.51579515388263,231.60061755194,8.75906933664727e-40,1.13792823639243e-36
"ENSG00000051341",1.44430609746518,3.25229997766795,229.107685083494,1.81729576188444e-39,2.20353168781028e-36
"ENSG00000134690",1.30466264712892,4.42620653554286,228.38325768159,2.24804817114722e-39,2.5554687585516e-36
"ENSG00000101447",1.8368213913688,4.3914490993037,226.899897836244,3.47816019231794e-39,3.72122221046345e-36
"ENSG00000089685",1.77818590804766,5.65121269910485,226.490352371891,3.92439328460788e-39,3.96538139224712e-36
"ENSG00000169679",1.32051502525467,4.79227280357802,226.285188258804,4.16916383400024e-39,3.9909869375156e-36
"ENSG00000129810",1.54805327665133,2.26325091915709,225.678887030865,4.986079659097e-39,4.53434084198282e-36
"ENSG00000166851",1.4947814139496,4.53481948377531,225.38152959411,5.4438179306145e-39,4.71486478676269e-36
"ENSG00000077152",1.32953260667328,4.68057234690036,224.510128911293,7.0437786809105e-39,5.76478709470677e-36
"ENSG00000111206",1.48592943592683,5.14824272108071,224.394046698029,7.28997708259598e-39,5.76478709470677e-36
"ENSG00000109674",1.49856570095207,2.01495297715172,222.440891787043,1.30092898265591e-38,9.85887347356069e-36
"ENSG00000146670",1.45216178472299,4.80502756195473,219.556937695817,3.0712953272107e-38,2.23442877645233e-35
"ENSG00000126787",1.39256264851466,4.28514495110359,217.06207820551,6.48156438038078e-38,4.44048616847463e-35
"ENSG00000100526",1.36982892543144,3.54937255357124,217.005836473547,6.59188072073977e-38,4.44048616847463e-35
"ENSG00000169607",1.37310818989331,3.65325761769664,216.291235296376,8.16967056341775e-38,5.30678457883721e-35
"ENSG00000157456",1.38097103302049,4.59907057646185,215.632515385705,9.95916234559957e-38,6.24611188764707e-35
"ENSG00000035499",1.43529861769799,2.7570487045422,215.076563067957,1.17734633362136e-37,7.13785837196845e-35
"ENSG00000177602",1.38663975130514,1.51310171230372,214.749523239569,1.2992560332486e-37,7.62286088152435e-35
"ENSG00000093009",1.46495136634836,3.35076286388771,214.465918352906,1.41521846814322e-37,8.04374796830902e-35
"ENSG00000065328",1.65892719383852,3.77068015906192,213.849237317046,1.70461442877482e-37,9.39500825168377e-35
"ENSG00000182481",1.25680453131134,7.45180053694426,210.131398951668,5.25738355171337e-37,2.81239094231067e-34
"ENSG00000166451",1.14169777826713,2.73819357534803,209.577001947732,6.22308633425232e-37,3.19324546597427e-34
"ENSG00000090889",1.40466114877231,4.87910245526758,209.525979072767,6.3204770604285e-37,3.19324546597427e-34
"ENSG00000174371",1.4680836279041,3.87749538228964,207.100416424975,1.32467866984972e-36,6.51169071546668e-34
"ENSG00000186185",1.56015833624918,3.60021868602587,206.613005941325,1.53768351401464e-36,7.35983888234167e-34
"ENSG00000080986",1.30841379863892,3.93856400803169,205.949935338489,1.8839019838255e-36,8.78574596969697e-34
"ENSG00000134057",1.18190312559331,5.8717623808842,204.688371621165,2.77435365075985e-36,1.24971058552404e-33
"ENSG00000140534",1.52939438765103,3.13525264743175,204.638554187492,2.81713954291211e-36,1.24971058552404e-33
"ENSG00000142945",1.40261209633551,4.52229703702085,204.332880888264,3.0946005330065e-36,1.34010939272196e-33
"ENSG00000165304",1.49595774040708,4.34413113702008,203.761871327964,3.68873808205336e-36,1.56025042410201e-33
"ENSG00000123485",1.35753894194822,3.88228981233927,203.1774266329,4.41603519960372e-36,1.82542836841801e-33
