"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000068489",2.24133984204223,2.2415415532971,5.04136447571612,4.19269536494483e-15,7.62567432976166e-11
"ENSG00000119147",-2.58377099392607,-2.58907102857534,1.13536573181352,1.14615949616131e-14,1.0423174458091e-10
"ENSG00000101057",2.09020438283416,2.09030573651144,5.9021665228888,4.35318388247384e-14,2.63919028181447e-10
"ENSG00000087586",1.69126168619761,1.69140966738181,4.84859656566207,1.94731537864744e-13,8.12861385623115e-10
"ENSG00000100146",-2.82044018827593,-2.8232230087035,2.29977837027517,2.23460904338881e-13,8.12861385623115e-10
"ENSG00000186847",-2.89813687619685,-2.89842391673285,5.604136680685,2.86250632163488e-13,8.6772108296492e-10
"ENSG00000054938",-3.53213091200978,-3.535693464009,2.46573375577644,5.3113698775768e-13,1.21239484479314e-09
"ENSG00000147689",2.96448285271198,2.96600278176758,2.9469525263944,5.9801948177861e-13,1.21239484479314e-09
"ENSG00000101447",1.8368213913688,1.83704656049588,4.3914490993037,5.99931471472305e-13,1.21239484479314e-09
"ENSG00000141750",-3.06683067153791,-3.06852984424074,3.48336086232788,1.51514148184458e-12,2.75573932717892e-09
"ENSG00000141744",3.73365019051012,3.73507593520929,4.00015973127464,2.19140462980949e-12,3.62338794608864e-09
"ENSG00000089685",1.77818590804766,1.77827817450318,5.65121269910485,3.59671013859645e-12,5.45141366673269e-09
"ENSG00000186081",-2.63621658652355,-2.6364083598316,5.91175926032255,1.13368882942403e-11,1.58611787919725e-08
"ENSG00000128422",-2.52097449704998,-2.52116241336776,5.67422350718994,1.93795501984546e-11,2.51768042149637e-08
"ENSG00000065618",-2.37385895583665,-2.37417580591385,4.84326059620771,1.46142286454055e-10,1.7720239373509e-07
"ENSG00000094804",1.78102065968201,1.7811497670551,5.1216477806252,2.60333698064553e-10,2.9593433127488e-07
"ENSG00000162595",-2.67212309433704,-2.6744438174974,2.36834020668707,2.96178666025497e-10,3.16876328098338e-07
"ENSG00000143867",-2.00514314911466,-2.00714669146819,1.63962823264438,3.27702559196983e-10,3.31125230370819e-07
"ENSG00000065328",1.65892719383852,1.6592295902205,3.77068015906192,4.30895848945887e-10,4.12480721085673e-07
"ENSG00000076382",1.56323538391382,1.56334362553725,5.16601820946275,6.80931875006581e-10,6.19239447130985e-07
"ENSG00000200087",-3.1356999043773,-3.14005809105655,3.69933251069443,7.31320577125723e-10,6.3339326936965e-07
"ENSG00000088325",1.5296048781671,1.5296502715851,6.36688183307235,8.29897385142678e-10,6.86098801862501e-07
"ENSG00000135476",1.55974475599938,1.55991462934155,4.50251077234468,2.53664845194419e-09,2.00593748017222e-06
"ENSG00000175063",1.68453122629073,1.68464137605462,5.29929327750677,2.73349970225771e-09,2.07153719102763e-06
"ENSG00000109805",1.5303939411534,1.53058848345387,4.27455886372147,2.94879100668824e-09,2.14530443318583e-06
"ENSG00000086570",-2.0969428940796,-2.0980864843183,2.64781153325215,4.49160009100092e-09,3.1420470175048e-06
"ENSG00000154920",1.62483594701226,1.62577860362191,2.12947783722556,4.78328146509397e-09,3.22216012174552e-06
"ENSG00000115163",1.53848029448162,1.53906457847134,2.71832781530191,6.40323751650043e-09,4.15936014107535e-06
"ENSG00000129810",1.54805327665133,1.54885438759381,2.26325091915709,6.92209422944969e-09,4.34134654638727e-06
"ENSG00000136982",1.47797737019906,1.47827580657784,3.57175282122823,9.22455005447716e-09,5.59253721302769e-06
"ENSG00000145386",1.49674972200476,1.49690986590405,4.4874356319873,1.05493819341454e-08,6.18942447155604e-06
"ENSG00000196550",1.58828420489787,1.59097421667549,0.589124598655859,1.53098589279273e-08,8.70174106816067e-06
