"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",5089.9716681973,0.311823801647424,0.149516159380475,0,1,1
"ENSG00000000005",40.9281414975663,-0.315149841402413,0.256658356468933,0,1,1
"ENSG00000000419",1503.93891322784,0.587021305219889,0.132191136390478,0,1,1
"ENSG00000000457",637.48327749305,-0.35613101105838,0.0663573339298489,0,1,1
"ENSG00000000460",293.514886079689,1.18710318613598,0.115817007351572,1.61550700034941,0.106200945599433,0.633551133142383
"ENSG00000000938",320.15574552099,0.158674622053705,0.183150145975359,0,1,1
"ENSG00000000971",1452.63365050117,-1.44023276403519,0.154421269882535,-2.85085574267109,0.00436017460390891,0.035537370443519
"ENSG00000001036",3081.70608329116,-0.00575422298109054,0.0896768244350937,0,1,1
"ENSG00000001084",1766.92789311098,-0.0258245421317664,0.0822730905942546,0,1,1
"ENSG00000001167",1252.40580569832,0.470575749442118,0.0743666762188956,0,1,1
"ENSG00000001460",592.657931723659,-1.15392523558414,0.109621543337989,-1.40415132734948,0.160273792051785,0.909792553703256
"ENSG00000001461",2206.33710453414,-0.582907070432237,0.0922223641129765,0,1,1
"ENSG00000001497",2020.71248576548,1.09487618160668,0.11517874330174,0.823729959946924,0.410093012166616,1
"ENSG00000001561",1285.38252029006,-0.638111969251283,0.12369049226052,0,1,1
"ENSG00000001617",1606.36722150174,1.06198944308244,0.186046057816795,0.33319406930665,0.738987794618723,1
"ENSG00000001626",7120.32449743539,-0.437089207314309,0.240680754144961,0,1,1
"ENSG00000001629",1824.82989374463,0.00906786707644046,0.09105966039972,0,1,1
"ENSG00000001630",533.888936317952,0.707740692848533,0.152082248046769,0,1,1
"ENSG00000001631",1008.03567738493,0.21091607144122,0.10171851241422,0,1,1
"ENSG00000002016",385.294229698924,-0.190372926639504,0.0842972122413755,0,1,1
"ENSG00000002330",1482.10723956418,-0.938857716643771,0.108655075404249,0,1,1
"ENSG00000002549",4387.19616732364,-0.0664431815361868,0.127257492103948,0,1,1
"ENSG00000002586",7232.80975866385,-0.418095055950102,0.107492797091355,0,1,1
"ENSG00000002587",484.167254747638,0.665040892946491,0.136446123583159,0,1,1
"ENSG00000002726",19730.6230779264,-1.85703725136601,0.157988360732207,-5.42468601733704,5.80565016360309e-08,9.27619827061965e-07
"ENSG00000002746",34.1737931564187,1.21213808935123,0.2069486353503,1.02507604842207,0.305327305965304,1
"ENSG00000002822",1024.35004543013,0.486049770446202,0.0893222368965828,0,1,1
"ENSG00000002834",17973.3309786751,-0.49482519548016,0.100407326311207,0,1,1
"ENSG00000002919",1078.3907476997,-0.338464702171182,0.071203148820298,0,1,1
"ENSG00000002933",8842.86933227551,-0.115677015089994,0.163899682651798,0,1,1
"ENSG00000003056",2917.56137272487,0.39652730352428,0.0709918463588046,0,1,1
"ENSG00000003096",259.190793848084,-1.83430466372604,0.264649096597326,-3.15249390401461,0.00161882201639842,0.0142601110143715
"ENSG00000003137",181.17336490913,-1.30765114608776,0.181832902925255,-1.691944313369,0.0906565917648847,0.550866692897315
"ENSG00000003147",2059.32597633807,0.877274246708603,0.104927712337938,0,1,1
"ENSG00000003249",508.234760408605,2.07892597045501,0.150743535049203,7.15736147558732,8.22446270121141e-13,2.19690732493376e-11
"ENSG00000003393",639.396761765743,0.397614217495677,0.104902498150472,0,1,1
"ENSG00000003400",1979.87656775676,-1.00351524723801,0.144654882076896,-0.024300923602004,0.980612576421824,1
"ENSG00000003402",3909.46808195406,-0.510562124187259,0.0874901738124154,0,1,1
"ENSG00000003436",746.996539032667,-1.01012463061359,0.201241778689028,-0.0503107788032399,0.959874734405825,1
"ENSG00000003509",400.81257469177,0.262053380448533,0.0805896112660646,0,1,1
"ENSG00000003756",2671.58055751402,-0.0353810928437674,0.0890849003217472,0,1,1
"ENSG00000003987",40.214879936962,-1.2722294828264,0.157317242871193,-1.73044910944248,0.0835500661440604,0.513261497758126
"ENSG00000003989",267.964237498617,-1.58223308333804,0.236668051170919,-2.46012539697452,0.0138888478888441,0.10267678763369
"ENSG00000004059",6416.92638833754,0.373548897619676,0.12482931889341,0,1,1
