"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000167767",7.00154124951379,4.42788306346983,896.234978724893,6.46089986134552e-197,1.12006159996286e-192
"ENSG00000175832",5.50426741111456,5.97094911511909,656.382429171577,9.14258353438559e-145,7.92479140760543e-141
"ENSG00000103888",5.31047796122073,6.33267385162766,545.726628599918,1.0706033004939e-120,6.18665960578743e-117
"ENSG00000060718",6.02292124809704,4.28065894677004,518.615947666581,8.46567451319992e-115,3.66902333402085e-111
"ENSG00000129474",3.03978974712187,3.79310577073374,503.644201690503,1.53133870207827e-111,5.30945754784579e-108
"ENSG00000164379",6.28887726649701,4.76455400947061,490.18099333054,1.30145766303892e-108,3.76034500774045e-105
"ENSG00000120254",2.49892294534766,4.90064827575159,479.815439470446,2.34370877069952e-106,5.8043621784067e-103
"ENSG00000062038",6.61449076083379,5.87878946354692,475.924728713716,1.64634709605788e-105,3.56763415715743e-102
"ENSG00000247844",4.73892487464971,2.49112849504775,470.567013168964,2.41202977330976e-104,4.64610535001089e-101
"ENSG00000163347",4.62499678909835,5.53061863250229,470.180931367819,2.92682493418379e-104,5.07394370590102e-101
"ENSG00000142959",-5.92153370223624,5.35975392438061,447.893470725949,2.07279810533473e-99,3.26672981400754e-96
"ENSG00000168748",-6.64333048385934,5.73589658425059,442.877048131283,2.56031998408026e-98,3.69880893700129e-95
"ENSG00000114656",3.73513131090147,1.71940434517306,442.427153210611,3.20780087098536e-98,4.27772583841556e-95
"ENSG00000101255",3.91382997921306,5.74195035454807,440.347598344153,9.0948489201142e-98,1.12620214913643e-94
"ENSG00000111846",-4.20184443314186,3.66158479400228,399.404766303721,7.4218091658498e-89,8.57763224661148e-86
"ENSG00000203499",2.79790189199024,4.31392675192586,398.928383923063,9.42351168036711e-89,1.02103749056778e-85
"ENSG00000197905",2.43030808905063,4.28100224505679,389.450245463859,1.09033436920407e-86,1.11188450732481e-83
"ENSG00000265688",2.91905551772957,1.63192790423999,382.597845255414,3.38356491951408e-85,3.25874896914978e-82
"ENSG00000163815",-4.03896519200398,4.46525241997386,379.404064219509,1.67766827473006e-84,1.5307398531958e-81
