"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000167767",7.00154124951379,7.01837899585355,4.42788306346983,1.29448853444487e-158,2.24412532331362e-154
"ENSG00000175832",5.50426741111456,5.50619320940159,5.97094911511909,1.6036447248406e-107,1.39003924749183e-103
"ENSG00000060718",6.02292124809704,6.03619938506599,4.28065894677004,1.33063785405903e-88,7.68931261265579e-85
"ENSG00000103888",5.31047796122073,5.31176599878995,6.33267385162766,2.19984951730934e-88,9.53414780801869e-85
"ENSG00000164379",6.28887726649701,6.29913967369528,4.76455400947061,8.56790741568263e-85,2.97066485916548e-81
"ENSG00000062038",6.61449076083379,6.61981309042817,5.87878946354692,2.38868077118485e-84,6.90169497487677e-81
"ENSG00000168748",-6.64333048385934,-6.6497288511787,5.73589658425059,1.68859025046438e-78,4.18191436886436e-75
"ENSG00000142959",-5.92153370223624,-5.92609064030689,5.35975392438061,3.72265830741114e-76,8.06700055215995e-73
"ENSG00000247844",4.73892487464971,4.75476044430782,2.49112849504775,5.72207117857416e-72,1.10219806613069e-68
"ENSG00000163347",4.62499678909835,4.62644867383016,5.53061863250229,1.64296911579109e-71,2.84825125913543e-68
"ENSG00000178773",5.43376961056638,5.44190669144865,4.46382478071752,5.81138511082964e-61,9.15874293466752e-58
"ENSG00000101255",3.91382997921306,3.91458606275862,5.74195035454807,8.4281967280634e-61,1.21759348731423e-57
"ENSG00000236081",5.0857259264893,5.10606076744695,2.47506877693996,1.81608795927875e-60,2.42182314323511e-57
"ENSG00000114656",3.73513131090147,3.74510159624322,1.71940434517306,1.20120401946078e-58,1.48743377724087e-55
"ENSG00000122641",5.1855570586625,5.1919575214443,4.27830043205653,4.21935633813602e-58,4.87645076519507e-55
"ENSG00000111846",-4.20184443314186,-4.20577096560158,3.66158479400228,1.20867192615964e-57,1.30959603199397e-54
"ENSG00000129474",3.03978974712187,3.04111694589324,3.79310577073374,2.82477547736147e-56,2.8806063338552e-53
"ENSG00000163815",-4.03896519200398,-4.04101458851722,4.46525241997386,8.88872047450251e-54,8.56082545255419e-51
"ENSG00000139515",4.90310498635702,4.9124639698574,3.49581178239847,1.74602312690409e-53,1.59310825936891e-50
"ENSG00000105464",5.04896687082566,5.05305026389319,4.6103247667189,3.99585221115409e-52,3.46360469662836e-49
"ENSG00000137699",4.29567438871883,4.2970984214815,5.63164850092933,6.12695745454462e-52,5.05794925866598e-49
"ENSG00000101187",3.53139521109761,3.53200876622299,5.60274525007105,4.23249555003114e-49,3.33520649342454e-46
"ENSG00000186462",-3.85587702229165,-3.87277610217863,1.16705948180009,6.71295915886777e-49,5.0598199990492e-46
"ENSG00000159263",4.43787337071401,4.44461204500668,3.07111826573638,1.35627955223628e-48,9.79685929898669e-46
