"","logFC","logCPM","F","PValue","FDR"
"ENSG00000167767",6.98350136348163,4.42798516853362,852.153162721604,5.51618614057211e-30,9.49887253406517e-26
"ENSG00000175832",5.50027071060415,5.97110988732174,624.241373059599,3.0875203666719e-27,2.6583550357045e-23
"ENSG00000129474",3.0414856534477,3.7932668748136,515.053719784821,1.44998416036955e-25,7.17859718261717e-22
"ENSG00000103888",5.30778027343364,6.33270242278699,509.459152613522,1.80152716779806e-25,7.17859718261717e-22
"ENSG00000120254",2.49934672204617,4.90087513129378,505.732317333465,2.08437781144517e-25,7.17859718261717e-22
"ENSG00000060718",6.02380957287587,4.28109832631647,493.636268150548,3.36940555745453e-25,9.6701939498945e-22
"ENSG00000164379",6.27407651815339,4.76489114850863,457.731933661544,1.49832880589312e-24,3.68588886249708e-21
"ENSG00000163347",4.6225143672838,5.53064189846586,443.118239158321,2.83673532289494e-24,6.10607278253136e-21
"ENSG00000247844",4.7395771212729,2.49123187813795,439.784708711724,3.29020642815711e-24,6.29183961936346e-21
"ENSG00000114656",3.73539109438928,1.71967509102412,437.442380204774,3.65379768836438e-24,6.29183961936346e-21
"ENSG00000062038",6.59200274328689,5.87892318247769,429.824770703623,5.15632425420117e-24,8.07199124157673e-21
"ENSG00000101255",3.91343292408043,5.74217974100831,422.916102178973,7.08137704845657e-24,1.01617760645352e-20
"ENSG00000142959",-5.87947422764076,5.36014861432496,419.222272624198,8.40669437424618e-24,1.11356367018861e-20
"ENSG00000168748",-6.60063255590563,5.73627628110097,412.079963388011,1.17597938001787e-23,1.44645463742198e-20
"ENSG00000197905",2.43080610021389,4.28115455141702,407.877286944965,1.4363226279995e-23,1.64889837694343e-20
"ENSG00000171617",1.91541068858708,6.58615639396071,406.406926985614,1.541097640247e-23,1.65860633531584e-20
"ENSG00000203499",2.79806212964881,4.31398572578921,402.255044671387,1.88242979397334e-23,1.90679065013064e-20
"ENSG00000265688",2.92158101102483,1.63197614025141,390.705495289721,3.3171395918991e-23,3.17339687625014e-20
"ENSG00000111846",-4.19315407822401,3.66196021975163,377.63950932655,6.41447937437868e-23,5.81354393825268e-20
"ENSG00000101187",3.53118444342811,5.6029861331729,365.220541033699,1.22396570990605e-22,1.05383447622911e-19
"ENSG00000196950",1.80805891402919,4.58056107545089,361.984730027769,1.45307836685101e-22,1.19152426081783e-19
"ENSG00000163815",-4.03474944506854,4.4657145959471,359.252979977525,1.68138348937192e-22,1.31606471304475e-19
"ENSG00000171503",-2.07781485509918,5.29387192448293,347.03144846073,3.27039896720227e-22,2.44853348761839e-19
"ENSG00000127951",-2.68397505901144,5.98084744094738,338.998725178329,5.12264628845909e-22,3.67549871196939e-19
"ENSG00000178773",5.43413412213014,4.46422514587912,336.773299849716,5.81053594313542e-22,4.00229715763168e-19
"ENSG00000122778",2.45125719828498,4.17303144141544,330.308373598576,8.41450285825993e-22,5.57298996997061e-19
"ENSG00000122641",5.17697035946391,4.27886275747679,325.942633609242,1.08445769391483e-21,6.91643018119016e-19
"ENSG00000137699",4.2932150897933,5.63196588771552,325.24314373074,1.12976493412176e-21,6.94805434484885e-19
"ENSG00000071539",2.26807670512971,3.93834233086184,323.761237350324,1.23241946570118e-21,7.31802179288772e-19
"ENSG00000186462",-3.8831303737148,1.16781487598199,319.777030455953,1.55980841861154e-21,8.95330032283021e-19
"ENSG00000139433",-1.5300385619537,6.13499852853306,316.059276725225,1.94788591623255e-21,1.0820192089524e-18
"ENSG00000139515",4.89544739862048,3.4960443362065,310.872436038299,2.66608169448648e-21,1.43468521184554e-18
"ENSG00000113594",-3.50624696525941,3.91510471560722,308.358050066902,3.1093853959693e-21,1.62253383389671e-18
"ENSG00000111641",1.41591684745211,5.50901804897528,303.867221767133,4.10381004864019e-21,2.07845908934071e-18
"ENSG00000110092",1.65667691088855,7.17911274947435,302.842684757069,4.37421686873192e-21,2.11012030520557e-18
"ENSG00000168309",-3.47055189871596,3.87737140617067,302.707003758248,4.41140133492453e-21,2.11012030520557e-18
"ENSG00000273604",3.39701960125945,2.79207037391163,302.257541117604,4.53696107943116e-21,2.1115262104812e-18
"ENSG00000159263",4.43466216456963,3.07114747024104,298.154689070296,5.87175089572333e-21,2.66083027432515e-18
"ENSG00000090447",1.55294574898413,4.43891742512045,296.232931866257,6.63276818378903e-21,2.92862225961146e-18
"ENSG00000173898",3.22103037221065,4.64130132522259,293.110566036943,8.09716569361323e-21,3.4858298311005e-18
"ENSG00000078804",-2.49111347646211,7.05635474418032,291.344454460374,9.07186944619036e-21,3.79702342556797e-18
