"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000167767",6.98395085426737,7.00022190808936,4.42788306346983,7.78786550612212e-29,1.35010436414133e-24
"ENSG00000175832",5.50046516099306,5.50237588610368,5.97094911511909,1.67400111745356e-25,1.45102416860874e-21
"ENSG00000060718",6.02405771343747,6.03697293051329,4.28065894677004,9.76387725606265e-24,5.28292719604384e-20
"ENSG00000103888",5.30797758444869,5.30925952041596,6.33267385162766,1.21894951454634e-23,5.28292719604384e-20
"ENSG00000164379",6.27436841479747,6.28437872144807,4.76455400947061,3.52863130751496e-23,1.22344704694159e-19
"ENSG00000062038",6.59224162041463,6.59734807640381,5.87878946354692,7.95611640958685e-23,2.29878723460996e-19
"ENSG00000168748",-6.60048252500187,-6.60634764694871,5.73589658425059,1.92834751355171e-22,4.77569035641891e-19
"ENSG00000142959",-5.87929847954699,-5.88354756818441,5.35975392438061,2.75309204120075e-22,5.96595045328203e-19
"ENSG00000163347",4.6226854492702,4.6241292904058,5.53061863250229,6.01555853700149e-22,1.06669564002371e-18
"ENSG00000247844",4.73983161785746,4.75573915994682,2.49112849504775,6.15306668218568e-22,1.06669564002371e-18
"ENSG00000101255",3.91369923930723,3.91445465081437,5.74195035454807,5.28490702954554e-21,7.84207821144997e-18
"ENSG00000114656",3.7356449150728,3.74569218969858,1.71940434517306,5.42829594701197e-21,7.84207821144997e-18
"ENSG00000129474",3.04170949088224,3.04304248848413,3.79310577073374,6.55574671434925e-21,8.74234038768912e-18
"ENSG00000236081",5.08034051324915,5.10039721780268,2.47506877693996,1.56413731234559e-20,1.9368488890588e-17
"ENSG00000111846",-4.19308780671669,-4.1969587747271,3.66158479400228,2.41553549990862e-20,2.79171489509439e-17
"ENSG00000178773",5.43431056500968,5.44239945239292,4.46382478071752,2.9903396830333e-20,3.24003304656658e-17
"ENSG00000122641",5.17725150132024,5.18352271222664,4.27830043205653,7.35276321791609e-20,7.49808842034079e-17
"ENSG00000163815",-4.03454389000303,-4.03656846776641,4.46525241997386,8.1015901448074e-20,7.80273148613229e-17
"ENSG00000139515",4.89575721325907,4.90486027031002,3.49581178239847,2.93440774711656e-19,2.44931256320867e-16
"ENSG00000137699",4.29350613695125,4.29491982728758,5.63164850092933,2.94153789468507e-19,2.44931256320867e-16
"ENSG00000101187",3.53142065022361,3.53203380208917,5.60274525007105,2.96697991620801e-19,2.44931256320867e-16
"ENSG00000120254",2.49955003275765,2.4999676196487,4.90064827575159,6.40260776700958e-19,5.00693726712046e-16
"ENSG00000105464",5.03498530631295,5.03894473311816,4.6103247667189,6.64279863542747e-19,5.00693726712046e-16
"ENSG00000159263",4.43491920894021,4.44161909231044,3.07111826573638,1.10753249345507e-18,8.0000763777238e-16
"ENSG00000186462",-3.88362367437558,-3.90146669934427,1.16705948180009,1.34915255691492e-18,9.35556349067079e-16
"ENSG00000265688",2.92179665981596,2.92761715037653,1.63192790423999,2.38433036617542e-18,1.5897981241545e-15
"ENSG00000203499",2.79826018958012,2.79907833767805,4.31392675192586,3.15759331602605e-18,2.02740880468991e-15
"ENSG00000181085",4.07123642675922,4.08710675111755,1.74181723102045,4.42575291892148e-18,2.7011001808788e-15
"ENSG00000079689",-5.39426938945053,-5.40927943740063,3.07501376672321,4.51845323289602e-18,2.7011001808788e-15
"ENSG00000172031",4.4246706254824,4.44108464345738,2.04622795637895,6.60548564561029e-18,3.81708997174333e-15
"ENSG00000113594",-3.50606906219737,-3.50810227487322,3.91452096655982,7.56251983593682e-18,4.22915625405809e-15
"ENSG00000168309",-3.47038004976672,-3.47244119396547,3.87686580901996,1.21981135517204e-17,6.60832801664453e-15
"ENSG00000135549",-4.54080673034776,-4.54184905627316,6.13106671685898,1.40715148932304e-17,7.39223582391038e-15
"ENSG00000269404",-5.4846739518355,-5.48932329407729,4.87876369412725,1.54911038339569e-17,7.89864047251402e-15
"ENSG00000273604",3.39724220058941,3.40110906110152,2.7920359345137,1.73579141262969e-17,8.59762283695664e-15
"ENSG00000065325",-3.81253540531046,-3.81819835078043,2.64755777137183,2.40949757802952e-17,1.16030694479777e-14
"ENSG00000181577",5.71834130726391,5.72725641977569,4.3805691919441,2.583249869059e-17,1.21035729000018e-14
"ENSG00000133800",-4.08925119000062,-4.09151295252367,4.62817102078528,3.44013228722484e-17,1.56942456135078e-14
"ENSG00000152785",-5.95974218927038,-5.9666291723313,5.00897217680593,4.24345822004601e-17,1.88627158212097e-14
"ENSG00000187583",3.42490869077605,3.43567319752019,1.3346636089089,4.40522711776261e-17,1.90922543283831e-14
"ENSG00000005001",4.33065620607607,4.33686384566676,3.58900626153989,4.6284491842972e-17,1.95704378192625e-14
"ENSG00000197905",2.43103008655153,2.43166205613965,4.28100224505679,5.59779416180185e-17,2.3105561806904e-14
"ENSG00000205038",-4.07414608675932,-4.09979806280993,0.923131590889306,6.02254218387751e-17,2.31613573839983e-14
"ENSG00000197273",-5.82509225786874,-5.82606147418495,8.15034570450248,6.12940464083225e-17,2.31613573839983e-14
"ENSG00000168546",-3.35333573669456,-3.35977287382326,2.13616671606771,6.2201798157931e-17,2.31613573839983e-14
"ENSG00000036672",-4.19529826230015,-4.19814991136737,4.39406829452952,6.23940889299782e-17,2.31613573839983e-14
"ENSG00000173898",3.22121441379493,3.22213720882337,4.64112326988556,6.27932508680158e-17,2.31613573839983e-14
"ENSG00000164303",-3.53335927644927,-3.55356951588695,0.556361980164388,7.29893814928185e-17,2.6361331615823e-14
"ENSG00000044012",-6.76405250964302,-6.77569400303017,5.84402029538694,7.82522847084611e-17,2.76853389327731e-14
"ENSG00000162461",-4.03423537799428,-4.03879360360438,3.29802818364892,8.41586543701454e-17,2.91794886432168e-14
"ENSG00000154175",-3.41281168087058,-3.41404642096782,4.7601624824972,9.71642438461523e-17,3.30282221826843e-14
"ENSG00000112559",3.5918630907637,3.59618923267002,2.9334211275677,9.96027746960542e-17,3.32060327332845e-14
"ENSG00000141338",-4.80594153855482,-4.81042437427379,4.29618780882616,1.18799579066125e-16,3.88586698620821e-14
"ENSG00000127951",-2.68376671200716,-2.68403493704947,5.98037679366346,1.44194929466947e-16,4.62919129118333e-14
"ENSG00000123560",-5.54974351610583,-5.56317951840838,3.81051963629176,2.24781515781346e-16,7.08511337742803e-14
"ENSG00000165072",-4.86464014203751,-4.87163157045828,3.79735330195012,2.72666474075549e-16,8.44097499031022e-14
"ENSG00000131188",3.3323180191623,3.33647129908132,2.78450132142543,4.37547588424736e-16,1.33075877068969e-13
"ENSG00000114200",-4.29208632582012,-4.3044018392012,2.81328662278007,4.72494476648237e-16,1.41226969778859e-13
"ENSG00000197165",-3.95962601453569,-3.96463513770201,3.41418803329221,4.93412085955642e-16,1.43161236758702e-13
"ENSG00000169432",-3.79931387397388,-3.80354196426099,3.21284152476881,4.95481899257159e-16,1.43161236758702e-13
"ENSG00000137673",6.66177139439295,6.69264820613277,4.63252352632245,5.1962579110079e-16,1.46476478749266e-13
"ENSG00000162706",-4.90249423598653,-4.91075551950503,3.61961729775298,5.23854504064057e-16,1.46476478749266e-13
"ENSG00000182271",-7.20862631830054,-7.2217256896327,5.93027145822403,5.47136071562593e-16,1.50557951374748e-13
"ENSG00000187699",-3.80309311400801,-3.80380960302314,5.80792408163701,6.20760351515659e-16,1.68148460216804e-13
"ENSG00000120149",4.57664900541419,4.58727273737251,2.8922420731019,7.72393390211103e-16,2.06003258656918e-13
"ENSG00000183476",-3.93155227829312,-3.9468467539433,1.76656815063374,8.00249828307752e-16,2.08905870036072e-13
"ENSG00000118777",-4.83287878151871,-4.83563733858388,5.36833470175824,8.07377324204938e-16,2.08905870036072e-13
"ENSG00000160712",-2.85933048713131,-2.85972878561951,5.48733656254288,1.02112853874494e-15,2.60327710995326e-13
"ENSG00000088836",3.66503082322595,3.67306332698506,2.18865289975925,1.10918168468322e-15,2.7867787950244e-13
"ENSG00000205364",-4.81935697727608,-4.8240296917262,5.01550704915688,1.13564190182555e-15,2.81249828714967e-13
"ENSG00000164932",3.5402237910546,3.54223296734344,4.04758865582419,1.26968624968041e-15,3.10018039781121e-13
"ENSG00000205683",-3.05267148874766,-3.05722982526997,2.1556014530603,1.39219356807157e-15,3.35209273556788e-13
"ENSG00000122778",2.45147463376754,2.45214465535261,4.17272269555599,1.5641489820404e-15,3.71453243187019e-13
"ENSG00000131096",-6.68320255196674,-6.69595432292928,5.38764046238327,1.62354366246844e-15,3.80348012602066e-13
"ENSG00000157193",3.10925275196984,3.11092066590402,3.78352023129417,1.65371517141707e-15,3.82250749489152e-13
"ENSG00000151388",3.53926209008288,3.54177602537889,3.75779575596903,1.99479391048112e-15,4.55022989896062e-13
"ENSG00000165905",4.45242170676317,4.45496525180362,4.93229312390547,2.3285815914182e-15,5.24263512582154e-13
"ENSG00000138678",-2.798411750311,-2.79917820244101,4.53421382833091,2.55583011833201e-15,5.68049627325689e-13
"ENSG00000088002",3.53881606544623,3.54096218532228,4.25464856180843,2.8838963084874e-15,6.3285096713845e-13
"ENSG00000242515",-4.30099694715798,-4.30328106666409,4.73870287544907,3.7981101923912e-15,8.23050478691172e-13
"ENSG00000163295",-4.54600749930726,-4.55132476671314,4.70151727720228,5.20812797424429e-15,1.11466798224073e-12
"ENSG00000186198",-4.45398519283827,-4.45596646786656,5.30874133395206,5.44490572220052e-15,1.14199250471153e-12
"ENSG00000170382",-3.95499832118472,-3.95738101081798,4.44898133884076,5.51687769179211e-15,1.14199250471153e-12
"ENSG00000131389",2.87511522179786,2.87536966296539,6.23580393272793,5.5334200735907e-15,1.14199250471153e-12
"ENSG00000136546",-5.46013608843904,-5.476210549205,3.76839193740026,5.65023900788857e-15,1.1495790689543e-12
"ENSG00000120708",3.3426855204639,3.34272589968697,9.36468327229925,5.76351405815958e-15,1.1495790689543e-12
"ENSG00000223573",-3.62365753372129,-3.63292757413924,2.08635611229834,5.76911507839319e-15,1.1495790689543e-12
"ENSG00000240498",-5.3045118300568,-5.31181182887989,4.5293349990689,6.92935159784286e-15,1.36508226477504e-12
"ENSG00000242366",-4.96223728726768,-4.97454933558577,3.0527406259961,7.20936718794789e-15,1.4042875232614e-12
"ENSG00000115263",-5.9135088360897,-5.92818890431003,4.67331129954472,7.44920387236026e-15,1.43488220368042e-12
"ENSG00000166292",-3.78674258286317,-3.79337985253182,2.56568850598381,7.62039809729815e-15,1.45172770785451e-12
"ENSG00000078804",-2.49091741464141,-2.49102452054593,7.05594419925838,8.62428432959377e-15,1.62511514280258e-12
"ENSG00000103257",3.17855193665685,3.17874427507024,7.03176573527294,8.77438121999294e-15,1.63562013795481e-12
"ENSG00000196660",-6.04730102870395,-6.08064958501376,3.38993044234199,1.10546239176681e-14,2.03875489613504e-12
"ENSG00000171714",-3.9605951186781,-3.96849815340062,2.67406732335294,1.12220457314878e-14,2.04784615580077e-12
"ENSG00000185432",-2.73130148294469,-2.73143060824032,7.09431945760467,1.24468780184422e-14,2.24769872216368e-12
"ENSG00000145362",-3.03562362788387,-3.03712325636471,4.19401783230336,1.42412063736318e-14,2.54521189374517e-12
"ENSG00000179546",4.6785557673188,4.69975234378717,2.52305302963642,1.45322747730819e-14,2.55050065417408e-12
"ENSG00000071539",2.26831017671925,2.26901461095128,3.93826509937703,1.46376225242564e-14,2.55050065417408e-12
"ENSG00000108381",-3.89438505486978,-3.90672341882559,1.88307913751184,1.47121634412441e-14,2.55050065417408e-12
"ENSG00000080493",-5.58882739250621,-5.59035543515861,7.17394810253421,1.49904721234804e-14,2.57301806665996e-12
"ENSG00000204936",-6.8688525490395,-6.87154847666181,8.34256592291885,1.90760133274759e-14,3.24217418671688e-12
"ENSG00000117115",-3.6328473231898,-3.63298579243095,8.18358690414849,2.01163474292939e-14,3.37051618660124e-12
"ENSG00000006118",2.56447480123062,2.56499715475744,4.74519648245992,2.02199863524763e-14,3.37051618660124e-12
"ENSG00000175785",-5.05675573510587,-5.06963778926249,3.4033421567627,2.07019882889322e-14,3.41799684739931e-12
"ENSG00000154721",-2.68598441186028,-2.68721350887865,3.80697978635215,2.23261606972905e-14,3.65138039479461e-12
"ENSG00000179431",2.86544510396148,2.8720067238168,1.49784449588088,2.34581155922961e-14,3.80065319540229e-12
"ENSG00000164120",-3.49020709522975,-3.4904910045921,6.8577161340292,2.42167409115367e-14,3.88723537446667e-12
"ENSG00000135406",-4.19445332299379,-4.21071245562438,2.06050355071283,2.52706189210623e-14,4.0191876111517e-12
"ENSG00000172987",-3.38376111055029,-3.39269694662842,1.6207967419556,2.6546963714114e-14,4.15687727091313e-12
"ENSG00000187783",-4.86642042622641,-4.87535743506825,3.63214155759864,2.66159077683063e-14,4.15687727091313e-12
"ENSG00000158106",3.22871832935282,3.23014308528468,4.18667952093198,2.99934680963812e-14,4.64256038320414e-12
"ENSG00000169247",3.41901912606088,3.42316726381312,2.83384368621935,3.08165070365999e-14,4.72345881816989e-12
"ENSG00000214575",-3.49022236681402,-3.51288214492086,0.769797648745192,3.13221515515431e-14,4.72345881816989e-12
