,edgerlrt,edger,deseq2
ENSG00000258559,-1.08980854338633,-1.09395730351385,-1.1467267574964
ENSG00000163032,-1.09011423937599,-1.0895793281171,-1.13991452309075
ENSG00000241684,-3.38816906125749,-3.39134550953821,-3.45022679196437
ENSG00000154734,-2.33607249209842,-2.33606018825479,-2.38624426698925
ENSG00000157150,-4.43441179396726,-4.42255268679482,-4.49351281013806
ENSG00000151967,-1.42932052899051,-1.43129550028553,-1.48506315623852
ENSG00000281195,-1.05109229602508,-1.0497656920575,-1.10851778283807
ENSG00000272841,1.32778442865305,1.32766514298281,1.2782808878475
ENSG00000106367,1.12574445150378,1.12540945311002,1.07409098488909
ENSG00000224650,-1.34179400438117,-1.32698003527047,-1.38966089146824
ENSG00000119866,-1.75746081386875,-1.75014764267426,-1.81003578376043
ENSG00000114268,1.27357824497664,1.27432544341351,1.22176043656556
ENSG00000146477,-2.89815064551131,-2.88160680044057,-2.95402408254436
ENSG00000173467,2.08323798673141,2.06289008579766,2.03284511806947
ENSG00000234678,1.22970094691387,1.23368082818932,1.18302779419708
ENSG00000019102,-2.4200634791658,-2.39715931666856,-2.47370365704405
ENSG00000237943,-1.5280536534362,-1.52053825936374,-1.58424935187081
ENSG00000158856,-1.50724087927022,-1.5061549806293,-1.55896401364344
ENSG00000186204,-2.43365995650946,-2.40248055234848,-2.49203809179159
ENSG00000169783,1.51660598810292,1.51860244365047,1.4693775174883
ENSG00000244405,-1.04772790330772,-1.04787571913023,-1.09944198562838
ENSG00000165966,-1.53348082584344,-1.51495257578338,-1.5860581385695
ENSG00000188536,-4.08224508672504,-4.04744808710602,-4.13086027767151
ENSG00000165996,-1.25397262336181,-1.25394370640826,-1.30580436175082
ENSG00000116106,-1.11127595745138,-1.11153620252757,-1.16204601277127
ENSG00000180871,-1.59709169710211,-1.59530350088111,-1.65386087754828
ENSG00000042286,-1.53299956290684,-1.53317052881419,-1.58599332713396
ENSG00000220563,-1.453989066233,-1.47005088008019,-1.50955737014268
ENSG00000117410,1.19186300084221,1.19162553425298,1.13972016577883
ENSG00000240498,1.64855928330704,1.64636937405253,1.60515045878374
ENSG00000260296,-1.24698790093032,-1.25494627631439,-1.30038786263023
ENSG00000062282,-2.78972102018342,-2.78965515546884,-2.84631092093342
ENSG00000226808,-1.3506588960463,-1.34094269790447,-1.41280474588869
ENSG00000254290,1.40289061966753,1.42861195253919,1.3565131004098
ENSG00000175984,-1.16712731302647,-1.17013897996273,-1.21828981083509
ENSG00000162004,2.54061166767571,2.53246408440495,2.49349855628552
