,edgerlrt,edger,deseq2
ENSG00000160813,1.21863455510707,1.21796844789096,1.17150144202025
ENSG00000213397,1.13463857547566,1.1304838026663,1.0912225483716
ENSG00000163032,2.46830409792572,2.46707982194766,2.42288774722799
ENSG00000154734,-1.49772622800231,-1.49852730223634,-1.54187844168951
ENSG00000059588,1.13399771750855,1.13359059903024,1.08861287037728
ENSG00000135299,-1.02282666350467,-1.03464650796457,-1.06939114210105
ENSG00000188060,-1.00312516722122,-1.00831344188473,-1.04831586368573
ENSG00000124203,-1.79734220835171,-1.77513549050106,-1.8504574180307
ENSG00000224373,-3.07733491528908,-3.06336197598193,-3.12495423256079
ENSG00000104756,-1.5224476743934,-1.5210473041203,-1.57043514360861
ENSG00000095739,1.21389127108904,1.21383122441505,1.16873135869745
ENSG00000151967,-1.22997867541295,-1.21705549282402,-1.28944737025626
ENSG00000119919,-2.70152487025758,-2.69857007056434,-2.74917395576042
ENSG00000224650,-3.58352622918011,-3.56349654139668,-3.63400840344215
ENSG00000211662,-1.92369965305016,-1.91386470557545,-1.97139709294918
ENSG00000163295,-4.61683698361676,-4.54593180186241,-4.66960440785824
ENSG00000029153,2.24090728676649,2.24071759757775,2.19534350526042
ENSG00000146477,1.92904845066412,1.92748594020925,1.88269957365492
ENSG00000101745,-1.29828385643397,-1.29485941133965,-1.34665214412704
ENSG00000261067,1.10691383174921,1.10674952683843,1.06990583997048
ENSG00000173467,-2.26846121808458,-2.25073458515331,-2.30991445499913
ENSG00000140511,1.79418712379048,1.79395393387133,1.75007662623011
ENSG00000073861,-1.26873908525247,-1.26686015934992,-1.32285830531475
ENSG00000146039,-3.79975917513323,-3.7449549589635,-3.85334340939324
ENSG00000197128,-1.80915371757179,-1.83000304443176,-1.85490903301879
ENSG00000019102,-3.78685304666649,-3.77012219542642,-3.83020278206068
ENSG00000186204,-1.40838277002019,-1.40808792092226,-1.45494339302817
ENSG00000196368,-1.27386483951754,-1.2738673827961,-1.32490183994202
ENSG00000244405,1.08001859738934,1.08012414209016,1.03498056651973
ENSG00000211632,-2.90328595979732,-2.80721634772697,-2.9594094296362
ENSG00000151025,-1.1093931686441,-1.01535686869088,-1.16841014487046
ENSG00000165966,-3.72630718158699,-3.70656977720112,-3.78987553446587
ENSG00000188536,-2.49960244037308,-2.48649990040999,-2.55375884962436
ENSG00000116106,-1.49745513316604,-1.49553311782344,-1.54241776694901
ENSG00000163464,1.06245669356251,1.05213922672383,1.02679052938992
ENSG00000075539,-1.04195915190514,-1.04170465668809,-1.09032017909241
ENSG00000130119,1.16528510932211,1.16458992627795,1.12016342103595
ENSG00000166126,-1.72621297145117,-1.72563704467146,-1.77315665535702
ENSG00000255026,3.42588641267432,3.4167741181173,3.39467571984825
ENSG00000240498,-5.46718703446792,-5.30401344101081,-5.52576106955738
ENSG00000062282,2.07350094843605,2.07295923328949,2.02685425687445
ENSG00000241316,-1.38035014843256,-1.43194043886088,-1.43248920541533
ENSG00000204614,-2.63024375115844,-2.62124906402905,-2.68312731949487
ENSG00000175984,-1.08921560371931,-1.09464629247402,-1.13813951822961
ENSG00000211592,-2.62604201824948,-2.62613592400624,-2.67450635572224
ENSG00000276672,1.45424462306484,1.45086653788752,1.41229304747063
ENSG00000115607,-1.1810550753459,-1.17166471697968,-1.23231671524716
ENSG00000143891,-1.0921985885608,-1.09300638575171,-1.13784009302155
ENSG00000099194,2.56896447150475,2.56853437615474,2.52434892226799
ENSG00000181541,-2.25813210973692,-2.26139378483123,-2.30381143878264
ENSG00000226958,1.07297736851476,1.09895751915087,1.03010276600669
ENSG00000276085,1.48006604671713,1.48344924718098,1.44338220872921
ENSG00000182199,1.46725480912344,1.4669881344205,1.42137441004767
ENSG00000126860,-1.6267879769977,-1.6216741700046,-1.67432714847202
ENSG00000187961,1.82730786229459,1.82701324438556,1.78064599635869
ENSG00000127423,1.95074347695914,1.94924162648289,1.90785996155742
ENSG00000152217,-1.87276621142683,-1.87367734133149,-1.91998137264928
ENSG00000130766,-1.14584725636868,-1.14669632769868,-1.1913604394082
ENSG00000174946,-1.76328203819074,-1.72433988849366,-1.81715266843727
ENSG00000103241,-1.17868993394296,-1.17884009025828,-1.22303068622071
ENSG00000224259,-1.70308090281627,-1.70174901343943,-1.74915438014982
ENSG00000075651,-1.12958147894173,-1.1292078413183,-1.17632371492519
ENSG00000111452,-1.26659817302164,-1.26290572425577,-1.30983844656222
ENSG00000204314,-1.17605084254552,-1.17978041072424,-1.22401463904794
ENSG00000110090,-1.25777448334187,-1.25801752958564,-1.30366985291866
ENSG00000178573,-1.53995894381572,-1.53900965541923,-1.58474015123798
ENSG00000255455,-1.00835226119536,-1.02445892062185,-1.05384307268745
ENSG00000152952,-1.18813558287314,-1.18710219273207,-1.23485921670406
ENSG00000240668,1.61476889831421,1.79893975945032,1.57092007673549
ENSG00000085741,1.05954399404105,1.07470521238517,1.01419464184302
ENSG00000128059,1.42264794524137,1.42047271014506,1.3772899069468
ENSG00000269399,1.33329913832579,1.32049677381335,1.29175497500504
ENSG00000164691,-1.35572676774756,-1.35749646206596,-1.40160186144709
ENSG00000273179,1.63082183343114,1.63139419358707,1.59819524892885
ENSG00000169764,-2.32037504399234,-2.32020768895777,-2.36923247158888
ENSG00000139117,-2.32896294336485,-2.32682659854314,-2.37732935845762
ENSG00000182013,-1.08396610648358,-1.08089202728923,-1.12969783901365
ENSG00000224321,-2.78641261119787,-2.79813364669162,-2.84618751188305
ENSG00000137747,2.88396114072015,2.89166413520262,2.83946894117467
ENSG00000198416,-1.06361475055587,-1.09217796263667,-1.12566150907538
ENSG00000138028,3.76960153328354,3.76227240699659,3.72795251394196
ENSG00000263470,-1.70351364793728,-1.72010229313397,-1.75055448455716
ENSG00000136052,-1.93025428506674,-1.92766931934556,-1.97742466677289
ENSG00000123338,-1.19781146213309,-1.19779325415614,-1.24239584255653
ENSG00000186907,1.54180214487465,1.54450615437031,1.5022940204167
ENSG00000125895,2.84400083172638,2.84442901744948,2.80525409085425
ENSG00000203688,1.90074981146106,1.90037828367957,1.8584290079737
ENSG00000145777,-1.28544158746016,-1.29547199022526,-1.33829938082999
ENSG00000114270,2.90878722562709,2.90754742853217,2.86497387636746
ENSG00000185070,-1.36848615509731,-1.35918232235941,-1.41384548452881
ENSG00000211898,-1.47318568791727,-1.40038769444529,-1.52979969242991
ENSG00000267896,1.17066191458359,1.17775380997322,1.13046198594943
ENSG00000149257,1.36359111557081,1.36336922649469,1.31741976973978
ENSG00000137203,2.68699881694507,2.70045660525348,2.6490132211914
ENSG00000196263,-2.28434773410989,-2.26526717042052,-2.33389305622365
ENSG00000234741,1.21622118534535,1.21601320870956,1.16999688285177
ENSG00000146731,1.09834402977889,1.09804817605848,1.05244675607253
ENSG00000170390,-1.29237861403057,-1.29752882329945,-1.33942065980406
ENSG00000237643,2.36409888572686,2.47038499332054,2.319779866848
ENSG00000253696,-1.51692478394825,-1.53691058232249,-1.57234128230914
ENSG00000272644,-1.29713367840058,-1.30557953733091,-1.34603168644886
ENSG00000184497,1.5428287699362,1.54345361747451,1.49863464955808
ENSG00000183199,2.02706284643965,2.0264770531652,1.98610811370291
ENSG00000243406,1.0765727878919,1.0688924003443,1.03290091359367
ENSG00000166897,1.3811868936419,1.37157072747154,1.35050843223617
ENSG00000168918,1.19518662485261,1.19510423440786,1.15009360832195
ENSG00000118407,-2.00284455311257,-2.00432422665099,-2.04992463703299
