,edgerlrt,edger,deseq2
ENSG00000241684,-2.42550312489273,-2.4199395647173,-2.42651691214018
ENSG00000154734,-2.14906543737264,-2.14881618916945,-2.14496701735539
ENSG00000235584,-5.64451344419333,-5.21943424407688,-5.69212803135231
ENSG00000180061,-2.10608937475447,-2.10491377571401,-2.10238742368219
ENSG00000211662,2.09147850526194,2.08966798895518,2.10022884173492
ENSG00000029153,2.32797389909126,2.33014862978274,2.33421029080506
ENSG00000146477,-1.91632166631665,-1.9102666930836,-1.91033164044286
ENSG00000173467,-2.63589440967994,-2.61671146510136,-2.63218357308109
ENSG00000253549,-1.62870772995028,-1.64954608817343,-1.64006592122288
ENSG00000019102,-3.59038711123596,-3.56752937632819,-3.58914318158541
ENSG00000108576,-6.87053884169657,-6.78880763970011,-6.87255298374942
ENSG00000169783,1.93186615867834,1.93125924432416,1.94200853490021
ENSG00000143324,1.46239605636499,1.46239737482685,1.46938384868859
ENSG00000165966,-2.14421940017977,-2.11834065167188,-2.15283914520695
ENSG00000188536,-4.39303996131225,-4.37781039109929,-4.38581317403753
ENSG00000165996,-1.55522285572683,-1.55269163013315,-1.55067866437264
ENSG00000163464,-2.6088772165023,-2.5850696526184,-2.61141867043405
ENSG00000180871,-2.46183518006711,-2.45751128809855,-2.45894634060926
ENSG00000220563,-1.4221726596413,-1.44595602083475,-1.42739002834054
ENSG00000132692,1.73081825600753,1.75653743398504,1.74421896102945
ENSG00000149564,-2.33968094942878,-2.33946100564926,-2.33285870142792
ENSG00000211592,1.90302149905562,1.90303385881019,1.91110682485521
ENSG00000170577,2.01479074617415,2.04027960317575,2.03371439973467
ENSG00000248608,-2.38000819228092,-2.22689036647799,-2.40001347688678
ENSG00000115598,1.87792530773941,1.87414227181334,1.88744051113003
ENSG00000164749,2.84698137068374,2.83296543309461,2.85811373042671
ENSG00000127423,2.53389880548452,2.53358680312456,2.54412637366207
ENSG00000103241,-2.66018166416502,-2.6598728778554,-2.65482905866271
ENSG00000111452,-2.68048901316785,-2.67752406189478,-2.67605353310058
ENSG00000152952,1.54094082936301,1.54146670043026,1.54791053222688
ENSG00000109072,-2.00411936609571,-2.00363543369809,-2.00504467812797
ENSG00000128059,1.90197969097915,1.90189438862501,1.90767020054898
ENSG00000183682,2.03270610112104,2.00810561327828,2.05015324831157
ENSG00000054179,1.69609584295446,1.6992127800417,1.707040522913
ENSG00000259884,-1.71210128556108,-1.69211504848816,-1.71744336420022
ENSG00000138028,3.53638639891677,3.52488499055908,3.55446887675083
ENSG00000012779,-2.15554909567019,-2.15492761026596,-2.15027640089441
ENSG00000080293,-2.87666979494261,-2.83779095353747,-2.87349271207919
ENSG00000125895,-1.87433978126072,-1.87730694870891,-1.87061247265683
ENSG00000152611,-3.06940529242862,-3.04187294135096,-3.08707826319005
ENSG00000114270,3.15343559764219,3.16085545867644,3.16325719790999
ENSG00000137203,4.19992573298236,4.18646185248576,4.21082290743803
ENSG00000131044,-1.74807112366509,-1.73828434349554,-1.75105681920241
ENSG00000236264,-1.70891517480279,-1.69199457603194,-1.71732750901061
ENSG00000174326,-2.4686530670484,-2.46765304589587,-2.46804550500667
ENSG00000007968,2.51982784110286,2.51917746107702,2.52773279551447
ENSG00000118407,-2.01984048441538,-2.01697686457187,-2.01513812814304
ENSG00000112378,1.63814260938809,1.63823515457069,1.64359071739925
ENSG00000266010,-3.49722383194943,-3.46221685767325,-3.51337235969881
ENSG00000111181,-1.42786340832273,-1.430470909107,-1.42312933731413
ENSG00000152766,2.43345378344356,2.43299292516026,2.43946122608733
ENSG00000158445,-2.4538183741124,-2.37762020792249,-2.46729129632478
ENSG00000163239,-2.62471100332201,-2.59462281417882,-2.62622497487992
ENSG00000160808,-1.79760322250641,-1.81433396255264,-1.80010465041949
ENSG00000166510,-1.94346037149648,-1.94074411537329,-1.93888163495225
ENSG00000187824,-1.5477508975523,-1.55018744422273,-1.54233067240795
ENSG00000119782,-1.56500799010551,-1.56935592969737,-1.55957816984999
ENSG00000167094,-1.73546455582324,-1.73272474545235,-1.73626089363311
ENSG00000060140,2.14383679822075,2.14382020685107,2.15141221885467
ENSG00000187017,2.41760769915292,2.41533237268834,2.42428959022198
ENSG00000175445,-3.44251394363479,-3.44066576982252,-3.4360299231736
ENSG00000048740,-1.47130747065473,-1.47127243290047,-1.46576166242653
