,edgerlrt,edgerqlf,deseq2
ENSG00000134013,1.62268357208058,1.62279019209883,1.6235437181624
ENSG00000166881,1.48016063200448,1.48003229647644,1.48100903033
ENSG00000286289,-3.60321319870353,-3.57627853583396,-3.61361553485029
ENSG00000005981,-1.84312334311265,-1.75240481019775,-1.86068767995535
ENSG00000276136,-1.01324037038746,-1.01460136873337,-1.01816146046431
ENSG00000231205,-1.57946668780382,-1.56745174972984,-1.58270730545148
ENSG00000164626,-1.70545784867998,-1.70380507573668,-1.70523983449546
ENSG00000152766,2.2196787678082,2.21954949460955,2.21922616263404
ENSG00000018280,-2.66881467154312,-2.66806408121037,-2.66704112554827
ENSG00000138028,3.36341375424748,3.3489704318293,3.37327168576138
ENSG00000260456,1.01259548049549,1.01301972664129,1.02022967783437
ENSG00000132514,-2.31199650488886,-2.30817548129887,-2.31367722595069
ENSG00000167183,-2.99019542077222,-2.97752145261123,-2.99086741479145
ENSG00000167995,-1.48149564022808,-1.48483398234506,-1.48076231051852
ENSG00000280285,-2.82460314616758,-2.78601345040719,-2.85093172391672
ENSG00000112312,1.8952693662134,1.89523320484814,1.89592535637444
ENSG00000159131,1.19382188308941,1.19371997410724,1.19421329802366
ENSG00000135127,1.78231526468108,1.7820145777529,1.78226589701494
ENSG00000189292,-3.03024885929031,-3.01039158438357,-3.03472034305024
ENSG00000138074,1.69696505149551,1.69695438125854,1.6964634407932
ENSG00000136492,3.50036890377828,3.50113643859647,3.50434577897888
ENSG00000124571,1.45923731719238,1.45917069508151,1.45936447653863
ENSG00000273437,-1.21344616268084,-1.21863103366222,-1.21613584529762
ENSG00000158246,-2.0824440597995,-2.07889862859234,-2.08263943613357
ENSG00000287077,-1.07884110219336,-1.09613765743609,-1.08079213697828
ENSG00000176619,2.17097186887137,2.17108004560789,2.17125587838734
ENSG00000168078,4.51326329938954,4.50710290810582,4.51898163231
ENSG00000138778,3.41677211561491,3.41698667165015,3.41928365206886
ENSG00000166813,1.44766803959576,1.44786878820475,1.44880300910531
ENSG00000076554,1.1516043757361,1.15154955795383,1.15202048805296
ENSG00000225783,1.33536273169792,1.33599229936392,1.33586807084191
ENSG00000260314,-4.07387424366334,-4.07246605838209,-4.07415638129013
ENSG00000071282,-1.72262588223956,-1.72254916472193,-1.72310302209702
ENSG00000162063,2.64608215625254,2.64622735432483,2.64693561632797
ENSG00000116221,1.07201205412827,1.07190996403678,1.07242755235324
ENSG00000169508,-1.25950963542318,-1.25878710515561,-1.26013040508774
ENSG00000116147,-4.5815273586226,-4.53540543915638,-4.60968617075255
ENSG00000182379,6.03647263248626,6.0361863574177,6.05093664040794
ENSG00000184117,1.48638654676754,1.48632184334662,1.48669348450591
ENSG00000149131,-1.86891147846337,-1.86889281343165,-1.86844190010528
ENSG00000256229,-1.06580255503,-1.06343235335434,-1.06749764879611
ENSG00000187688,-2.40010446826271,-2.39979389324558,-2.39943606624513
ENSG00000169744,-3.27724061692917,-3.27720574530873,-3.27733899224129
ENSG00000277449,-1.04100618620084,-1.05125701223673,-1.04180414309792
ENSG00000106511,-2.45672400915004,-2.45016232612539,-2.45872689695861
ENSG00000278330,-1.21391215425359,-1.22092966648955,-1.21896366265815
ENSG00000183496,1.6914952296024,1.69172175819254,1.69178906808114
ENSG00000198844,-3.34152530018643,-3.34114779396828,-3.34105387762652
ENSG00000213186,2.41669164336315,2.41655550082528,2.41872791717111
ENSG00000204632,-1.16381748932875,-1.16721131549758,-1.1656647633719
ENSG00000168268,1.02121716413499,1.02116043592348,1.02155752996277
ENSG00000143878,-1.91774783465691,-1.9177439064198,-1.91795130018107
ENSG00000137880,-1.15256856550928,-1.15488140513888,-1.1611677615279
ENSG00000172403,-2.22250263596361,-2.22025308961357,-2.2248129719029
ENSG00000101335,-1.91886363685116,-1.91884216977067,-1.91841356092585
ENSG00000133063,-1.87667729826148,-1.87030193293127,-1.87760810850949
ENSG00000127946,-1.00688742479036,-1.00692783758285,-1.00649995700496
ENSG00000171346,5.04461672690762,5.04326051711233,5.04534809811543
ENSG00000107593,-1.97112681948363,-1.95144072587731,-1.97825722212917
ENSG00000214575,-1.34868607276875,-1.33265021953167,-1.35564724963401
ENSG00000126953,1.43603806992597,1.43582859680056,1.43698116430242
ENSG00000177374,-1.17514995098708,-1.17510490595939,-1.17550139935735
ENSG00000155660,1.53411031193342,1.53411068056646,1.53484466473204
ENSG00000102854,-4.2110446373073,-4.1959197583847,-4.20914817370995
ENSG00000064225,-1.3189372560777,-1.3202714599959,-1.31931521033898
ENSG00000073282,5.24203604550333,5.23998660206567,5.24329598573387
ENSG00000163006,1.41919777504674,1.41955408311654,1.42024035597262
ENSG00000007516,-1.64765553741769,-1.64257057080457,-1.64723674669586
ENSG00000214870,-1.89017706130772,-1.89473684771753,-1.89224772381811
ENSG00000206075,7.45668833461811,7.45598267559309,7.46262070783515
ENSG00000175216,1.38208040478082,1.38207702293402,1.38225086486002
ENSG00000110237,-1.30802243067362,-1.30802266684148,-1.30797264382575
ENSG00000229754,-1.11774582720813,-1.06127811800396,-1.12789834732524
ENSG00000112796,-1.43346189821784,-1.43131526268974,-1.43430007764544
ENSG00000020577,-1.61456929270009,-1.61395690299369,-1.61424872508545
ENSG00000110881,2.22723676357399,2.2275786196199,2.22737837568406
ENSG00000137393,-1.35405877325978,-1.35384812556867,-1.3546672226284
ENSG00000131044,-2.27820480425203,-2.27226988290809,-2.28822855894364
ENSG00000268001,-1.33613907456015,-1.34029652166348,-1.33664292567975
ENSG00000246273,1.02004586339636,1.01766040307462,1.02160694647081
ENSG00000260804,-1.13786334790331,-1.13924132961868,-1.13778640828975
ENSG00000259319,-1.44960791865682,-1.45598555764432,-1.45090516794476
ENSG00000164056,-1.2586341366119,-1.25839175033265,-1.25908883696331
ENSG00000179967,1.89247063161336,1.89271959284959,1.89303000370156
ENSG00000211829,-2.12220578009848,-2.1082428591328,-2.13102182285771
ENSG00000111058,-2.71125647602694,-2.70721812509977,-2.71272307587305
ENSG00000166922,1.90862446781401,1.90638068401394,1.9100098584607
ENSG00000164684,-1.14233549666313,-1.14161481657515,-1.14391437830712
ENSG00000214456,-2.98858636874311,-2.97959507267203,-2.9922608461101
ENSG00000162817,-1.43516918209687,-1.43498549010968,-1.4365029696087
ENSG00000004864,1.11434283585113,1.11421081351539,1.11400724142655
ENSG00000114853,-1.32160021349374,-1.32221106828087,-1.32176241962937
ENSG00000233901,1.86291100642687,1.86292537117404,1.86399204919849
ENSG00000170522,1.20164612780354,1.20159392550223,1.20166309084707
ENSG00000196368,2.94922352099448,2.9505182801659,2.95442845203202
ENSG00000271605,-1.15023758243928,-1.15281112197629,-1.15099114667092
