,edgerlrt,edger,deseq2
ENSG00000163032,-1.98941967954264,-1.9759948687591,-2.00872980693626
ENSG00000073282,-1.78724660953452,-1.7900435074714,-1.80448420926143
ENSG00000226306,-2.50818574560737,-2.46870425213915,-2.53385240961468
ENSG00000135451,1.55799260792739,1.55717207517864,1.54362086079309
ENSG00000170271,-1.38416247076548,-1.38388227745529,-1.40184002198718
ENSG00000124440,-1.52011861972389,-1.51939966439619,-1.53843102491535
ENSG00000213366,-1.71597358360524,-1.71550222913463,-1.73298219359851
ENSG00000175063,1.83417088994277,1.82586112958427,1.81846388793282
ENSG00000122824,-1.53052513631698,-1.52984337320291,-1.54867363745579
ENSG00000122756,-2.03593696640498,-2.03397064513668,-2.05516229500183
ENSG00000263155,-1.44812987215274,-1.44881499690692,-1.46627290053941
ENSG00000152503,1.729266521318,1.72522414662539,1.71195386153503
ENSG00000172548,-1.66468420242037,-1.64737815689311,-1.68692282809469
ENSG00000180871,-2.02084966827522,-2.0132331284305,-2.03587445467169
ENSG00000116745,-2.02375896445473,-1.96871321885612,-2.05092577171323
ENSG00000119630,-1.57152441118781,-1.57110176342698,-1.58976527476914
ENSG00000149591,-1.47592543685704,-1.47595418189939,-1.49338528584776
ENSG00000183186,1.76303041423079,1.76400359652842,1.75090336181666
ENSG00000171954,-2.4830991441582,-2.43731035719458,-2.51023048702131
ENSG00000170835,-1.86141010682023,-1.85876633644323,-1.88323724009581
ENSG00000213988,-1.52480916245547,-1.52471147753946,-1.54397144271773
ENSG00000239713,-1.64665811307638,-1.646507586683,-1.66545452909036
ENSG00000188643,-1.4292828982828,-1.42881322103899,-1.44606863486189
ENSG00000077274,-1.74964988950762,-1.74534881414841,-1.76698962542176
ENSG00000123560,-1.68883172964389,-1.68527918656097,-1.70755832179983
ENSG00000163141,-1.75415071279366,-1.75263856865585,-1.77241324264537
ENSG00000187210,1.90938507976257,1.90862768535797,1.89219601561554
ENSG00000231324,2.30741766194479,2.16142407082599,2.30416328476942
ENSG00000233878,1.99002284756882,1.97925825465593,1.98029896148835
ENSG00000237523,-1.45836119606143,-1.46343769942198,-1.48105339168171
ENSG00000130768,2.08343062741912,2.08049333984451,2.06619665417925
ENSG00000167992,-1.72960319931808,-1.72977170334826,-1.75013560592846
ENSG00000175084,-1.7112454050215,-1.71126670674541,-1.72856458629054
ENSG00000158402,1.89933762240024,1.8924149760318,1.89221590638381
ENSG00000158246,-1.54761547422701,-1.54590077017292,-1.56531966147342
ENSG00000225986,-1.88404095526237,-1.87430973255212,-1.90851196430217
ENSG00000235162,-1.53922085819361,-1.53902112760436,-1.55707777736513
ENSG00000273179,2.23670098322286,2.22560737382928,2.22337274359585
ENSG00000167191,-1.49109931768746,-1.49105044560207,-1.50872350430715
ENSG00000188488,-2.85300730874231,-2.84418423084772,-2.87471326727642
ENSG00000170369,2.4845861127393,2.47143929694289,2.47693955629362
ENSG00000143320,-2.07009571048289,-2.06810360936055,-2.08935622783101
ENSG00000176928,-1.93039853894305,-1.93044890602272,-1.94915045807021
ENSG00000159648,-1.9654802968032,-1.94991991769918,-1.99625443868872
ENSG00000138028,2.42206505379464,2.41656833037405,2.40451807435335
ENSG00000171357,-1.5104839545501,-1.51343703328097,-1.52883906876479
ENSG00000112379,1.50694554787877,1.50684189124311,1.48899847164335
ENSG00000149294,-1.82047649811165,-1.81721059736007,-1.83874493830808
ENSG00000154330,-1.73954911413794,-1.73934142998354,-1.75744731933466
ENSG00000145777,-1.81070849763659,-1.80854622360985,-1.8300031711644
ENSG00000086205,2.21390755249154,2.21108097377615,2.19598802642246
ENSG00000204128,2.56172543797569,2.5518188762707,2.54297854912612
ENSG00000106258,-2.0268213458182,-2.02637454444152,-2.04383108813992
ENSG00000272971,-1.60101566590445,-1.60171474366314,-1.6283583428113
ENSG00000229847,-2.4911322015204,-2.56511057441779,-2.51647038742931
ENSG00000181234,-1.93382533367134,-1.93044689280133,-1.95420939877793
ENSG00000241935,-1.9077612267095,-1.90048657105714,-1.93067959602716
ENSG00000171401,-3.07708672267617,-3.01979003518873,-3.09664632931104
ENSG00000086570,-1.69672533762369,-1.69231332027485,-1.71430724018729
ENSG00000130176,-1.56716287727373,-1.56713151451227,-1.58449518012084
ENSG00000163497,2.35343859026857,2.31140869786994,2.33688435353568
ENSG00000211688,2.46542054697193,2.36471747564185,2.47032604691941
ENSG00000107105,2.22443413408033,2.21417295407924,2.21487772592007
ENSG00000109667,-1.62633278345352,-1.62731561483718,-1.64412384717422
ENSG00000121316,-1.39382983123128,-1.39380559869469,-1.41151998743742
ENSG00000168306,-1.55164318129055,-1.55159495023887,-1.56923493162122
ENSG00000137699,-1.77505522364685,-1.77623069207372,-1.79143049316571
ENSG00000138356,-2.03078053648868,-2.03014296999109,-2.04870099886497
ENSG00000211695,3.3373846981348,3.27129507469352,3.32142082248286
ENSG00000179709,2.10411595927438,2.01864598087836,2.10918496648842
ENSG00000120471,-1.7745309547874,-1.77174374000929,-1.79752090731303
ENSG00000152137,-1.87372480726324,-1.87345569998321,-1.89144612479208
ENSG00000163110,2.28258425153198,2.28259380438677,2.26403967965564
ENSG00000142583,-1.83396519502033,-1.8337385732131,-1.85274316128941
ENSG00000173917,-1.5193015286898,-1.51968522231098,-1.53706533039963
ENSG00000204789,-1.57002357093928,-1.57001302945052,-1.5877206486972
ENSG00000144488,-1.53238267831893,-1.52823083170086,-1.55873437174684
ENSG00000123892,-1.4219217215551,-1.4218884887252,-1.44096909715425
ENSG00000169562,1.6962016265162,1.6953984311038,1.67859934026664
ENSG00000242173,2.10728363647016,2.11792108643776,2.10164651266754
ENSG00000161798,-2.18777514095935,-2.16786231227578,-2.21681006664629
ENSG00000161249,-1.72450235873391,-1.72101151354583,-1.74171038174152
ENSG00000249267,2.04567393131499,2.057687549558,2.03975008044698
ENSG00000244509,-1.86963590277827,-1.86931822839757,-1.88699399832935
ENSG00000254510,-1.54951794413467,-1.54877376514484,-1.56950274275972
ENSG00000126262,2.31237954444343,2.27287440385759,2.29703379421261
ENSG00000133063,2.19476107385954,2.14433237911515,2.18404407705651
ENSG00000266524,-1.99106790176329,-1.97781290637541,-2.0175068043625
ENSG00000134202,-1.61781609123646,-1.61810451388655,-1.63545511557426
ENSG00000086991,1.83637927696283,1.81744474474562,1.82701053040424
ENSG00000147255,-2.06053928127651,-2.05629600531019,-2.08023060259109
ENSG00000109205,-2.22086717484411,-2.19246353446793,-2.25259930440829
ENSG00000176153,-2.65548091313112,-2.64603853899781,-2.67453934362428
ENSG00000101977,-2.62054669313986,-2.64002977212378,-2.6486556071119
ENSG00000109956,2.49946464586239,2.48479350080626,2.48065388241783
ENSG00000151012,1.71501534030611,1.71274956523589,1.69769715747903
ENSG00000166743,2.83121445077459,2.83321161363158,2.81579002395043
ENSG00000263429,-2.44269718088898,-2.45984846619105,-2.47187034683689
ENSG00000225431,-2.62116043215023,-2.5912120556839,-2.65676667490162
ENSG00000266256,-1.92853028931456,-1.92680248108908,-1.95511832481377
