,edgerlrt,edger,deseq2
ENSG00000271605,1.51206254177631,1.51047264018602,1.49096121562887
ENSG00000157150,-1.95981452164852,-1.95287844871888,-1.99003772944931
ENSG00000124203,-1.80317052711497,-1.78743050818974,-1.83477628962936
ENSG00000281195,-1.12415242739935,-1.10377169959698,-1.1577860621846
ENSG00000187556,1.36495455995946,1.36254732205548,1.34366647994994
ENSG00000042062,-1.43625206906938,-1.42955344140329,-1.46273215572976
ENSG00000119866,-1.14589314081049,-1.14293360167547,-1.1725144494243
ENSG00000029153,1.28577050838384,1.28556260663883,1.26416791308977
ENSG00000146477,-1.26128826357489,-1.24368031766224,-1.29174561455849
ENSG00000173467,-3.75227190910023,-3.62229603692933,-3.79898179532117
ENSG00000267121,1.89833804563512,1.87932466874523,1.87823677374654
ENSG00000105641,-6.73025722283144,-6.5333206918813,-6.77837212422757
ENSG00000280022,1.15774939904749,1.15951031973154,1.1384949928925
ENSG00000122824,-1.12740350289449,-1.10185502908322,-1.15857195902369
ENSG00000166105,-1.74643267625225,-1.62886165716124,-1.78545513499234
ENSG00000139174,1.05681362066025,1.05733506164287,1.03266855081916
ENSG00000267344,1.15328122634792,1.14868594396048,1.13906244519552
ENSG00000183783,-2.13484311001678,-2.1103580066076,-2.16200622844921
ENSG00000108576,-1.01823286197328,-1.01346924094655,-1.04732958443733
ENSG00000169783,1.23260624116375,1.23255764697475,1.2105706498837
ENSG00000186204,-1.31835159816164,-1.26693704762243,-1.35646563462309
ENSG00000244405,1.7320004292972,1.73198786309219,1.70711476268318
ENSG00000143324,1.46789156681773,1.46788645860086,1.44484287335361
ENSG00000151025,-1.39986670621354,-1.34622050915399,-1.43460663453489
ENSG00000165966,1.29018755104496,1.32829486997494,1.26812265133535
ENSG00000115194,1.97937555844276,2.04747247037902,1.96127551857733
ENSG00000188536,-1.95253428729757,-1.9472201391236,-1.97672700891523
ENSG00000165996,1.42441838113058,1.4249796955888,1.40153105343116
ENSG00000116106,1.15984656548714,1.15985706530665,1.13733174669671
ENSG00000272209,-1.42287436475318,-1.42663680560025,-1.4562214548232
ENSG00000227107,-1.45144989324492,-1.45023672782856,-1.48824923565588
ENSG00000166126,-1.68665811749742,-1.67332466703884,-1.71681453956638
ENSG00000182397,-1.28465613901129,-1.28152237181265,-1.3125627733292
ENSG00000165325,-1.3396894763234,-1.34036466528653,-1.36968023081233
ENSG00000162004,1.19852649897388,1.19530630478407,1.18035541137028
ENSG00000077274,-3.28098968407682,-3.19065601437167,-3.316097595303
ENSG00000181541,-1.55175753842463,-1.51875596642323,-1.57991338732184
ENSG00000099194,1.74004472684588,1.73793267427765,1.71847436372424
ENSG00000152969,-1.23824088026163,-1.22404154089085,-1.26703531880731
ENSG00000260992,1.93879508286842,1.9384629408626,1.91542498309466
ENSG00000157423,-1.07554315242937,-1.07421404212389,-1.10153620539104
ENSG00000223534,1.0411926588209,1.01850588564724,1.02653533345317
ENSG00000152217,-1.13957981033767,-1.13961958256139,-1.16344295295294
ENSG00000137142,-4.14569663775059,-4.07381213572139,-4.17921424617418
ENSG00000272079,1.69239595079943,1.69192324073613,1.6695140513145
ENSG00000263089,-1.38366563030456,-1.37578976961866,-1.42041319177171
ENSG00000132386,-1.21421772117451,-1.21248838916159,-1.23910917368479
ENSG00000085741,-3.01657716508144,-2.99605204331482,-3.04465497010877
ENSG00000100068,1.06158540659612,1.06163843606704,1.03777330220445
ENSG00000281392,-1.63714738607891,-1.60798774622013,-1.67596213227319
ENSG00000141524,2.70718759637917,2.70531101271201,2.68465948700382
