,edgerlrt,edger,deseq2
ENSG00000271605,1.51206254177631,1.5104926474518,1.49096121562887
ENSG00000157150,-1.95981452164852,-1.95286097544163,-1.99003772944931
ENSG00000124203,-1.80317052711497,-1.78740440987499,-1.83477628962936
ENSG00000173467,-3.75227190910023,-3.62228070568666,-3.79898179532117
ENSG00000267121,1.89833804563512,1.87934259025508,1.87823677374654
ENSG00000105641,-6.73025722283144,-6.53330675756178,-6.77837212422757
ENSG00000183783,-2.13484311001678,-2.11034272246663,-2.16200622844921
ENSG00000244405,1.7320004292972,1.73200765791676,1.70711476268318
ENSG00000143324,1.46789156681773,1.46790636103861,1.44484287335361
ENSG00000115194,1.97937555844276,2.04749317012845,1.96127551857733
ENSG00000188536,-1.95253428729757,-1.9471999061646,-1.97672700891523
ENSG00000272209,-1.42287436475318,-1.42661911267756,-1.4562214548232
ENSG00000227107,-1.45144989324492,-1.4502216073784,-1.48824923565588
ENSG00000166126,-1.68665811749742,-1.67330529025106,-1.71681453956638
ENSG00000165325,-1.3396894763234,-1.34034630919176,-1.36968023081233
ENSG00000077274,-3.28098968407682,-3.19063931297662,-3.316097595303
ENSG00000099194,1.74004472684588,1.73795809553703,1.71847436372424
ENSG00000260992,1.93879508286842,1.93848334974887,1.91542498309466
ENSG00000137142,-4.14569663775059,-4.07379424421266,-4.17921424617418
ENSG00000272079,1.69239595079943,1.69194781079128,1.6695140513145
ENSG00000085741,-3.01657716508144,-2.99602605695305,-3.04465497010877
ENSG00000281392,-1.63714738607891,-1.60797514552279,-1.67596213227319
ENSG00000141524,2.70718759637917,2.7053262687775,2.68465948700382
ENSG00000183682,-4.63850601001131,-4.57517375410869,-4.6701058302672
ENSG00000054179,2.02282958380878,2.03031341206592,2.00135546445624
ENSG00000145934,-2.24408169089152,-2.17989713032003,-2.27689267374809
ENSG00000198416,-1.5645245783724,-1.56798744128317,-1.59337406664117
ENSG00000259884,-1.94676969819427,-1.93324365931631,-1.97525919368656
ENSG00000263470,-1.40571702552807,-1.40706954701242,-1.43157468345653
ENSG00000012779,2.89946293403055,2.89885489918995,2.87775513396294
ENSG00000125895,1.56196887252369,1.5625050487643,1.54250580504159
ENSG00000152611,-2.77134505581061,-2.67975347812657,-2.80653630101754
ENSG00000114270,2.19064121391002,2.19312309232259,2.16887485330161
ENSG00000185070,-1.67814900714907,-1.67444094475461,-1.70386354348363
ENSG00000260711,-1.5116637131599,-1.51160406007298,-1.53675705573559
ENSG00000255366,1.8787593645975,1.87479822627099,1.85995237980753
ENSG00000111404,-3.45823748876373,-3.35234698355515,-3.50046167042843
ENSG00000112378,1.53911513593372,1.53918164376978,1.51526075688367
ENSG00000141665,-1.52896542807194,-1.53430908614227,-1.55470736236661
ENSG00000184584,1.68892194078103,1.68890680472899,1.66504856741796
ENSG00000261409,-2.92823278100392,-2.84781225167283,-2.96114821076892
ENSG00000196218,2.79853838178282,2.79876876690561,2.77583616863702
ENSG00000151632,-2.75346731067969,-2.73614257505707,-2.78152767196838
ENSG00000170745,1.49108344855428,1.49143989455093,1.46700682609268
ENSG00000091656,-1.65587821220415,-1.63512290822095,-1.68430490914918
ENSG00000198417,-2.69442995984256,-2.69192472316658,-2.71751877290358
ENSG00000130948,-2.05793482758947,-2.04790154151614,-2.08886730736694
ENSG00000135253,2.67132241828331,2.6727845731402,2.64799549759549
ENSG00000187824,-1.34197263151669,-1.34173538189259,-1.36639984403447
ENSG00000260633,-1.79158773582472,-1.78907094427148,-1.82634291418227
ENSG00000183091,-2.44517159823885,-2.43428939253585,-2.4707690921897
ENSG00000139318,2.4330039543538,2.43286323036243,2.40763747948231
ENSG00000156510,-2.28052835230248,-2.26779902358073,-2.30595968021201
ENSG00000175445,2.14607689857289,2.14602672633077,2.12085942123237
ENSG00000231205,-1.6751149409822,-1.67238774950265,-1.69798690559304
ENSG00000165061,-5.62766568213671,-5.19233337872913,-5.67510192248632
ENSG00000251468,-1.37667561173915,-1.38092510394253,-1.4044170654469
ENSG00000173535,2.40434055243762,2.40148107611564,2.3831537673823
ENSG00000123219,1.42857974152161,1.4292907667945,1.40906725268982
ENSG00000225342,3.58147965544574,3.57561442894432,3.55593307139003
ENSG00000165300,-4.15436946075273,-4.09536543747374,-4.18592424231903
ENSG00000086991,2.6043721643287,2.60327806964977,2.58194640024862
ENSG00000075035,-5.66260822806684,-5.51022350538145,-5.69490325935306
ENSG00000079101,-2.0243630790442,-2.02381024142831,-2.04953770888549
ENSG00000125144,-4.21447317859782,-4.19828617431821,-4.23894389351501
ENSG00000174500,-1.55444753089177,-1.55011026966862,-1.58012303224623
ENSG00000169035,5.92502796102539,5.87343835441186,5.89226985359477
ENSG00000104177,1.6163771776831,1.61628594255139,1.5934779098867
ENSG00000177606,-1.57872276229971,-1.57872226490811,-1.60211626368574
ENSG00000099864,1.71490632042462,1.71486657761766,1.68877187850431
ENSG00000167749,-2.93164902789541,-2.8332573247921,-2.96407446843895
ENSG00000159166,2.40149058076206,2.40116099151345,2.37665134800661
ENSG00000124145,2.31570277014623,2.31574098717149,2.29154011086923
ENSG00000068976,-1.93289611361656,-1.91627061838067,-1.95930599527229
