"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",5740.34293528075,-1.01966981635521,0.0787998297944401,-0.249617497988531,0.802883165435425,1
"ENSG00000000005",246.428740991848,-1.58318088908252,0.272396144386115,-2.14092930866112,0.032279739204599,0.18156985036624
"ENSG00000000419",1566.78414897673,-0.0741213758891826,0.0462128816852693,0,1,1
"ENSG00000000457",890.104468112251,-0.364002449242424,0.0424727573710983,0,1,1
"ENSG00000000460",199.65331586152,0.598595163953168,0.0634459190639778,0,1,1
"ENSG00000000938",803.233864598825,1.45201146250656,0.112032800075594,4.03463505510498,5.46872281513901e-05,0.000413373737240823
"ENSG00000000971",4878.93179289725,0.414884873330117,0.167013838938903,0,1,1
"ENSG00000001036",5173.26099332159,0.128904902225716,0.0619249917657911,0,1,1
"ENSG00000001084",2422.33262157074,0.205102535688926,0.0887409950437058,0,1,1
"ENSG00000001167",1705.68944593753,-0.0342447564133285,0.0492592473328873,0,1,1
"ENSG00000001460",807.531788502577,-0.581257027785953,0.0621654921772006,0,1,1
"ENSG00000001461",5292.15463988593,-0.453168403013112,0.0910631089731691,0,1,1
"ENSG00000001497",2526.08332028009,0.307827650135947,0.0597586890629907,0,1,1
"ENSG00000001561",3698.37077339595,-0.395169233870774,0.0851530699905545,0,1,1
"ENSG00000001617",5485.66303984404,1.22172745253192,0.100352229409611,2.20949204453536,0.027140435149088,0.154352354805133
"ENSG00000001626",679.446636046259,-2.4762956646781,0.237414928422452,-6.21820908435549,5.02861210509739e-10,5.39918752677966e-09
"ENSG00000001629",5395.39867413737,0.102005308456012,0.0734729238096026,0,1,1
"ENSG00000001630",331.42344676085,-1.23112375896619,0.10746662947796,-2.15065606959965,0.0315033562091435,0.177418688075192
"ENSG00000001631",2049.04637495738,0.0983668027536309,0.0579159102235988,0,1,1
"ENSG00000002016",417.995110582287,0.0391663162550868,0.0564651183085122,0,1,1
"ENSG00000002330",2067.86465255926,0.138133741601411,0.0950230614221805,0,1,1
"ENSG00000002549",8352.39518766701,0.0981357035404403,0.0942664307104805,0,1,1
"ENSG00000002586",7840.44309981396,1.22154048395439,0.0919222199719384,2.4100863101655,0.0159487470249574,0.093849899345779
"ENSG00000002587",1219.18576438114,-0.768248844129282,0.149812629747843,0,1,1
"ENSG00000002726",20508.0670882828,-0.916924491505215,0.234077538775006,0,1,1
"ENSG00000002746",757.388792047093,-3.199985959467,0.303510396815134,-7.24846984667545,4.21506241214739e-13,5.47277309959221e-12
"ENSG00000002822",1307.31540379485,0.330117292384363,0.0815944699355608,0,1,1
"ENSG00000002834",17359.7845848252,0.377755717656738,0.0525339612348783,0,1,1
"ENSG00000002919",1701.36537253978,-0.230911480515752,0.0457836925570317,0,1,1
"ENSG00000002933",24445.5602592403,1.37679127214768,0.133391226697039,2.8247080522279,0.00473237136876393,0.029599734180337
"ENSG00000003056",5580.09105420054,0.212014783933778,0.0588210164368314,0,1,1
"ENSG00000003096",2085.90535687272,-2.04926743704747,0.109991893085359,-9.53949793584502,1.43525456362484e-21,2.97493515996184e-20
"ENSG00000003137",1043.04374335173,-1.63072281700376,0.154813196904082,-4.07408948085054,4.61947191634966e-05,0.000351913540425995
"ENSG00000003147",1005.3511113307,-1.25630481390339,0.0915028565244011,-2.80105806134088,0.00509353538449622,0.0317727313508605
"ENSG00000003249",1276.5807153811,-0.0810596056894853,0.137587507018672,0,1,1
"ENSG00000003393",2088.86224586979,-0.161986074480273,0.0462585956375908,0,1,1
"ENSG00000003400",1770.88468322,0.190446299094997,0.0620514594252934,0,1,1
"ENSG00000003402",11636.855602667,0.327104482669143,0.0596046384173369,0,1,1
"ENSG00000003436",11520.7337631457,1.06418902606877,0.147560461170381,0.435001527913706,0.663561318393322,1
"ENSG00000003509",740.886974179143,0.0261925004418262,0.0610338628498762,0,1,1
"ENSG00000003756",2932.17390539906,-0.246717306310756,0.0552914491022892,0,1,1
"ENSG00000003987",145.44741078063,-0.597564113067087,0.117197264567371,0,1,1
"ENSG00000003989",3692.80211022187,-0.0306233821317042,0.150217814736228,0,1,1
"ENSG00000004059",6025.0793548241,0.161136556062482,0.0709068784093736,0,1,1
"ENSG00000004139",629.601820303453,0.123855203089947,0.0620595985523769,0,1,1
"ENSG00000004142",9130.86266171137,-0.501872959909732,0.0623683845694927,0,1,1
"ENSG00000004399",10877.6745119834,1.51915137270345,0.0984952050544067,5.27082889381961,1.35809032101325e-07,1.25173140305155e-06
"ENSG00000004455",9048.51946129237,-0.200921004415754,0.0588989623596763,0,1,1
"ENSG00000004468",377.062307246786,1.4714398486438,0.169486738925169,2.78157365958849,0.00540960530944972,0.0336308650189697
"ENSG00000004478",8598.11953832614,-0.835095739126776,0.0603359695535477,0,1,1
"ENSG00000004487",3787.24579547246,-0.370933024467021,0.0468344910578093,0,1,1
"ENSG00000004534",2507.24743488056,-0.53143508156777,0.0721417089210773,0,1,1
"ENSG00000004660",624.666510867028,1.21513251127774,0.092659174291763,2.32176158402123,0.0202457768510075,0.117086070753293
"ENSG00000004700",1723.09185990958,0.739231866929944,0.0754677962169451,0,1,1
"ENSG00000004766",1819.66969235784,-0.415402306708506,0.0479018732190064,0,1,1
"ENSG00000004776",984.696793412807,-1.99686456705766,0.197055616264221,-5.05879804877531,4.21907400553143e-07,3.75934743557931e-06
"ENSG00000004777",282.7228463783,1.21812197857705,0.138463979411738,1.5752976297788,0.115187760837759,0.588316715505341
"ENSG00000004779",3090.35972382332,-0.092341172288556,0.0658489850380648,0,1,1
"ENSG00000004799",39603.4439742678,0.174238730350306,0.162498225786937,0,1,1
"ENSG00000004838",217.743560089277,-0.374581464532775,0.155252196727379,0,1,1
"ENSG00000004864",3055.83586257351,-0.198112329623925,0.0784394488310174,0,1,1
"ENSG00000004866",2513.78954993341,0.137367392137609,0.0733859311293041,0,1,1
"ENSG00000004897",3856.27297492219,0.20801009346041,0.0563919182555377,0,1,1
"ENSG00000004939",8285.01584029857,-9.15140685661724,0.297761092971615,-27.3756613910411,5.34598821789733e-165,6.58946507738024e-162
"ENSG00000004948",317.184455247815,0.0466880015854816,0.22986015993241,0,1,1
"ENSG00000004961",1627.46868007424,-0.370570834329849,0.0472280608722946,0,1,1
"ENSG00000004975",1554.12878296132,0.258645694935757,0.0588579229649088,0,1,1
"ENSG00000005007",7550.52914989896,-0.412909542123215,0.0553281942502498,0,1,1
"ENSG00000005020",6624.83895280309,0.292697653164929,0.0629181256055636,0,1,1
"ENSG00000005022",20894.9983746816,-1.33091918606946,0.0853352071367967,-3.87787405893303,0.000105373238056025,0.000777742833699739
"ENSG00000005059",496.665865176992,1.57981401237012,0.133193903880735,4.3531572803009,1.34190805706308e-05,0.000106482995995877
"ENSG00000005073",208.318720781124,-1.99717185672239,0.171075715294254,-5.82883347883262,5.58161652181247e-09,5.62696335178794e-08
"ENSG00000005075",1506.54700744767,0.423502594237451,0.0941881628202577,0,1,1
"ENSG00000005100",1330.35610559591,0.152345469379272,0.0486000860793195,0,1,1
"ENSG00000005108",4434.0169888666,-2.12047176838987,0.129101993755279,-8.67896564412321,3.99384309784172e-18,6.80572949640513e-17
"ENSG00000005156",1301.65521849419,-0.124051547973913,0.0407216254651685,0,1,1
"ENSG00000005175",1482.89720821095,-0.183297504168942,0.043944023459501,0,1,1
