"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000185633",7.00920923372007,9.71260832479832,661.189012558413,8.23669623061347e-146,1.52288276607813e-141
"ENSG00000126460",-3.73135549943622,2.70306663613838,646.784941013543,1.11770138911663e-142,1.03325904916887e-138
"ENSG00000107159",9.72398858494289,6.87492106766852,641.192764654107,1.83878643039661e-141,1.13324407705343e-137
"ENSG00000187730",6.0096378389023,2.97569576182287,626.973705453732,2.27517688129143e-138,1.05164363395493e-134
"ENSG00000143882",-4.00174946851251,3.65669517687103,597.347144273502,6.32147428354253e-132,2.33755476056836e-128
"ENSG00000073060",4.12211222739918,7.15387170812182,579.510745120413,4.79185535700654e-128,1.47661022826157e-124
"ENSG00000249859",4.61077611273087,2.704759140008,579.070771245469,5.97320160475282e-128,1.57769320671821e-124
"ENSG00000204323",-5.72851637233155,4.30871264871819,573.519697662098,9.63145593702188e-127,2.22594986024497e-123
"ENSG00000014257",-5.74142727408241,4.72823941996077,568.696426361107,1.07864752232909e-125,2.21590156003806e-122
"ENSG00000165125",-6.21407832582914,2.93022445349144,561.358635081241,4.25667832584959e-124,7.87017255666331e-121
"ENSG00000175985",-4.62194427936049,0.980386831980169,556.085547806872,5.97240586561247e-123,1.0038528368119e-119
"ENSG00000061656",4.18993745655188,4.6880702889501,552.865554193001,2.99652960132237e-122,4.61690298323744e-119
"ENSG00000095203",-5.6813880096182,3.86225086270441,551.964999024682,4.70461803132452e-122,6.69105252162761e-119
"ENSG00000184661",5.74185842642354,3.63436122808636,548.891125398049,2.19389502920469e-121,2.8973517996404e-118
"ENSG00000114854",-4.86662948023995,1.75033419096283,540.657189101863,1.35663358934162e-119,1.65386783543052e-116
"ENSG00000117477",-4.23571820005903,2.11249068793998,540.550339785831,1.43122317956019e-119,1.65386783543052e-116
"ENSG00000185133",-5.53192487844729,4.89871829618103,537.447187346238,6.77320047998679e-119,7.3664531573221e-116
"ENSG00000129521",4.41856978428684,8.18025080229638,536.65542331384,1.00702965596265e-118,1.03438729494963e-115
"ENSG00000214145",6.20279862659344,4.13229524281913,534.769413424698,2.59027430735634e-118,2.52060956151113e-115
"ENSG00000184908",-8.45494792667372,7.20502223476194,518.252465511795,1.01564603485418e-114,9.38913976920947e-112
"ENSG00000183844",-6.05649754887574,3.5993413801588,513.719135702113,9.84108380904769e-114,8.6643713593087e-111
"ENSG00000135245",4.99643641615685,6.84353088364587,512.850509364377,1.52064837062351e-113,1.2779667147481e-110
"ENSG00000050767",5.9338031731095,6.88050437563448,512.210445109735,2.09549737052403e-113,1.68450656015734e-110
"ENSG00000167772",6.02221901270139,8.85676454606736,508.853986503471,1.12604288756001e-112,8.67475289504043e-110
"ENSG00000140939",3.18288537145844,5.73714867768188,504.814578687939,8.51971520398067e-112,6.30084057625595e-109
"ENSG00000163406",-4.08798256087105,4.29894573967381,503.33675861181,1.78633845981632e-111,1.27029276090554e-108
"ENSG00000198780",-4.33051369075111,3.20422950076813,502.668743935035,2.49636761830356e-111,1.70945707017831e-108
"ENSG00000116039",-7.98269714938256,6.21020164392578,498.262448186724,2.2700101643366e-110,1.49893635458641e-107
"ENSG00000147606",-7.0154127096389,5.71463748508136,497.630299940059,3.11581471460645e-110,1.98649304339168e-107
"ENSG00000151704",-9.50921654854208,7.84440078681186,496.729300523323,4.89342698831643e-110,3.01581905289942e-107
"ENSG00000107485",-4.45200638534034,5.37291762553896,492.673518439129,3.73325930434574e-109,2.2265881057435e-106
"ENSG00000140519",-9.98916010252196,6.34019646340796,483.340022974551,4.00836558533327e-107,2.31595847835084e-104
"ENSG00000163399",-2.51920939446388,11.4303171419063,483.257208442693,4.17818175425366e-107,2.34092128649684e-104
"ENSG00000146411",-4.53418077702701,3.04948768850165,481.920444935,8.16320801262955e-107,4.43910449839729e-104
"ENSG00000171208",3.54502400691895,5.46632313310865,481.630089182686,9.44150322986341e-107,4.98754152048413e-104
"ENSG00000082684",3.898900159399,6.40080036894598,477.810747679917,6.39915058535448e-106,3.2864970881283e-103
"ENSG00000141526",3.43404459503936,7.41131057819141,475.468894364575,2.06876799025593e-105,1.03376895599573e-102
"ENSG00000214128",-10.9978454225506,7.50944556680254,473.5365604189,5.44745161654355e-105,2.65047191942825e-102
"ENSG00000164105",2.60866832088647,3.55349277663034,469.988523044223,3.22304365727667e-104,1.52797061998432e-101
"ENSG00000197565",-6.04939322830874,3.55692673164909,465.542223107417,2.99104748400443e-103,1.38253692329395e-100
"ENSG00000147889",5.39804825622257,1.85429731840037,465.372052769868,3.25727464060432e-103,1.46887197146667e-100
"ENSG00000139055",-4.16452714395519,4.46004400770358,461.316701993988,2.48516399937516e-102,1.09400469486779e-99
"ENSG00000119715",-6.9258550216331,4.84017722409852,460.826079974019,3.17776915018049e-102,1.36636683296947e-99
"ENSG00000159399",4.09988804186968,6.01990951457654,459.545256021945,6.03742174374953e-102,2.53695205954966e-99
"ENSG00000196968",1.61950029616176,5.47714394639368,458.403858370147,1.06964717601515e-101,4.39482369718756e-99
"ENSG00000171004",-8.09882565266978,4.68219689341936,455.241021498963,5.21841694091282e-101,2.09746327870733e-98
"ENSG00000134574",1.91424787066782,4.96405003289291,452.96697365001,1.63089003677324e-100,6.41564380636179e-98
"ENSG00000139370",1.91680115600787,6.02530687302448,452.666094748252,1.89628390308523e-100,7.30424855919643e-98
"ENSG00000176532",-4.76946955370558,3.82818345469591,451.967674808126,2.69089747367521e-100,1.01534700797512e-97
"ENSG00000166908",-1.38368434410947,6.17104119924384,450.552813609134,5.46774442404853e-100,2.02186253312467e-97
"ENSG00000272941",2.18044784465317,1.34344839793647,448.34298365788,1.65473955513147e-99,5.99891757545601e-97
"ENSG00000113889",-12.2118321445953,9.00735908974289,447.802868829059,2.16907560942594e-99,7.71231518128388e-97
"ENSG00000196975",2.15408707215364,9.1836754680809,447.655044755399,2.33585380602309e-99,8.1486039659549e-97
"ENSG00000134121",-4.85238925235387,5.26245340734474,446.408705183254,4.36201939987341e-99,1.49350697563443e-96
"ENSG00000257108",-3.68753269455513,2.81575708842996,445.339453887139,7.45402753856477e-99,2.50577300291862e-96
"ENSG00000104332",-7.18965300579979,7.89634825600583,444.437348587324,1.17143723519492e-98,3.86762554312837e-96
"ENSG00000169344",-14.181418599517,12.1176135100787,442.211914067761,3.57314945178395e-98,1.15901684586023e-95
"ENSG00000185818",-6.85961126972512,4.94340663569169,441.164190853744,6.04051786453537e-98,1.92557128961025e-95
"ENSG00000123610",7.01931197592375,4.97062750530015,438.932113814174,1.84867276119298e-97,5.79323909859271e-95
"ENSG00000231890",2.84575648883655,1.51966908529591,438.227420192334,2.63165920897121e-97,8.10945785244478e-95
"ENSG00000146859",1.7220363915939,6.57495380607992,438.133599404227,2.75834674090462e-97,8.36050375288286e-95
"ENSG00000100181",-3.92403379561707,3.64541779633739,437.757738342234,3.33005628096828e-97,9.93055009335847e-95
"ENSG00000136828",-2.72602946597208,3.99097892186804,437.586019435444,3.62931507238642e-97,1.06511756148179e-94
"ENSG00000131080",2.35731343987624,3.47130473805467,436.790059554012,5.40827444869586e-97,1.56239978565528e-94
"ENSG00000233154",-5.28242960374539,1.70882019743223,434.654888419603,1.57675603810612e-96,4.48502190592985e-94
"ENSG00000139971",-3.62701644797231,4.88993519660744,434.235250140886,1.94579278623088e-96,5.45087315524587e-94
"ENSG00000152154",-4.39443350952176,3.81439514602368,433.423403208284,2.9227483038433e-96,8.06547662533713e-94
"ENSG00000182107",-4.47332563934727,5.24634228438703,432.70437029876,4.19069758302242e-96,1.13943834724267e-93
"ENSG00000248144",-6.71613129711598,3.778609664915,432.548886949557,4.53029816725313e-96,1.2139229393383e-93
"ENSG00000115902",2.12340040836673,4.63183866746386,427.139942544369,6.8137167968445e-95,1.7996972836694e-92
"ENSG00000115112",-6.30734114464673,7.51336058940669,425.700115888914,1.40206540457007e-94,3.65109679790086e-92
"ENSG00000254528",-4.5103171406138,2.7389378425394,423.275311614274,4.7265305571479e-94,1.21373365932094e-91
"ENSG00000086159",-9.09625998835284,6.34577063784429,422.489897122406,7.00639276790208e-94,1.77453692994167e-91
"ENSG00000167580",-14.0702747267909,10.6322997256917,420.154562719489,2.25841566199424e-93,5.64268205062318e-91
"ENSG00000168404",1.85389234475163,3.8865775610763,417.304645107258,9.4216416008299e-93,2.32262308743659e-90
"ENSG00000085276",-2.7881192144292,7.0302128721972,416.130009586301,1.69747986050996e-92,4.12956646591693e-90
"ENSG00000177807",-7.48180699036219,6.08641709279605,415.959655367225,1.84877930055606e-92,4.43923123220532e-90
"ENSG00000174514",-4.84616733928093,7.80775466407724,415.237877735862,2.65455923825482e-92,6.29232637898634e-90
"ENSG00000136014",-3.49037985143612,0.958950967847406,412.644624884053,9.73787092100793e-92,2.27903158808248e-89
"ENSG00000113946",-7.02562176813376,5.73267660094324,411.187366838536,2.02147375213424e-91,4.67187852540125e-89
"ENSG00000153395",2.36288825169998,7.22334447018808,410.868874971623,2.3713474304842e-91,5.41282007928672e-89
"ENSG00000105929",-9.88308801538821,7.02039913719242,407.948590885489,1.0248687406097e-90,2.31082904208937e-88
"ENSG00000128045",-5.94500284297118,4.27477537546934,406.927079901985,1.71012683194616e-90,3.80946204769308e-88
"ENSG00000026025",2.75172307424709,10.8647129841279,401.584993174537,2.48830291634616e-89,5.47693245480049e-87
"ENSG00000134333",2.01049740779746,10.3142575899159,401.304807532335,2.86348952201295e-89,6.22859503205851e-87
"ENSG00000188488",-7.10339508336471,7.44825547918135,401.166259784584,3.06941401532635e-89,6.59888322434522e-87
"ENSG00000239887",-3.56369713387301,3.7474162241504,401.06257533168,3.23315197248855e-89,6.87100538153342e-87
"ENSG00000233255",-5.42620746745709,1.09861347351981,400.948258272601,3.42382336517432e-89,7.19353070439863e-87
"ENSG00000152642",-1.93601182814108,5.8137217626608,400.034152432301,5.41377370324845e-89,1.12466586516135e-86
"ENSG00000180354",-3.26663617272271,7.23283325895606,399.408195329022,7.4090636350269e-89,1.52206863942236e-86
"ENSG00000186918",2.6158915085213,7.68179118070578,399.381341146627,7.50946789042851e-89,1.5257423277597e-86
"ENSG00000112769",3.18010641232833,6.90417089879296,397.646188360075,1.7919817892362e-88,3.60129905447696e-86
"ENSG00000233101",-4.0999270888847,2.48541142888712,396.372887030558,3.39250455473095e-88,6.74451792606671e-86
"ENSG00000236283",-4.46198053977553,1.77967822827626,395.862564592043,4.38141011936762e-88,8.61786081882851e-86
"ENSG00000172765",1.97470184020766,6.20457820424305,395.730858084874,4.68042736194351e-88,9.1090969994709e-86
"ENSG00000079101",-3.84414941016858,1.95756516292336,395.124675255528,6.34231281065613e-88,1.2214898078773e-85
"ENSG00000196754",-4.26016629828961,5.164300365525,394.757680446754,7.62325313310329e-88,1.45305491936028e-85
"ENSG00000232352",-4.33021539330192,0.0884477067119725,393.957986972042,1.13822915756232e-87,2.14742029532344e-85
"ENSG00000176387",-4.35683192182876,8.14469284547786,393.654297512193,1.32538377984263e-87,2.47525461671822e-85
"ENSG00000123572",-7.45558420123537,4.70019948587507,391.074438587503,4.83027097725465e-87,8.93068800984612e-85
"ENSG00000274173",-8.29243697794826,4.01479893556481,390.309278975471,7.08837885589524e-87,1.29130556129957e-84
"ENSG00000166130",2.08140985435249,5.35073576573579,390.299316451251,7.12386647479884e-87,1.29130556129957e-84
"ENSG00000182512",-1.22286799887605,5.41763046399076,389.797111734916,9.16318195762882e-87,1.64483564286019e-84
"ENSG00000186470",2.02474614413932,6.36187392181874,389.702608963978,9.60770614588806e-87,1.7080469128012e-84
"ENSG00000226887",-5.73657845143419,3.17257244016221,389.526469822791,1.04945908542721e-86,1.84794752671082e-84
"ENSG00000154319",-4.38789845327692,4.18512434745955,389.391041206723,1.12317800183633e-86,1.95909793169358e-84
"ENSG00000142611",-4.86943693255326,4.48946331965897,388.763105156291,1.53869253774248e-86,2.65877442339445e-84
"ENSG00000095970",4.89829188720262,4.02177517625669,387.256349119758,3.27475429091542e-86,5.60619741525326e-84
"ENSG00000147257",-4.88879770279019,6.02999139154838,386.609582042207,4.52880394831884e-86,7.68193176151073e-84
"ENSG00000044446",2.14438299744358,6.34641689184282,384.508103499187,1.29864750377531e-85,2.18279033611834e-83
"ENSG00000272870",2.57299624390282,2.06476959164788,384.445163675206,1.34027482219704e-85,2.23246317005416e-83
"ENSG00000164188",-6.86330805784695,4.92744508401291,384.275982959687,1.458901845463e-85,2.40836037685405e-83
"ENSG00000074803",-11.2623437112783,10.5549052286577,383.637332988807,2.00940040238757e-85,3.28777026900388e-83
"ENSG00000053770",-1.16477982295166,5.89461452983495,383.06918282844,2.67152283756974e-85,4.33278822314271e-83
"ENSG00000170561",-6.09739410241936,3.82369035401201,382.869278467733,2.95311483186011e-85,4.74783827184883e-83
"ENSG00000163293",-3.43703518601406,3.8661326400836,380.479379786256,9.78572267293796e-85,1.55972609051681e-82
"ENSG00000105971",2.11013370410147,6.77459409774418,380.23681120191,1.10510556698401e-84,1.74635015623653e-82
"ENSG00000226950",-1.97093332029408,4.77815640316604,379.408186823053,1.67420460727343e-84,2.62325160880326e-82
"ENSG00000100625",-4.59193468816912,1.64806038485611,379.133807674105,1.92108014237199e-84,2.98477737414418e-82
"ENSG00000177133",-8.48875800361744,5.123775278576,378.073245601143,3.26925444339284e-84,5.03710378365751e-82
"ENSG00000259969",-3.85798417203486,2.34249793129456,377.593276204231,4.15860008804874e-84,6.35440967173001e-82
"ENSG00000187123",-4.18984915361403,1.61182536590265,376.774401616904,6.26949384320425e-84,9.50136653008225e-82
"ENSG00000122884",1.94683279903854,6.91945314070687,375.798763352375,1.02246795348658e-83,1.5369439017897e-81
"ENSG00000272711",3.69496827419016,0.791586635100081,375.532451728672,1.16850793948697e-83,1.74230187848183e-81
"ENSG00000106236",7.31944126158699,6.97685381731589,375.147997715607,1.41688970905697e-83,2.09574990646035e-81
"ENSG00000011347",-5.14245277962149,4.27599692590858,374.819647705784,1.67041924996514e-83,2.45114138988933e-81
"ENSG00000007402",-2.72029777901687,2.55406023957641,373.314123654787,3.55316382674863e-83,5.1727910230516e-81
"ENSG00000261175",4.23480461065205,3.2295445012657,372.81623039093,4.56057552726551e-83,6.58753757215719e-81
"ENSG00000049283",-6.97175542189105,3.53212743101984,371.685775680967,8.03805016632876e-83,1.15205821337405e-80
"ENSG00000237517",5.47142970290602,5.23320400233407,371.613535021986,8.33450011101192e-83,1.18535825040384e-80
"ENSG00000168447",-6.14307554167129,5.78866650955085,371.552436875382,8.5937430804674e-83,1.21289859400581e-80
"ENSG00000163083",4.1464929612477,5.49211338770316,371.099572615013,1.07841026435154e-82,1.51050964981785e-80
"ENSG00000112715",3.26627449739769,9.61173616848106,370.71424031307,1.30822441898246e-82,1.81862866786216e-80
"ENSG00000134504",-2.35662915582252,4.77223246115765,370.382942987462,1.54459869251092e-82,2.13120038998764e-80
"ENSG00000136379",-2.08865363053593,4.3415636024645,368.069829721929,4.92555229573585e-82,6.74581751080446e-80
"ENSG00000186314",2.05477966872471,2.52608531805952,367.804565039358,5.62616081020416e-82,7.64868288381358e-80
"ENSG00000159263",-4.6539540396809,4.33183836123651,367.522526134994,6.48069814078772e-82,8.74610422810395e-80
"ENSG00000147853",-1.55532126690411,6.91907527353275,365.863768201997,1.48865306476573e-81,1.9944714865546e-79
"ENSG00000123836",-2.48655833528541,5.58693935249955,365.824901855141,1.5179454355433e-81,2.01908583868777e-79
"ENSG00000138134",2.58048674099051,3.27644993182605,365.530645051525,1.75924775990441e-81,2.31840365896302e-79
"ENSG00000155066",-6.47817725971464,6.43576783378387,365.520689343169,1.76805081893983e-81,2.31840365896302e-79
