"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000107159",9.72398858494289,9.73883321651421,6.87492106766852,3.19754486681517e-124,5.91194070425456e-120
"ENSG00000185633",7.00920923372007,7.00950575890487,9.71260832479832,3.80508668926902e-118,3.51761238989474e-114
"ENSG00000187730",6.0096378389023,6.02964413046074,2.97569576182287,6.47892241606511e-106,3.99295988502093e-102
"ENSG00000184908",-8.45494792667372,-8.4623258459287,7.20502223476194,4.50331451700963e-97,2.08154455262478e-93
"ENSG00000165125",-6.21407832582914,-6.23356021752615,2.93022445349144,1.34149233249267e-96,4.96057034709141e-93
"ENSG00000204323",-5.72851637233155,-5.73379482984595,4.30871264871819,1.45286473997677e-95,4.47700269623842e-92
"ENSG00000151704",-9.50921654854208,-9.51871338203952,7.84440078681186,3.62943108368095e-95,9.586364472311e-92
"ENSG00000014257",-5.74142727408241,-5.74570131030586,4.72823941996077,1.40992709255368e-94,3.25851775177813e-91
"ENSG00000140519",-9.98916010252196,-10.0317559793072,6.34019646340796,5.26820651919852e-94,1.08226522592735e-90
"ENSG00000214128",-10.9978454225506,-11.035947647411,7.50944556680254,1.51781509804526e-93,2.80628833477588e-90
"ENSG00000116039",-7.98269714938256,-7.99403463177797,6.21020164392578,3.18436767088199e-92,5.35234307881246e-89
"ENSG00000214145",6.20279862659344,6.21211643009442,4.13229524281913,3.77154960277304e-92,5.81101505047256e-89
"ENSG00000184661",5.74185842642354,5.75027882560792,3.63436122808636,8.30362111057298e-92,1.18096654394911e-88
"ENSG00000095203",-5.6813880096182,-5.68891406127412,3.86225086270441,1.18794623534623e-91,1.56885271037975e-88
"ENSG00000169344",-14.181418599517,-14.205881428399,12.1176135100787,4.13865159054995e-90,5.10130195051187e-87
"ENSG00000113889",-12.2118321445953,-12.2497707206654,9.00735908974289,1.08422279633691e-89,1.25288720509208e-86
"ENSG00000147606",-7.0154127096389,-7.02171577948985,5.71463748508136,2.5720065431084e-89,2.79728405738418e-86
"ENSG00000185133",-5.53192487844729,-5.53492984104695,4.89871829618103,2.63233418093648e-88,2.70384592618525e-85
"ENSG00000050767",5.9338031731095,5.93486364082989,6.88050437563448,2.9928996636015e-87,2.91240641475411e-84
"ENSG00000183844",-6.05649754887574,-6.06960928446809,3.5993413801588,3.21760216339235e-87,2.97451231994806e-84
"ENSG00000249859",4.61077611273087,4.61752357182855,2.704759140008,3.92465971637305e-87,3.45538254742959e-84
"ENSG00000167772",6.02221901270139,6.02256940451604,8.85676454606736,1.13270560035963e-86,9.51936083865875e-84
"ENSG00000167580",-14.0702747267909,-14.1279103307978,10.6322997256917,1.0594894148132e-85,8.51691295238313e-83
"ENSG00000126460",-3.73135549943622,-3.73471652301771,2.70306663613838,6.58805966946049e-85,5.07527646786063e-82
