"","logFC","logCPM","F","PValue","FDR"
"ENSG00000126460",-3.76373455349009,2.72024845381154,626.328923386732,6.71765353135549e-38,1.22469541530142e-33
"ENSG00000187730",5.96563614419133,2.95620421907504,569.779787624717,1.53083912637497e-36,1.3954364056471e-32
"ENSG00000143882",-4.03135697949893,3.67357344441199,555.558930668888,3.50892266420828e-36,2.13237230303937e-32
"ENSG00000185633",6.9771406926077,9.69712703139463,546.935249247273,5.85627935860479e-36,2.6691457246681e-32
"ENSG00000107159",9.62494720500417,6.86298203105652,538.969509663556,9.45943409878948e-36,3.44909886110062e-32
"ENSG00000249859",4.57301435177198,2.69349623209549,531.415950935634,1.49917620621188e-35,4.55524690257481e-32
"ENSG00000073060",4.09140081428231,7.14191439929588,524.301397446598,2.32550041722474e-35,6.05659972948918e-32
"ENSG00000117477",-4.26277139504983,2.1272637897456,509.198024200219,6.01058489750152e-35,1.36973716582938e-31
"ENSG00000014257",-5.74743107995095,4.74369421167104,506.386206929577,7.1924051689098e-35,1.45694154038216e-31
"ENSG00000114854",-4.87695834092394,1.76282285324298,503.091880737157,8.88570502976573e-35,1.52446307799658e-31
"ENSG00000165125",-6.18761727593489,2.95178672108674,502.555221546328,9.19812070537126e-35,1.52446307799658e-31
"ENSG00000204323",-5.73606914954764,4.33115361857878,500.62647955367,1.04171877812954e-34,1.5826312536733e-31
"ENSG00000061656",4.15679143041604,4.6744554594514,496.807966205408,1.33444113158136e-34,1.87139971306614e-31
"ENSG00000095203",-5.67659437528704,3.88460187410534,487.070003536371,2.52852735374678e-34,3.2926844418684e-31
"ENSG00000184661",5.69148506207092,3.62166561431913,474.213466748446,5.98155010103741e-34,7.1682483917411e-31
"ENSG00000166908",-1.41426518193328,6.18119399861482,473.46944724232,6.29104131796707e-34,7.1682483917411e-31
"ENSG00000129521",4.3875458018421,8.16866028413158,470.742867245531,7.57297745137585e-34,8.12135011270783e-31
"ENSG00000140939",3.1518958511337,5.72673117200612,469.758314609007,8.09934697963923e-34,8.20328859921127e-31
"ENSG00000185133",-5.54603414383078,4.92107328401082,464.509969898498,1.16122488834554e-33,1.11422583891724e-30
"ENSG00000214145",6.13875243089196,4.11887285082362,461.661343601141,1.41410633569163e-33,1.2890286302997e-30
"ENSG00000163406",-4.11314441015605,4.3146979212445,457.812447822751,1.84850479725607e-33,1.50522840057967e-30
"ENSG00000163399",-2.54974849075482,11.4482108068686,457.686740487585,1.86480955056199e-33,1.50522840057967e-30
"ENSG00000198780",-4.35620192842311,3.22240950441193,457.426934323433,1.89897719342507e-33,1.50522840057967e-30
"ENSG00000183844",-6.01322139756981,3.62026014775464,454.71021675034,2.29723723976752e-33,1.7450388382584e-30
"ENSG00000164105",2.57777861736571,3.54256175670594,453.223223281766,2.55061271870457e-33,1.86000881898812e-30
"ENSG00000196968",1.58892914708529,5.46984850179197,449.553242341788,3.30629507432147e-33,2.31834867307518e-30
"ENSG00000272941",2.15231834033635,1.33444964958751,445.330308841236,4.46686108924974e-33,3.01612387104119e-30
"ENSG00000134574",1.88386238136133,4.95714758702544,444.724779336251,4.66471632930471e-33,3.03723012141265e-30
"ENSG00000135245",4.96471446777626,6.83082125157206,441.504121312887,5.87909412759088e-33,3.69592293241757e-30
"ENSG00000139370",1.88616629493541,6.01703885225492,440.871326312298,6.15357764260604e-33,3.73952913341169e-30
"ENSG00000107485",-4.47721417224854,5.39162406888607,439.45936354162,6.81450531652072e-33,4.00758859437062e-30
"ENSG00000146411",-4.55438107414355,3.06440508119685,435.998225450266,8.76116131115784e-33,4.9913978707412e-30
"ENSG00000171208",3.51271664152514,5.45390733994492,435.285883642369,9.22812395404809e-33,5.09123300607989e-30
"ENSG00000182512",-1.25337535499239,5.42577377530229,434.895324410894,9.49492195747442e-33,5.09123300607989e-30
"ENSG00000196975",2.1234628202575,9.17572181512149,433.66112056366,1.0391294589469e-32,5.41267690458882e-30
"ENSG00000146859",1.69166594840642,6.56889595136938,432.694880013102,1.11534298034599e-32,5.64828274296882e-30
"ENSG00000141526",3.40312469599953,7.40182004648073,430.143337038385,1.34543694652483e-32,6.62936783029571e-30
"ENSG00000053770",-1.19523462817197,5.90123286492338,425.30694841171,1.924861300042e-32,9.23477535817519e-30
"ENSG00000050767",5.90102652109522,6.86846524833188,424.885889369904,1.98614930622206e-32,9.28448410300881e-30
"ENSG00000082684",3.86795871053255,6.38729898623795,424.004741107965,2.12097676467291e-32,9.66688184918797e-30
"ENSG00000115902",2.09262685954461,4.62090815020169,421.269126303413,2.60264571531353e-32,1.15728863502149e-29
"ENSG00000167772",5.98969188925688,8.84326131064845,417.800888096023,3.37914593142218e-32,1.40092679326947e-29
"ENSG00000136828",-2.75740848739978,4.00554465437523,417.798117966818,3.37985318136312e-32,1.40092679326947e-29
"ENSG00000147606",-6.97805134895663,5.73330958072571,417.793247777915,3.38109697240178e-32,1.40092679326947e-29
"ENSG00000231890",2.81571467976677,1.51156065259391,417.218337619923,3.53127604635418e-32,1.43063763557962e-29
"ENSG00000184908",-8.41347490183226,7.22370056046557,415.94012173475,3.89022200260192e-32,1.54179646368338e-29
"ENSG00000139055",-4.19058534759361,4.47778052886512,413.867885394645,4.55373730957044e-32,1.76636563597402e-29
"ENSG00000131080",2.32823504146442,3.46414367725335,413.236763597258,4.7781065936664e-32,1.78678476743817e-29
"ENSG00000168404",1.82304504946537,3.87791555767878,413.170278500766,4.80239447120127e-32,1.78678476743817e-29
"ENSG00000197565",-6.01531927712096,3.57427596156096,407.996302728983,7.1408706490633e-32,2.58963213554864e-29
"ENSG00000116039",-7.89533827151708,6.22448781613479,407.809755544504,7.24432224853165e-32,2.58963213554864e-29
"ENSG00000257108",-3.7172692169094,2.83718235787502,407.119562949713,7.64064790992587e-32,2.66498535034076e-29
"ENSG00000171004",-7.88909725912901,4.70370069746749,406.93981074581,7.74747537535297e-32,2.66498535034076e-29
