"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000107159",9.66685928037255,9.68100005805182,6.87492106766852,1.28300212008738e-34,2.37214261982955e-30
"ENSG00000185633",7.00820663141981,7.00850265799805,9.71260832479832,7.15875129409793e-34,6.61790763382883e-30
"ENSG00000187730",5.99498376860846,6.0141318429681,2.97569576182287,1.47745811829828e-33,9.10557438307229e-30
"ENSG00000165125",-6.15855371679524,-6.17634183942019,2.93022445349144,4.96519819198835e-32,2.29503873429182e-28
"ENSG00000204323",-5.70605305934108,-5.71113326908107,4.30871264871819,1.07442525049083e-31,3.38081219377437e-28
"ENSG00000126460",-3.73348554336146,-3.73686057197009,2.70306663613838,1.2209672258285e-31,3.38081219377437e-28
"ENSG00000014257",-5.71737812000728,-5.72146224727232,4.72823941996077,1.27998730901728e-31,3.38081219377437e-28
"ENSG00000249859",4.60555293611931,4.61223660547112,2.704759140008,2.43040115291915e-31,5.61696086454027e-28
"ENSG00000095203",-5.64566422930065,-5.65274379488517,3.86225086270441,3.43517156449103e-31,7.05698745065273e-28
"ENSG00000140519",-9.64351153130051,-9.66921620056582,6.34019646340796,3.93576579104303e-31,7.07959502194024e-28
"ENSG00000175985",-4.61441956290318,-4.63884174286133,0.980386831980169,4.50863163127857e-31,7.07959502194024e-28
"ENSG00000184661",5.72462637380177,5.732859617745,3.63436122808636,4.85912012554315e-31,7.07959502194024e-28
"ENSG00000214145",6.17030146309298,6.17913874964629,4.13229524281913,4.97781033507616e-31,7.07959502194024e-28
"ENSG00000114854",-4.84868048394196,-4.86517052962493,1.75033419096283,8.18030630062445e-31,1.08032630851604e-27
"ENSG00000143882",-4.0001193512475,-4.00235112763318,3.65669517687103,9.83834138823481e-31,1.21267395951382e-27
"ENSG00000185133",-5.51470282675529,-5.51762582956248,4.89871829618103,1.36107385903234e-30,1.57280591122806e-27
"ENSG00000184908",-8.3819561735143,-8.38844570611091,7.20502223476194,1.58800232638984e-30,1.72709264780128e-27
"ENSG00000183844",-5.98387496623952,-5.99541604946139,3.5993413801588,1.8127936652221e-30,1.86204122646064e-27
"ENSG00000073060",4.12196347384753,4.12218170920458,7.15387170812182,2.45625383176438e-30,2.39019353134166e-27
"ENSG00000147606",-6.94640773642177,-6.95200760020438,5.71463748508136,4.82963805681571e-30,4.29456649163323e-27
"ENSG00000116039",-7.86435588881229,-7.87364847253731,6.21020164392578,4.98453026597082e-30,4.29456649163323e-27
"ENSG00000117477",-4.23291019715153,-4.24059040338791,2.11249068793998,5.11009047627947e-30,4.29456649163323e-27
"ENSG00000113889",-11.9216208850681,-11.9458071113138,9.00735908974289,5.69122504195729e-30,4.57500260003253e-27
"ENSG00000171004",-7.86150930167307,-7.88322804621942,4.68219689341936,6.21892130289582e-30,4.79090149871837e-27
"ENSG00000214128",-10.6245013467631,-10.6481925750176,7.50944556680254,7.10724134414754e-30,5.25623140847775e-27
"ENSG00000151704",-9.39654921500802,-9.4047126813159,7.84440078681186,7.70718406259989e-30,5.42495917239639e-27
"ENSG00000061656",4.1873551776073,4.18867118120168,4.6880702889501,7.92221848962641e-30,5.42495917239639e-27
"ENSG00000050767",5.93026391869468,5.93131686092957,6.88050437563448,8.67309083790386e-30,5.72702773221444e-27
"ENSG00000129521",4.41832496779547,4.41845208647246,8.18025080229638,9.47585477992e-30,6.04134755261865e-27
"ENSG00000167772",6.01973530319105,6.02008376696665,8.85676454606736,1.41447550243706e-29,8.71741252151961e-27
