"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000142945",3.40017783037234,1.89951326518085,383.602162920505,2.04514155729965e-85,3.19267048510048e-81
"ENSG00000117724",3.45187620413206,3.14966181237041,377.240757164078,4.96246500009516e-84,3.87345205582427e-80
"ENSG00000145708",-6.72600959884907,5.13836468169475,375.295840452439,1.31567097736059e-83,6.84631320919207e-80
"ENSG00000089685",3.61958484168076,2.94394493543098,373.617073776734,3.05249691040979e-83,1.19131323171018e-79
"ENSG00000100526",3.50002637889123,1.64411464525328,344.004429837502,8.56627096567332e-77,2.67456112090252e-73
"ENSG00000175063",3.61116289139896,2.20347111027364,336.401722567175,3.87724733359972e-75,1.00879513541375e-71
"ENSG00000160323",-3.39384438965955,4.26851654298206,323.532905953318,2.46246924420233e-72,5.10469307080108e-69
"ENSG00000077152",3.02199774776475,1.83926499666128,323.412353426318,2.61594674052967e-72,5.10469307080108e-69
"ENSG00000148773",3.19556828909358,3.62805510756215,319.748505883104,1.64316876279442e-71,2.8501675062204e-68
"ENSG00000198901",2.8937928114598,2.80992837502813,314.321349508556,2.49958802097623e-70,3.90210685954599e-67
"ENSG00000090889",3.49099382044146,2.0709808223236,309.731189692134,2.49909800843734e-69,3.54667445542867e-66
"ENSG00000166851",3.14210115314715,2.11325624905065,309.261418324963,3.16315407835454e-69,4.11499985976606e-66
"ENSG00000146670",3.08011786042145,2.2165617908037,307.218634100971,8.81323215342979e-69,1.00889967341435e-65
"ENSG00000169679",3.37100514028579,1.66115504231698,307.166258132582,9.04784794555175e-69,1.00889967341435e-65
"ENSG00000134690",2.89244044314176,1.73668396676134,306.683477090237,1.15270781823896e-68,1.19966145003523e-65
"ENSG00000117399",3.6881312698681,2.61001255825701,306.011430700686,1.61482536401818e-68,1.57556492235549e-65
"ENSG00000135451",3.56622959412946,1.50997272826732,303.488006792994,5.72620046951674e-68,5.25833620762504e-65
"ENSG00000170312",3.16568106920234,2.44727948446308,302.614839514164,8.87348066592717e-68,7.69577259309939e-65
"ENSG00000019169",-7.71870875103724,5.49828196496039,300.226874997456,2.93997076081982e-67,2.41557281827148e-64
"ENSG00000111206",3.34011814571929,2.69891152554304,300.097170453566,3.13762627074417e-67,2.44907418562936e-64
"ENSG00000237649",3.22505826953225,2.36859964735639,297.475180471484,1.16910128444489e-66,8.6908762626044e-64
"ENSG00000186185",3.49795486231355,1.13587961124941,288.065602870978,1.31234712774865e-64,9.31229591422011e-62
"ENSG00000142748",-5.70425064245663,6.09690535065938,287.922791140786,1.40983030915176e-64,9.56906998094267e-62
"ENSG00000184374",-5.84439453280589,3.69359193013602,283.884051833032,1.06958270436631e-63,6.95718983244266e-61
"ENSG00000143369",-3.79071210121187,4.88406277610552,282.698140234615,1.9392532050176e-63,1.21094727134119e-60
"ENSG00000123485",3.58844576726794,1.52078114908186,281.755664088836,3.11179307940074e-63,1.86839237548173e-60
"ENSG00000225697",2.23842703282865,3.23874087787416,279.589596625702,9.2263595194111e-63,5.24406254374744e-60
"ENSG00000011426",3.56294666561308,2.24644904072629,279.55121164784,9.40578766414248e-63,5.24406254374744e-60
"ENSG00000164611",3.12620601240952,2.51028805877863,279.024352132098,1.22520289277621e-62,6.59539391694116e-60
