"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000145708",-6.72600959884907,-6.73492715044243,5.13836468169475,4.74115223336202e-67,7.40141275150145e-63
"ENSG00000019169",-7.71870875103724,-7.73782313348365,5.49828196496039,3.89114311114412e-56,3.03723175540354e-52
"ENSG00000142748",-5.70425064245663,-5.70647742865681,6.09690535065938,6.00939361410256e-49,2.66470739160148e-45
"ENSG00000089685",3.61958484168076,3.62392471836479,2.94394493543098,6.82776860316824e-49,2.66470739160148e-45
"ENSG00000184374",-5.84439453280589,-5.85789838168246,3.69359193013602,1.32616608577487e-48,4.14055575300631e-45
"ENSG00000117724",3.45187620413206,3.4552077254437,3.14966181237041,1.02348804784432e-47,2.66294531914962e-44
"ENSG00000142945",3.40017783037234,3.40763762253021,1.89951326518085,1.36924793722497e-47,3.05361850685986e-44
"ENSG00000136011",-6.75261985194287,-6.77583802225837,3.85442105868779,2.12900505858636e-47,4.15448724619895e-44
"ENSG00000175063",3.61116289139896,3.61828268157739,2.20347111027364,3.75526585656885e-44,6.51371725409959e-41
"ENSG00000100526",3.50002637889123,3.50887864305447,1.64411464525328,6.44728278082799e-44,1.00648531491506e-40
"ENSG00000160339",-7.01181632012859,-7.03090207923964,4.80845427143041,1.03669755098511e-42,1.47126231531169e-39
"ENSG00000198417",-6.15151747008269,-6.15468430679465,6.84771826474283,3.96851022250412e-42,5.16270109029265e-39
"ENSG00000117399",3.6881312698681,3.69467381011808,2.61001255825701,4.91405595994958e-41,5.90102519929022e-38
"ENSG00000145824",-7.39122621256585,-7.43028730223537,4.29002284164521,8.9817174625155e-41,9.43984704220522e-38
"ENSG00000160323",-3.39384438965955,-3.39498104323095,4.26851654298206,9.0703802211952e-41,9.43984704220522e-38
"ENSG00000090889",3.49099382044146,3.49832640065521,2.0709808223236,8.07554107174855e-40,7.87920447944166e-37
"ENSG00000135451",3.56622959412946,3.57755911285363,1.50997272826732,1.1978891456119e-39,1.10001455600867e-36
"ENSG00000205358",-8.52255884990921,-8.55994499887477,6.31336056973002,1.8816026823109e-39,1.63187219297531e-36
"ENSG00000143369",-3.79071210121187,-3.79184358312962,4.88406277610552,5.28327479535348e-39,4.34090541211911e-36
"ENSG00000169679",3.37100514028579,3.37953902767601,1.66115504231698,1.81609156118602e-38,1.41755026808375e-35
"ENSG00000148773",3.19556828909358,3.19764159076999,3.62805510756215,2.21249435117453e-38,1.6447261579136e-35
"ENSG00000114812",-4.50126565437257,-4.50590373236361,3.89077382790994,4.91620355111205e-38,3.48849334710956e-35
"ENSG00000185652",-4.50197561240771,-4.52410148603199,1.47221131005956,7.10960145264786e-38,4.80523224851341e-35
"ENSG00000125144",-7.3105181917872,-7.31206087928388,9.27603443284484,7.3874558941978e-38,4.80523224851341e-35
"ENSG00000111206",3.34011814571929,3.34431061372103,2.69891152554304,1.70297971011665e-37,1.06340865018524e-34
"ENSG00000183856",3.86355865564991,3.87161938354207,2.81717195420981,2.15936961076935e-37,1.29653534591232e-34
"ENSG00000123485",3.58844576726794,3.59999762740735,1.52078114908186,3.17242921920108e-37,1.83425157559067e-34
"ENSG00000186185",3.49795486231355,3.51348641299312,1.13587961124941,4.21443936046751e-37,2.34970045915208e-34
"ENSG00000011426",3.56294666561308,3.57119120114495,2.24644904072629,8.73174799404977e-37,4.70039027362452e-34
"ENSG00000077152",3.02199774776475,3.0271367274462,1.83926499666128,1.14228158519732e-36,5.94405260883844e-34
"ENSG00000166851",3.14210115314715,3.14695718449752,2.11325624905065,1.59487648424913e-36,8.03148928890748e-34
"ENSG00000170312",3.16568106920234,3.17006835588193,2.44727948446308,4.24491887309476e-36,2.07085714149632e-33
"ENSG00000237649",3.22505826953225,3.229336828243,2.36859964735639,4.40704822041677e-36,2.08480090208867e-33
"ENSG00000165304",3.81464616022704,3.82950115775495,1.42592726196878,4.70827176751018e-36,2.16178913419416e-33
"ENSG00000123454",-4.3561104359916,-4.35994289506233,4.23315677304892,5.7658428643059e-36,2.57173065584798e-33
"ENSG00000146670",3.08011786042145,3.08401875471271,2.2165617908037,1.11051971478663e-35,4.8156453520928e-33
"ENSG00000131747",3.62052228636342,3.62313867530387,4.01031794197339,1.46123495622294e-35,6.16522673016115e-33
"ENSG00000126759",-4.26326999261105,-4.26621608570353,4.22920946645607,2.9463130833875e-35,1.21039193538848e-32
"ENSG00000117650",3.90075570249511,3.91470503075301,1.66614303808768,4.35125249126926e-35,1.7417282728514e-32
"ENSG00000126787",3.3396416352334,3.35171588973529,1.12887135492889,9.53659236287095e-35,3.72189358441946e-32
"ENSG00000109805",3.69226394697471,3.70336886252649,1.84542094830702,1.30155832296964e-34,4.9557626780193e-32
