"","logFC","logCPM","F","PValue","FDR"
"ENSG00000142945",3.39880696113669,1.89945126872479,379.509248402279,1.00540918321274e-25,1.56914211224013e-21
"ENSG00000117724",3.45191812744881,3.14966595662952,360.827829703962,3.22670469986203e-25,2.2987702295164e-21
"ENSG00000089685",3.61959836968991,2.94391422200695,355.931124426525,4.41872921672916e-25,2.2987702295164e-21
"ENSG00000100526",3.50301960570904,1.64409681257363,339.105973285118,1.34055225229916e-24,5.23049975040826e-21
"ENSG00000145708",-6.68280601985191,5.13837290231683,315.400969568003,6.96353007198396e-24,1.74514223294186e-20
"ENSG00000175063",3.61336664857634,2.2034450793536,315.202666956228,7.0633121755257e-24,1.74514223294186e-20
"ENSG00000077152",3.02525330168582,1.83923723479062,313.774450262977,7.82725420041841e-24,1.74514223294186e-20
"ENSG00000198901",2.89398581533656,2.80990760478951,306.946849466969,1.28606956092861e-23,2.5089609546766e-20
"ENSG00000134690",2.8934679931791,1.73666355823679,303.404074388947,1.67028583420665e-23,2.89646122382924e-20
"ENSG00000148773",3.1943874616027,3.62803371451441,300.761147161762,2.03340010613534e-23,2.9853620847779e-20
"ENSG00000160323",-3.39139836143723,4.26853400791182,300.303839499869,2.10411885260184e-23,2.9853620847779e-20
"ENSG00000169679",3.3765385640115,1.6611361269158,295.71915585494,2.97165012913338e-23,3.5205424653227e-20
"ENSG00000146670",3.0802845227577,2.21654226617309,295.164655597084,3.0993094661387e-23,3.5205424653227e-20
"ENSG00000166851",3.14067532766039,2.11323270199343,294.917450921881,3.15804411575048e-23,3.5205424653227e-20
"ENSG00000090889",3.49179821736624,2.0709647791017,293.413971714971,3.54104399708134e-23,3.68433824416323e-20
"ENSG00000135451",3.56892000389108,1.50993238422656,287.886451085022,5.41730871051876e-23,5.28424606531664e-20
"ENSG00000111206",3.34012425967286,2.69889966723925,282.642026146105,8.16172524310071e-23,7.11529668240718e-20
"ENSG00000117399",3.68803964724876,2.6099578816851,282.572919800225,8.2062754074024e-23,7.11529668240718e-20
"ENSG00000237649",3.22544973735262,2.36858023125951,279.973560758337,1.00792207499145e-22,8.27928411810078e-20
"ENSG00000225697",2.23800877041616,3.23874841744419,276.897183755226,1.28825463492365e-22,1.00528950436267e-19
"ENSG00000170312",3.16875271789373,2.44724174424346,275.165470119524,1.48058612657023e-22,1.10035750844674e-19
"ENSG00000186185",3.50489922643813,1.13585608740627,272.781508863005,1.79536916519255e-22,1.27365120732546e-19
"ENSG00000111665",2.71370745724665,1.30255736972303,265.592503894613,3.23890268940967e-22,2.17757032510786e-19
"ENSG00000106462",2.11989454373007,2.33050560894942,265.191442468278,3.34860561303189e-22,2.17757032510786e-19
"ENSG00000164611",3.12680491655194,2.51024943648174,263.154719787781,3.96836630303949e-22,2.47737171566149e-19
"ENSG00000011426",3.5622167171043,2.24642919273868,262.363277275517,4.24031455903403e-22,2.54533035857093e-19
"ENSG00000152253",3.0527983532215,0.404967009654212,257.541363684212,6.37331849415447e-22,3.6840141384544e-19
"ENSG00000178999",2.84442614587758,1.33986996393584,255.889196959945,7.33901033183322e-22,4.09071193746147e-19
"ENSG00000123485",3.59019046928746,1.52073794120132,254.971565352298,7.9398279258355e-22,4.2440275584462e-19
"ENSG00000126787",3.3423230589968,1.12884300601589,254.656180302703,8.15793084855425e-22,4.2440275584462e-19
"ENSG00000143369",-3.7846850014802,4.8840761299197,254.141067294818,8.52762564256693e-22,4.29324688398523e-19
"ENSG00000019169",-7.59534589528411,5.49830395766188,252.152294559178,1.01262351947857e-21,4.89217163815502e-19
"ENSG00000134057",2.76711187796894,2.93728415269296,251.90671522171,1.03441829985978e-21,4.89217163815502e-19
"ENSG00000183856",3.85378527977423,2.81715496365315,247.261402829491,1.55259382816246e-21,7.12686231650928e-19
"ENSG00000161800",2.13629423261494,2.67440771171781,243.238286739664,2.21834728021536e-21,9.89192742923461e-19
"ENSG00000130300",2.94382482027653,5.77096243246512,242.408155161541,2.38929545940854e-21,1.03582595097192e-18
"ENSG00000184374",-5.76249248803634,3.69360745845732,240.920319376044,2.73075391037539e-21,1.13902750784294e-18
"ENSG00000131747",3.61057018295945,4.01028068943709,240.712852340913,2.78224546051197e-21,1.13902750784294e-18
"ENSG00000161888",3.06039363032515,2.17451547846962,240.460293627007,2.84629158748475e-21,1.13902750784294e-18
"ENSG00000143228",3.62445462736339,1.16081659862089,239.656563139654,3.06048760036863e-21,1.19412574947383e-18
"ENSG00000142748",-5.69083767235451,6.09690882486997,237.003139680273,3.89442202419848e-21,1.48244498857721e-18
"ENSG00000071539",2.78038982656059,0.887147024543837,236.72910207331,3.99306182351587e-21,1.48380275903839e-18
