"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENSG00000145708",-6.68278955553808,-6.69111016490672,5.13836468169475,2.0598998406101e-22,3.21570964117643e-18
"ENSG00000142945",3.39882629729557,3.40636666029023,1.89951326518085,4.73486559459596e-21,3.19722613544329e-17
"ENSG00000089685",3.61962286924797,3.62396356110959,2.94394493543098,6.14417936476194e-21,3.19722613544329e-17
"ENSG00000117724",3.4519471274795,3.45528082578832,3.14966181237041,9.73848913646765e-21,3.80068884773491e-17
"ENSG00000019169",-7.5953271771076,-7.61077808363486,5.49828196496039,1.41283280904082e-20,4.41114659638725e-17
"ENSG00000100526",3.50303323821793,3.51210388077753,1.64411464525328,3.13058601888936e-20,8.14526305681363e-17
"ENSG00000175063",3.61339016317144,3.62056576014795,2.20347111027364,8.32084577612271e-20,1.85566747730074e-16
"ENSG00000184374",-5.76245746515603,-5.77430323859222,3.69359193013602,2.04240982877013e-19,3.98550747961632e-16
"ENSG00000142748",-5.69081912065516,-5.69299467574191,6.09690535065938,2.87569415852701e-19,4.98805127875168e-16
"ENSG00000136011",-6.61918411078656,-6.63851602186026,3.85442105868779,3.5667759776186e-19,5.56809397866039e-16
"ENSG00000117399",3.68806049534028,3.69457857194976,2.61001255825701,5.83379584609479e-19,7.54681522769052e-16
"ENSG00000160323",-3.391373364932,-3.39250357643628,4.26851654298206,6.07944172741185e-19,7.54681522769052e-16
"ENSG00000090889",3.49181546562259,3.49920259058746,2.0709808223236,6.48229082657867e-19,7.54681522769052e-16
"ENSG00000135451",3.56894491940342,3.58039357556405,1.50997272826732,6.76801058149172e-19,7.54681522769052e-16
"ENSG00000169679",3.37656089967345,3.38527500467518,1.66115504231698,9.459755246803e-19,9.84508261052278e-16
"ENSG00000148773",3.19440721281088,3.19646872710385,3.62805510756215,1.72716809965563e-18,1.68517632523276e-15
"ENSG00000077152",3.02527839119176,3.03049159137601,1.83926499666128,2.28275697150853e-18,2.0962422989541e-15
"ENSG00000111206",3.34014143007464,3.3443347682398,2.69891152554304,2.73435485496742e-18,2.34565019166365e-15
"ENSG00000186185",3.504920270152,3.52091479549156,1.13587961124941,2.85486859532441e-18,2.34565019166365e-15
"ENSG00000143369",-3.78465259025118,-3.78577080436745,4.88406277610552,3.04953287870538e-18,2.38031288847349e-15
"ENSG00000160339",-6.83764376415839,-6.85207042615968,4.80845427143041,3.34927141049709e-18,2.48978457091763e-15
"ENSG00000166851",3.14069122120738,3.14555875692621,2.11325624905065,3.68721497613499e-18,2.61641422692924e-15
"ENSG00000011426",3.56224165294927,3.57045513374139,2.24644904072629,4.45894241169811e-18,3.02645869517475e-15
"ENSG00000183856",3.85381083685812,3.86163784754475,2.81717195420981,4.76336875961588e-18,3.09837290443182e-15
"ENSG00000146670",3.08030613515353,3.08421875645559,2.2165617908037,5.22906110862685e-18,3.26523491867095e-15
"ENSG00000237649",3.22547123619666,3.22976677592843,2.36859964735639,6.24264005969287e-18,3.74822515276406e-15
"ENSG00000123485",3.59019893762253,3.60181664440443,1.52078114908186,6.87712668617381e-18,3.97625276658738e-15
"ENSG00000198901",2.89400635998035,2.89632310087609,2.80992837502813,8.13372029009419e-18,4.53483955173787e-15
"ENSG00000185652",-4.47255637993184,-4.49354367880999,1.47221131005956,1.06342667312885e-17,5.56784157031236e-15
"ENSG00000134690",2.89348753969708,2.89848049074144,1.73668396676134,1.0699842874215e-17,5.56784157031236e-15
"ENSG00000170312",3.16877176328842,3.1732201128514,2.44727948446308,1.1857265424048e-17,5.97108937209076e-15
"ENSG00000114812",-4.47431128423321,-4.47873675854712,3.89077382790994,1.41906785985309e-17,6.92283386255205e-15
"ENSG00000145824",-7.05515967197438,-7.07962594593685,4.29002284164521,1.48676354768975e-17,7.03329264938928e-15
"ENSG00000165304",3.8100642151246,3.82471745311207,1.42592726196878,1.74763188609713e-17,8.02420040407712e-15
"ENSG00000198417",-6.13525844062142,-6.1383395325771,6.84771826474283,1.87058242741263e-17,8.12463729739903e-15
"ENSG00000131747",3.61058387676699,3.61307418519155,4.01031794197339,1.87359517459718e-17,8.12463729739903e-15
"ENSG00000143228",3.6244724189694,3.64034008020305,1.16087412139967,2.10208778423473e-17,8.86910605396983e-15
"ENSG00000126787",3.34234064923131,3.35457274014975,1.12887135492889,2.2552786849686e-17,9.26504093448546e-15
"ENSG00000123454",-4.32311673478309,-4.32665634078805,4.23315677304892,3.27203938969874e-17,1.30973863878428e-14
"ENSG00000109805",3.68748021840958,3.69840720981427,1.84542094830702,3.35648140855706e-17,1.30995078172461e-14
"ENSG00000066279",3.57321014134685,3.57771058760365,3.08504938545625,3.60095394716343e-17,1.36987327482411e-14
"ENSG00000164611",3.12682663770054,3.13047729942103,2.51028805877863,3.6855215900719e-17,1.36987327482411e-14
"ENSG00000117650",3.89609648498511,3.9098638719943,1.66614303808768,3.97679855299565e-17,1.44376284211198e-14
"ENSG00000204291",3.6535701871463,3.65678436393838,3.3967538120366,5.09606776202372e-17,1.80806167802164e-14
"ENSG00000126759",-4.24839569567501,-4.25126044878074,4.22920946645607,6.37900028576428e-17,2.21294607691258e-14
"ENSG00000112984",3.45799950797493,3.46677166662318,1.88001389949021,8.67140598891152e-17,2.94281128028038e-14
"ENSG00000150625",-4.42336231164221,-4.43644775552093,2.31200442299565,9.7338462553331e-17,3.19832447581784e-14
"ENSG00000152253",3.05282311214331,3.06971827585928,0.404983138683705,9.83406411115601e-17,3.19832447581784e-14
"ENSG00000157456",3.36420924199653,3.37169953000631,1.78664618747125,1.41635641480382e-16,4.51239591663315e-14
"ENSG00000156970",3.2448341016366,3.25650743877112,1.16801907489197,2.69707745016604e-16,8.42081521490842e-14
"ENSG00000205358",-8.34219756171324,-8.36809366221225,6.31336056973002,2.82328457877888e-16,8.64201873712099e-14
"ENSG00000161888",3.06041172236711,3.06514229562905,2.17456065391259,2.96525150377551e-16,8.90202715873836e-14
"ENSG00000080709",-4.95786455977888,-4.96977863748924,3.09095894847058,3.95706758616972e-16,1.15837264403932e-13
"ENSG00000178999",2.84444684322342,2.85077606933935,1.33990126333938,4.00692606355283e-16,1.15837264403932e-13
"ENSG00000145287",-3.79524662524381,-3.80287592120966,2.18664623493622,4.84150249251197e-16,1.37419446201099e-13
"ENSG00000197580",-4.32845505933864,-4.33123311402703,4.50260574887352,5.15514659607488e-16,1.43419053858796e-13
"ENSG00000130300",2.94383729694582,2.94413797664307,5.77106553782462,5.23661909547843e-16,1.43419053858796e-13
"ENSG00000111665",2.71373228156866,2.71941892891488,1.30258522458256,5.37524689158952e-16,1.44677550387248e-13
"ENSG00000171848",3.08047168404518,3.08238666361645,3.50375663355981,6.67179297961915e-16,1.76531118991245e-13
"ENSG00000134057",2.76713410487505,2.76892203234359,2.937303678241,9.23393284621068e-16,2.40251542770325e-13
"ENSG00000075218",2.96377137192054,2.97540079901199,0.822255034469528,9.86874415489641e-16,2.52558959019816e-13
"ENSG00000125144",-7.30097939472616,-7.3024930492654,9.27603443284484,1.0931029909567e-15,2.75232754706855e-13
"ENSG00000101412",3.50714157667947,3.51146580348097,3.10226982130896,1.29756885602464e-15,3.21529323990487e-13
"ENSG00000091622",-4.2251614828601,-4.24309130925681,1.54819083230838,1.32489571515858e-15,3.23171047020948e-13
"ENSG00000113594",-3.31098064208606,-3.31166859536266,5.10246672844035,1.39678207018929e-15,3.35464075349616e-13
"ENSG00000101057",3.46443481922937,3.46968364442156,2.60094529133588,1.461468781267e-15,3.4568165370241e-13
"ENSG00000100162",3.11418095852482,3.12395722573968,1.27040674493648,1.48752364019562e-15,3.46593008165578e-13
