"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"ENSG00000000003",2121.27308343077,0.962430952335569,0.113694931197666,0,1,1
"ENSG00000000419",1421.52890620159,0.346904636170706,0.0853240686902202,0,1,1
"ENSG00000000457",717.335568941229,0.365037157011255,0.0888017359835993,0,1,1
"ENSG00000000460",314.731354055022,1.83364550984366,0.115263868779924,7.23249634658156,4.74195403161674e-13,1.03432454266186e-11
"ENSG00000000938",2436.6151361048,-2.25664245073838,0.149387126521341,-8.41198622666367,4.03125236283009e-17,1.18373408753956e-15
"ENSG00000000971",4889.62847014775,-0.271597699285506,0.14892401660399,0,1,1
"ENSG00000001036",3057.75340013228,0.160105649324821,0.0929927001642642,0,1,1
"ENSG00000001084",4897.68233699466,1.86311469612396,0.220775355659721,3.90947030090744,9.24987262025288e-05,0.000937584364815515
"ENSG00000001167",1614.24480033593,0.652212260984222,0.0838146680478377,0,1,1
"ENSG00000001460",613.09911000797,-0.0104294421608908,0.0971032092377885,0,1,1
"ENSG00000001461",2477.81982751666,-0.688359549370331,0.0936180037338839,0,1,1
"ENSG00000001497",1733.5148876038,0.40681095696927,0.076488087603655,0,1,1
"ENSG00000001561",2324.04471104095,-1.27716106981577,0.146924404576075,-1.88641955443328,0.0592384395348176,0.386480481186904
"ENSG00000001617",2000.31763223334,-0.16137662882007,0.137885228769367,0,1,1
"ENSG00000001626",1320.54529447213,-2.78069996637444,0.262045932049245,-6.79537343872906,1.08032320671186e-11,2.11370103802477e-10
"ENSG00000001629",2762.29014758772,0.675415900783188,0.0954728745548494,0,1,1
"ENSG00000001630",401.810250346765,-1.01248362582211,0.126657356697842,-0.098562184997244,0.921485895775296,1
"ENSG00000001631",1348.80585964812,0.285144519722983,0.0752668155119807,0,1,1
"ENSG00000002016",299.335023443845,0.281565621702352,0.104603620064141,0,1,1
"ENSG00000002330",1588.45478260337,-0.246181952137469,0.111550218910559,0,1,1
"ENSG00000002549",6240.33430534336,-0.297762341559851,0.0842367008330072,0,1,1
"ENSG00000002586",9066.59240447743,0.0638250962166688,0.102020010501867,0,1,1
"ENSG00000002587",573.157337576054,0.863037855768979,0.160574974101587,0,1,1
"ENSG00000002726",513.650754411833,2.13046931099111,0.279690139266809,4.04186330613787,5.30281433423856e-05,0.000556688655065285
"ENSG00000002746",63.1394860303799,2.44872543456994,0.190670675923739,7.5980505526155,3.00624902747126e-14,7.2130198705182e-13
"ENSG00000002822",1290.10699556333,0.104786223825529,0.106267636595053,0,1,1
"ENSG00000002834",12550.8700614201,0.162023050423484,0.102577166062117,0,1,1
"ENSG00000002919",1321.01596449459,-0.0817596204525902,0.0799561012157397,0,1,1
"ENSG00000002933",2536.3721921394,0.478899139738727,0.150779743616067,0,1,1
"ENSG00000003056",4220.54311715083,-0.189756448593061,0.0938225086364076,0,1,1
