"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000022267",-3.5416965835421,7.59084901390487,513.026740247267,1.39215128799154e-113,2.53858787365258e-109
"ENSG00000154721",-2.556553839476,5.2041281206361,431.122458789528,9.2594612267268e-96,8.44231377346816e-92
"ENSG00000120156",-3.2048548366294,5.79604271576826,421.733922905118,1.02338552567702e-93,5.75382564333117e-90
"ENSG00000102760",-3.00403817737192,7.52631213720089,421.315510415614,1.26214985321221e-93,5.75382564333117e-90
"ENSG00000139567",-2.56779344464274,6.76481246274881,420.777842886979,1.65249415531612e-93,6.02664618443789e-90
"ENSG00000077522",-3.63860042352061,1.45088031000111,418.412080981125,5.40850404593696e-93,1.64373452129434e-89
"ENSG00000186994",-3.23529724635283,4.04796074726871,403.516444607065,9.45055101284196e-90,2.46186853884533e-86
"ENSG00000131477",-2.90106633452548,5.70713030642646,399.059680921362,8.82329682075071e-89,2.01116021907987e-85
"ENSG00000127329",-2.87856629770085,7.06140874540964,394.869103810128,7.20915044524472e-88,1.46065398187819e-84
"ENSG00000182010",-4.30277033989673,7.08230222589314,393.514181390059,1.42181927427732e-87,2.59268744664469e-84
"ENSG00000235387",-2.78321187428609,1.63191155511114,389.837187581169,8.98093886525735e-87,1.48879472916334e-83
"ENSG00000163815",-4.47237956362693,5.94377051175878,387.907549702391,2.36270405238964e-86,3.59032569961043e-83
"ENSG00000162367",-3.01907723646872,3.32113564032669,380.034638648209,1.2229814433109e-84,1.71546666298264e-81
"ENSG00000047648",-2.6229803653205,3.62614501133927,361.840480401966,1.11899319700418e-80,1.45748863909794e-77
"ENSG00000101331",-2.62168781411366,3.12587459930616,358.931285671696,4.8116538626475e-80,5.84936721235848e-77
"ENSG00000213853",-2.7024486620261,9.74764469819517,358.626383120129,5.60643317706904e-80,6.38958181149087e-77
"ENSG00000130307",-2.63411362381366,2.76636630039308,357.811996202811,8.43372573144518e-80,9.04641110075899e-77
"ENSG00000151718",-2.46644942754759,6.49529872190091,353.623327195535,6.88842934484804e-79,6.97836161685022e-76
"ENSG00000136160",-3.61437534826322,6.61574193150316,351.171156592023,2.35561801223014e-78,2.26077339226403e-75
"ENSG00000261371",-2.33917873648656,9.10826890037569,349.81251964915,4.65549793805882e-78,4.24465024502513e-75
"ENSG00000120279",-2.33181093063608,4.55956544421336,347.290575227755,1.64877615606397e-77,1.43168729551555e-74
"ENSG00000126759",-2.63695141711907,3.16048084512488,346.298479391094,2.71150398129509e-77,2.24746704995072e-74
"ENSG00000072163",-2.79723037038096,5.94176420494337,345.021325677788,5.14444344904699e-77,4.07864896927704e-74
"ENSG00000132622",-2.72809612951252,4.39249130333833,344.815986922239,5.70237371363469e-77,4.33261602783869e-74
"ENSG00000266964",-3.285851717816,1.52527586354591,344.579459835088,6.42044354805513e-77,4.68307152395141e-74
"ENSG00000164035",-3.06012279817064,5.60854068486108,343.989438016693,8.63091122457601e-77,6.05325639154398e-74
"ENSG00000169744",-2.57418203715215,5.8052381417979,341.717100878562,2.6972382600448e-76,1.82163480266359e-73
"ENSG00000198873",-2.65117392605908,6.00795134826557,340.204757529356,5.75808529406985e-76,3.74995304776299e-73
"ENSG00000169418",-3.17733333641365,5.5379341705351,339.596440769179,7.81193772372022e-76,4.9120925652427e-73
"ENSG00000189129",-2.85518922363402,3.93673772506528,335.549033683312,5.94607552103294e-75,3.61422290420119e-72
"ENSG00000170989",-2.82965692294661,6.61448259616259,333.706994646835,1.49765719355975e-74,8.80960610469743e-72
"ENSG00000170323",-5.79200578991209,6.28096395343662,330.52864075097,7.37308043922548e-74,4.2015038065399e-71
"ENSG00000159307",-4.36109971137961,4.38821679676989,330.298187807205,8.27640516586321e-74,4.57334085453078e-71
"ENSG00000164466",1.71289501964524,5.23911733195122,329.982326885022,9.69698192463158e-74,5.2007195704605e-71
"ENSG00000183010",3.2120233329099,5.74952006838196,329.445915703147,1.26901851804606e-73,6.61158647901998e-71
"ENSG00000154133",-2.9099624976872,6.42758699060975,329.327629746146,1.34657622381454e-73,6.7766133688581e-71
"ENSG00000105974",-3.55082367500815,9.60698867950398,329.285951095866,1.37501889030847e-73,6.7766133688581e-71
"ENSG00000263155",-3.67281441218541,3.32311756827371,324.763402057262,1.32847283564878e-72,6.37492162054095e-70
"ENSG00000094963",-3.29955840219951,7.33985368469302,323.194826220097,2.91749111856845e-72,1.3641141165922e-69
"ENSG00000114654",-3.2995301435072,3.7205590097839,322.354330868165,4.44716029910403e-72,2.02734920135405e-69
"ENSG00000168497",-3.56605085635622,7.75016925696794,322.143009303936,4.94438416948325e-72,2.19904500806163e-69
"ENSG00000107742",-3.55991123280889,8.45051323754383,319.853368426036,1.55898089991289e-71,6.76857540712179e-69
"ENSG00000241644",-4.11591082485131,7.30177078597112,318.673411339654,2.81749282810405e-71,1.19481352838319e-68
"ENSG00000118526",-3.61901416216775,4.91510259218772,316.962210407918,6.6467188231838e-71,2.75461176683538e-68
"ENSG00000165495",-2.61497481208753,3.43680141901563,315.203999981481,1.60545526577394e-70,6.50566150475286e-68
"ENSG00000186871",3.56763574685559,1.79433030142885,315.102682759124,1.689150467658e-70,6.69601277777034e-68
"ENSG00000102683",-4.02524885650196,1.55855833787381,313.901637628486,3.08529036015388e-70,1.19702701526396e-67
"ENSG00000246430",-3.69835814483568,2.20670903841076,313.806455136673,3.23616084403761e-70,1.22940402064637e-67
"ENSG00000204305",-6.71173518045674,10.0670441025587,313.030552918796,4.77583506738038e-70,1.77729290721799e-67
"ENSG00000077152",3.28746091796437,3.55768138997656,311.466405793492,1.04659933155244e-69,3.81694776217174e-67
"ENSG00000198844",-2.5737883553309,4.93774970988501,311.321786807033,1.12534135198157e-69,4.02364697125174e-67
"ENSG00000166265",-2.2507592333817,5.19345386192703,310.591551818606,1.62315315556401e-69,5.69196111379034e-67
"ENSG00000161835",-2.42932080546534,4.70988942692266,308.772317617082,4.04267398650122e-69,1.39090868195943e-66
